Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
DE,DE,29,198,3,0.71875,0.811594,0.116028,0.116028,0.010654,0.001236,0.265196,0.265196,1,0.981468,1,0.527095,0.800813,"#f6acff"
US,US,30,247,3,0.730159,0.822464,0.102901,0.102901,0.009019,0.000928,0.270232,0.270232,1,1,0.667029,0.971362,1,"#ff9f6c"
CN,CN,31,185,3,0.741935,0.833333,0.170919,0.170919,0.006669,0.00114,0.268194,0.268194,1,0.993149,0.945505,0.270312,0.747967,"#92b492"
GB,GB,25,203,3,0.676471,0.768116,0.032795,0.032795,0.020797,0.000682,0.250169,0.250169,1,0.924693,0.910371,0.786227,0.821138,"#9ddb6b"
JP,JP,20,95,3,0.630137,0.713768,0.015538,0.015538,0.036111,0.000561,0.214924,0.214924,1,0.794182,0.275622,0.051371,0.382114,"#c799ff"
AU,AU,16,94,3,0.582278,0.663043,0.003192,0.003192,0.072279,0.000231,0.192706,0.192706,1,0.711175,0.164795,0.127134,0.378049,"#00cbff"
FR,FR,22,114,3,0.647887,0.735507,0.036717,0.036717,0.022739,0.000835,0.222422,0.222422,0,0.82199,0.814684,0.109409,0.45935,"#ff99bc"
AT,AT,27,104,3,0.69697,0.789855,0.088184,0.088184,0.01116,0.000984,0.253995,0.253995,2,0.939794,0.681814,0.032343,0.418699,"#00e5d8"
CA,CA,23,98,3,0.657143,0.746377,0.06261,0.06261,0.015992,0.001001,0.231171,0.231171,1,0.854743,0.542608,0,0.394309,"#ff5658"
IT,IT,23,97,3,0.657143,0.746377,0.063885,0.063885,0.018418,0.001177,0.228035,0.228035,0,0.842977,0.404569,0.007399,0.390244,"#cc295a"
SG,SG,18,64,3,0.605263,0.688406,0.015547,0.015547,0.039593,0.000616,0.193146,0.193146,1,0.713558,0.03667,0.309581,0.256098,"#91cbf6"
ES,ES,19,77,3,0.613333,0.699275,0.022656,0.022656,0.036554,0.000828,0.202145,0.202145,2,0.747733,0.084725,0.219474,0.308943,"#ff5cd9"
DK,DK,13,48,3,0.560976,0.630435,0.002707,0.002707,0.111424,0.000302,0.156116,0.156116,1,0.576276,0,0.475626,0.191057,"#325687"
BR,BR,16,43,3,0.589744,0.666667,0.045305,0.045305,0.03223,0.00146,0.177366,0.177366,0,0.65551,0.001476,0.544126,0.170732,"#1b4637"
CH,CH,18,60,3,0.605263,0.688406,0.010897,0.010897,0.04632,0.000505,0.198474,0.198474,0,0.733182,0.010105,0.396312,0.239837,"#635000"
NL,NL,12,41,3,0.554217,0.619565,0.000638,0.000638,0.147904,0.000094,0.154963,0.154963,0,0.571981,0.011241,0.607176,0.162602,"#00d86f"
CL,CL,8,20,3,0.516854,0.568841,0.000456,0.000456,0.297676,0.000136,0.096466,0.096466,2,0.356709,0.116263,0.820704,0.077236,"#008460"
IL,IL,13,28,4,0.541176,0.621377,0.04205,0.04205,0.046019,0.001935,0.13911,0.13911,1,0.514714,0.070487,0.756304,0.109756,"#0084a9"
SE,SE,14,39,3,0.567901,0.641304,0.004994,0.004994,0.083729,0.000418,0.157065,0.157065,2,0.581022,0.028032,0.66593,0.154472,"#ff9900"
SA,SA,3,8,4,0.455446,0.490942,0.039894,0.039894,0.309865,0.012362,0.028405,0.028405,0,0.10584,0.296442,0.956696,0.028455,"#00e8ff"
IE,IE,6,9,3,0.5,0.543478,0,0,0.689668,0,0.083696,0.083696,1,0.309194,0.279572,0.948801,0.03252,"#e9b861"
PT,PT,5,11,3,0.479167,0.521739,0,0,0.889814,0,0.065513,0.065513,0,0.241674,0.22466,0.917391,0.04065,"#6b3039"
KR,KR,11,24,3,0.541176,0.605072,0.000599,0.000599,0.171206,0.000102,0.138444,0.138444,1,0.511006,0.093673,0.791604,0.093496,"#deaeaf"
