DOI,Country Code
10.1038/ncomms2764,"FR,DE,GB"
10.1038/s41467-021-24693-6,"FR,DE,PA"
10.1038/s41427-023-00510-y,"CN,GB"
10.1038/NNANO.2010.6,"DE,US"
10.1073/pnas.1207329109,"CN,DE,TW"
10.1038/ncomms6786,"FR,DE,NL"
10.1103/PhysRevB.101.235303,"JP,NL"
10.1088/1367-2630/16/2/023019,"CA,NL,US"
10.1103/PhysRevA.95.022305,"CN,ES"
10.1103/PhysRevLett.113.160504,"CA,IL,JP"
10.1103/PhysRevX.7.031049,"AT,DE,SG,US,GB"
10.1038/srep01180,"JP,US,GB"
10.1073/pnas.1305920110,"DE,US"
10.1103/PhysRevX.11.031049,"AT,SG,GB"
10.1021/nl503081n,"CN,DE,GB"
10.1038/NPHOTON.2016.2,"FR,DE,GB"
10.1038/NPHOTON.2013.287,"AU,JP,GB"
10.1038/nature12366,"DE,JP"
10.1063/5.0001922,"JP,GB"
10.1038/NPHOTON.2011.52,"CA,US"
10.1088/2058-9565/1/1/015004,"CN,JP,US"
10.1021/nl101662v,"DE,US"
10.1103/PhysRevLett.119.010503,"FR,US,GB"
10.1038/nature11577,"DE,JP,US,GB"
10.1364/OL.460836,"CN,US"
10.1103/PhysRevLett.123.063601,"FR,NL"
10.1103/PhysRevB.99.205415,"AU,DE"
10.1103/PhysRevA.103.052421,"JP,TR"
10.1038/ncomms4895,"CN,DE"
10.1038/s41534-024-00910-0,"DE,NL,CH"
10.1103/PRXQuantum.3.040322,"CA,US"
10.1021/acsphotonics.1c01775,"AU,DK,DE,US,GB"
10.1103/PhysRevX.5.011009,"IL,PL"
10.1002/qute.202000011,"CA,JP"
10.1103/PRXQuantum.5.030322,"AU,KR,US"
10.1038/srep26338,"KR,GB"
10.1021/acsami.1c16988,"KR,US"
10.1038/s41567-022-01875-7,"AU,AT,DE,SG,GB"
10.1103/PhysRevApplied.21.044030,"CN,GB"
10.1038/s41563-021-01148-3,"DE,JP,SE,US"
10.1103/PhysRevA.99.052126,"CN,US"
10.1038/s42005-020-0307-5,"FI,DE"
10.1103/PhysRevB.109.134106,"AU,US"
10.1103/PhysRevLett.132.150604,"FR,US,GB"
10.1088/2058-9565/aa7c50,"IT,SG"
10.1038/s41586-021-03809-4,"US,GB"
10.1103/PhysRevA.98.062327,"JP,SE,US"
10.1103/PhysRevX.11.041041,"NL,US,GB"
10.1103/PhysRevLett.128.013601,"CA,US"
10.1103/PhysRevLett.107.053602,"CH,US"
10.1103/PhysRevA.106.L030402,"DE,US"
10.1103/PhysRevApplied.14.064033,"BR,DE,US"
10.1103/PhysRevLett.133.203603,"CN,DE,CH"
10.1038/s41467-021-24494-x,"AT,BE,CZ,HU,SE"
10.1038/s41467-022-33921-6,"CN,GB"
10.1063/1.4994661,"AT,US"
10.1002/qute.202400141,"FR,RU"
10.1103/PhysRevX.8.041050,"CA,IL"
10.1038/s41567-018-0199-4,"FI,TW"
10.1063/1.5004147,"DE,IL,US"
10.1063/5.0049372,"CA,GB"
10.1038/s41598-022-21267-4,"CZ,PL"
10.1038/s41565-022-01282-2,"AT,IN,GB"
10.1007/s11433-014-5591-1,"CN,SG"
10.1021/nl303075q,"DE,GB"
10.1103/PhysRevB.104.174202,"DE,RU"
10.1103/PhysRevLett.131.113601,"CN,JP,PL,US"
10.1364/OE.24.000125,"CH,US"
