DOI,Addresses
10.1038/nature11573,"[Gao, W. B.; Fallahi, P.; Togan, E.; Miguel-Sanchez, J.; Imamoglu, A.] Swiss Fed Inst Technol, Inst Quantum Elect, CH-8093 Zurich, Switzerland"
10.1007/s10773-013-1646-8,"Yanbian Univ, Coll Engn, Dept Elect Informat Engn, Yanji 133002, Jilin, Peoples R China"
10.1038/ncomms2764,"[Albert, F.; Strauss, M.; Schneider, C.; Hofling, S.; Kamp, M.; Forchel, A.; Reitzenstein, S.] Univ Wurzburg, Inst Phys, D-97074 Wurzburg, Germany; [Albert, F.; Strauss, M.; Schneider, C.; Hofling, S.; Kamp, M.; Forchel, A.; Reitzenstein, S.] Univ Wurzburg, Wilhelm Conrad Rontgen Res Ctr Complex Mat Syst, D-97074 Wurzburg, Germany; [Sivalertporn, K.; Muljarov, E. A.; Langbein, W.] Cardiff Univ, Sch Phys & Astron, Cardiff CF24 3AA, S Glam, Wales; [Kasprzak, J.] CNRS, Inst Neel, F-38042 Grenoble 9, France; [Kasprzak, J.] Univ Grenoble 1, F-38042 Grenoble 9, France"
10.1038/NPHYS2385,"[Lucero, Erik; Barends, R.; Chen, Y.; Kelly, J.; Mariantoni, M.; Megrant, A.; O'Malley, P.; Sank, D.; Vainsencher, A.; Wenner, J.; White, T.; Yin, Y.; Cleland, A. N.; Martinis, John M.] Univ Calif Santa Barbara, Dept Phys, Santa Barbara, CA 93106 USA"
10.1038/nature09801,"[Mueller, Markus; Chwalla, Michael; Roos, Christian F.; Zoller, Peter; Blatt, Rainer] Austrian Acad Sci, Inst Quantenopt & Quanteninformat, A-6020 Innsbruck, Austria; [Barreiro, Julio T.; Schindler, Philipp; Nigg, Daniel; Monz, Thomas; Chwalla, Michael; Hennrich, Markus; Roos, Christian F.; Blatt, Rainer] Univ Innsbruck, Inst Expt Phys, A-6020 Innsbruck, Austria; [Mueller, Markus; Zoller, Peter] Univ Innsbruck, Inst Theoret Phys, A-6020 Innsbruck, Austria"
10.1038/nature13729,"[Zu, C.; Wang, W. -B.; He, L.; Zhang, W. -G.; Dai, C. -Y.; Wang, F.; Duan, L. -M.] Tsinghua Univ, IIIS, Ctr Quantum Informat, Beijing 100084, Peoples R China; [Duan, L. -M.] Univ Michigan, Dept Phys, Ann Arbor, MI 48109 USA"
10.1038/NPHYS1731,"[Altomare, F.; Park, J. I.; Cicak, K.; Sillanpaa, M. A.; Allman, M. S.; Li, D.; Sirois, A.; Strong, J. A.; Whittaker, J. D.; Simmonds, R. W.] Natl Inst Stand & Technol, Boulder, CO 80305 USA; [Allman, M. S.; Sirois, A.; Strong, J. A.; Whittaker, J. D.] Univ Colorado, Boulder, CO 80309 USA"
10.1038/nature12801,"[Lin, Y.; Gaebler, J. P.; Tan, T. R.; Bowler, R.; Leibfried, D.; Wineland, D. J.] NIST, Boulder, CO 80305 USA; [Reiter, F.; Sorensen, A. S.] Univ Copenhagen, Niels Bohr Inst, QUANTOP, DK-2100 Copenhagen O, Denmark"
10.1038/s41586-018-0450-2,"[Barredo, Daniel; Lienhard, Vincent; De Leseleuc, Sylvain; Lahaye, Thierry; Browaeys, Antoine] Univ Paris Saclay, CNRS, Lab Charles Fabry, Inst Opt,Grad Sch, Palaiseau, France"
10.1103/PhysRevA.107.012609,"[Avis, Guus; Rozpedek, Filip; Wehner, Stephanie] Delft Univ Technol, QuTech, Lorentzweg 1, NL-2628 CJ Delft, Netherlands; [Avis, Guus; Rozpedek, Filip; Wehner, Stephanie] Delft Univ Technol, Kavli Inst Nanosci, Lorentzweg 1, NL-2628 CJ Delft, Netherlands; [Rozpedek, Filip] Univ Chicago, Pritzker Sch Mol Engn, Chicago, IL 60637 USA"
10.1103/PhysRevApplied.19.034001,"[Saha, Uday; Siverns, James D.; Waks, Edo] Univ Maryland Coll Pk, Dept Elect & Comp Engn, College Pk, MD 20742 USA; [Saha, Uday; Siverns, James D.; Hannegan, John; Quraishi, Qudsia; Waks, Edo] Univ Maryland, Inst Res Elect & Appl Phys IREAP, College Pk, MD 20742 USA; [Siverns, James D.; Hannegan, John; Waks, Edo] Univ Maryland Coll Pk, Dept Phys, College Pk, MD 20742 USA; [Prabhu, Mihika; Englund, Dirk] MIT, Dept Elect Engn & Comp Sci, Cambridge, MA 02139 USA; [Quraishi, Qudsia] US Army, Res Lab, Adelphi, MD 20783 USA; [Quraishi, Qudsia; Waks, Edo] Univ Maryland, Joint Quantum Inst JQI, College Pk, MD 20742 USA"
10.1109/JPHOT.2021.3136502,"[Saha, Uday; Waks, Edo] Univ Maryland, Dept Elect & Comp Engn, College Pk, MD 20742 USA; [Saha, Uday; Waks, Edo] Univ Maryland, Inst Res Elect & Appl Phys, College Pk, MD 20742 USA; [Waks, Edo] Univ Maryland, Joint Quantum Inst, College Pk, MD 20742 USA"
10.1038/s41598-024-60478-9,"[Kang, Ji-Hoon; Ryu, Hoon] Korea Inst Sci & Technol Informat, Div Natl Supercomp, Daejeon 34141, South Korea; [Yoon, Taehyun] Ulsan Natl Inst Sci & Technol, Artificial Intelligence Grad Sch, Ulsan 44919, South Korea; [Lee, Chanhui] Korea Univ, Dept Artificial Intelligence, Seoul 02841, South Korea; [Lim, Sungbin] Korea Univ, Dept Stat, Seoul 02841, South Korea"
10.1038/nature11821,"[Pirkkalainen, J. -M.; Cho, S. U.; Li, Jian; Paraoanu, G. S.; Hakonen, P. J.; Sillanpaa, M. A.] Aalto Univ, Low Temp Lab, FI-00076 Aalto, Finland"
10.1039/d2cp05625a,"[Shan, Zheng; Gou, Xuelian] Zhengzhou Univ, Zhengzhou 450001, Henan, Peoples R China; [Shan, Zheng; Sun, Huihui; Liu, Fudong] State Key Lab Math Engn & Adv Comp, Zhengzhou 450001, Henan, Peoples R China; [Gou, Xuelian; Han, Lin; Shang, Jiandong] Natl Supercomp Ctr Zhengzhou, Zhengzhou 450001, Henan, Peoples R China"
10.1088/2058-9565/ace6cb,"[Islam, Rajibul] Univ Waterloo, Inst Quantum Comp, Waterloo, ON N2L 3G1, Canada; Univ Waterloo, Dept Phys & Astron, Waterloo, ON N2L 3G1, Canada"
10.1038/NNANO.2012.126,"[Wilpers, Guido; See, Patrick; Gill, Patrick; Sinclair, Alastair G.] Natl Phys Lab, Teddington TW11 0LW, Middx, England"
