DOI,institution
10.1038/nature11573,Swiss Fed Inst Technol
10.1007/s10773-013-1646-8,Yanbian Univ
10.1038/ncomms2764,"Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1038/NPHYS2385,Univ Calif Santa Barbara
10.1038/nature09801,"Austrian Acad Sci,Univ Innsbruck"
10.1038/nature13729,"Tsinghua Univ,Univ Michigan"
10.1038/NPHYS1731,"Natl Inst Stand & Technol,Univ Colorado"
10.1038/nature12801,"NIST,Univ Copenhagen"
10.1038/s41586-018-0450-2,Univ Paris Saclay
10.1103/PhysRevA.107.012609,"Delft Univ Technol,Univ Chicago"
10.1103/PhysRevApplied.19.034001,"Univ Maryland Coll Pk,Univ Maryland,MIT,US Army"
10.1109/JPHOT.2021.3136502,Univ Maryland
10.1038/s41598-024-60478-9,"Korea Inst Sci & Technol Informat,Ulsan Natl Inst Sci & Technol,Korea Univ"
10.1038/nature11821,Aalto Univ
10.1039/d2cp05625a,"Zhengzhou Univ,State Key Lab Math Engn & Adv Comp,Natl Supercomp Ctr Zhengzhou"
10.1088/2058-9565/ace6cb,Univ Waterloo
10.1038/NNANO.2012.126,Natl Phys Lab
10.1088/0256-307X/30/7/073701,"Chinese Acad Sci,Univ Chinese Acad Sci"
10.1038/s41467-021-24693-6,"Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1002/qute.202400001,"Yokohama Natl Univ,Southwest Jiaotong Univ"
10.1103/PhysRevB.96.201304,"Univ Konstanz,Univ Basel"
10.1103/PhysRevA.90.022323,"Tsinghua Univ,Tsinghua Natl Lab Informat Sci & Technol"
10.1088/0253-6102/55/5/09,"Nanping Teachers Coll,Fuzhou Univ"
10.1063/5.0059966,"Univ Maryland,US Army Res Lab"
10.1038/nature24654,"Univ Maryland,Natl Inst Stand & Technol,IonQ Inc,Colorado Sch Mines"
10.1088/2058-9565/ad085b,"Leibniz Univ Hannover,Phys Tech Bundesanstalt"
10.1038/s42005-021-00767-1,Yokohama Natl Univ
10.1039/d4qi01782j,"South China Univ Technol,Natl Univ Def Technol,Sun Yat sen Univ,Peking Univ"
10.1587/transele.2018SDP0001,"Univ Tokyo,RIKEN"
10.1088/1367-2630/18/12/123007,Imperial Coll London
10.1103/PhysRevA.108.032605,"Australian Natl Univ,ASTAR"
10.1103/PhysRevA.107.012605,Univ Calgary
10.1103/PhysRevA.96.052316,"Shandong Univ,Uppsala Univ"
10.1103/PhysRevLett.133.106001,"Univ Grenoble Alpes,Natl Inst Mat Sci"
10.1038/s41567-020-0824-x,"Univ Paris,INRIA Paris,Univ Claude Bernard Lyon 1,PSL Res Univ"
10.1038/nature13436,"Yale Univ,INRIA Paris Rocquencourt"
10.1088/1367-2630/18/8/083030,"Georgia Tech Res Inst,Georgia Inst Technol,Univ Maryland"
10.1103/PhysRevLett.122.040404,"Chapman Univ,CALTECH"
10.1007/s11433-012-4815-5,Cent South Univ
10.1103/PhysRevB.109.064505,"Univ Paris Diderot,PSL Univ,Inst Univ France IUF"
10.1103/PhysRevB.85.075413,Aalto Univ
10.1103/PhysRevA.84.012314,"Heriot Watt Univ,Univ Turku,Queens Univ"
