Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
AU,AU,24,238,2,0.630435,0.706897,0.028051,0.028051,0.020185,0.000566,0.190697,0.190697,0,0.704628,0.669948,0.022314,0.449715,"#009124"
US,US,45,528,2,0.816901,0.887931,0.241417,0.241417,0.003119,0.000753,0.269555,0.269554,0,1,0.738923,0.873857,1,"#c28fff"
DE,DE,36,330,2,0.725,0.810345,0.137527,0.137527,0.005836,0.000803,0.242014,0.242014,0,0.895651,0.988751,0.608073,0.624288,"#9a7474"
NL,NL,30,220,2,0.674419,0.758621,0.041475,0.041475,0.013423,0.000557,0.226366,0.226366,0,0.836951,0.457777,0,0.41556,"#f52175"
GB,GB,30,288,2,0.674419,0.758621,0.046392,0.046392,0.012537,0.000582,0.234176,0.234175,0,0.864606,1,0.350193,0.544592,"#ff6fe3"
CN,CN,22,130,3,0.610526,0.686782,0.008122,0.008122,0.034785,0.000283,0.195874,0.195874,0,0.722244,0.068598,0.227592,0.244782,"#00916d"
JP,JP,32,283,2,0.690476,0.775862,0.05887,0.05887,0.010806,0.000636,0.237435,0.237435,0,0.877455,0.873291,0.140291,0.535104,"#c78200"
CH,CH,26,169,2,0.644444,0.724138,0.019528,0.019528,0.021613,0.000422,0.215992,0.215992,0,0.797019,0.281431,0.046093,0.318786,"#bbba74"
FR,FR,28,157,2,0.659091,0.741379,0.067525,0.067525,0.010717,0.000724,0.211257,0.211257,0,0.7808,0.15416,0.128075,0.296015,"#388780"
CA,CA,26,122,3,0.637363,0.721264,0.020313,0.020313,0.022213,0.000451,0.216664,0.216664,0,0.799638,0.019852,0.330803,0.229602,"#ffa17e"
DK,DK,20,86,3,0.597938,0.66954,0.008701,0.008701,0.043396,0.000378,0.1786,0.1786,0,0.659213,0.004825,0.529708,0.16129,"#3bdaf9"
ES,ES,28,118,3,0.651685,0.738506,0.074906,0.074906,0.011259,0.000843,0.216619,0.216619,0,0.800081,0,0.436817,0.222011,"#ff9e00"
SE,SE,22,67,3,0.610526,0.686782,0.008852,0.008852,0.038738,0.000343,0.198796,0.198797,1,0.732954,0.094808,0.732075,0.125237,"#9cdd51"
AT,AT,23,77,2,0.623656,0.698276,0.021792,0.021792,0.02805,0.000611,0.196705,0.196705,1,0.726034,0.055532,0.673494,0.144213,"#d3b6f6"
IL,IL,14,33,3,0.563107,0.617816,0.00805,0.00805,0.083574,0.000673,0.134599,0.134599,0,0.496466,0.244384,0.858163,0.060721,"#0082a3"
IT,IT,29,80,3,0.659091,0.747126,0.042981,0.042981,0.01321,0.000568,0.221581,0.221581,0,0.818891,0.024339,0.60524,0.149905,"#c7c700"
PL,PL,18,44,3,0.58,0.649425,0.027332,0.027332,0.029631,0.00081,0.140984,0.140984,1,0.522333,0.171537,0.809387,0.081594,"#ff65d8"
SK,SK,10,33,3,0.537037,0.58046,0.034521,0.034521,0.076497,0.002641,0.10016,0.10016,0,0.370404,0.279887,0.87603,0.060721,"#0082a3"
HU,HU,20,38,3,0.591837,0.666667,0.011503,0.011503,0.039751,0.000457,0.17378,0.17378,1,0.641219,0.208749,0.836575,0.070209,"#00cbff"
KR,KR,20,48,3,0.597938,0.66954,0.002662,0.002662,0.053466,0.000142,0.193394,0.193394,0,0.712315,0.134242,0.776158,0.089184,"#684304"
NO,NO,13,28,3,0.552381,0.606322,0.00098,0.00098,0.139792,0.000137,0.131651,0.131651,0,0.485598,0.314775,0.890489,0.051233,"#006fb5"
SG,SG,13,22,3,0.54717,0.603448,0.006998,0.006998,0.085715,0.0006,0.115555,0.115555,1,0.427737,0.37899,0.910026,0.039848,"#647900"
BR,BR,7,16,3,0.508772,0.545977,0,0,0.591993,0,0.077652,0.077652,0,0.286837,0.046193,0.797651,0.028463,"#ff9ec3"
IN,IN,13,21,3,0.537037,0.597701,0.007254,0.007254,0.068572,0.000497,0.112085,0.112085,1,0.414742,0.438853,0.920813,0.037951,"#ff5d75"
RU,RU,16,26,3,0.574257,0.635057,0.00935,0.00935,0.064009,0.000598,0.153141,0.153141,0,0.564165,0.347794,0.90162,0.047438,"#834083"
IE,IE,8,14,3,0.504348,0.548851,0.000605,0.000605,0.25233,0.000153,0.078758,0.078758,0,0.291078,0.078966,0.832009,0.024668,"#00e2d9"
FI,FI,12,22,3,0.542056,0.594828,0.001813,0.001813,0.136409,0.000247,0.115848,0.115848,0,0.426734,0.408963,0.91628,0.039848,"#647900"
BE,BE,14,19,3,0.54717,0.609195,0.006028,0.006028,0.076637,0.000462,0.113438,0.113438,1,0.419586,0.467654,0.923616,0.034156,"#165123"
