DOI,Country Code
10.1103/PhysRevB.96.201304,"DE,CH"
10.1038/s42005-021-00767-1,"JP,GB"
10.1088/1367-2630/18/5/053024,"CA,JP,SE,US"
10.1002/qute.201800067,"IT,US"
10.1109/JSSC.2017.2737549,"CN,FR,IE,NL,CH,US"
10.1021/jz101650z,"JP,GB"
10.1063/5.0096467,"AU,JP"
10.1103/PhysRevB.82.155315,"AU,US"
10.1109/JSSC.2020.3024678,"MX,NL,CH,US"
10.1038/nature12016,"CA,NL,GB"
10.3389/fchem.2019.00662,"DE,ES"
10.1103/PhysRevB.95.144306,"CN,US"
10.1103/RevModPhys.89.035002,"DE,CH,US"
10.1038/s41467-017-01113-2,"CA,US"
10.1038/s41565-021-00846-y,"FR,DE"
10.1038/s41467-018-04340-3,"US,GB"
10.1038/nature25766,"NL,US"
10.1038/s41534-019-0169-4,"FR,SE"
10.1038/s41586-021-04182-y,"JP,NL"
10.1021/ja102030w,"JP,GB"
10.1063/1.5036521,"AU,ES,US"
10.1038/NNANO.2013.117,"CA,DE,US,GB"
10.1109/TCSI.2020.3019413,"NL,CH,US"
10.1103/PhysRevApplied.12.044054,"JP,NL,CH,US"
10.1038/nature16984,"ES,US"
10.1038/s41524-023-01135-z,"DE,HU,SE,US"
10.1038/NNANO.2014.153,"NL,US"
10.1038/s41586-020-2171-6,"AU,CA,FI,IR,JP"
10.1007/s00723-021-01392-5,"IN,IR,JP,GB"
10.1038/NNANO.2016.188,"NL,CH"
10.1038/nature11449,"AU,GB"
10.1063/1.3543841,"JP,GB"
10.1038/s41467-024-51902-9,"AU,JP,CH"
10.1038/s41586-018-0365-y,"CA,CH"
10.1103/PhysRevX.10.011060,"AU,FR,DE,JP,SK,CH"
10.1021/acs.nanolett.4c03882,"JP,US,GB"
10.1038/s41534-018-0112-0,"CN,US"
10.1103/PhysRevA.95.012312,"CN,US"
10.1038/s41467-022-28328-2,"DE,US,GB"
10.1038/s41534-021-00378-2,"PK,GB"
10.1021/nl101662v,"DE,US"
10.1038/s41567-023-02071-x,"DK,IT,NL,SI,ES,US,GB"
10.1038/NNANO.2013.168,"AU,DK,DE,US"
10.1038/s41467-024-45364-2,"AT,IN,GB"
10.1088/1367-2630/ab51f5,"AT,DE,GR,SG"
10.1038/s41586-024-07371-7,"DE,NL,US"
10.1103/PhysRevB.110.035304,"DE,US"
10.1088/0953-4075/43/13/135502,"CN,KR"
10.1016/j.aej.2023.12.053,"EG,SA,US"
10.1103/PhysRevLett.119.010503,"FR,US,GB"
10.1002/adfm.201801695,"FR,ES"
10.1038/s41467-019-13000-z,"AU,CH,US"
10.1021/jacs.9b13398,"ML,US"
10.1063/1.4893242,"AU,DE"
10.1103/PhysRevB.90.174402,"FR,RU"
10.1038/s41563-021-01022-2,"AT,DE,IT,ES"
10.1039/c5dt04062k,"US,GB"
10.1038/npjqi.2015.3,"CN,US"
10.1088/0957-4484/27/24/244001,"AU,CN"
10.1515/zpch-2016-0799,"JP,GB"
10.1002/adma.201906523,"AT,CN,CH,US"
10.1038/ncomms9955,"DE,JP,US,GB"
10.1038/s41928-022-00727-9,"NL,US"
10.1103/PhysRevA.104.032407,"DE,NL"
10.22331/q-2017-05-11-11,"CA,FR,US"
10.1038/s41467-024-45235-w,"NL,SE,CH"
10.1038/s41467-022-31231-5,"DE,JP"
10.1038/nature11577,"DE,JP,US,GB"
10.1063/1.4934693,"AU,US"
10.1103/PhysRevB.98.245424,"AU,NL,US"
10.1038/s41467-021-23437-w,"AU,CA,IR,JP,GB"
10.1103/PhysRevApplied.19.064038,"AU,CN,US"
10.1103/PhysRevB.99.174416,"BG,IT"
10.1364/OL.460836,"CN,US"
10.1126/sciadv.aba3442,"AU,JP,US"
10.1103/PhysRevB.101.195438,"DE,SE"
10.1038/s41565-019-0426-x,"FR,DE,JP,SK,CH"
10.1103/PhysRevB.81.085313,"PL,US,GB"
10.1103/PhysRevA.85.052125,"MX,US"
10.1038/s41467-022-33453-z,"JP,NL"
10.1103/PhysRevB.105.024507,"CH,US"
10.1103/PhysRevLett.107.030506,"NL,US"
10.1140/epjqt/s40507-023-00199-6,"NL,CH"
