Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
CN,CN,34,410,2,0.697674,0.783333,0.040537,0.040537,0.013353,0.000541,0.228595,0.228595,0,0.940203,0.773872,0.071132,0.380465,"#35d5cf"
US,US,43,1076,3,0.769231,0.855556,0.155122,0.155122,0.004973,0.000771,0.242374,0.242374,0,1,0.745799,0.882272,1,"#00d47c"
JP,JP,31,422,2,0.674157,0.758333,0.041577,0.041577,0.014568,0.000606,0.215734,0.215734,0,0.886899,0.918865,0.201035,0.391628,"#009cff"
DE,DE,41,566,2,0.759494,0.841667,0.120621,0.120621,0.005795,0.000699,0.240626,0.240626,0,0.991829,0.98554,0.609443,0.525581,"#00aed0"
CA,CA,29,265,3,0.652174,0.738889,0.058416,0.058416,0.012364,0.000722,0.204182,0.204182,0,0.839456,0.459366,0,0.245581,"#92c08e"
FR,FR,30,330,3,0.659341,0.747222,0.040724,0.040724,0.013761,0.00056,0.208577,0.208577,0,0.857534,0.606729,0.007984,0.306047,"#d5d139"
GB,GB,34,455,3,0.689655,0.780556,0.04364,0.04364,0.012408,0.000541,0.227364,0.227364,0,0.935049,1,0.3829,0.422326,"#8a6f69"
RU,RU,28,212,3,0.631579,0.725,0.047228,0.047228,0.016821,0.000794,0.186332,0.186332,0,0.767447,0.074737,0.22201,0.196279,"#ff58de"
CH,CH,28,236,3,0.638298,0.727778,0.029514,0.029514,0.018172,0.000536,0.198494,0.198494,0,0.816042,0.335934,0.025098,0.218605,"#00d530"
DK,DK,27,170,2,0.645161,0.725,0.021704,0.021704,0.022735,0.000493,0.194269,0.194269,0,0.798432,0.00495,0.401755,0.157209,"#ffb6a4"
NL,NL,28,216,3,0.638298,0.727778,0.017492,0.017492,0.021527,0.000377,0.204119,0.204119,0,0.838471,0.142133,0.141141,0.2,"#bb61d2"
AU,AU,24,157,3,0.6,0.688889,0.01516,0.01516,0.027981,0.000424,0.182543,0.182543,0,0.749466,0.009465,0.560811,0.145116,"#72d4ff"
EG,EG,11,60,3,0.521739,0.575,0.00649,0.00649,0.106359,0.00069,0.080212,0.080212,2,0.331454,0.168067,0.820077,0.054884,"#ff94c7"
SA,SA,13,66,3,0.535714,0.594444,0.009505,0.009505,0.072122,0.000686,0.095317,0.095317,2,0.393574,0.138678,0.79348,0.060465,"#ecb2f3"
IT,IT,29,207,3,0.652174,0.738889,0.04105,0.04105,0.017377,0.000713,0.200309,0.200309,0,0.824159,0.028354,0.312761,0.191628,"#87e166"
ES,ES,31,229,3,0.659341,0.752778,0.051483,0.051483,0.011784,0.000607,0.216021,0.216021,0,0.887493,0.229925,0.073813,0.212093,"#ff9483"
SE,SE,27,158,3,0.631579,0.719444,0.034512,0.034512,0.019935,0.000688,0.198059,0.198059,0,0.813605,0,0.482849,0.146047,"#00eeff"
FI,FI,24,104,3,0.612245,0.694444,0.012134,0.012134,0.031274,0.000379,0.187704,0.187704,0,0.770996,0.028424,0.625404,0.095814,"#ffaf52"
IL,IL,20,79,3,0.576923,0.655556,0.005003,0.005003,0.053892,0.00027,0.162495,0.162495,0,0.667238,0.108983,0.761579,0.072558,"#008572"
AT,AT,27,103,3,0.625,0.716667,0.020049,0.020049,0.022054,0.000442,0.194915,0.194915,0,0.800845,0.051432,0.676552,0.094884,"#a4c600"
SG,SG,22,92,3,0.6,0.677778,0.007013,0.007013,0.04382,0.000307,0.177186,0.177186,0,0.727379,0.07924,0.722665,0.084651,"#af373f"
IN,IN,18,60,3,0.560748,0.636111,0.003957,0.003957,0.062754,0.000248,0.144753,0.144753,0,0.594472,0.198578,0.843588,0.054884,"#ff94c7"
KR,KR,11,48,3,0.521739,0.575,0.000044,0.000044,0.255649,0.000011,0.103694,0.103694,0,0.425953,0.258226,0.880077,0.043721,"#007f33"
TW,TW,11,40,3,0.508475,0.566667,0.000512,0.000512,0.190515,0.000098,0.08923,0.08923,0,0.366344,0.286873,0.89391,0.036279,"#00e5a4"
CL,CL,11,27,3,0.512821,0.569444,0.000233,0.000233,0.221751,0.000052,0.097972,0.097973,0,0.401579,0.393237,0.928314,0.024186,"#ff3b83"
BE,BE,14,30,3,0.535714,0.6,0.002099,0.002099,0.105361,0.000221,0.110225,0.110225,0,0.452638,0.36883,0.922576,0.026977,"#ff8d00"
SK,SK,9,28,3,0.512821,0.558333,0.000185,0.000185,0.338893,0.000063,0.080497,0.080497,1,0.331337,0.055607,0.795593,0.025116,"#845500"
UA,UA,13,37,3,0.526316,0.588889,0.009955,0.009955,0.073677,0.000733,0.100331,0.100331,1,0.412959,0.342592,0.915031,0.033488,"#a23575"
BR,BR,18,49,3,0.571429,0.641667,0.037171,0.037171,0.030865,0.001147,0.140609,0.140609,0,0.578068,0.228858,0.863518,0.044651,"#00e5d1"
TD,TD,3,9,3,0.465116,0.491667,0.000768,0.000768,0.608666,0.000468,0.021933,0.021933,0,0.091433,0.187056,0.909875,0.007442,"#4b2524"
PK,PK,5,15,3,0.47619,0.511111,0.000056,0.000056,1.027133,0.000058,0.044235,0.044235,2,0.1822,0.145643,0.881297,0.013023,"#e3421b"
PL,PL,17,40,3,0.545455,0.622222,0.039345,0.039345,0.028303,0.001114,0.121106,0.121106,0,0.498697,0.314713,0.905366,0.036279,"#00e5a4"
QA,QA,3,8,3,0.437956,0.469444,0,0,3.466712,0,0.028697,0.028697,0,0.117615,0.228464,0.933502,0.006512,"#00f4ff"
CZ,CZ,6,10,3,0.487805,0.525,0,0,0.798852,0,0.05433,0.05433,0,0.223932,0.173503,0.901112,0.008372,"#aac2d0"
