DOI,Country Code
10.1038/ncomms2764,"FR,DE,GB"
10.1038/nature13729,"CN,US"
10.1038/nature12801,"DK,US"
10.1038/s41467-021-24693-6,"FR,DE,PA"
10.1002/qute.202400001,"CN,JP"
10.1103/PhysRevA.108.032605,"AU,SG"
10.1103/PhysRevA.96.052316,"CN,SE"
10.1016/j.future.2021.12.015,"DZ,ES"
10.1103/PhysRevLett.133.106001,"FR,JP"
10.1109/TASC.2011.2159974,"AZ,TR"
10.1038/nature13436,"FR,US"
10.1103/PhysRevApplied.6.044010,"CA,DE,SE,US"
10.1038/s41565-022-01235-9,"FR,IT,JP"
10.1021/acs.nanolett.8b04275,"FR,NL,US"
10.1063/5.0018012,"DE,US"
10.1103/PhysRevApplied.6.014006,"JP,RU,US,UA"
10.1103/PhysRevLett.119.040501,"ES,CH,US"
10.1063/1.5003169,"CA,US"
10.1103/PhysRevA.90.062307,"DE,US,GB"
10.1007/s10909-019-02183-w,"US,GB"
10.1038/nature14270,"AU,US"
10.1126/science.aau6539,"TW,US"
10.1038/NPHYS3515,"DE,US,GB"
10.1103/PhysRevB.81.134514,"DE,IT,ES"
10.1103/RevModPhys.89.035002,"DE,CH,US"
10.1103/PhysRevB.81.134507,"TD,US"
10.1038/NPHYS3742,"FR,NL"
10.1088/1361-6668/ab4918,"FR,DE"
10.1088/2058-9565/aabd98,"US,GB"
10.1063/1.4807152,"DE,RU"
10.1109/TNS.2022.3226141,"BR,IT,US"
10.1109/TAP.2024.3427362,"KR,US"
10.1088/2058-9565/ac1c41,"DE,IT,US"
10.1038/srep00571,"CA,US"
10.1038/nature10462,"JP,GB"
10.1063/5.0083972,"CN,JP"
10.1038/s41467-024-52271-z,"DE,IL,CH,US"
10.1016/j.optlastec.2021.107190,"CN,CZ"
10.1103/PhysRevA.95.022305,"CN,ES"
10.1103/PhysRevLett.133.050203,"BR,FR,IT,ES"
10.1103/PhysRevA.106.012405,"JP,GB"
10.1002/qute.201800043,"AT,IL,GB"
10.1103/PhysRevApplied.13.044005,"DE,US"
10.1140/epjqt/s40507-021-00105-y,"FI,PT"
10.1038/ncomms7182,"AU,CA,DE,RU"
10.1038/s41567-021-01237-9,"US,GB"
10.1038/s41586-021-04182-y,"JP,NL"
10.1038/srep01180,"JP,US,GB"
10.1103/PhysRevB.91.134513,"JP,RU,GB"
10.1063/1.5020514,"CA,US"
10.1103/PhysRevApplied.20.014024,"CN,DE,ES"
10.1103/PhysRevX.11.031049,"AT,SG,GB"
10.1103/PhysRevA.87.032325,"AT,BE,CL,ES"
10.1103/PhysRevB.110.165157,"BE,ES"
10.1103/PhysRevA.96.062323,"DE,CH"
10.1038/nature13171,"AU,US"
10.1038/srep29374,"GR,KZ,RU,RS"
10.1038/nature12513,"NL,US"
10.3390/nano12234155,"FR,IT"
10.1088/2058-9565/ac0f36,"AT,DE,NZ,RU"
10.1038/s41598-018-26066-4,"DE,GB"
10.1038/s41586-021-03557-5,"FR,IT,US"
10.1038/s41598-020-70766-9,"JP,GB"
10.22331/q-2023-05-31-1024,"CZ,DK"
10.1088/1361-648X/ac268f,"DK,JP,US"
10.1038/s41586-022-04854-3,"CN,US"
10.1103/PhysRevX.5.031031,"DE,NL,ES,US"
10.1038/nature16984,"ES,US"
10.1103/PhysRevA.101.022308,"DK,NL"
10.1038/nature13017,"DE,US"
10.1103/PhysRevA.94.052321,"AT,DE"
10.1039/d0nr08554e,"CN,FI,RU,SE,UA"
10.1038/nature15263,"AU,JP"
10.1038/NMAT3182,"CA,DE,JP,US,GB"
10.1038/srep18414,"CN,SG,SE"
10.1103/PhysRevB.92.134204,"AT,DE"
10.1038/s41598-020-59749-y,"DE,RU,US"
10.1038/s41586-020-2171-6,"AU,CA,FI,IR,JP"
10.1088/0953-2048/29/6/064004,"CA,FR"
10.1038/nature10012,"CA,NO"
10.1103/PhysRevX.11.041039,"CA,US"
10.1103/PhysRevApplied.11.014064,"DE,IL"
10.1038/s41586-020-2603-3,"FR,SG,US"
10.1038/NNANO.2016.188,"NL,CH"
10.1038/s41567-023-02071-x,"DK,IT,NL,SI,ES,US,GB"
10.1038/s41467-019-13000-z,"AU,CH,US"
10.1063/1.4893242,"AU,DE"
10.1038/s41563-021-01022-2,"AT,DE,IT,ES"
10.1103/PhysRevA.104.032407,"DE,NL"
10.22331/q-2017-05-11-11,"CA,FR,US"
10.1038/s41467-024-45235-w,"NL,SE,CH"
10.1103/PhysRevB.101.195438,"DE,SE"
10.1103/PhysRevA.85.052125,"MX,US"
10.1103/PhysRevB.105.024507,"CH,US"
10.1126/science.abf0345,"DK,NL,ES,SE,US"
10.1038/s41567-024-02497-x,"DK,NL,GB"
10.1103/PhysRevA.90.032319,"CN,DE"
10.1038/s41467-022-32236-w,"AU,US"
10.1126/science.aar4054,"CA,NL"
10.1103/PRXQuantum.3.040322,"CA,US"
10.1134/S106378501002001X,"AZ,TR"
10.1038/nature12802,"FR,US"
10.1038/s42005-020-00405-2,"IT,CH"
10.1038/nature10786,"NL,US"
10.1088/0953-4075/45/18/185505,"BR,CA"
10.1038/s41467-024-50763-6,"AT,IT"
10.1002/adma.202405916,"AU,SG"
10.1038/s41467-023-44114-0,"AT,DK,IT,NL,NO,ES,SE,US,GB"
10.1088/2058-9565/aabd41,"CA,US"
10.1103/PRXQuantum.5.030322,"AU,KR,US"
10.1038/s41598-018-34108-0,"CN,US"
10.1038/srep26338,"KR,GB"
10.1038/s41567-022-01875-7,"AU,AT,DE,SG,GB"
10.1002/pssr.201800256,"FI,DE,RU"
10.1557/s43577-021-00147-8,"NL,US"
10.1103/PhysRevApplied.21.044030,"CN,GB"
10.1134/S1063783416110287,"DE,RU"
10.1103/PhysRevB.106.L201305,"DK,SE"
10.1103/PhysRevA.99.052126,"CN,US"
10.1103/PhysRevB.109.085303,"JP,CH"
10.1140/epjqt/s40507-020-00082-8,"RU,US"
10.1088/1367-2630/15/4/043028,"CA,JP"
10.1038/s42005-020-0307-5,"FI,DE"
10.1103/PhysRevX.8.021005,"FR,US"
10.1134/S0021364016060047,"DE,RU"
10.1088/1361-6668/ace8c7,"JP,GB"
10.1103/PhysRevA.107.033708,"CN,US"
10.1134/S1063785016040076,"DE,RU,SK"
10.1088/2058-9565/aa7c50,"IT,SG"
10.1145/3474222,"NL,PK,US,GB"
10.1126/science.1243289,"FR,US"
10.1038/nature10713,"CA,CH,US"
10.1103/PhysRevLett.126.153602,"CZ,DK"
10.1088/1367-2630/aca81f,"DK,MY,PL,SG,GB"
10.1103/PhysRevLett.128.013601,"CA,US"
10.1103/PhysRevLett.107.053602,"CH,US"
10.1038/s41567-020-0952-3,"DK,NL,US"
10.1103/PhysRevApplied.14.064033,"BR,DE,US"
10.1039/c6dt02664h,"AT,NL,ES"
10.1038/s41467-022-33921-6,"CN,GB"
10.1063/1.4994661,"AT,US"
10.1002/qute.202400141,"FR,RU"
10.1038/s41567-018-0199-4,"FI,TW"
10.1038/s41467-022-29906-0,"FR,US"
10.1038/s41598-022-21267-4,"CZ,PL"
10.1103/PhysRevLett.122.050403,"DE,US"
10.1007/s11433-014-5591-1,"CN,SG"
10.1103/PhysRevLett.129.010502,"CN,US"
10.1063/5.0077443,"DE,GB"
10.1103/PhysRevA.104.032409,"CN,US"
10.1103/PhysRevB.99.085434,"DK,CH"
10.1103/PhysRevB.104.174202,"DE,RU"
10.1038/srep05535,"CN,JP,US"
10.1103/PhysRevLett.131.113601,"CN,JP,PL,US"
10.1038/s41467-020-17511-y,"CA,JP"
10.1103/PhysRevLett.107.220501,"FR,JP"
10.1364/OE.24.000125,"CH,US"
10.1038/s41567-024-02408-0,"AT,US"
10.1103/PhysRevApplied.14.054059,"DE,RU,GB"
10.1103/PhysRevLett.118.140501,"DK,NL"
10.1007/s10909-022-02871-0,"RU,GB"
10.1038/s41467-022-34614-w,"FI,FR"
10.1103/PhysRevLett.106.030502,"CA,US"
10.1103/PhysRevApplied.20.024058,"AU,AT,DE,CH"
10.1038/s41467-022-29287-4,"DK,US"
10.1103/PhysRevA.81.063823,"CN,JP,US"
10.1103/PhysRevX.13.041023,"BG,DE,US"
10.1103/PhysRevX.11.011015,"ES,US"
10.1038/s41467-019-10798-6,"BR,CA,CH"
10.1103/PhysRevA.93.062511,"AU,ZA,US"
10.1038/srep07873,"AU,CN,JP,US"
10.1126/sciadv.abn1778,"CN,GB"
10.1103/PhysRevLett.126.090503,"AT,US"
10.1103/PhysRevLett.106.083601,"CA,US"
10.1103/PhysRevApplied.14.014072,"IN,US"
10.1103/PhysRevX.12.031036,"IT,ES,SE,CH"
10.1103/PhysRevB.93.134501,"DE,US"
10.1038/s41598-024-65086-1,"JP,GB"
10.1103/PhysRevLett.112.160502,"DE,RU"
10.1007/s11082-013-9752-7,"EG,SA"
10.1103/PhysRevA.109.012601,"CA,CN"
10.1103/PhysRevLett.129.110601,"FR,US"
10.1088/1361-6668/aad8f4,"CL,FR,DE,ES"
10.1038/s41586-020-2687-9,"TW,US"
10.1126/sciadv.abb8780,"SE,US"
10.1038/s41586-021-03288-7,"CN,FR,US"
10.1038/srep38356,"IT,SG"
10.1103/PhysRevLett.123.190502,"DE,RU,CH,US,GB"
10.1038/s41467-021-26686-x,"FR,US"
10.1038/s41467-022-34727-2,"CN,DE"
10.1103/PhysRevLett.129.037205,"CN,JP,NL"
10.1103/PhysRevA.97.052315,"AU,CN,DE,JP"
10.1088/1367-2630/16/4/045020,"DE,IT"
10.1209/0295-5075/101/50005,"FR,CH"
10.1103/PhysRevB.110.115413,"PL,CH"
10.12693/APhysPolA.138.728,"IE,PL"
10.1103/PhysRevA.85.053833,"CN,JP,US"
10.1038/s41598-019-52866-3,"JP,KR,GB"
10.1103/PRXQuantum.3.040332,"FI,JP,GB"
10.1103/PhysRevApplied.19.024014,"DK,DE,NL,GB"
10.1038/s41534-021-00367-5,"IN,SE,GB"
10.1063/5.0064800,"DE,RU"
10.1038/s41567-023-02082-8,"FR,DE,IL"
10.1038/s41534-024-00840-x,"FR,US"
10.1103/PhysRevLett.123.107704,"FR,DE,US"
10.1103/PhysRevB.97.180505,"DE,RU"
10.1103/PhysRevLett.129.177701,"IT,US"
10.1103/PhysRevA.98.012331,"CN,US"
10.1103/PhysRevA.89.013841,"CA,US"
10.1103/PhysRevB.101.054511,"DE,RU"
10.1088/0957-4484/27/36/364003,"BR,US,GB"
10.1088/1367-2630/acb379,"JP,GB"
10.1103/PhysRevA.95.053833,"JP,QA"
10.1016/j.cryogenics.2020.103117,"IE,PL"
10.1063/1.5144722,"JP,SG,GB"
10.1103/PhysRevApplied.15.064050,"CH,GB"
10.1103/PRXQuantum.2.010339,"CA,US"
10.1103/PhysRevA.100.022343,"AT,DE,US"
10.1103/PhysRevB.102.094502,"JP,GB"
10.1007/s10948-013-2191-7,"JP,SA"
10.1103/PhysRevB.85.024537,"CN,JP"
10.1103/PhysRevB.82.024514,"DE,ES,CH,US"
10.1103/PhysRevA.87.033827,"CN,SG"
10.1038/s41467-024-49467-8,"CH,US"
10.1038/s41534-021-00511-1,"FR,US"
10.1088/1367-2630/14/7/073041,"CN,JP,US"
10.1103/PhysRevA.106.042430,"CN,JP"
10.1103/PhysRevA.101.012336,"CN,US"
10.1038/s41928-023-01033-8,"BE,TW"
10.1103/PhysRevLett.116.010501,"CN,US"
10.1038/s41467-021-21098-3,"CN,DK,US"
10.1007/s11128-016-1368-y,"DE,RU,SK,GB"
10.1021/acs.nanolett.1c04160,"JP,US,GB"
10.1103/PhysRevLett.110.150502,"CN,US"
10.1103/PhysRevB.91.104516,"DE,RU,SK"
10.1103/PhysRevB.96.024504,"US,GB"
10.1103/PhysRevApplied.8.054015,"CA,ES"
10.1103/PhysRevA.93.042329,"IT,SG"
10.1016/j.aej.2024.07.050,"EG,SA"
10.1088/1674-1056/27/6/068501,"CN,US"
10.1103/PhysRevApplied.14.014047,"AR,US"
10.1038/nature09418,"JP,US"
10.1103/PhysRevApplied.17.064022,"FI,JP,RU,US"
10.1038/srep37544,"TW,US"
10.1103/PhysRevLett.111.107008,"AT,JP,GB"
10.1103/PhysRevLett.129.227002,"DK,US"
10.1063/5.0226611,"CH,US"
10.1016/j.ijleo.2017.01.011,"EG,SA"
10.1103/PRXQuantum.5.040318,"CH,US"
10.1103/PhysRevApplied.19.044067,"JP,RU"
10.1103/PhysRevA.81.022305,"CA,DE,NL,US"
10.1038/s41534-020-00357-z,"FI,GB"
10.1103/PhysRevB.81.144510,"DE,ES"
10.1038/srep16934,"DE,JP,RU,US,GB"
10.1038/s41534-022-00644-x,"RU,CH"
10.1103/PhysRevB.87.220505,"CA,US"
10.1103/PhysRevApplied.16.014024,"AT,CN"
10.1126/science.aaw1611,"CN,JP,US"
10.1103/PhysRevB.110.024519,"DE,US"
10.1038/s41467-023-40097-0,"CN,IT,JP,US"
10.1103/PhysRevA.81.062323,"CN,JP,US"
10.1038/s41534-023-00721-9,"CN,NL"
10.1063/1.4930201,"CN,US"
10.1007/s10946-016-9582-8,"CA,EG,SA,US"
10.1038/s41534-021-00385-3,"CN,JP"
10.1108/03321641111101203,"AZ,TR"
10.1103/PhysRevLett.125.056801,"DK,CH,US"
10.1038/s41534-019-0168-5,"SE,GB"
10.1103/PRXQuantum.2.040341,"AT,GB"
10.1038/s41467-024-48791-3,"CN,US"
10.1007/s10909-017-1787-x,"FI,GB"
10.1103/PhysRevLett.109.060501,"TD,US"
10.1088/1367-2630/13/9/093022,"DE,ES"
10.1038/s41534-023-00722-8,"AU,DE"
10.1103/PRXQuantum.4.010314,"FI,FR,DE,GB"
10.1103/PhysRevB.82.184515,"JP,US"
10.1103/PhysRevB.92.224511,"DE,SE"
10.1103/PhysRevB.82.100507,"IT,CH,US"
10.1134/S0021364017010143,"DE,RU"
10.1103/PhysRevX.8.021052,"AU,GB"
10.1103/PhysRevB.104.144502,"RU,US"
10.1103/PRXQuantum.1.010307,"CA,US"
10.1103/PhysRevA.86.022305,"CA,US"
10.1088/1361-6455/ab91e4,"CN,US"
10.1088/1674-1056/acdc10,"CN,GB"
10.1038/s41467-023-41230-9,"CN,JP,US"
10.1103/PhysRevApplied.22.064068,"DE,ES"
10.1063/1.4802893,"CN,JP,US"
10.1103/PhysRevApplied.20.014045,"FR,IT,US,GB"
10.1088/2058-9565/aa66e7,"FR,DE"
10.1038/s41534-020-00294-x,"CN,IT,JP,US"
10.1103/PhysRevLett.119.180511,"CN,US"
10.1103/PhysRevApplied.16.044036,"DE,IL"
10.1103/PhysRevA.106.L041701,"RU,GB"
10.1103/PhysRevB.83.134504,"JP,CH"
10.1103/PhysRevA.94.062301,"IT,SG"
10.1103/PhysRevB.84.054538,"NL,SE"
10.1103/PhysRevA.108.022403,"DK,NL,CH,US"
10.1063/1.5136262,"JP,GB"
10.1088/0256-307X/38/11/110303,"CN,GB"
10.1007/s11128-018-1986-7,"EG,SA"
10.1103/PRXQuantum.1.010305,"CA,CH,US"
10.1038/s41534-023-00689-6,"FI,DE,SE,US"
10.1103/PhysRevA.109.012616,"JP,US"
10.1103/PhysRevA.86.022326,"CA,US"
10.1103/PhysRevB.102.075448,"IN,JP,TW,US,UA"
10.1002/qute.202300400,"FR,IT,NL"
10.1103/PhysRevB.92.115303,"JP,US"
10.1103/PhysRevA.91.033834,"DE,US"
10.1103/PhysRevB.95.224515,"IN,NL,ES"
10.1038/s41565-018-0207-y,"DK,CH,US"
10.1063/5.0050173,"CN,FR,US"
10.1103/PhysRevLett.109.240502,"NL,US"
10.1016/j.physe.2009.06.043,"DE,IT"
10.1103/PRXQuantum.3.040338,"DE,IT,SG"
10.1038/s41567-024-02630-w,"DK,DE,CH,US"
10.1038/ncomms2936,"NL,US"
10.1103/PhysRevLett.107.080502,"TD,US"
10.1103/PhysRevB.93.214501,"CL,DE,ES,SE"
10.1142/S0217732323501511,"CN,EG,SA"
10.1126/science.aao1511,"US,GB"
10.1103/PhysRevB.84.134519,"CA,CH"
10.1103/PhysRevLett.125.200504,"DE,US"
10.1038/NPHYS1700,"DE,RU"
10.1103/PRXQuantum.5.020306,"FR,US"
10.1038/s41534-019-0224-1,"DE,RU,US"
10.1103/PhysRevA.102.062408,"CA,JP"
10.1103/PhysRevA.93.063827,"CN,JP,US"
10.1088/1367-2630/ab09b0,"AU,CA,US"
10.1103/PhysRevApplied.15.054001,"DK,NL"
10.1088/1367-2630/18/5/053031,"AU,CA,IN,US"
10.1103/PhysRevLett.110.120501,"FR,US"
10.1021/acs.nanolett.8b03921,"FR,DE,IT"
10.3390/app14041478,"DE,IT,CH"
10.1016/j.jmmm.2012.02.067,"FR,JP,NL"
10.1103/PhysRevB.108.224416,"DE,NL"
10.1063/1.3515520,"DE,JP,RU,UA"
10.1038/s41534-020-00359-x,"DE,RU"
10.1063/1.5125224,"RU,ZA"
10.1103/PhysRevA.101.053802,"CN,US"
10.1103/PhysRevA.91.022122,"BR,GB"
10.1103/PhysRevLett.124.070401,"AU,CH"
10.1143/APEX.3.103101,"JP,GB"
10.1103/PhysRevB.92.035442,"AU,CA,DE,RU,US"
10.1103/PhysRevA.97.022306,"CL,CN,ES"
10.1103/PhysRevApplied.8.064028,"DE,US"
10.1038/s41567-018-0414-3,"CN,US"
10.1063/1.3658630,"TD,US"
10.1016/j.crhy.2016.07.007,"FR,US"
10.1103/PhysRevB.88.241405,"JP,SK,CH,US"
10.1103/PhysRevB.85.174521,"CA,JP,US"
10.1103/PhysRevLett.121.157701,"FR,NL,US"
10.1063/1.4821822,"JP,US"
10.1038/ncomms11417,"CA,IT,SE,US"
10.1103/PhysRevLett.108.170503,"CA,JP,US"
10.1126/sciadv.abc5055,"FR,SE,US,GB"
10.1103/PhysRevA.82.052304,"AU,FI"
10.1103/PhysRevLett.132.150607,"CA,IR"
10.1088/2058-9565/aa701c,"CL,SG"
10.1103/PhysRevB.105.214522,"FR,IT,US"
10.1103/PhysRevLett.106.167002,"AU,CA,FR"
10.1088/1367-2630/aab7cd,"CA,US"
10.1063/1.3698001,"CN,US"
10.1103/PhysRevLett.128.110503,"CZ,DK"
10.1103/PhysRevA.82.062326,"CN,JP,US"
10.1103/PhysRevApplied.4.054001,"DE,GB"
