Source,Target,Weight
DE,US,25
GB,US,22
AT,DE,20
DE,GB,18
CA,US,16
AT,GB,15
DE,ES,12
CN,US,11
CH,US,10
AT,ES,8
AU,US,8
CN,DE,8
AT,US,7
AT,AU,6
CN,ES,6
ES,GB,6
ES,US,6
DE,IT,5
GB,IT,5
GB,JP,5
GB,SG,5
JP,US,5
NL,US,5
AT,CH,4
AU,DE,4
CA,DE,4
CA,GB,4
CH,DE,4
CH,GB,4
CZ,DK,4
DK,US,4
FR,GB,4
FR,US,4
AT,IT,3
AT,SG,3
BG,DE,3
BR,IT,3
BR,US,3
DE,IL,3
DE,NL,3
ES,IT,3
FR,IT,3
GB,IL,3
IN,US,3
KR,US,3
SG,US,3
AT,CA,2
AT,NL,2
AT,SE,2
AU,CH,2
AU,GB,2
AU,JP,2
BG,US,2
BR,CN,2
CA,ES,2
CN,SG,2
DE,FR,2
DE,IN,2
DE,SG,2
DK,IL,2
EG,FR,2
EG,US,2
IT,US,2
AR,DE,1
AT,BE,1
AT,BR,1
AT,CL,1
AT,CN,1
AT,CZ,1
AT,DK,1
AT,FR,1
AT,IL,1
AT,IN,1
AT,RU,1
AU,CN,1
AU,CZ,1
AU,KR,1
AU,SG,1
BE,CL,1
BE,ES,1
BR,CH,1
BR,DE,1
BR,ES,1
BR,FR,1
BR,SG,1
CA,JP,1
CA,MA,1
CA,RU,1
CA,SE,1
CH,ES,1
CH,FR,1
CH,IL,1
CH,IT,1
CH,NL,1
CH,PL,1
CH,SG,1
CL,ES,1
CN,CZ,1
CN,GB,1
CN,SE,1
CZ,GB,1
CZ,IL,1
CZ,TR,1
CZ,US,1
DE,JP,1
DE,PA,1
DE,PL,1
DE,SE,1
DK,NL,1
EG,IN,1
EG,IT,1
EG,MA,1
EG,SA,1
ES,FR,1
ES,IE,1
ES,NL,1
FI,GB,1
FI,PT,1
FR,IN,1
FR,PA,1
FR,SG,1
GB,GR,1
GB,IE,1
GB,IN,1
GB,MX,1
GB,NL,1
GB,PL,1
GB,RU,1
GB,SE,1
GR,MX,1
GR,SG,1
IE,IT,1
IE,SG,1
IE,US,1
IL,TR,1
IL,US,1
IN,JP,1
IN,MX,1
IN,NL,1
IN,SG,1
IR,IT,1
IT,MA,1
IT,SG,1
JP,NL,1
MX,SG,1
MX,US,1
PL,US,1
SA,US,1
SE,US,1
