Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
DE,DE,21,121,3,0.685185,0.779279,0.138505,0.138505,0.012441,0.001723,0.307206,0.307205,0,0.887216,1,0.596744,0.816327,"#984082"
US,US,26,148,3,0.755102,0.846847,0.218863,0.218863,0.009096,0.001991,0.345453,0.345452,0,1,0.741321,0.941716,1,"#27731b"
GB,GB,23,104,2,0.72549,0.810811,0.214116,0.214116,0.012742,0.002728,0.319629,0.319629,0,0.924975,0.934962,0.23802,0.70068,"#735100"
AT,AT,21,82,3,0.685185,0.779279,0.120685,0.120685,0.017256,0.002083,0.309024,0.309024,0,0.893543,0.701638,0.039117,0.55102,"#63d0ea"
CA,CA,9,32,3,0.544118,0.608108,0.025902,0.025902,0.090718,0.00235,0.15162,0.151621,0,0.439349,0.234378,0.077341,0.210884,"#f6b0c5"
ES,ES,14,50,3,0.596774,0.68018,0.04568,0.04568,0.041665,0.001903,0.230879,0.230879,0,0.666659,0.482436,0,0.333333,"#ff6670"
CN,CN,10,34,3,0.552239,0.621622,0.005315,0.005315,0.121534,0.000646,0.192128,0.192128,0,0.554157,0.339343,0.027141,0.22449,"#ff9600"
CH,CH,13,32,3,0.596774,0.671171,0.012578,0.012578,0.065327,0.000822,0.239308,0.239308,0,0.689827,0.146118,0.147754,0.210884,"#f6b0c5"
AU,AU,10,28,3,0.552239,0.621622,0.015259,0.015259,0.083795,0.001279,0.182309,0.18231,0,0.526425,0.031746,0.325156,0.183673,"#b5a5ff"
IT,IT,13,30,3,0.587302,0.666667,0.086328,0.086328,0.03357,0.002898,0.213041,0.213042,3,0.61581,0.07766,0.233158,0.197279,"#007374"
JP,JP,7,16,3,0.513889,0.572072,0.001584,0.001584,0.258902,0.00041,0.13407,0.13407,0,0.387506,0.004733,0.568145,0.102041,"#ff6c0b"
SG,SG,14,24,3,0.596774,0.68018,0.028899,0.028899,0.045823,0.001324,0.23776,0.23776,0,0.685879,0.007311,0.41492,0.156463,"#00d162"
NL,NL,9,16,3,0.536232,0.603604,0.005997,0.005997,0.144603,0.000867,0.173998,0.173999,0,0.502394,0.016771,0.627667,0.102041,"#ff6c0b"
CZ,CZ,8,11,3,0.521127,0.585586,0.025914,0.025914,0.108266,0.002806,0.129394,0.129394,2,0.37537,0.143038,0.848684,0.068027,"#00c1ff"
DK,DK,5,12,4,0.480519,0.533784,0.000926,0.000926,0.447235,0.000414,0.088878,0.088878,2,0.257627,0.112125,0.814151,0.07483,"#b6b900"
FR,FR,12,22,3,0.578125,0.653153,0.025551,0.025551,0.061653,0.001575,0.217489,0.21749,3,0.627703,0,0.497906,0.142857,"#48453d"
BG,BG,2,5,4,0.45122,0.484234,0,0,5.808511,0,0.052728,0.052728,0,0.152315,0.221253,0.913668,0.027211,"#ff7bff"
BR,BR,9,14,4,0.536232,0.605856,0.001089,0.001089,0.18104,0.000197,0.185192,0.185192,3,0.532842,0.034795,0.682297,0.088435,"#f1b66f"
IL,IL,8,13,3,0.536232,0.594595,0.032711,0.032711,0.115837,0.003789,0.142256,0.142257,2,0.412263,0.056744,0.73022,0.081633,"#92d195"
IN,IN,10,13,3,0.552239,0.621622,0.011365,0.011365,0.104979,0.001193,0.179286,0.179286,0,0.518418,0.082754,0.774241,0.081633,"#92d195"
KR,KR,2,4,4,0.440476,0.475225,0,0,3.611111,0,0.042637,0.042638,0,0.123304,0.285733,0.95048,0.020408,"#19639c"
SE,SE,6,7,3,0.521127,0.567568,0.000358,0.000358,0.429234,0.000153,0.131287,0.131287,0,0.379282,0.198029,0.897069,0.040816,"#ff60bd"
EG,EG,6,8,4,0.480519,0.542793,0.011268,0.011268,0.147225,0.001659,0.082893,0.082892,3,0.241215,0.172093,0.876011,0.047619,"#00d6bd"
AR,AR,1,1,4,0.411111,0.439189,0,0,21,0,0.024819,0.024819,0,0.071424,0.474032,0.999108,0,"#4ada00"
BE,BE,3,3,4,0.425287,0.470721,0,0,0.736842,0,0.047452,0.047452,1,0.137434,0.324828,0.967167,0.013605,"#b23d3b"
CL,CL,3,3,4,0.425287,0.470721,0,0,0.736842,0,0.047452,0.047452,1,0.137434,0.342551,0.973497,0.013605,"#b23d3b"
RU,RU,3,3,3,0.4625,0.5,0,0,1.648464,0,0.063038,0.063038,0,0.182495,0.360501,0.979166,0.013605,"#b23d3b"
MA,MA,3,3,4,0.406593,0.454955,0.001401,0.001401,0.939759,0.001317,0.036158,0.036158,3,0.105714,0.378651,0.984168,0.013605,"#b23d3b"
PL,PL,4,4,3,0.486842,0.527027,0,0,1.21076,0,0.097884,0.097884,0,0.28222,0.305853,0.959552,0.020408,"#19639c"
