DOI,Country Code
10.1038/ncomms2764,"FR,DE,GB"
10.1038/nature13729,"CN,US"
10.1038/nature12801,"DK,US"
10.1103/PhysRevA.107.012609,"NL,US"
10.1038/s41467-021-24693-6,"FR,DE,PA"
10.1103/PhysRevA.96.052316,"CN,SE"
10.1038/nature13436,"FR,US"
10.1103/PhysRevA.84.012314,"FI,GB"
10.1103/PhysRevApplied.6.044010,"CA,DE,SE,US"
10.1103/PhysRevLett.117.220501,"IL,GB"
10.1103/PhysRevA.97.013825,"AT,DE"
10.1088/1367-2630/17/5/053032,"DE,IL,GB"
10.1002/qute.201800067,"IT,US"
10.1103/PhysRevLett.111.230507,"DK,IL"
10.1103/PhysRevLett.119.040501,"ES,CH,US"
10.1088/1367-2630/13/8/085007,"AT,CN,DE,ES"
10.1063/5.0073136,"AU,AT"
10.1103/PhysRevLett.127.143201,"CN,US"
10.3390/sym13122243,"EG,SA,US"
10.1038/NPHYS3515,"DE,US,GB"
10.1103/PhysRevB.81.134514,"DE,IT,ES"
10.1103/PhysRevA.99.022330,"ES,GB"
10.1103/PhysRevB.95.144306,"CN,US"
10.1103/RevModPhys.89.035002,"DE,CH,US"
10.1016/j.optcom.2017.04.011,"BR,US"
10.1103/PhysRevLett.106.140502,"DK,US"
10.1088/1751-8121/acc8a2,"CA,MA"
10.1209/0295-5075/92/30006,"BG,DE"
10.1088/2058-9565/ac1c41,"DE,IT,US"
10.1038/s41467-017-01895-5,"AT,DK,US"
10.1088/1367-2630/18/9/093038,"AU,AT,CZ"
10.1016/j.optlastec.2021.107190,"CN,CZ"
10.1103/PhysRevA.95.022305,"CN,ES"
10.1103/PhysRevLett.133.050203,"BR,FR,IT,ES"
10.1016/j.physleta.2020.126266,"FR,IT"
10.1103/PhysRevA.89.032301,"IE,ES,US"
10.1103/PhysRevA.106.012405,"JP,GB"
10.1038/s41567-022-01658-0,"AT,GB"
10.1002/qute.201800043,"AT,IL,GB"
10.1007/s11128-014-0787-x,"EG,FR,US"
10.1103/PhysRevX.8.031022,"AU,AT,US"
10.1140/epjqt/s40507-021-00105-y,"FI,PT"
10.1038/s41567-021-01237-9,"US,GB"
10.1103/PhysRevA.110.033116,"US,GB"
10.1038/s41586-021-04182-y,"JP,NL"
10.1103/PhysRevX.7.031049,"AT,DE,SG,US,GB"
10.1038/srep01180,"JP,US,GB"
10.1103/PhysRevApplied.20.014024,"CN,DE,ES"
10.1103/PhysRevX.11.031049,"AT,SG,GB"
10.1088/2058-9565/aa7983,"AT,CH"
10.1103/PhysRevE.99.042121,"CZ,IL,TR"
10.1103/PhysRevA.87.032325,"AT,BE,CL,ES"
10.1088/2058-9565/aaef5e,"AT,DE,NL"
10.1038/NNANO.2013.117,"CA,DE,US,GB"
10.1038/s41567-023-02346-3,"US,GB"
10.1038/NPHYS1781,"AT,DE"
10.1088/1367-2630/abbab6,"AT,ES"
10.1103/PhysRevA.102.012429,"BR,IT"
10.1038/s41467-017-02298-2,"AU,US"
10.1016/j.ijms.2024.117217,"IN,SG"
10.1103/PhysRevA.85.022511,"CA,ES"
10.22331/q-2023-05-31-1024,"CZ,DK"
10.1088/2058-9565/ab1a71,"DE,US"
10.1038/s41586-022-04854-3,"CN,US"
10.1088/2058-9565/ac7b41,"BG,DE,US"
10.1038/NPHOTON.2013.287,"AU,JP,GB"
10.1103/PhysRevX.5.031031,"DE,NL,ES,US"
10.1103/PhysRevA.101.022308,"DK,NL"
10.1103/PhysRevA.94.052321,"AT,DE"
10.1038/nature15263,"AU,JP"
10.1088/1367-2630/17/6/065018,"AT,DE,IN"
10.1103/PhysRevApplied.15.024054,"AT,ES"
10.1038/nature11120,"AT,DE"
10.1038/NMAT3182,"CA,DE,JP,US,GB"
10.1103/PRXQuantum.2.030334,"AT,CA,DE,ES"
10.1103/PhysRevB.92.134204,"AT,DE"
10.1002/qute.202000028,"AU,CN,DE,US"
10.1103/PhysRevX.12.031013,"CA,US"
10.1038/s41566-017-0007-1,"CN,US"
10.1103/PhysRevA.107.042422,"AT,DE,GB"
10.1103/PhysRevA.104.012606,"AU,AT,CH,US"
10.1038/nature09256,"DK,US"
10.1038/s41534-019-0147-x,"CA,US"
10.1103/PRXQuantum.4.030312,"NL,US"
10.1103/PhysRevA.99.052332,"CA,US"
10.1073/pnas.2006103117,"DE,ES"
10.1038/srep04291,"CN,SG,US"
10.1103/PhysRevApplied.11.014064,"DE,IL"
10.1103/PhysRevX.13.041035,"DE,US,GB"
10.1038/NNANO.2016.188,"NL,CH"
10.1103/PhysRevA.90.032319,"CN,DE"
10.1103/PhysRevLett.110.160402,"DE,IT,GB"
10.1103/PRXQuantum.3.040322,"CA,US"
10.1038/nature12802,"FR,US"
10.1103/PRXQuantum.5.030322,"AU,KR,US"
10.1007/s00340-016-6527-4,"AR,DE"
10.1038/s41567-022-01875-7,"AU,AT,DE,SG,GB"
10.1038/s41586-021-03809-4,"US,GB"
10.1103/PhysRevLett.126.153602,"CZ,DK"
10.1103/PhysRevA.103.062614,"CZ,US,GB"
10.1103/PhysRevLett.113.220501,"FR,GB"
10.1103/PhysRevLett.119.220501,"AT,SE"
10.1103/PhysRevLett.122.050403,"DE,US"
10.1103/PhysRevA.107.032604,"US,GB"
10.1126/science.1253742,"AT,ES"
10.1016/j.optcom.2018.04.044,"IR,IT"
10.1038/s41586-020-2667-0,"AT,DE,IT,GB"
10.1103/PRXQuantum.4.040313,"US,GB"
10.1088/1367-2630/ac09c8,"CH,US"
10.1103/PhysRevA.107.022617,"US,GB"
10.1103/PhysRevA.92.060301,"AU,US"
10.1103/PhysRevX.13.041023,"BG,DE,US"
10.1103/PhysRevLett.129.240504,"CN,US"
10.1103/PhysRevLett.110.230601,"IE,IT,SG,GB"
10.1103/PhysRevLett.126.250506,"AU,CH"
10.1126/science.aaw9415,"BR,SG,CH,US"
10.1038/s41467-024-47882-5,"US,GB"
10.1103/PhysRevA.93.053823,"BR,IT"
10.1038/s42005-024-01691-w,"IT,ES,GB"
10.1103/PhysRevLett.110.173002,"DE,US"
10.1103/PhysRevLett.131.020601,"US,GB"
10.1103/PhysRevA.105.032618,"CH,US"
10.1103/PhysRevA.82.023409,"EG,FR,IN"
10.1103/PhysRevA.100.062307,"ES,GB"
10.1103/PRXQuantum.1.020316,"AT,GB"
10.1103/PhysRevA.107.052409,"ES,US"
10.1088/2058-9565/ad6eb2,"AT,NL,US"
10.1038/s41467-020-17519-4,"IN,MX,US"
10.1103/PhysRevLett.126.250507,"DE,US"
10.1038/ncomms11218,"CH,GB"
10.1103/PhysRevA.97.052312,"CN,DE,ES"
10.1038/s41586-022-04721-1,"AT,DE,GB"
10.1088/2058-9565/aa771a,"DK,IL"
10.1103/PhysRevA.107.042618,"AT,US"
10.1103/PhysRevLett.124.240505,"AT,FR"
10.1038/s42005-021-00751-9,"CA,US,GB"
10.35848/1347-4065/ac5b27,"JP,US,GB"
10.1103/PhysRevA.104.062405,"CA,US"
10.1126/sciadv.ado9024,"DE,IN,NL,US,GB"
10.1103/PhysRevLett.128.110503,"CZ,DK"
10.1140/epjd/e2012-20576-8,"EG,IT,MA"
10.1038/s41567-022-01689-7,"CA,US"
10.1038/s41534-021-00456-5,"FR,US,GB"
10.1103/PhysRevLett.128.110601,"DE,IL"
10.1103/PhysRevD.107.023007,"FR,IT"
10.1103/PhysRevApplied.8.064004,"AU,US"
10.1103/PRXQuantum.3.030317,"CA,US"
10.1103/PRXQuantum.5.030326,"AT,DE,GB"
10.1103/PhysRevD.107.054513,"CA,US"
10.1038/s41534-021-00446-7,"CN,ES"
10.1103/PhysRevA.103.052426,"CN,SG"
10.1103/PhysRevA.87.040102,"GR,MX,SG,GB"
10.1038/ncomms15305,"AU,AT,DE"
10.1103/PRXQuantum.4.030334,"CA,US"
10.1038/s41534-020-00300-2,"BR,CN"
10.1103/PRXQuantum.3.020350,"AT,DE,IT,CH,GB"
10.1038/s41534-024-00866-1,"DE,PL,CH,US,GB"
10.1364/OL.43.003136,"BR,CN"
10.1103/PhysRevA.101.052333,"CN,DE,ES"
10.1103/PhysRevApplied.14.024021,"AU,US"
10.1103/PRXQuantum.4.040345,"AT,CA,RU,GB"
10.22331/q-2021-06-29-487,"DE,ES,US,GB"
10.22331/q-2018-09-03-90,"AT,ES,GB"
10.1103/PRXQuantum.2.020304,"DE,ES,GB"
10.1038/s41586-022-04853-4,"CA,US"
10.1038/s41534-020-00353-3,"CZ,DK"
10.1038/s41567-023-02199-w,"CA,US"
10.1088/1367-2630/acd4db,"AT,DE,ES"
10.1088/1367-2630/ac3db6,"AT,SE,GB"
10.1038/s41567-023-02162-9,"IL,CH,US"
10.1088/2058-9565/ac5f5b,"ES,US"
10.1038/s41467-023-37375-2,"AT,GB"
10.1088/1367-2630/ac2ae3,"CN,DE,US"
10.1103/PhysRevLett.133.113204,"CN,GB"
10.1038/nature18318,"AT,DE"
10.1038/s41534-023-00730-8,"KR,US"
10.1038/s41586-023-06934-4,"DE,US"
10.1103/PhysRevLett.128.080502,"DE,CH,US"
10.1364/OE.409667,"KR,US"
10.1109/JLT.2023.3319692,"FR,SG"
10.1103/PhysRevA.102.022412,"IN,JP,US"
10.1103/PhysRevX.12.041035,"AT,IT"
10.1088/1367-2630/aaf360,"CN,DE,US"
10.1103/PhysRevA.98.050301,"DE,US"
10.1103/PhysRevA.105.052426,"AT,CH"
10.1126/sciadv.adh2594,"CH,US"
10.1103/PhysRevA.100.022332,"CN,US"
10.1103/PhysRevApplied.22.054037,"DE,ES"
10.1103/PhysRevB.106.165126,"CA,US"
10.1103/PhysRevApplied.13.024022,"AU,DE"
10.1145/2830570,"JP,US"
10.1063/1.4966970,"AT,BR,DE,US"
10.1038/s41586-022-04941-5,"FR,CH,GB"
