Source,Target,Weight
Austrian Acad Sci,Univ Vienna,11
Argonne Natl Lab,Univ Chicago,9
Hangzhou Normal Univ,Nanjing Univ,9
Nanyang Technol Univ,Natl Univ Singapore,9
Austrian Acad Sci,Univ Innsbruck,8
Harvard Univ,MIT,7
Peking Univ,Shanxi Univ,7
Toshiba Res Europe Ltd,Univ Cambridge,7
CALTECH,NIST,6
Nanjing Univ,Shangrao Normal Univ,6
Natl Res Council Canada,Univ Ottawa,6
Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats,5
Beijing Computat Sci Res Ctr,Southeast Univ,5
Chinese Acad Sci,Univ Chinese Acad Sci,5
Hangzhou Normal Univ,Shangrao Normal Univ,5
MIT,MITRE Corp,5
MIT,Sandia Natl Labs,5
MIT,Univ Arizona,5
Nanjing Univ,Univ Sci & Technol China,5
Natl Inst Informat,Stanford Univ,5
Perimeter Inst Theoret Phys,Univ Waterloo,5
Ruhr Univ Bochum,Univ Copenhagen,5
Sandia Natl Labs,Univ Arizona,5
Univ Calif Santa Barbara,Univ Chicago,5
Abdus Salam Int Ctr Theoret Phys,Al Imam Mohammad Ibn Saud Islamic Univ IMSIU,4
Acad Sci Czech Republ,Palacky Univ,4
Beijing Computat Sci Res Ctr,Univ Sci & Technol China,4
Brookhaven Natl Lab,MIT,4
CALTECH,Univ Sydney,4
CNR,Politecn Milan,4
Dublin City Univ,Southwest Jiaotong Univ,4
East China Normal Univ,Univ Sci & Technol China,4
Fuzhou Univ,Hangzhou Normal Univ,4
Fuzhou Univ,Univ Michigan,4
Harbin Inst Technol,Yanbian Univ,4
Harvard Univ,Univ Chicago,4
Harvard Univ,Univ Copenhagen,4
Korea Inst Sci & Technol KIST,Korea Univ Sci & Technol,4
Korea Univ Sci & Technol,Yonsei Univ,4
MIT,Univ Massachusetts,4
MITRE Corp,Sandia Natl Labs,4
MITRE Corp,Univ Arizona,4
NIST,Univ Maryland,4
Natl Inst Informat,Univ Wurzburg,4
Natl Univ Singapore,Univ Vienna,4
Peking Univ,Univ Bristol,4
RIKEN,Univ Michigan,4
RIKEN Cluster Pioneering Res,Univ Michigan,4
Shanghai Jiao Tong Univ,Univ Sci & Technol China,4
Shangrao Normal Univ,Univ Sci & Technol China,4
Southeast Univ,Univ Calgary,4
Southeast Univ,Univ Sci & Technol China,4
Stanford Univ,Univ Wurzburg,4
Univ Bristol,Univ Western Australia,4
Univ Calgary,Univ Sci & Technol China,4
Univ Cambridge,Univ Sheffield,4
ASTAR,Nanyang Technol Univ,3
AWS Ctr Quantum Comp,CALTECH,3
Adam Mickiewicz Univ,Palacky Univ,3
Austrian Acad Sci,Harvard Univ,3
Austrian Acad Sci,Univ Sci & Technol China,3
