Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
Austrian Acad Sci,Austrian Acad Sci,59,89,5,0.400394,0.449345,0.041563,0.041563,0.002498,0.000104,0.205513,0.205513,23,0.733867,0.362092,0.755197,0.590604,"#00eaff"
Univ Vienna,Univ Vienna,62,87,5,0.390034,0.441155,0.04657,0.04657,0.001801,0.000084,0.173762,0.173762,23,0.637581,0.542628,0.411866,0.577181,"#007baa"
Argonne Natl Lab,Argonne Natl Lab,9,18,6,0.30137,0.325819,0.00177,0.00177,0.068967,0.000122,0.016631,0.016631,0,0.070791,0.039877,0.030496,0.114094,"#005362"
Univ Chicago,Univ Chicago,40,66,6,0.351165,0.393776,0.027441,0.027441,0.004209,0.000116,0.076717,0.076717,0,0.315207,0.087213,0.185338,0.436242,"#d2d430"
Hangzhou Normal Univ,Hangzhou Normal Univ,11,32,6,0.324691,0.35131,0.00339,0.00339,0.047082,0.00016,0.034439,0.034439,6,0.133678,0.797224,0.240536,0.208054,"#8075ef"
Nanjing Univ,Nanjing Univ,35,58,6,0.353759,0.394124,0.017168,0.017168,0.007592,0.00013,0.083447,0.083447,6,0.324099,0.93645,0.728818,0.38255,"#55b200"
Nanyang Technol Univ,Nanyang Technol Univ,49,62,5,0.371181,0.417097,0.033778,0.033778,0.002621,0.000089,0.130762,0.130762,1,0.481789,0.122546,0.976869,0.409396,"#4e9668"
Natl Univ Singapore,Natl Univ Singapore,61,85,5,0.404975,0.454218,0.069241,0.069241,0.002313,0.00016,0.209575,0.209575,1,0.749309,0.32243,0.776352,0.563758,"#26324e"
Univ Innsbruck,Univ Innsbruck,27,40,5,0.359382,0.394083,0.006524,0.006524,0.014882,0.000097,0.105721,0.105721,23,0.372754,0.003799,0.841199,0.261745,"#05411d"
Harvard Univ,Harvard Univ,46,71,5,0.389474,0.432678,0.039964,0.039964,0.003453,0.000138,0.141235,0.141235,0,0.529859,0.440735,0.129667,0.469799,"#008413"
MIT,MIT,49,81,5,0.364532,0.410852,0.033695,0.033695,0.002933,0.000099,0.096219,0.096219,0,0.393418,0.176662,0.980248,0.536913,"#00c55e"
Peking Univ,Peking Univ,26,46,5,0.368994,0.404279,0.008085,0.008085,0.016083,0.00013,0.115107,0.115107,3,0.408148,0.352122,0.534972,0.302013,"#b648ac"
Shanxi Univ,Shanxi Univ,26,38,5,0.361778,0.39611,0.02066,0.02066,0.012156,0.000251,0.092668,0.092668,3,0.333504,0.98126,0.611158,0.248322,"#ff6a50"
Toshiba Res Europe Ltd,Toshiba Res Europe Ltd,3,10,6,0.266623,0.283681,0,0,1.5,0,0.00587,0.00587,1,0.025151,0.701723,0.835763,0.060403,"#ff426f"
Univ Cambridge,Univ Cambridge,36,47,5,0.353606,0.394287,0.020863,0.020863,0.004957,0.000103,0.082141,0.082141,1,0.32145,0.710363,0.342506,0.308725,"#dfbcd4"
CALTECH,CALTECH,29,42,6,0.360496,0.399017,0.021303,0.021303,0.010793,0.00023,0.073805,0.073805,4,0.294085,0.0898,0.225388,0.275168,"#ff9900"
NIST,NIST,24,35,6,0.346826,0.381306,0.00873,0.00873,0.016975,0.000148,0.060172,0.060172,4,0.234783,0.738434,0.312469,0.228188,"#c0755a"
