DOI,Institutions
10.1038/ncomms2764,"Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1103/PhysRevApplied.19.034001,"Univ Maryland Coll Pk,Univ Maryland,MIT,US Army"
10.1038/s41467-021-24693-6,"Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1109/JPHOT.2013.2252005,"Univ Tokyo,RIKEN,NEC Corp Ltd"
10.1038/NPHOTON.2013.41,"USN,Sotera Def Solut Inc"
10.1038/s41586-021-03268-x,"Natl Inst Stand & Technol,Univ Colorado"
10.1364/PRJ.434217,"Beijing Computat Sci Res Ctr,Anhui Univ,Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Capital Normal Univ"
10.1038/s41427-023-00510-y,"Yunnan Univ,Kunming Univ,Yunnan OceanDeepland Organ Optoelect Technol Ltd,UCL,Imperial Coll London"
10.1038/NNANO.2010.6,"Harvard Univ,Tech Univ Munich,Texas A&M Univ"
10.1073/pnas.1207329109,"Univ Sci & Technol China,Heidelberg Univ,Natl Cheng Kung Univ"
10.1038/ncomms2277,"Delft Univ Technol,Philips Innovat Serv Eindhoven,Eindhoven Univ Technol"
10.1038/ncomms6786,"Eindhoven Univ Technol,Max Planck Inst Phys Komplexer Syst"
10.1038/s41467-023-37518-5,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1103/PhysRevA.103.052610,"Washington Univ,Univ Michigan"
10.1103/PhysRevB.101.235303,"Univ Tokyo,Univ Electrocommun,Kyoto Inst Technol,Univ Twente"
10.1103/PRXQuanttun.2.020331,"Austrian Acad Sci,Univ Innsbruck"
10.1088/1367-2630/16/2/023019,"Inst Quantum Comp,Waterloo Inst Nanotechnol,Univ Waterloo,Delft Univ Technol,Perimeter Inst Theoret Phys,Harvard Univ"
10.1103/PhysRevA.95.022305,"Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1103/PhysRevLett.113.160504,"Univ Toronto,Technion Israel Inst Technol,Canadian Inst Adv Res,Univ Tokyo"
10.1002/qute.202300007,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1038/npjqi.2016.6,"Toshiba Res Europe Ltd,Univ Cambridge,Univ Sheffield"
10.1103/PhysRevX.7.031049,"Univ Innsbruck A,Austrian Acad Sci,Natl Univ Singapore,Univ Oxford,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Max Planck Inst Quantum Opt"
10.1038/srep01180,"RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1038/s41534-023-00737-1,"Sandia Natl Labs,MITRE Corp,MIT,Univ Arizona"
10.1073/pnas.1305920110,"Univ Calif Santa Barbara,Univ Konstanz,Univ Chicago"
10.1103/PhysRevX.11.031049,"Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1088/0953-4075/45/12/124018,"Northwestern Univ,Texas A&M Univ"
10.1088/1361-6501/ab150d,"Ctr Quantum Informat & Quantum Control,Inst Opt Sci,Canadian Inst Adv Res"
10.1038/ncomms8913,"Univ Vienna,Austrian Acad Sci"
10.1021/nl503081n,"Univ Sci & Technol China,Univ Wurzburg,Univ St Andrews"
10.1038/NPHOTON.2016.2,"Univ Grenoble Alpes,CNRS,Univ Strasbourg,Univ Wurzburg,Univ St Andrews,Cardiff Univ"
10.1038/NPHOTON.2013.287,"Univ Tokyo,Australian Natl Univ,Univ Sydney"
10.1038/nature12366,"Univ Tokyo,Johannes Gutenberg Univ Mainz"
10.1140/epjqt/s40507-023-00192-z,"Riverlane,Natl Phys Lab"
10.1038/nature10119,"Univ Vienna,Austrian Acad Sci"
