Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
Forschungszentrum Julich,Forschungszentrum Julich,38,92,6,0.373591,0.413937,0.011023,0.011023,0.005901,0.000065,0.024795,0.024795,12,0.364932,0.468885,0.750711,1,"#000000"
Rhein Westfal TH Aachen,Rhein Westfal TH Aachen,41,105,6,0.370016,0.411818,0.010137,0.010137,0.004617,0.000047,0.025483,0.025483,12,0.37504,0.17229,0.751262,1,"#000000"
Argonne Natl Lab,Argonne Natl Lab,36,76,5,0.370016,0.406178,0.008537,0.008537,0.010599,0.00009,0.019624,0.019624,5,0.278213,0.325755,0.633237,1,"#000000"
Univ Chicago,Univ Chicago,42,77,5,0.38363,0.422791,0.020648,0.020648,0.005954,0.000123,0.022759,0.022759,5,0.314933,0.04049,0.550294,1,"#000000"
Delft Univ Technol,Delft Univ Technol,148,305,5,0.438149,0.511225,0.125814,0.125814,0.000352,0.000044,0.067179,0.067179,3,1,0.36006,0.271484,1,"#000000"
Netherlands Org Appl Sci Res TNO,Netherlands Org Appl Sci Res TNO,32,73,5,0.36928,0.404921,0.005353,0.005353,0.009708,0.000052,0.020452,0.020452,3,0.30497,0.37131,0.36057,1,"#000000"
QuTech,QuTech,39,76,5,0.372691,0.41259,0.005698,0.005698,0.008246,0.000047,0.025419,0.025419,3,0.377084,0.301592,0.649482,1,"#000000"
Keio Univ,Keio Univ,53,126,5,0.394894,0.439458,0.01204,0.01204,0.005007,0.00006,0.049539,0.049539,2,0.601489,0.210617,0.654765,1,"#000000"
Univ New South Wales,Univ New South Wales,96,216,5,0.425298,0.482058,0.055527,0.055527,0.001182,0.000066,0.087388,0.087388,2,0.901728,0.441697,0.339718,1,"#000000"
RIKEN,RIKEN,75,157,5,0.400864,0.454777,0.048697,0.048697,0.001692,0.000082,0.049919,0.049919,0,0.612042,0.141478,0.887837,1,"#000000"
Univ Basel,Univ Basel,67,141,5,0.414471,0.462733,0.048356,0.048356,0.001399,0.000068,0.055766,0.055766,0,0.610667,0.736835,0.347487,1,"#000000"
Chinese Acad Sci,Chinese Acad Sci,85,132,6,0.381736,0.43917,0.052273,0.052273,0.001101,0.000058,0.207485,0.207485,1,0.801006,0.838185,0.224239,1,"#000000"
Univ Sci & Technol China,Univ Sci & Technol China,78,125,5,0.393387,0.44745,0.060723,0.060723,0.001397,0.000085,0.201866,0.201866,1,0.795921,0.854667,0.245722,1,"#000000"
CEA,CEA,12,25,6,0.334535,0.361548,0.002024,0.002024,0.05604,0.000113,0.011098,0.011098,10,0.145783,0.803404,0.792306,1,"#000000"
Univ Grenoble Alpes,Univ Grenoble Alpes,47,73,5,0.385062,0.424838,0.026406,0.026406,0.003981,0.000105,0.022945,0.022945,10,0.329385,0.018394,0.274256,1,"#000000"
Intel Corp,Intel Corp,23,39,6,0.336232,0.368157,0.001204,0.001204,0.01531,0.000018,0.013627,0.013627,3,0.19573,0.721137,0.256143,1,"#000000"
Univ Tokyo,Univ Tokyo,59,109,5,0.392555,0.43838,0.037024,0.037024,0.002649,0.000098,0.040869,0.040869,0,0.469787,0.317363,0.337519,1,"#000000"
UCL,UCL,47,83,5,0.393721,0.437356,0.01759,0.01759,0.004675,0.000082,0.049941,0.049941,2,0.514176,0.106507,0.934975,1,"#000000"
Univ Oxford,Univ Oxford,68,108,5,0.410075,0.459878,0.050455,0.050455,0.002355,0.000119,0.062448,0.062448,2,0.60695,0.180164,0.648682,1,"#000000"
Univ Chinese Acad Sci,Univ Chinese Acad Sci,55,70,5,0.355828,0.401545,0.015796,0.015796,0.004674,0.000074,0.18917,0.18917,1,0.673876,0.112531,0.108177,1,"#000000"
Tokyo Inst Technol,Tokyo Inst Technol,45,71,5,0.372093,0.415499,0.016706,0.016706,0.003418,0.000057,0.028262,0.028262,0,0.401105,0.173136,0.099944,1,"#000000"
Ruhr Univ Bochum,Ruhr Univ Bochum,49,105,5,0.401211,0.442816,0.022668,0.022668,0.004106,0.000093,0.038639,0.038639,0,0.46196,0.151488,0.666999,1,"#000000"
Univ Wisconsin,Univ Wisconsin,33,56,6,0.35844,0.397306,0.003551,0.003551,0.013235,0.000047,0.031605,0.031605,2,0.358334,0.801412,0.314003,1,"#000000"
Canadian Inst Adv Res,Canadian Inst Adv Res,22,41,5,0.361793,0.39454,0.004081,0.004081,0.03367,0.000137,0.021905,0.021905,2,0.290218,0.719883,0.7339,1,"#000000"
Univ Sherbrooke,Univ Sherbrooke,36,58,5,0.37329,0.411997,0.010786,0.010786,0.008245,0.000089,0.02406,0.02406,2,0.346635,0.999479,0.717473,1,"#000000"
Diraq,Diraq,20,42,6,0.351915,0.382256,0.000892,0.000892,0.045506,0.000041,0.022284,0.022284,2,0.282227,0.180578,0.458741,1,"#000000"
Univ Melbourne,Univ Melbourne,54,93,5,0.397942,0.441218,0.02237,0.02237,0.002698,0.00006,0.042456,0.042456,2,0.51136,0.184868,0.92641,1,"#000000"
NIST,NIST,36,52,6,0.371944,0.411853,0.00843,0.00843,0.007646,0.000064,0.026247,0.026247,4,0.359113,0.557291,0.733857,1,"#000000"
Univ Maryland,Univ Maryland,36,80,6,0.376776,0.416146,0.017933,0.017933,0.005525,0.000099,0.026644,0.026644,4,0.303873,0.2144,0.179966,1,"#000000"
Origin Quantum Comp Co Ltd,Origin Quantum Comp Co Ltd,11,31,6,0.332736,0.359357,0.000452,0.000452,0.08547,0.000039,0.023041,0.023041,1,0.130582,0.286335,0.191785,1,"#000000"
Slovak Acad Sci,Slovak Acad Sci,20,43,6,0.366075,0.399174,0.001327,0.001327,0.051974,0.000069,0.020198,0.020198,0,0.278432,0.339238,0.561615,1,"#000000"
Tohoku Univ,Tohoku Univ,54,94,5,0.379861,0.425359,0.028652,0.028652,0.00309,0.000089,0.036727,0.036727,0,0.430446,0.799431,0.485377,1,"#000000"
Simon Fraser Univ,Simon Fraser Univ,32,76,5,0.36435,0.401275,0.00473,0.00473,0.011499,0.000054,0.026751,0.026751,2,0.349768,0.369188,0.25943,1,"#000000"
Vitcon Projectconsult GmbH,Vitcon Projectconsult GmbH,19,44,6,0.340801,0.36972,0.001213,0.001213,0.034463,0.000042,0.01847,0.01847,2,0.22911,0.214179,0.497286,1,"#000000"
Univ Cambridge,Univ Cambridge,63,94,6,0.414841,0.46144,0.036192,0.036192,0.0019,0.000069,0.043858,0.043858,10,0.548684,0.505572,0.195006,1,"#000000"
Univ Sheffield,Univ Sheffield,31,46,6,0.356649,0.393588,0.01696,0.01696,0.005619,0.000095,0.014927,0.014927,10,0.207822,0.91394,0.846801,1,"#000000"
Univ Sydney,Univ Sydney,54,88,5,0.397942,0.441577,0.018145,0.018145,0.005469,0.000099,0.044097,0.044097,2,0.585351,0.95628,0.909394,1,"#000000"
Northwestern Univ,Northwestern Univ,27,40,6,0.343195,0.376203,0.011472,0.011472,0.015727,0.00018,0.011161,0.011161,5,0.161632,0.75381,0.765704,1,"#000000"
CSIC,CSIC,53,76,5,0.382838,0.428053,0.028834,0.028834,0.003705,0.000107,0.024458,0.024458,6,0.395025,0.325875,0.733267,1,"#000000"
Univ Zaragoza,Univ Zaragoza,23,36,6,0.351382,0.384644,0.009874,0.009874,0.014692,0.000145,0.007485,0.007485,6,0.130583,0.725783,0.192282,1,"#000000"
Hitachi Cambridge Lab,Hitachi Cambridge Lab,34,57,6,0.381893,0.420833,0.007197,0.007197,0.012369,0.000089,0.030133,0.030133,10,0.40002,0.974034,0.914719,1,"#000000"
Princeton Univ,Princeton Univ,34,69,5,0.384584,0.422162,0.010737,0.010737,0.008665,0.000093,0.030013,0.030013,2,0.349382,0.42028,0.711004,1,"#000000"
Univ Konstanz,Univ Konstanz,37,51,6,0.383313,0.422324,0.013893,0.013893,0.005832,0.000081,0.028972,0.028972,2,0.39152,0.903892,0.544894,1,"#000000"
Purdue Univ,Purdue Univ,39,76,5,0.388122,0.427065,0.015847,0.015847,0.006316,0.0001,0.034586,0.034586,31,0.403779,0.23373,0.787775,1,"#000000"
Univ Copenhagen,Univ Copenhagen,59,99,5,0.405772,0.450916,0.025733,0.025733,0.003271,0.000084,0.039483,0.039483,31,0.559522,0.623741,0.855862,1,"#000000"
Univ Regensburg,Univ Regensburg,29,47,5,0.355692,0.390697,0.004509,0.004509,0.016531,0.000075,0.018805,0.018805,12,0.261838,0.436372,0.615263,1,"#000000"
Univ Maryland Baltimore Cty,Univ Maryland Baltimore Cty,9,19,7,0.298392,0.320351,0.004491,0.004491,0.09887,0.000444,0.003931,0.003931,4,0.05302,0.282825,0.685379,1,"#000000"
Virginia Tech,Virginia Tech,21,32,6,0.358301,0.391325,0.003223,0.003223,0.027457,0.000089,0.015948,0.015948,4,0.215324,0.285908,0.74769,1,"#000000"
Budapest Univ Technol & Econ,Budapest Univ Technol & Econ,44,64,5,0.388935,0.429975,0.020159,0.020159,0.005635,0.000114,0.027201,0.027201,6,0.367296,0.794983,0.699329,1,"#000000"
Hungarian Acad Sci,Hungarian Acad Sci,19,28,5,0.341302,0.369666,0.000951,0.000951,0.05948,0.000057,0.010079,0.010079,6,0.170482,0.185501,0.632834,1,"#000000"
CNRS,CNRS,34,48,6,0.363779,0.402029,0.022829,0.022829,0.006981,0.000159,0.012176,0.012176,27,0.194547,0.175577,0.247816,1,"#000000"
Kavli Inst Nanosci,Kavli Inst Nanosci,20,31,6,0.330838,0.361009,0.000513,0.000513,0.020809,0.000011,0.010329,0.010329,3,0.155887,0.451117,0.09342,1,"#000000"
Harvard Smithsonian Ctr Astrophys,Harvard Smithsonian Ctr Astrophys,13,18,5,0.340926,0.367744,0.001049,0.001049,0.040927,0.000043,0.007519,0.007519,12,0.121513,0.249226,0.585942,1,"#000000"
Harvard Univ,Harvard Univ,70,125,5,0.408991,0.458154,0.050849,0.050849,0.001834,0.000093,0.037697,0.037697,12,0.559589,0.660324,0.783944,1,"#000000"
Univ Calif Santa Barbara,Univ Calif Santa Barbara,34,46,6,0.368108,0.407417,0.015687,0.015687,0.006307,0.000099,0.019606,0.019606,12,0.294948,0.913658,0.541673,1,"#000000"
Weizmann Inst Sci,Weizmann Inst Sci,14,24,6,0.331547,0.358998,0.004774,0.004774,0.051074,0.000244,0.007214,0.007214,12,0.116679,0.703394,0.655373,1,"#000000"
JST,JST,24,40,5,0.346269,0.376706,0.002721,0.002721,0.026127,0.000071,0.015985,0.015985,0,0.213976,0.692368,0.630761,1,"#000000"
Leibniz Inst Kristallzuchtung,Leibniz Inst Kristallzuchtung,30,51,6,0.363636,0.400126,0.005606,0.005606,0.012088,0.000068,0.025332,0.025332,2,0.334246,0.583779,0.515973,1,"#000000"
