DOI,Institutions
10.1103/PhysRevB.96.201304,"Univ Konstanz,Univ Basel"
10.1039/d4qi01782j,"South China Univ Technol,Natl Univ Def Technol,Sun Yat sen Univ,Peking Univ"
10.1088/1367-2630/18/5/053024,"Stanford Univ,Univ Sherbrooke,Natl Res Council Canada,Univ Waterloo,KTH Royal Inst Technol,Natl Inst Informat"
10.1038/NPHOTON.2013.41,"USN,Sotera Def Solut Inc"
10.1134/S1070328424600335,"Russian Acad Sci,Novosibirsk State Univ"
10.1002/qute.201800067,"Univ Maryland,CNR,Univ Firenze,US Army Res Lab"
10.1109/JSSC.2017.2737549,"Delft Univ Technol,QuTech,Kavli Inst Nanosci,Analog Devices Inc,Catena BV,Univ Coll Dublin,Univ Calif Berkeley,Inst Super Elect Paris,Ecole Polytech Fed Lausanne,Intel Corp"
10.1021/jz101650z,"Osaka City Univ,Osaka Univ,Japan Sci & Technol Agcy JST"
10.1063/5.0096467,"Univ New South Wales,Keio Univ"
10.1103/PhysRevB.82.155315,"Sandia Natl Labs,Purdue Univ,Univ Melbourne"
10.1103/PhysRevB.92.235401,"Rhein Westfal TH Aachen,Forschungszentrum Julich"
10.1109/JSSC.2020.3024678,"Delft Univ Technol,Intel Corp,TNO,Zurich Instruments,Apple Inc,Intel Guadalajara,Kavli Inst Nanosci,Ecole Polytech Fed Lausanne"
10.1103/PhysRevLett.113.197601,"Harvard Univ,Harvard Smithsonian Ctr Astrophys,Broad Inst MIT & Harvard"
10.1038/nature12016,"Delft Univ Technol,Element Six Ltd,McGill Univ"
10.1038/s41565-021-00925-0,"RIKEN,Tokyo Tech Acad Super Smart Soc"
10.1038/ncomms4860,"Univ Calif Los Angeles,Lab Phys Sci"
10.3389/fchem.2019.00662,"Univ Valencia,Max Planck Inst Struct & Dynam Matter"
10.1038/nature13407,"Univ Wisconsin,Sandia Natl Labs"
10.1103/PhysRevB.95.144306,"SUNY Stony Brook,Univ Calif Irvine,Shenzhen Univ,Chinese Acad Sci"
10.1103/RevModPhys.89.035002,"Swiss Fed Inst Technol,Tech Univ Munich,MIT"
10.1038/s41467-017-01113-2,"Univ Sherbrooke,Sandia Natl Labs,Canadian Inst Adv Res"
10.1038/s41586-021-04273-w,"Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1038/s41565-021-00846-y,"Univ Grenoble Alpes,Ruhr Univ Bochum"
10.1038/s41467-018-04340-3,"Harvard Univ,Univ Cambridge,Sandia Natl Labs"
10.1038/nature25766,"Delft Univ Technol,Univ Wisconsin"
10.1038/s41534-019-0169-4,"Univ Paris Diderot,Chalmers Univ Technol,PSL Res Univ,INRIA Paris"
10.1038/s41586-021-04182-y,"RIKEN,Delft Univ Technol,Netherlands Org Appl Sci Res TNO"
10.1021/ja102030w,"Osaka Univ,JST,Osaka City Univ,RIKEN"
10.1063/1.5036521,"CSIC,Univ New South Wales,SUNY Buffalo"
10.1038/NNANO.2013.117,"UCL,Univ Oxford,Princeton Univ,Inst Crystal Growth,Phys Tech Bundesanstalt,Vitcon Projectconsult GmbH,Simon Fraser Univ"
10.1109/TCSI.2020.3019413,"Delft Univ Technol,Kavli Inst Nanosci,Intel Corp,Swiss Fed Inst Technol Lausanne EPFL"
10.1103/PhysRevLett.115.093602,"Univ Stuttgart,Univ Ulm,Ruhr Univ Bochum"
10.1103/PhysRevApplied.12.044054,"Delft Univ Technol,Kavli Inst Nanosci,Okinawa Inst Sci & Technol,Intel Corp,Ecole Polytech Fed Lausanne"
10.1038/nature16984,"Florida State Univ,Univ Valencia"
