Source,Target,Weight
Chinese Acad Sci,Univ Chinese Acad Sci,75
RIKEN,Univ Michigan,50
RIKEN,Univ Tokyo,40
Chinese Acad Sci,Univ Sci & Technol China,32
NIST,Univ Colorado,30
Karlsruhe Inst Technol,Natl Univ Sci & Technol MISIS,29
Lawrence Berkeley Natl Lab,Univ Calif Berkeley,28
Natl Univ Sci & Technol MISIS,Russian Quantum Ctr,28
Chinese Acad Sci,Songshan Lake Mat Lab,27
Argonne Natl Lab,Univ Chicago,26
Forschungszentrum Julich,Rhein Westfal TH Aachen,26
Univ Calif Riverside,Univ Calif Santa Barbara,26
Canadian Inst Adv Res,Univ Sherbrooke,24
Nanjing Univ,Univ Sci & Technol China,24
Chinese Acad Sci,Zhejiang Univ,23
Songshan Lake Mat Lab,Univ Chinese Acad Sci,23
Univ Sci & Technol China,Zhejiang Univ,22
Beijing Acad Quantum Informat Sci,Chinese Acad Sci,21
Univ Chinese Acad Sci,Univ Sci & Technol China,21
Chinese Acad Sci,Tsinghua Univ,20
Delft Univ Technol,Univ Copenhagen,20
Basque Fdn Sci,Univ Basque Country,19
Hangzhou Normal Univ,Nanjing Univ,19
Hangzhou Normal Univ,Shangrao Normal Univ,19
Karlsruhe Inst Technol,Russian Quantum Ctr,19
Lab Phys Sci,Univ Maryland,19
Austrian Acad Sci,Univ Innsbruck,18
Bayer Akad Wissensch,Tech Univ Munich,17
Moscow Inst Phys & Technol,Natl Univ Sci & Technol MISIS,17
Nanyang Technol Univ,Natl Univ Singapore,17
Tsinghua Univ,Univ Michigan,17
Beijing Acad Quantum Informat Sci,Univ Chinese Acad Sci,16
Natl Inst Stand & Technol,Univ Colorado,16
Univ Chinese Acad Sci,Zhejiang Univ,16
Beijing Acad Quantum Informat Sci,Tsinghua Univ,15
Frontier Sci Ctr Quantum Informat,Tsinghua Univ,15
Google,Univ Calif Santa Barbara,15
Harvard Univ,MIT,15
Int Quantum Acad,Southern Univ Sci & Technol,15
Beijing Acad Quantum Informat Sci,Songshan Lake Mat Lab,14
CNRS,Univ Grenoble Alpes,14
RIKEN,Tsinghua Univ,14
Shanghai Res Ctr Quantum Sci,Univ Sci & Technol China,14
Tsinghua Univ,Univ Sci & Technol China,14
Univ Calif Riverside,Univ Massachusetts,14
Univ Calif Santa Barbara,Univ Chicago,14
Beijing Acad Quantum Informat Sci,Hefei Natl Lab,13
CSIC,Univ Zaragoza,13
Chinese Acad Sci,Hefei Natl Lab,13
Fdn ARAID,Univ Zaragoza,13
Google Inc,Univ Calif Santa Barbara,13
Hefei Natl Lab,Tsinghua Univ,13
MIT,Univ Calif Berkeley,13
Moscow Inst Phys & Technol,Russian Quantum Ctr,13
NIST,Univ Maryland,13
