Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
Chinese Acad Sci,Chinese Acad Sci,137,483,5,0.411307,0.461854,0.034209,0.034209,0.000456,0.000016,0.106339,0.106339,9,0.593097,0.064863,0.44452,1,"#ffaaff"
Univ Chinese Acad Sci,Univ Chinese Acad Sci,96,330,5,0.410031,0.451597,0.021129,0.021129,0.001301,0.000027,0.097797,0.097797,9,0.537668,0.947782,0.443099,0.682573,"#7e649a"
RIKEN,RIKEN,156,415,4,0.451723,0.498529,0.060981,0.060981,0.000459,0.000028,0.140211,0.140211,10,0.781972,0.955493,0.082513,0.858921,"#d6c4c8"
Univ Michigan,Univ Michigan,121,271,5,0.434878,0.478426,0.027715,0.027715,0.001038,0.000029,0.14437,0.14437,10,0.7711,0.703205,0.955919,0.560166,"#ffb4e9"
Univ Tokyo,Univ Tokyo,89,182,5,0.413883,0.45352,0.019913,0.019913,0.001315,0.000026,0.08728,0.08728,10,0.479915,0.082579,0.16128,0.375519,"#debcff"
Univ Sci & Technol China,Univ Sci & Technol China,121,333,5,0.418028,0.463262,0.038836,0.038836,0.000565,0.000022,0.100236,0.100236,9,0.556633,0.285627,0.894073,0.688797,"#dbb5ff"
NIST,NIST,134,232,5,0.438001,0.484531,0.037462,0.037462,0.000691,0.000026,0.154941,0.154941,5,0.81559,0.080353,0.219521,0.479253,"#00487d"
Univ Colorado,Univ Colorado,75,146,6,0.408447,0.446311,0.012916,0.012916,0.002243,0.000029,0.104833,0.104833,5,0.542567,0.662345,0.898763,0.30083,"#0093ff"
Karlsruhe Inst Technol,Karlsruhe Inst Technol,100,220,5,0.422595,0.463777,0.029326,0.029326,0.00112,0.000033,0.098938,0.098938,0,0.555948,0.122895,0.45043,0.454357,"#c94c63"
Natl Univ Sci & Technol MISIS,Natl Univ Sci & Technol MISIS,69,189,5,0.400101,0.436349,0.01757,0.01757,0.002482,0.000044,0.059578,0.059578,0,0.346884,0.351093,0.988824,0.390042,"#ff6eff"
Lawrence Berkeley Natl Lab,Lawrence Berkeley Natl Lab,83,142,5,0.419022,0.457051,0.012263,0.012263,0.002649,0.000032,0.11468,0.11468,1,0.596223,0.163082,0.332704,0.292531,"#00c0ff"
Univ Calif Berkeley,Univ Calif Berkeley,151,272,5,0.447896,0.496143,0.042627,0.042627,0.000755,0.000032,0.185292,0.185292,1,0.960903,0.624407,0.557033,0.562241,"#a9d1ff"
Russian Quantum Ctr,Russian Quantum Ctr,66,163,5,0.385232,0.42045,0.016172,0.016172,0.002828,0.000046,0.043246,0.043246,0,0.264048,0.286319,0.670704,0.3361,"#3a7294"
Songshan Lake Mat Lab,Songshan Lake Mat Lab,34,124,5,0.35221,0.380496,0.000974,0.000974,0.009677,0.000009,0.033061,0.033061,9,0.185821,0.172231,0.572529,0.255187,"#a19179"
Argonne Natl Lab,Argonne Natl Lab,37,104,5,0.372563,0.401335,0.001453,0.001453,0.014654,0.000021,0.054553,0.054553,1,0.279248,0.522844,0.549972,0.213693,"#ff6dd8"
