DOI,Institutions
10.1038/ncomms2764,"Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1038/nature13729,"Tsinghua Univ,Univ Michigan"
10.1038/NPHYS1731,"Natl Inst Stand & Technol,Univ Colorado"
10.1038/nature12801,"NIST,Univ Copenhagen"
10.1039/d2cp05625a,"Zhengzhou Univ,State Key Lab Math Engn & Adv Comp,Natl Supercomp Ctr Zhengzhou"
10.1038/s41467-021-24693-6,"Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1002/qute.202400001,"Yokohama Natl Univ,Southwest Jiaotong Univ"
10.1038/s41567-020-0824-x,"Univ Paris,INRIA Paris,Univ Claude Bernard Lyon 1,PSL Res Univ"
10.1587/transele.2018SDP0001,"Univ Tokyo,RIKEN"
10.1103/PhysRevA.108.032605,"Australian Natl Univ,ASTAR"
10.1103/PhysRevA.96.052316,"Shandong Univ,Uppsala Univ"
10.1016/j.future.2021.12.015,"Univ Malaga,Univ Constantine 2"
10.1103/PhysRevLett.133.106001,"Univ Grenoble Alpes,Natl Inst Mat Sci"
10.1109/TASC.2011.2159974,"Turgut Ozal Univ,Ankara Univ,Azerbaijan Natl Acad Sci"
10.1038/nature13436,"Yale Univ,INRIA Paris Rocquencourt"
10.1103/PhysRevLett.122.040404,"Chapman Univ,CALTECH"
10.1103/PhysRevB.109.064505,"Univ Paris Diderot,PSL Univ,Inst Univ France IUF"
10.1103/PhysRevApplied.6.044010,"Univ Waterloo,INGUN Prufmittelbau GmbH,INGUN USA Inc,Google Inc,Chalmers Univ Technol,Univ Toronto"
10.1063/1.4934867,"IBM Corp,Princeton Univ"
10.1016/j.tsf.2021.138784,"Kyushu Univ,NTT Corp"
10.1109/JPHOT.2013.2252005,"Univ Tokyo,RIKEN,NEC Corp Ltd"
10.1038/s41565-022-01235-9,"Univ Grenoble Alpes,CNR SPIN Complesso Monte S Angelo,Natl Inst Mat Sci"
10.1021/acs.nanolett.8b04275,"Univ Grenoble Alpes,Univ Pittsburgh,QuTech,Delft Univ Technol,TNO"
10.1103/PhysRevLett.110.060503,"Univ Maryland,NIST"
10.1088/1674-1056/26/7/078501,"Nanjing Univ,Univ Sci & Technol China"
10.1063/5.0018012,"Karlsruhe Inst Technol,Globalfoundries"
10.1103/PhysRevA.110.L030202,"Charles Univ Prague,Palacky Univ"
10.1103/PhysRevApplied.6.014006,"B Verkin Inst Low Temp Phys & Engn,V Karazin Kharkov Natl Univ,RIKEN,Univ S Carolina,RAS,Univ Michigan"
10.1103/PhysRevLett.119.040501,"Univ Basque Country,Univ Massachusetts,Univ Geneva,IKERBASQUE"
10.1063/1.5116659,"Aalto Univ,Univ Oulu,VTT Tech Res Ctr Finland Ltd"
10.1063/1.5003169,"Univ Waterloo,Univ Calif Berkeley"
10.1103/PhysRevB.92.235401,"Rhein Westfal TH Aachen,Forschungszentrum Julich"
10.1063/5.0157509,"NYU,DEVCOM Army Res Lab"
10.1103/PhysRevA.90.062307,"Univ Saarland,Univ Wisconsin,Syracuse Univ"
10.1038/s41586-021-03268-x,"Natl Inst Stand & Technol,Univ Colorado"
10.1007/s10909-019-02183-w,"St Louis Univ,NIST,IBM Corp,Univ Glasgow,Univ Missouri"
10.1038/nature14270,"Univ Calif Santa Barbara,Univ Melbourne"
10.1126/science.aau6539,"Johns Hopkins Univ,Natl Taiwan Univ,Acad Sinica"
10.1103/PhysRevLett.107.146605,"Pohang Univ Sci & Technol,Korea Univ"
10.1103/PhysRevX.8.011021,"Univ Calif Berkeley,Lawrence Berkeley Natl Lab,Google Inc,MIT"
10.1016/j.actamat.2024.120631,"Ames Natl Lab,Rigetti Comp,Iowa State Univ"
10.1038/s41565-021-00925-0,"RIKEN,Tokyo Tech Acad Super Smart Soc"
10.1038/NPHYS3515,"Univ Calif Berkeley,Tech Univ Kaiserslautern"
10.1557/mrs.2020.147,"Univ Maryland,Lawrence Livermore Natl Lab,Sandia Natl Labs,NYU"
10.1103/PhysRevB.81.134514,"Bayer Akad Wissensch,Univ Munich,Tech Univ Munich,MATIS INFM,DMFCI,Univ Regensburg,Univ Basque Country,Basque Fdn Sci"
10.1103/PhysRevApplied.21.014043,"Univ Paris Saclay,Alice&Bob,Ecole Normale Suprerieure"
10.1103/RevModPhys.89.035002,"Swiss Fed Inst Technol,Tech Univ Munich,MIT"
10.1038/NPHYS3742,"Delft Univ Technol,Eindhoven Univ Technol,Univ Toulouse"
10.1088/1361-6668/ab4918,"Karlsruhe Inst Technol,CNRS,Univ Grenoble Alpes,Univ Wurzburg"
10.1088/2058-9565/aabd98,"NASA,USRA Res Inst Adv Comp Sci,UCL,Cambridge Quantum Comp Ltd,SGT Inc,Univ Cartagena,Qubitera LLC"
