Source,Target,Weight
Austrian Acad Sci,Univ Innsbruck,42
IonQ Inc,Univ Maryland,15
Duke Univ,IonQ Inc,14
Duke Univ,Univ Maryland,11
NIST,Univ Colorado,9
Alpine Quantum Technol GmbH,Univ Innsbruck,8
Forschungszentrum Julich,Rhein Westfal TH Aachen,7
NIST,Univ Maryland,7
Natl Inst Stand & Technol,Univ Colorado,7
Univ Colorado,Univ Oregon,7
Alpine Quantum Technol GmbH,Austrian Acad Sci,6
Harvard Univ,MIT,6
Lawrence Berkeley Natl Lab,Univ Calif Berkeley,6
US Army Res Lab,Univ Maryland,6
Univ British Columbia,Univ Texas Austin,6
Beijing Acad Quantum Informat Sci,Tsinghua Univ,5
CALTECH,Harvard Univ,5
Forschungszentrum Julich,Univ Innsbruck,5
Harvard Univ,Univ Maryland,5
IonQ,Univ Maryland,5
MIT,Univ Maryland,5
NIST,Univ Oregon,5
QuSoft,Univ Amsterdam,5
Univ Oregon,Univ Oxford,5
Alpine Quantum Technol GmbH,Forschungszentrum Julich,4
Austrian Acad Sci,Forschungszentrum Julich,4
Basque Fdn Sci,Shanghai Univ,4
Basque Fdn Sci,Univ Basque Country,4
Beijing Acad Quantum Informat Sci,Peking Univ,4
Duke Univ,Georgia Inst Technol,4
Forschungszentrum Julich,Swansea Univ,4
Georgia Tech Res Inst,Oak Ridge Natl Lab,4
Hefei Natl Lab,Tsinghua Univ,4
Leibniz Univ Hannover,Phys Tech Bundesanstalt,4
Natl Univ Sci & Technol MISIS,Russian Quantum Ctr,4
Palacky Univ,Tech Univ Denmark,4
Perimeter Inst Theoret Phys,Univ Waterloo,4
Q CTRL Pty Ltd,Univ Sydney,4
Quantinuum,Univ British Columbia,4
Quantinuum,Univ Texas Austin,4
Rhein Westfal TH Aachen,Swansea Univ,4
Rhein Westfal TH Aachen,Univ Innsbruck,4
Swansea Univ,Univ Complutense,4
Univ Calif Berkeley,Univ Maryland,4
AQT,Univ Innsbruck,3
ASTAR,Nanyang Technol Univ,3
Alpine Quantum Technol GmbH,Rhein Westfal TH Aachen,3
Austrian Acad Sci,Harvard Univ,3
Austrian Acad Sci,Rhein Westfal TH Aachen,3
Austrian Acad Sci,Swansea Univ,3
Austrian Acad Sci,Univ Complutense,3
Austrian Acad Sci,Univ Oxford,3
Austrian Acad Sci,Univ Siegen,3
Basque Fdn Sci,Univ Basque Country UPV EHU,3
Beijing Acad Quantum Informat Sci,Shanxi Univ,3
CALTECH,Univ Texas Austin,3
Chinese Acad Sci,Univ Chinese Acad Sci,3
Colorado Sch Mines,Univ Maryland,3
Duke Univ,Google Res,3
Duke Univ,Harvard Univ,3
Duke Univ,MIT,3
Georgia Tech Res Inst,Univ Maryland,3
HYQ Co Ltd,Hefei Natl Lab,3
HYQ Co Ltd,Tsinghua Univ,3
Harvard Smithsonian Ctr Astrophys,Harvard Univ,3
Harvard Univ,Univ Calif Berkeley,3
Harvard Univ,Univ Copenhagen,3
Huazhong Univ Sci & Technol,Tsinghua Univ,3
IonQ,Wesleyan Univ,3
Lawrence Berkeley Natl Lab,Univ Maryland,3
Lawrence Livermore Natl Lab,Univ Colorado,3
Lawrence Livermore Natl Lab,Univ Oregon,3
Natl Univ Singapore,Univ Oxford,3
Oxford Ion,Univ Oxford,3
Peking Univ,Shanxi Univ,3
Swansea Univ,Univ Innsbruck,3
Swiss Fed Inst Technol,Univ Colorado,3
Tsinghua Univ,Univ Michigan,3
US Army,Univ Maryland,3
Univ Complutense,Univ Innsbruck,3
Univ Innsbruck,Univ Siegen,3
Univ Innsbruck,Univ Sydney,3
Univ Maryland,Univ Michigan,3
Univ Oxford,Univ Texas San Antonio,3
Univ Sussex,Universal Quantum Ltd,3
AQT,Austrian Acad Sci,2
ASTAR,Natl Univ Singapore,2
Aarhus Univ,Hebrew Univ Jerusalem,2
Alpine Quantum Technol GmbH,Univ Oxford,2
Army Res Lab,Univ Maryland,2
Austrian Acad Sci,CSIC,2
Austrian Acad Sci,Leibniz Univ Hannover,2
Austrian Acad Sci,Max Planck Inst Quantum Opt,2
Austrian Acad Sci,Tech Univ Munich,2
Austrian Acad Sci,Univ Carlos III Madrid,2
Austrian Acad Sci,Univ Sydney,2
Beijing Acad Quantum Informat Sci,China Acad Engn Phys,2
Beijing Acad Quantum Informat Sci,Frontier Sci Ctr Quantum Informat,2
Beijing Acad Quantum Informat Sci,Huazhong Univ Sci & Technol,2
Beijing Acad Quantum Informat Sci,Renmin Univ China,2
CALTECH,MIT,2
CALTECH,Quantinuum,2
CALTECH,Univ British Columbia,2
CALTECH,Univ Calif Berkeley,2
CALTECH,Univ Copenhagen,2
CALTECH,Univ Maryland,2
CSIC,Univ Carlos III Madrid,2
