Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,betweennesscentrality2,bridgingcoefficient,bridgingcentrality,Authority,Hub,modularity_class,eigencentrality,X,Y,Size,Color
Austrian Acad Sci,Austrian Acad Sci,65,133,5,0.449489,0.52138,0.092871,0.092871,0.001818,0.000169,0.209085,0.209085,5,0.879131,0.571687,0.258924,0.897959,"#00edf7"
Univ Innsbruck,Univ Innsbruck,73,146,5,0.45993,0.536111,0.112192,0.112192,0.001287,0.000144,0.232326,0.232326,5,0.970168,0.721797,0.29703,0.986395,"#00e0ff"
IonQ Inc,IonQ Inc,38,70,6,0.394422,0.456103,0.039897,0.039897,0.004052,0.000162,0.144142,0.144142,0,0.557689,0.880793,0.487671,0.469388,"#ffc200"
Univ Maryland,Univ Maryland,72,148,6,0.429501,0.515951,0.086868,0.086868,0.00129,0.000112,0.25823,0.25823,0,0.995078,0.538506,0.822354,1,"#00e600"
Duke Univ,Duke Univ,31,68,6,0.401623,0.455303,0.026169,0.026169,0.008645,0.000226,0.138597,0.138597,0,0.535978,0.990609,0.898356,0.455782,"#76d1ba"
NIST,NIST,48,74,6,0.434687,0.496843,0.048097,0.048097,0.004222,0.000203,0.204473,0.204473,1,0.816349,0.028466,0.027739,0.496599,"#9077f8"
Univ Colorado,Univ Colorado,27,53,6,0.404494,0.452062,0.014857,0.014857,0.013257,0.000197,0.12267,0.12267,1,0.497812,0.003803,0.68042,0.353741,"#5e9a4c"
Alpine Quantum Technol GmbH,Alpine Quantum Technol GmbH,22,40,6,0.360985,0.407029,0.002082,0.002082,0.019801,0.000041,0.086039,0.086039,5,0.362368,0.263926,0.404127,0.265306,"#824600"
Forschungszentrum Julich,Forschungszentrum Julich,13,33,6,0.344348,0.379419,0.00067,0.00067,0.064568,0.000043,0.059449,0.059449,5,0.247358,0.139116,0.814642,0.217687,"#006aab"
Rhein Westfal TH Aachen,Rhein Westfal TH Aachen,12,29,6,0.344049,0.378157,0.000538,0.000538,0.089133,0.000048,0.057969,0.057969,5,0.240954,0.912062,0.86258,0.190476,"#ffaaff"
Natl Inst Stand & Technol,Natl Inst Stand & Technol,23,32,6,0.37218,0.418266,0.006493,0.006493,0.01964,0.000128,0.105769,0.105769,1,0.414433,0.23251,0.020951,0.210884,"#bfca37"
Univ Oregon,Univ Oregon,25,46,6,0.377502,0.427399,0.01163,0.01163,0.013945,0.000162,0.100914,0.100914,1,0.404784,0.752316,0.376952,0.306122,"#a7c700"
Harvard Univ,Harvard Univ,52,82,6,0.458333,0.51936,0.069409,0.069409,0.004131,0.000287,0.256827,0.256827,2,1,0.024082,0.413903,0.55102,"#7e7c7f"
MIT,MIT,34,48,6,0.392857,0.450463,0.014049,0.014049,0.009291,0.000131,0.172161,0.172161,2,0.649487,0,0.854998,0.319728,"#00f9ff"
Lawrence Berkeley Natl Lab,Lawrence Berkeley Natl Lab,24,32,6,0.381136,0.430135,0.020718,0.020718,0.015413,0.000319,0.118563,0.118563,2,0.455862,0.60218,0.380793,0.210884,"#bfca37"
Univ Calif Berkeley,Univ Calif Berkeley,47,61,5,0.438538,0.498443,0.060415,0.060415,0.002969,0.000179,0.206341,0.206341,2,0.803203,0.074734,0.621151,0.408163,"#86ea5c"
US Army Res Lab,US Army Res Lab,15,20,6,0.351375,0.39032,0.005035,0.005035,0.026503,0.000133,0.050875,0.050875,0,0.20568,0.653344,0.709898,0.129252,"#d83b28"
Univ British Columbia,Univ British Columbia,10,19,6,0.335878,0.368182,0.000649,0.000649,0.151119,0.000098,0.051039,0.051039,2,0.193499,0.345351,0.495028,0.122449,"#5ed0f1"
Univ Texas Austin,Univ Texas Austin,19,30,6,0.360985,0.406481,0.001725,0.001725,0.04484,0.000077,0.116602,0.116602,2,0.435037,0.971571,0.317962,0.197279,"#69427a"
Beijing Acad Quantum Informat Sci,Beijing Acad Quantum Informat Sci,16,29,6,0.344948,0.380513,0.009558,0.009558,0.02858,0.000273,0.029114,0.029114,4,0.140486,0.319215,0.594585,0.190476,"#ffaaff"
Tsinghua Univ,Tsinghua Univ,33,50,6,0.388998,0.446002,0.053841,0.053841,0.006552,0.000353,0.105656,0.105656,4,0.440609,0.917598,0.946731,0.333333,"#b0c2ff"
CALTECH,CALTECH,23,35,6,0.373233,0.424158,0.006146,0.006146,0.018503,0.000114,0.140535,0.140535,2,0.525649,0.65427,0.191845,0.231293,"#d545b7"
IonQ,IonQ,6,13,7,0.312057,0.344595,0.002647,0.002647,0.122797,0.000325,0.024247,0.024247,0,0.094476,0.427027,0.178037,0.081633,"#b7c9ff"
QuSoft,QuSoft,3,7,8,0.185133,0.195602,0.001728,0.001728,0.307692,0.000532,0.000024,0.000024,9,0.002796,0.359138,0.972109,0.040816,"#59e700"
Univ Amsterdam,Univ Amsterdam,3,7,8,0.185133,0.195602,0.001728,0.001728,0.307692,0.000532,0.000024,0.000024,9,0.002796,0.485013,0.755778,0.040816,"#59e700"
Univ Oxford,Univ Oxford,66,87,6,0.431843,0.51048,0.107511,0.107511,0.001271,0.000137,0.199538,0.199538,1,0.8324,0.586458,0.334631,0.585034,"#0099ff"
Basque Fdn Sci,Basque Fdn Sci,20,28,5,0.348899,0.390109,0.014335,0.014335,0.013969,0.0002,0.031394,0.031394,4,0.15912,0.898764,0.510964,0.183673,"#ff8600"
Shanghai Univ,Shanghai Univ,9,14,5,0.312796,0.34154,0.002396,0.002396,0.101234,0.000243,0.014558,0.014558,4,0.0763,0.405108,0.463923,0.088435,"#008885"
Univ Basque Country,Univ Basque Country,20,24,5,0.358696,0.399916,0.010817,0.010817,0.021214,0.000229,0.03901,0.03901,4,0.187702,0.645077,0.632953,0.156463,"#462d20"
Peking Univ,Peking Univ,5,10,7,0.329725,0.354022,0.002746,0.002746,0.256838,0.000705,0.02044,0.02044,4,0.084809,0.08001,0.30602,0.061224,"#e2c6c9"
Georgia Inst Technol,Georgia Inst Technol,8,12,7,0.339041,0.373972,0.000974,0.000974,0.256284,0.00025,0.044956,0.044956,0,0.174891,0.017691,0.845953,0.07483,"#ff5d77"
Swansea Univ,Swansea Univ,17,31,6,0.365314,0.405345,0.003955,0.003955,0.034441,0.000136,0.0725,0.0725,5,0.304858,0.426565,0.473309,0.204082,"#009047"
Georgia Tech Res Inst,Georgia Tech Res Inst,12,20,7,0.339914,0.377255,0.00229,0.00229,0.056404,0.000129,0.04867,0.04867,0,0.19297,0.283958,0.834956,0.129252,"#d83b28"
Oak Ridge Natl Lab,Oak Ridge Natl Lab,2,5,8,0.261559,0.27932,0,0,2.571429,0,0.004152,0.004152,0,0.017349,0.974289,0.144891,0.027211,"#00dbff"
Hefei Natl Lab,Hefei Natl Lab,12,19,7,0.306265,0.336977,0.009082,0.009082,0.034689,0.000315,0.01221,0.01221,4,0.066905,0.594417,0.059349,0.122449,"#5ed0f1"
Leibniz Univ Hannover,Leibniz Univ Hannover,9,14,6,0.360328,0.391835,0.001465,0.001465,0.111866,0.000164,0.050512,0.050512,5,0.208873,0.842039,0.206781,0.088435,"#008885"
Phys Tech Bundesanstalt,Phys Tech Bundesanstalt,19,26,6,0.390918,0.431566,0.010063,0.010063,0.028285,0.000285,0.089977,0.089977,9,0.371349,0.464912,0.055626,0.170068,"#3e5700"
Natl Univ Sci & Technol MISIS,Natl Univ Sci & Technol MISIS,8,11,6,0.339914,0.373737,0.003465,0.003465,0.084723,0.000294,0.04441,0.04441,5,0.18874,0.409654,0.727754,0.068027,"#00d8f0"
Russian Quantum Ctr,Russian Quantum Ctr,10,13,6,0.340792,0.376684,0.013798,0.013798,0.033329,0.00046,0.044636,0.044636,5,0.190726,0.199833,0.832883,0.081633,"#b7c9ff"
Palacky Univ,Palacky Univ,6,10,6,0.325658,0.355513,0.010359,0.010359,0.079825,0.000827,0.024817,0.024817,7,0.109872,0.094143,0.452146,0.061224,"#e2c6c9"
Tech Univ Denmark,Tech Univ Denmark,1,4,7,0.24581,0.258345,0,0,6,0,0.001278,0.001278,7,0.006171,0.263785,0.546045,0.020408,"#952e4a"
Perimeter Inst Theoret Phys,Perimeter Inst Theoret Phys,17,21,6,0.391304,0.430513,0.012806,0.012806,0.031553,0.000404,0.089885,0.089885,6,0.359255,0.817061,0.610484,0.136054,"#005433"
Univ Waterloo,Univ Waterloo,22,26,6,0.388616,0.433039,0.018997,0.018997,0.016067,0.000305,0.081113,0.081113,6,0.335152,0.758772,0.752159,0.170068,"#3e5700"
Q CTRL Pty Ltd,Q CTRL Pty Ltd,5,9,6,0.345248,0.373527,0.000567,0.000567,0.244407,0.000139,0.030626,0.030626,33,0.123795,0.014174,0.15249,0.054422,"#00485c"
Univ Sydney,Univ Sydney,30,38,6,0.401623,0.453535,0.039458,0.039458,0.007669,0.000303,0.118213,0.118213,33,0.478677,0.841496,0.334508,0.251701,"#d4d693"
Quantinuum,Quantinuum,22,30,7,0.353887,0.403139,0.015067,0.015067,0.010901,0.000164,0.078292,0.078292,2,0.305297,0.415497,0.04468,0.197279,"#69427a"
Univ Complutense,Univ Complutense,18,27,6,0.379674,0.419823,0.00903,0.00903,0.023957,0.000216,0.073035,0.073035,5,0.307097,0.132557,0.317769,0.176871,"#ffb656"
AQT,AQT,10,13,6,0.341085,0.372685,0.000246,0.000246,0.084239,0.000021,0.049112,0.049112,5,0.203496,0.060173,0.456583,0.081633,"#b7c9ff"
ASTAR,ASTAR,14,17,6,0.309617,0.343056,0.003042,0.003042,0.044274,0.000135,0.013482,0.013482,7,0.097968,0.904747,0.925013,0.108844,"#2a9700"
Nanyang Technol Univ,Nanyang Technol Univ,17,19,6,0.328086,0.36633,0.016407,0.016407,0.022146,0.000363,0.01871,0.01871,7,0.122313,0.557708,0.715382,0.122449,"#5ed0f1"
Univ Siegen,Univ Siegen,9,13,6,0.327815,0.360354,0.007877,0.007877,0.096639,0.000761,0.032803,0.032803,5,0.142289,0.088792,0.823935,0.081633,"#b7c9ff"
Univ Basque Country UPV EHU,Univ Basque Country UPV EHU,6,10,6,0.267387,0.290446,0.000892,0.000892,0.150754,0.000134,0.004529,0.004529,4,0.027739,0.856012,0.878734,0.061224,"#e2c6c9"
Shanxi Univ,Shanxi Univ,3,7,7,0.256976,0.272415,0,0,0.559441,0,0.00269,0.00269,4,0.014853,0.035645,0.525386,0.040816,"#59e700"
Chinese Acad Sci,Chinese Acad Sci,9,11,2,0.909091,0.95,0.000289,0.000289,0.038095,0.000011,0,0,8,0.008851,0.357706,0.099425,0.068027,"#00d8f0"
Univ Chinese Acad Sci,Univ Chinese Acad Sci,3,5,3,0.555556,0.633333,0,0,0.428571,0,0,0,8,0.003652,0.152133,0.662027,0.027211,"#00dbff"
Colorado Sch Mines,Colorado Sch Mines,22,25,6,0.372531,0.419907,0.005406,0.005406,0.020476,0.000111,0.134441,0.134441,2,0.50581,0.621321,0.733577,0.163265,"#00dbae"
Google Res,Google Res,9,13,7,0.318072,0.356169,0.000451,0.000451,0.15244,0.000069,0.045603,0.045603,0,0.174471,0.5594,0.67868,0.081633,"#b7c9ff"
HYQ Co Ltd,HYQ Co Ltd,3,8,7,0.282252,0.30398,0,0,0.745763,0,0.006398,0.006398,4,0.030493,0.405907,0.806173,0.047619,"#ff6fdf"
Harvard Smithsonian Ctr Astrophys,Harvard Smithsonian Ctr Astrophys,19,22,6,0.402439,0.444066,0.005418,0.005418,0.043288,0.000235,0.126653,0.126653,2,0.485244,0.206924,0.878878,0.142857,"#ff287b"
Univ Copenhagen,Univ Copenhagen,9,12,6,0.367688,0.401094,0.001649,0.001649,0.229709,0.000379,0.072464,0.072464,2,0.283237,0.40908,0.073822,0.07483,"#ff5d77"
Huazhong Univ Sci & Technol,Huazhong Univ Sci & Technol,7,11,7,0.288,0.315428,0,0,0.211285,0,0.009945,0.009945,4,0.053814,0.874662,0.893983,0.068027,"#00d8f0"
Wesleyan Univ,Wesleyan Univ,2,5,7,0.30137,0.328601,0,0,2.769231,0,0.014545,0.014545,0,0.055947,0.539985,0.974901,0.027211,"#00dbff"
Lawrence Livermore Natl Lab,Lawrence Livermore Natl Lab,12,18,6,0.367347,0.407449,0.001729,0.001729,0.144263,0.000249,0.081603,0.081603,1,0.319182,0.892,0.772249,0.115646,"#ffa394"
Natl Univ Singapore,Natl Univ Singapore,33,37,6,0.404082,0.456608,0.034306,0.034306,0.005835,0.0002,0.128572,0.128572,1,0.535652,0.237101,0.671454,0.244898,"#ff9dcc"
Oxford Ion,Oxford Ion,3,6,6,0.316294,0.341835,0,0,2.282158,0,0.018667,0.018667,1,0.076987,0.486108,0.56527,0.034014,"#9b7b00"
Swiss Fed Inst Technol,Swiss Fed Inst Technol,34,42,6,0.424437,0.477525,0.031091,0.031091,0.011173,0.000347,0.189632,0.189632,1,0.747641,0.947468,0.735577,0.278912,"#ff9a58"
Univ Michigan,Univ Michigan,17,23,6,0.368715,0.41149,0.009728,0.009728,0.030115,0.000293,0.0734,0.0734,0,0.295218,0.100034,0.918338,0.14966,"#00e060"
US Army,US Army,8,10,7,0.336449,0.368837,0.000176,0.000176,0.154091,0.000027,0.044779,0.044779,0,0.172927,0.526661,0.765409,0.061224,"#e2c6c9"
Univ Texas San Antonio,Univ Texas San Antonio,11,16,6,0.359673,0.397559,0.001702,0.001702,0.09286,0.000158,0.062088,0.062088,1,0.247001,0.141152,0.449421,0.102041,"#008fc6"
Univ Sussex,Univ Sussex,7,10,7,0.308652,0.338624,0.002374,0.002374,0.13904,0.00033,0.015709,0.015709,9,0.072143,0.088439,0.402297,0.061224,"#e2c6c9"
Universal Quantum Ltd,Universal Quantum Ltd,5,7,7,0.304615,0.332143,0.000687,0.000687,0.272406,0.000187,0.014037,0.014037,9,0.062955,0.182637,0.978723,0.040816,"#59e700"
Aarhus Univ,Aarhus Univ,4,5,7,0.226674,0.241781,0.010342,0.010342,0.193548,0.002002,0.000434,0.000434,9,0.005751,0.457169,0.781222,0.027211,"#00dbff"
Hebrew Univ Jerusalem,Hebrew Univ Jerusalem,8,9,6,0.291391,0.316372,0.020936,0.020936,0.05392,0.001129,0.007954,0.007954,9,0.040656,0.771,0.26705,0.054422,"#00485c"
Army Res Lab,Army Res Lab,4,5,6,0.341674,0.37016,0,0,2.044376,0,0.034202,0.034202,2,0.131709,0.217962,0.661153,0.027211,"#00dbff"
CSIC,CSIC,12,15,6,0.338173,0.373527,0.021631,0.021631,0.045317,0.00098,0.037652,0.037652,5,0.165128,0.617453,0.086611,0.095238,"#a07e4d"
Max Planck Inst Quantum Opt,Max Planck Inst Quantum Opt,14,17,6,0.37931,0.415867,0.003542,0.003542,0.05981,0.000212,0.075494,0.075494,2,0.309267,0.132241,0.110658,0.108844,"#2a9700"
Tech Univ Munich,Tech Univ Munich,11,13,6,0.354204,0.388258,0.00843,0.00843,0.100765,0.000849,0.046941,0.046941,4,0.202337,0.174912,0.352269,0.081633,"#b7c9ff"
Univ Carlos III Madrid,Univ Carlos III Madrid,3,6,6,0.321429,0.347264,0,0,2.965162,0,0.024667,0.024667,5,0.104829,0.464365,0.116757,0.034014,"#9b7b00"
China Acad Engn Phys,China Acad Engn Phys,7,10,7,0.288,0.315428,0,0,0.211285,0,0.009945,0.009945,4,0.053814,0.261154,0.794774,0.061224,"#e2c6c9"
Frontier Sci Ctr Quantum Informat,Frontier Sci Ctr Quantum Informat,7,9,7,0.288,0.315428,0,0,0.211285,0,0.009945,0.009945,4,0.053814,0.672032,0.641837,0.054422,"#00485c"
Renmin Univ China,Renmin Univ China,7,8,7,0.288,0.315428,0,0,0.211285,0,0.009945,0.009945,4,0.053814,0.670612,0.380027,0.047619,"#ff6fdf"
Charles Univ Prague,Charles Univ Prague,2,3,7,0.245963,0.259608,0,0,0.75,0,0.001347,0.001347,7,0.007165,0.772819,0.964211,0.013605,"#ff6712"
Dartmouth Coll,Dartmouth Coll,3,4,7,0.28884,0.308724,0,0,0.588235,0,0.007101,0.007101,33,0.030168,0.483976,0.650071,0.020408,"#952e4a"
Delft Univ Technol,Delft Univ Technol,16,17,6,0.366327,0.405303,0.012099,0.012099,0.024344,0.000295,0.055194,0.055194,2,0.224307,0.606884,0.662854,0.108844,"#2a9700"
Netherlands Org Appl Sci Res TNO,Netherlands Org Appl Sci Res TNO,3,4,7,0.27673,0.296477,0.000117,0.000117,1.197279,0.00014,0.00548,0.00548,2,0.024727,0.0864,0.57215,0.020408,"#952e4a"
Princeton Univ,Princeton Univ,23,28,6,0.38484,0.430598,0.017459,0.017459,0.014667,0.000256,0.089938,0.089938,9,0.359768,0.178744,0.475761,0.183673,"#ff8600"
Sandia Natl Labs,Sandia Natl Labs,16,18,6,0.359673,0.400126,0.006062,0.006062,0.026577,0.000161,0.078405,0.078405,0,0.29887,0.732091,0.15192,0.115646,"#ffa394"
Univ Arizona,Univ Arizona,10,12,7,0.344049,0.37957,0.000873,0.000873,0.110433,0.000096,0.05895,0.05895,2,0.224681,0.228959,0.384411,0.07483,"#ff5d77"
Louisiana State Univ,Louisiana State Univ,9,13,7,0.337021,0.370942,0.000034,0.000034,0.155717,0.000005,0.0447,0.0447,0,0.176247,0.869252,0.935719,0.081633,"#b7c9ff"
Univ Massachusetts,Univ Massachusetts,19,23,6,0.386719,0.429125,0.007723,0.007723,0.030283,0.000234,0.081814,0.081814,0,0.327348,0.190606,0.783903,0.14966,"#00e060"
New Cornerstone Sci Lab,New Cornerstone Sci Lab,3,6,7,0.282252,0.30398,0,0,0.745763,0,0.006398,0.006398,4,0.030493,0.367193,0.554614,0.034014,"#9b7b00"
Univ Pittsburgh,Univ Pittsburgh,10,12,7,0.341969,0.378096,0.000583,0.000583,0.118444,0.000069,0.056191,0.056191,2,0.214657,0.749424,0.179458,0.07483,"#ff5d77"
Southern Univ Sci & Technol,Southern Univ Sci & Technol,14,15,6,0.316294,0.350421,0.014402,0.014402,0.032352,0.000466,0.016325,0.016325,4,0.084455,0.161794,0.399922,0.095238,"#a07e4d"
INRIA Paris Rocquencourt,INRIA Paris Rocquencourt,1,2,8,0.232394,0.245265,0,0,3,0,0.000822,0.000822,0,0.003654,0.254992,0.005195,0.006803,"#3de6a2"
Yale Univ,Yale Univ,3,4,7,0.302521,0.330916,0.003465,0.003465,0.308483,0.001069,0.015958,0.015958,0,0.062485,0.835545,0.575858,0.020408,"#952e4a"
Imperial Coll London,Imperial Coll London,7,8,6,0.338462,0.370286,0.003381,0.003381,0.176475,0.000597,0.026531,0.026531,9,0.11645,0.395187,0.160363,0.047619,"#ff6fdf"
