ranking,superconduc,trapped-ion,spin,photonic,neutral-atom
1,US(1351),US(239),US(530),US(299),US(80)
2,CN(877),GB(83),DE(253),CN(284),CN(47)
3,DE(408),DE(73),CN(212),DE(143),DE(28)
4,JP(325),CN(65),GB(180),GB(140),GB(17)
5,GB(304),AT(59),JP(176),CA(72),FR(13)
6,FR(230),ES(32),AU(164),JP(66),RU(11)
7,CA(202),CA(27),NL(127),FR(65),AT(9)
8,CH(179),AU(26),FR(111),AU(63),SG(8)
9,RU(173),CH(23),CH(110),IT(62),IT(7)
10,ES(145),IL(20),CA(78),ES(56),KR(6)
11,NL(137),IT(18),ES(78),AT(53),DK(5)
12,IT(135),FR(17),IT(47),CH(40),CA(4)
13,AU(115),NL(14),PL(43),KR(40),CH(3)
14,DK(97),SG(14),DK(38),SG(36),ES(3)
15,SE(97),DK(12),AT(34),DK(31),IL(3)
16,FI(88),CZ(12),SE(32),RU(29),EG(2)
17,SG(65),JP(11),RU(28),NL(28),JP(2)
18,IN(63),KR(10),KR(25),BR(27),NZ(1)
19,AT(60),RU(10),IL(21),IL(26),GR(1)
20,KR(55),BR(9),HU(19),IN(24),IE(1)
