ranking,superconducting,trapped-ion,spin,photonic
1,Chinese Acad Sci(140),Univ Innsbruck(52),Delft Univ Technol(107),Univ Sci & Technol China(66)
2,Yale Univ(136),Univ Maryland(50),Univ New South Wales(84),MIT(38)
3,Univ Sci & Technol China(127),Austrian Acad Sci(45),Univ Basel(66),Univ Chicago(30)
4,RIKEN(126),Univ Oxford(36),Univ Maryland(62),Univ Maryland(29)
5,MIT(120),Duke Univ(32),Harvard Univ(49),Harvard Univ(28)
6,Tsinghua Univ(119),IonQ Inc(27),RIKEN(45),Univ Vienna(26)
7,Delft Univ Technol(105),NIST(22),Univ Grenoble Alpes(45),Univ Bristol(26)
8,Nanjing Univ(104),MIT(20),Univ Konstanz(44),Natl Univ Singapore(25)
9,Univ Calif Santa Barbara(101),Quantinuum(19),Rhein Westfal TH Aachen(42),Austrian Acad Sci(24)
10,NIST(86),Harvard Univ(18),Univ Sci & Technol China(42),Nanjing Univ(24)
11,Univ Calif Berkeley(85),Univ Colorado(17),Univ Oxford(38),Stanford Univ(23)
12,Univ Chicago(85),Tsinghua Univ(16),Purdue Univ(36),CALTECH(23)
13,Univ Chinese Acad Sci(83),Univ Sydney(16),Univ Melbourne(36),Univ Tokyo(21)
14,Zhejiang Univ(83),Univ Calif Berkeley(16),Forschungszentrum Julich(36),Max Planck Inst Quantum Opt(21)
15,Karlsruhe Inst Technol(81),Univ Oregon(14),Princeton Univ(36),Univ Waterloo(21)
16,Univ Maryland(81),Swiss Fed Inst Technol(12),Chinese Acad Sci(35),Shanxi Univ(20)
17,Aalto Univ(72),Natl Inst Stand & Technol(12),Keio Univ(33),Univ Calgary(19)
18,Univ Waterloo(72),Sandia Natl Labs(12),Sandia Natl Labs(32),Univ Oxford(18)
19,Univ Michigan(68),Weizmann Inst Sci(11),Argonne Natl Lab(32),Univ Copenhagen(18)
20,Swiss Fed Inst Technol(66),Univ Waterloo(10),Ruhr Univ Bochum(31),Univ Cambridge(17)
