DOI,Country Code,Institutions
10.1038/nature11573,CH,Swiss Fed Inst Technol
10.1038/s41586-018-0450-2,FR,Univ Paris Saclay
10.1103/PhysRevA.107.012605,CA,Univ Calgary
10.1103/PRXQuantum.3.010344,US,"MIT,Duke Univ"
10.1038/s41534-023-00737-1,US,"Sandia Natl Labs,MITRE Corp,MIT,Univ Arizona"
10.1103/PhysRevA.110.022607,US,"Univ Colorado,JILA,Natl Inst Stand & Technol"
10.1140/epjqt/s40507-024-00250-0,RU,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1038/nature11120,"AT,DE","Univ Innsbruck,Phys Tech Bundesanstalt,Leibniz Univ Hannover,Austrian Acad Sci"
10.1364/OPTICA.512155,US,"Princeton Univ,Duke Univ"
10.1002/qute.202300007,US,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1103/PhysRevX.12.011040,US,Univ Chicago
10.1038/s41586-024-08005-8,US,"CALTECH,Stanford Univ"
10.3390/e25020387,RU,"Russian Quantum Ctr,Natl Univ Sci & Technol MISIS"
10.1103/PhysRevX.13.041035,"DE,US,GB","Univ Colorado,Natl Inst Stand & Technol,Univ Bonn"
10.1063/5.0149778,US,MIT
10.1088/0953-4075/46/18/185502,CN,Fuzhou Univ
10.1070/QEL16663,RU,"Russian Acad Sci,Novosibirsk State Univ,Novosibirsk State Tech Univ"
10.1002/qute.202300192,IT,"Univ Florence,European Lab Non Linear Spect LENS,CINECA,Consiglio Nazl Ric CNR"
10.1103/PhysRevLett.119.180503,DE,Univ Bonn
10.1103/PhysRevLett.115.043003,US,Penn State Univ
10.1103/PhysRevApplied.18.044042,"CN,GB","Northeast Normal Univ,Univ Nottingham"
10.1038/s41567-022-01678-w,US,"Univ Colorado,NIST,Los Alamos Natl Lab"
10.3390/photonics10111280,"CN,EG,RU,GB","Novosibirsk State Univ,RAS,Al Azhar Univ,Novosibirsk State Tech Univ,Chinese Acad Sci,Wuhan Inst Quantum Technol,Open Univ"
10.1103/PhysRevA.85.033414,US,Univ Nevada
10.1103/PhysRevA.94.062307,"RU,US,GB","Rzhanov Inst Semicond Phys SB RAS,Novosibirsk State Univ,Univ Wisconsin,Open Univ,Inst Appl Phys RAS"
10.1103/PhysRevLett.126.200603,"DE,US,GB","Univ Strathclyde,Brandeis Univ,Univ Stuttgart"
10.1002/qute.202300398,"KR,GB","Korea Adv Inst Sci & Technol KAIST,Korea Univ,Pasqal Korea"
10.1364/OE.410158,CN,Northeast Normal Univ
10.1103/PhysRevApplied.11.044035,CN,Xidian Univ
10.1103/PhysRevA.108.032620,"KR,ES","Univ Complutense,Seoul Natl Univ"
10.1007/s11467-021-1069-6,CN,Xidian Univ
10.1038/s41567-020-0903-z,"CA,US","CALTECH,Univ Waterloo"
10.1103/PhysRevLett.129.200501,GB,Univ Strathclyde
10.1364/PRJ.415795,CN,"Harbin Inst Technol,Zhengzhou Univ,Fuzhou Univ"
10.1103/PhysRevA.104.012615,CN,Xidian Univ
10.1038/ncomms13005,US,MIT
10.1103/PhysRevLett.121.240501,CN,"Chinese Acad Sci,Univ Chinese Acad Sci"
10.1103/PhysRevA.87.052314,US,"Univ New Mexico,Sandia Natl Labs"
10.1364/OE.23.023571,CN,Shanxi Univ
10.1038/NPHYS1778,NZ,Univ Otago
10.1016/j.optcom.2014.11.038,US,Northwestern Univ
10.1088/1367-2630/12/6/065027,DE,Univ Bonn
10.1103/PhysRevA.107.023102,CN,Xidian Univ
10.1103/PhysRevA.85.012328,US,"Univ Connecticut,Harvard Smithsonian Ctr Astrophys"
10.1007/s11128-011-0297-z,DE,Tech Univ Darmstadt
10.1103/PhysRevApplied.18.014016,DE,Tech Univ Darmstadt
10.1103/PhysRevA.96.042306,"DK,GR,US","Aarhus Univ,FORTH,Univ Wisconsin"
10.1103/PhysRevA.103.012415,US,"Univ Texas Dallas,Univ Texas Austin"
10.1103/PhysRevA.110.042821,"DE,US","Atom Comp Inc,Univ Stuttgart,Friedrich Alexander Univ Erlangen Nurnberg,Univ Bonn"
10.1038/nature16073,US,"NIST,Univ Colorado,Joint Quantum Inst"
10.1088/1402-4896/ad635b,CN,Zhengzhou Univ
10.1103/PhysRevX.8.011018,DE,"Max Planck Inst Quantum Opt,TOPTICA Photon AG"
10.1103/PhysRevApplied.13.024059,CN,"Chinese Acad Sci,Natl Univ Def Technol"
10.1103/PhysRevApplied.13.024008,CN,Xidian Univ
10.1103/PhysRevA.84.042315,"DE,IE,US","Univ Ulm,Free Univ Berlin,Univ Kassel,MIT,Natl Univ Ireland,Dublin Inst Adv Studies,Univ Calif Berkeley"
10.1103/PhysRevLett.121.123603,"FR,US","Harvard Univ,Sorbonne Univ,CALTECH,MIT"
10.1103/PhysRevLett.104.203601,DE,Max Planck Inst Quantum Opt
10.1063/5.0171334,"KR,ES","Univ Complutense,Seoul Natl Univ"
10.1007/s00340-023-08106-8,CN,"Natl Univ Def Technol,Hunan Key Lab Mech & Technol Quantum Informat,Hefei Natl Lab"
10.1103/PhysRevA.107.062609,US,"Univ New Mexico,Los Alamos Natl Lab,Univ Oklahoma"
10.1103/PhysRevA.81.012708,"DE,IT,PL,GB","Univ Ulm,Max Planck Inst Plasma Phys,Univ Warsaw,ECT"
10.1140/epjqt17,DK,Aarhus Univ
10.1088/1674-1056/21/4/040305,CN,"Fuzhou Univ,Univ Sci & Technol China"
10.1103/PRXQuantum.2.030322,US,Princeton Univ
10.1364/OE.480513,CN,Chinese Acad Sci
10.1103/PhysRevA.104.042422,CN,Xidian Univ
10.1134/S1019331613040047,RU,"RAS Siberian Branch ISP SB RAS,ISP SB RAS,Novosibirsk State Tech Univ"
10.1103/PhysRevA.106.032605,DE,Tech Univ Darmstadt
10.1103/PhysRevA.103.022410,DE,Tech Univ Darmstadt
10.1364/OL.44.004801,CN,South China Normal Univ
10.1103/PhysRevApplied.10.034006,CN,Xidian Univ
10.1103/PhysRevA.86.042321,DK,Univ Aarhus
10.1364/OPTICA.529577,CN,Shanxi Univ
10.22331/q-2023-10-09-1129,"DE,US","Ludwig Maximilians Univ Munchen,Munich Ctr Quantum Sci & Technol MCQST,Harvard Smithsonian Ctr Astrophys,Harvard Univ"
10.3389/fphy.2022.875673,"CN,KR,GB","Korea Adv Inst Sci & Technol,Xidian Univ"
10.22331/q-2020-09-21-327,FR,"Pasqal,Univ Paris Saclay,Quantonation"
10.1038/s41586-021-03582-4,"AT,US","Harvard Univ,QuEra Comp Inc,Univ Innsbruck,Austrian Acad Sci,Stanford Univ,Univ Calif Berkeley,MIT"
10.1140/epjp/s13360-022-03442-8,PK,"Univ Malakand Chakdara,Govt Degree Coll,Pakistan Inst Engn & Appl Sci,Gomal Univ"
10.1038/nature10319,DE,"Univ Siegen,Univ Ulm"
10.1364/OE.22.022111,AT,Vienna Univ Technol
10.1038/s41467-024-50355-4,US,"Univ Chicago,Ctr Nanoscale Mat,Argonne Natl Lab"
10.1103/PRXQuantum.4.020336,"FR,US","Univ Strasbourg,CNRS,Princeton Univ"
10.1103/PhysRevLett.128.123601,US,Univ Michigan
10.1140/epjqt/s40507-024-00219-z,CN,Xi An Jiao Tong Univ
10.1109/TCAD.2023.3261244,CN,"Univ Sci & Technol China,Chinese Acad Sci,Wuhan Inst Quantum Technol"
10.3367/UFNe.0186.201602k.0206,RU,"Russian Acad Sci,Novosibirsk State Univ"
10.1103/PhysRevA.101.030301,US,"Univ New Mexico,Los Alamos Natl Lab,Sandia Natl Labs,Univ Oklahoma"
10.1103/PhysRevLett.110.160402,"DE,IT,GB","Univ Cambridge,CNR,LENS,Univ Bonn"
10.1038/srep04298,"IT,SG","CNR MATIS IMM,Dipartimento Fis & Astron,Natl Univ Singapore,Nanyang Technol Univ"
10.1038/s41467-022-29977-z,US,Atom Comp Inc
10.1103/PhysRevLett.124.153201,CN,"Chinese Acad Sci,Univ Chinese Acad Sci,Qingdao Univ Sci & Technol"
10.1103/PhysRevX.11.011008,"DK,IL","Weizmann Inst Sci,Aarhus Univ"
10.1103/PhysRevX.14.011033,"AT,IL,US","Austrian Acad Sci,Univ Innsbruck,Hebrew Univ Jerusalem,CALTECH"
10.1038/s41586-023-05885-0,"CA,FR,DE,SG,ES,CH,US","Swiss Fed Inst Technol,Quside Technol SL,Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats,Univ Paris Saclay,Yale Univ,Univ Sherbrooke,Canadian Inst Adv Res,Alice & Bob,Rohde & Schwarz,Natl Univ Singapore"
10.1103/PhysRevLett.131.030602,GB,Univ Strathclyde
10.1103/PhysRevLett.119.220501,"AT,SE","Stockholm Univ,Univ Innsbruck"
10.1007/s00340-019-7366-x,CN,Natl Univ Def Technol
10.1103/PhysRevX.12.021028,US,Princeton Univ
10.1103/PhysRevA.109.042621,CN,South China Normal Univ
10.1088/1674-1056/28/2/023701,CN,Shanxi Univ
10.1103/PhysRevA.93.042329,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,Ist Nazl Fis Nucl"
10.1038/srep38356,"IT,SG","Natl Univ Singapore,Nanyang Technol Univ,CNRS UNS NUS NTU Int Joint Res Unit,Univ Catania,Ist Nazl Fis Nucl"
10.1103/PhysRevA.105.032618,"CH,US","Harvard Univ,QuEra Comp Inc,MIT,AWS Ctr Quantum Comp,Google Switzerland GmbH"
10.1103/PhysRevA.95.052330,BE,Univ Liege
10.1134/S1063776120010215,RU,"Russian Acad Sci,Novosibirsk State Univ,Novosibirsk State Tech Univ"
10.1103/PhysRevApplied.22.024011,US,"Univ Wisconsin Madison,Infleqtion Inc"
10.1038/s41567-019-0478-8,US,Penn State Univ
10.1103/PhysRevLett.132.150606,DE,Univ Stuttgart
10.1103/PhysRevLett.123.170503,US,"Harvard Univ,Gordon Coll,Univ Chicago,MIT,Harvard Smithsonian Ctr Astrophys"
10.1088/1367-2630/ad1e90,US,Yale Univ
10.1103/PhysRevLett.114.100503,US,Univ Wisconsin
10.1063/5.0153617,US,"NY CREATES,NIST,Brookhaven Natl Lab,SUNY Polytech Inst,Neutral Phys Corp"
10.1143/JPSJ.80.114003,JP,Kinki Univ
10.1038/s41586-023-06438-1,"FR,US","Princeton Univ,Univ Strasbourg,CNRS,aQCess,Yale Univ,Univ Michigan"
