DOI,Country Code,Institutions
10.1038/nature11573,CH,Swiss Fed Inst Technol
10.1038/ncomms2764,"FR,DE,GB","Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1038/NPHYS2385,US,Univ Calif Santa Barbara
10.1103/PhysRevApplied.19.034001,US,"Univ Maryland Coll Pk,Univ Maryland,MIT,US Army"
10.1109/JPHOT.2021.3136502,US,Univ Maryland
10.1038/s41467-021-24693-6,"FR,DE,PA","Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1103/PhysRevB.85.075413,FI,Aalto Univ
10.1038/s41534-023-00737-1,US,"Sandia Natl Labs,MITRE Corp,MIT,Univ Arizona"
10.1109/JPHOT.2013.2252005,JP,"Univ Tokyo,RIKEN,NEC Corp Ltd"
10.1038/NPHOTON.2013.41,US,"USN,Sotera Def Solut Inc"
10.1103/PhysRevLett.110.140403,DE,Max Planck Inst Quantum Opt
10.1038/s41586-021-03268-x,US,"Natl Inst Stand & Technol,Univ Colorado"
10.1364/PRJ.434217,CN,"Beijing Computat Sci Res Ctr,Anhui Univ,Univ Sci & Technol China,CAS Ctr Excellence Quantum Informat & Quantum Phy,Capital Normal Univ"
10.1038/s41427-023-00510-y,"CN,GB","Yunnan Univ,Kunming Univ,Yunnan OceanDeepland Organ Optoelect Technol Ltd,UCL,Imperial Coll London"
10.1073/pnas.1207329109,"CN,DE,TW","Univ Sci & Technol China,Heidelberg Univ,Natl Cheng Kung Univ"
10.1038/ncomms2277,NL,"Delft Univ Technol,Philips Innovat Serv Eindhoven,Eindhoven Univ Technol"
10.1038/ncomms6786,"FR,DE,NL","Eindhoven Univ Technol,Max Planck Inst Phys Komplexer Syst"
10.1038/s41467-023-37518-5,ES,"Barcelona Inst Sci & Technol,ICREA Inst Catalana Recerca & Estudis Avancats"
10.1038/NPHYS2748,US,Univ Calif Santa Barbara
10.1038/NNANO.2010.6,"DE,US","Harvard Univ,Tech Univ Munich,Texas A&M Univ"
10.1103/PhysRevA.103.052610,US,"Washington Univ,Univ Michigan"
10.1088/1361-6455/ac2984,AU,Griffith Univ
10.1103/PhysRevB.101.235303,"JP,NL","Univ Tokyo,Univ Electrocommun,Kyoto Inst Technol,Univ Twente"
10.1103/PRXQuanttun.2.020331,AT,"Austrian Acad Sci,Univ Innsbruck"
10.1088/1367-2630/16/2/023019,"CA,NL,US","Inst Quantum Comp,Waterloo Inst Nanotechnol,Univ Waterloo,Delft Univ Technol,Perimeter Inst Theoret Phys,Harvard Univ"
10.1103/PhysRevA.95.022305,"CN,ES","Shanghai Univ,Univ Basque Country UPV EHU,Basque Fdn Sci"
10.1002/qute.202300007,US,"JTEC Consulting,Univ Texas Dallas,Kennesaw State Univ"
10.1103/PhysRevB.86.035313,FI,Aalto Univ
10.1103/PhysRevLett.113.160504,"CA,IL,JP","Univ Toronto,Technion Israel Inst Technol,Canadian Inst Adv Res,Univ Tokyo"
10.1038/npjqi.2016.6,GB,"Toshiba Res Europe Ltd,Univ Cambridge,Univ Sheffield"
10.1103/PhysRevX.7.031049,"AT,DE,SG,US,GB","Univ Innsbruck A,Austrian Acad Sci,Natl Univ Singapore,Univ Oxford,Harvard Univ,Harvard Smithsonian Ctr Astrophys,Max Planck Inst Quantum Opt"
10.1038/srep01180,"JP,US,GB","RIKEN,Natl Inst Informat,Univ Michigan,Stanford Univ"
10.1073/pnas.1305920110,"DE,US","Univ Calif Santa Barbara,Univ Konstanz,Univ Chicago"
10.1103/PhysRevX.11.031049,"AT,SG,GB","Univ Vienna,VitreaLab GmbH,Entrop Labs,Natl Univ Singapore,Singapore Univ Technol & Design,Univ Innsbruck,Univ Oxford,Osterreich Akad Wissenscha,Alpine Quantum Technol GmbH,Horizon Quantum Comp"
10.1088/0953-4075/45/12/124018,US,"Northwestern Univ,Texas A&M Univ"
