DOI,Article Title,Abstract,Country Code,Institutions,Publication Year,isSuperconducting,isTrappedIon,isPhotonic,isSpin
10.1109/JPHOT.2021.3136502,Design of an Integrated Bell-State Analyzer on a Thin-Film Lithium Niobate Platform,"Trapped ions are excellent candidates for quantum computing and quantum networks because of their long coherence times, ability to generate entangled photons as well as high fidelity single- and two-qubit gates. To scale up trapped ion quantum computing, we need a Bell-state analyzer on a reconfigurable platform that can herald high fidelity entanglement between ions. In this work, we design a photonic Bell-state analyzer on a reconfigurable thin-film lithium niobate platform for polarization-encoded qubits. We optimize the device to achieve high fidelity entanglement between two trapped ions and find >99% fidelity. Apart from that, the directional coupler used in our design can achieve any polarization-independent power splitting ratio which can have a rich variety of applications in the integrated photonic technology. The proposed device can scale up trapped ion quantum computing as well as other optically active spin qubits, such as color centers in diamond, quantum dots, and rare-earth ions.",US,Univ Maryland,2022,0,1,1,1
10.1103/PhysRevB.96.201304,Ultracoherent operation of spin qubits with superexchange coupling,"With the use of nuclear-spin-free materials such as silicon and germanium, spin-based quantum bits (qubits) have evolved to become among the most coherent systems for quantum information processing. The new frontier for spin qubits has therefore shifted to the ubiquitous charge noise and spin-orbit interaction, which are limiting the coherence times and gate fidelities of solid-state qubits. In this paper we investigate superexchange, as a means of indirect exchange interaction between two single electron spin qubits, each embedded in a single semiconductor quantum dot (QD), mediated by an intermediate, empty QD. Our results suggest the existence of supersweet spots, in which the qubit operations implemented by superexchange interaction are simultaneously first-order-insensitive to charge noise and to errors due to spin-orbit interaction. The proposed spin-qubit architecture is scalable and within the manufacturing capabilities of semiconductor industry.","DE,CH","Univ Konstanz,Univ Basel",2017,0,0,0,1
10.1038/s42005-021-00767-1,Geometric entanglement of a photon and spin qubits in diamond,"Geometric nature, which appears in photon polarization, also appears in spin polarization under a zero magnetic field. These two polarized quanta, one travelling in vacuum and the other staying in matter, behave the same as geometric quantum bits or qubits, which are promising for noise resilience compared to the commonly used dynamic qubits. Here we show that geometric photon and spin qubits are entangled upon spontaneous emission with the help of the spin - orbit entanglement inherent in a nitrogen-vacancy center in diamond. The geometric spin qubit is defined in a degenerate subsystem of spin triplet electrons and manipulated with a polarized microwave. An experiment shows an entanglement state fidelity of 86.8%. The demonstrated entangled emission, combined with previously demonstrated entangled absorption, generates purely geometric entanglement between remote matters in a process that is insensitive of time, frequency, and space mode matching, which paves the way for building a noise-resilient quantum repeater network or a quantum internet. Preserving the entanglement of quantum bits is essential for the operation for all quantum technologies. Here, the geometric nature of spins in a diamond nitrogen vacancy is leveraged to improve the fidelity of entanglement with a spontaneously emitted photon.","JP,GB",Yokohama Natl Univ,2021,0,0,0,1
10.1039/d4qi01782j,A 3D-assembled endohedral nitrogen fullerene in a metal-organic framework toward spin qubit and quantum sensors,"To realize quantum information processing, quantum bits are required to have considerable quantum coherence, addressability, and scalability. Arranging and stacking the high-dimensional quantum bits with superior coherence is an important approach to realizing the scalability of quantum systems. Endohedral nitrogen fullerene is a promising molecule-based quantum material with a long quantum coherence time, which is expected to be applied to the construction of high-dimensional quantum bit arrays for quantum information processing. In this work, endohedral nitrogen fullerene molecules were embedded in a 3D metal-organic framework yielding N@C60@MOF-177. X-band electron paramagnetic characterization of the energy levels and spin dynamics shows that this system can be used as a spin qubit. The magnitude of the zero-field splitting of the system at low temperatures was properly resolved. Furthermore, the influencing factors on the spin coherence time at low temperatures were investigated by spin dynamic characterization, and the presence of the proton in the environment was detected by ESEEM experiments, which further reveals the feasibility of N@C60 as a spin quantum sensor. A molecule-based spin qubit and quantum sensor candidate, N@C60, was developed to detect the 1H nuclei in a metal-organic framework through pulsed-EPR.",CN,"South China Univ Technol,Natl Univ Def Technol,Sun Yat sen Univ,Peking Univ",2024,0,0,0,1
10.1088/1367-2630/18/5/053024,Initialization of a spin qubit in a site-controlled nanowire quantum dot,"A fault-tolerant quantum repeater or quantum computer using solid-state spin-based quantum bits will likely require a physical implementation with many spins arranged in a grid. Self-assembled quantum dots (QDs) have been established as attractive candidates for building spin-based quantum information processing devices, but such QDs are randomly positioned, which makes them unsuitable for constructing large-scale processors. Recent efforts have shown that QDs embedded in nanowires can be deterministically positioned in regular arrays, can store single charges, and have excellent optical properties, but so far there have been no demonstrations of spin qubit operations using nanowire QDs. Here we demonstrate optical pumping of individual spins trapped in site-controlled nanowire QDs, resulting in high-fidelity spin-qubit initialization. This represents the next step towards establishing spins in nanowire QDs as quantum memories suitable for use in a large-scale, fault-tolerant quantum computer or repeater based on all-optical control of the spin qubits.","CA,JP,SE,US","Stanford Univ,Univ Sherbrooke,Natl Res Council Canada,Univ Waterloo,KTH Royal Inst Technol,Natl Inst Informat",2016,0,0,0,1
10.1038/NPHOTON.2013.41,Quantum control of a spin qubit coupled to a photonic crystal cavity,"A key ingredient for a quantum network is an interface between stationary quantum bits and photons, which act as flying qubits for interactions and communication. Photonic crystal architectures are promising platforms for enhancing the coupling of light to solid-state qubits. Quantum dots can be integrated into a photonic crystal, with optical transitions coupling to photons and spin states forming a long-lived quantum memory. Many researchers have now succeeded in coupling these emitters to photonic crystal cavities, but there have been no demonstrations of a functional spin qubit and quantum gates in this environment. Here, we have developed a coupled cavity-quantum dot system in which the dot is controllably charged with a single electron. We perform the initialization, rotation and measurement of a single electron spin qubit using laser pulses, and find that the cavity can significantly improve these processes.",US,"USN,Sotera Def Solut Inc",2013,0,0,1,1
10.1134/S1070328424600335,Scalable Approach for Grafting Qubit Candidates onto the Surface of MOF-808 Framework,"The development of quantum bits (qubits) is crucial for the progress of quantum technologies. Among various approaches, the qubits based on paramagnetic centers have decent advantages, including their diversity and possibilities of regular ordering, for example, within the structure of metal-organic frameworks (MOFs). In the present work a simple and scalable approach to obtain qubit candidates based on stable organic radical 3-carboxy-proxyl and MOF-808 framework has been demonstrated. Investigation of the obtained compounds with different radical amounts using electron paramagnetic resonance (EPR) demonstrates the presence of two fractions of radicals, which is supported by simulations. Sufficiently long phase memory time at room temperature for the radicals adsorbed into MOF (0.39 mu s), as well as the observed Rabi nutations, allow considering this material as a platform for qubits design. The developed approach is capable of incorporating various amounts of paramagnetic centers into the MOF structure and can be employed to obtain other spin qubit candidates.",RU,"Russian Acad Sci,Novosibirsk State Univ",2024,0,0,0,1
10.1002/qute.201800067,Fast and Scalable Quantum Information Processing with Two-Electron Atoms in Optical Tweezer Arrays,"Atomic systems, ranging from trapped ions to ultracold and Rydberg atoms, offer unprecedented control over both internal and external degrees of freedom at the single-particle level. They are considered among the foremost candidates for realizing quantum simulation and computation platforms that can outperform classical computers at specific tasks. In this work, a realistic experimental toolbox for quantum information processing with neutral alkaline-earth-like atoms in optical tweezer arrays is described. In particular, a comprehensive and scalable architecture based on a programmable array of alkaline-earth-like atoms is proposed, exploiting their electronic clock states as a precise and robust auxiliary degree of freedom, and thus allowing for efficient all-optical one- and two-qubit operations between nuclear spin qubits. The proposed platform promises excellent performance thanks to high-fidelity register initialization, rapid spin-exchange gates, and error detection in read-out. As a benchmark and application example, the expected fidelity of an increasing number of subsequent SWAP gates for optimal parameters is computed, which can be used to distribute entanglement between remote atoms within the array.","IT,US","Univ Maryland,CNR,Univ Firenze,US Army Res Lab",2019,0,1,0,1
10.1109/JSSC.2017.2737549,Cryo-CMOS Circuits and Systems for Quantum Computing Applications,"A fault-tolerant quantum computer with millions of quantum bits (qubits) requires massive yet very precise control electronics for the manipulation and readout of individual qubits. CMOS operating at cryogenic temperatures down to 4 K (cryo-CMOS) allows for closer system integration, thus promising a scalable solution to enable future quantum computers. In this paper, a cryogenic control system is proposed, along with the required specifications, for the interface of the classical electronics with the quantum processor. To prove the advantages of such a system, the functionality of key circuit blocks is experimentally demonstrated. The characteristic properties of cryo-CMOS are exploited to design a noise-canceling low-noise amplifier for spin-qubit RF-reflectometry readout and a class-F-2,F-3 digitally controlled oscillator required to manipulate the state of qubits.","CN,FR,IE,NL,CH,US","Delft Univ Technol,QuTech,Kavli Inst Nanosci,Analog Devices Inc,Catena BV,Univ Coll Dublin,Univ Calif Berkeley,Inst Super Elect Paris,Ecole Polytech Fed Lausanne,Intel Corp",2018,0,0,0,1
10.1021/jz101650z,"ESR and 1H-, 19F-ENDOR/TRIPLE Study of Fluorinated Diphenylnitroxides as Synthetic Bus Spin-Qubit Radicals with Client Qubits in Solution","Electron and nuclear spins as quantum bits (qubits) have been the focus of current issues in quantum information science/technology and related fields. From the viewpoint of chemistry, synthetic spin qubits are emerging. Diphenylnitroxide (DPNO) and its novel fluorine substituted radicals are characterized as synthetic electron bus spin-qubits by continuous-wave ESR and H-1-, F-19-ENDOR/TRIPLE spectroscopy in solution and by DFT calculations The partially fluorinated DPNOs have been synthesized to illustrate that they are candidates for the synthetic bus spin-qubits with well-defined client qubits. The fluorinated DPNOs undergo spin delocalization; dominating the robust spin polarization in the pi-conjugation of phenyl rings, serving to increase the number of distinguishable client qubits from three to six.","JP,GB","Osaka City Univ,Osaka Univ,Japan Sci & Technol Agcy JST",2011,0,0,0,1
