DOI,Country Code,Institutions
10.1038/ncomms2764,"FR,DE,GB","Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1"
10.1038/NPHYS2385,US,Univ Calif Santa Barbara
10.1038/nature13729,"CN,US","Tsinghua Univ,Univ Michigan"
10.1038/NPHYS1731,US,"Natl Inst Stand & Technol,Univ Colorado"
10.1038/nature12801,"DK,US","NIST,Univ Copenhagen"
10.1038/s41586-018-0450-2,FR,Univ Paris Saclay
10.1038/nature11821,FI,Aalto Univ
10.1039/d2cp05625a,CN,"Zhengzhou Univ,State Key Lab Math Engn & Adv Comp,Natl Supercomp Ctr Zhengzhou"
10.1038/s41467-021-24693-6,"FR,DE,PA","Univ Grenoble Alpes,Univ Panama,Karlsruhe Inst Technol KIT,Ctr Europeen Sci Quant CESQ,Karlsruhe Inst Technol"
10.1002/qute.202400001,"CN,JP","Yokohama Natl Univ,Southwest Jiaotong Univ"
10.1587/transele.2018SDP0001,JP,"Univ Tokyo,RIKEN"
10.1103/PhysRevA.108.032605,"AU,SG","Australian Natl Univ,ASTAR"
10.1103/PhysRevA.107.012605,CA,Univ Calgary
10.1103/PhysRevA.96.052316,"CN,SE","Shandong Univ,Uppsala Univ"
10.1103/PhysRevLett.133.106001,"FR,JP","Univ Grenoble Alpes,Natl Inst Mat Sci"
10.1038/s41567-020-0824-x,FR,"Univ Paris,INRIA Paris,Univ Claude Bernard Lyon 1,PSL Res Univ"
10.1038/nature13436,"FR,US","Yale Univ,INRIA Paris Rocquencourt"
10.1103/PhysRevLett.122.040404,US,"Chapman Univ,CALTECH"
10.1103/PhysRevB.109.064505,FR,"Univ Paris Diderot,PSL Univ,Inst Univ France IUF"
10.1103/PhysRevB.85.075413,FI,Aalto Univ
10.1103/PhysRevApplied.6.044010,"CA,DE,SE,US","Univ Waterloo,INGUN Prufmittelbau GmbH,INGUN USA Inc,Google Inc,Chalmers Univ Technol,Univ Toronto"
10.22331/q-2023-04-06-970,US,Univ Washington
10.1016/j.future.2021.12.015,"DZ,ES","Univ Malaga,Univ Constantine 2"
10.1063/1.4934867,US,"IBM Corp,Princeton Univ"
10.1109/TASC.2011.2159974,"AZ,TR","Turgut Ozal Univ,Ankara Univ,Azerbaijan Natl Acad Sci"
10.1109/JPHOT.2013.2252005,JP,"Univ Tokyo,RIKEN,NEC Corp Ltd"
