DOI,Article Title,Abstract,Country Code,Institutions,Publication Year,isSuperconducting,isTrappedIon,isPhotonic,isSpin
10.1007/s10773-013-1646-8,Scheme for Implementing Grover Quantum Search Algorithm with Hot Ions,"We propose a simple scheme to implement the two-qubit Grover quantum search algorithm with trapped ions in thermal motion. In the scheme two states of the I >-type three-level ions are used as quantum bits (qubits). The scheme puts no limitations on the intensity of the laser field and the speed of the hot ions, and all the operations can be achieved in a reasonable amount of time before decoherence sets in. The scheme might be experimentally realizable with presently available techniques.",CN,Yanbian Univ,2013,0,1,0,0
10.1038/nature11573,Observation of entanglement between a quantum dot spin and a single photon,"Entanglement has a central role in fundamental tests of quantum mechanics(1) as well as in the burgeoning field of quantum information processing. Particularly in the context of quantum networks and communication, a main challenge is the efficient generation of entanglement between stationary (spin) and propagating (photon) quantum bits(2). Here we report the observation of quantum entanglement between a semiconductor quantum dot spin and the colour of a propagating optical photon. The demonstration of entanglement relies on the use of fast, single-photon detection, which allows us to project the photon into a superposition of red and blue frequency components. Our results extend the previous demonstrations of single-spin/single-photon entanglement in trapped ions(3), neutral atoms(4,5) and nitrogen-vacancy centres(6) to the domain of artificial atoms in semiconductor nanostructures that allow for on-chip integration of electronic and photonic elements(7,8). As a result of its fast optical transitions and favourable selection rules, the scheme we implement could in principle generate nearly deterministic entangled spin-photon pairs at a rate determined ultimately by the high spontaneous emission rate. Our observation constitutes a first step towards implementation of a quantum network with nodes(9) consisting of semiconductor spin quantum bits(10-12).",CH,Swiss Fed Inst Technol,2012,0,1,1,0
10.1038/ncomms2764,Microcavity controlled coupling of excitonic qubits,"Controlled non-local energy and coherence transfer enables light harvesting in photosynthesis and non-local logical operations in quantum computing. This process is intuitively pictured by a pair of mechanical oscillators, coupled by a spring, allowing for a reversible exchange of excitation. On a microscopic level, the most relevant mechanism of coherent coupling of distant quantum bits-like trapped ions, superconducting qubits or excitons confined in semiconductor quantum dots-is coupling via the electromagnetic field. Here we demonstrate the controlled coherent coupling of spatially separated quantum dots via the photon mode of a solid state microresonator using the strong exciton-photon coupling regime. This is enabled by two-dimensional spectroscopy of the sample's coherent response, a sensitive probe of the coherent coupling. The results are quantitatively understood in a rigorous description of the cavity-mediated coupling of the quantum dot excitons. This mechanism can be used, for instance in photonic crystal cavity networks, to enable a long-range, non-local coherent coupling.","FR,DE,GB","Univ Wurzburg,Cardiff Univ,CNRS,Univ Grenoble 1",2013,1,1,1,0
10.1038/NPHYS2385,Computing prime factors with a Josephson phase qubit quantum processor,"A quantum processor can be used to exploit quantum mechanics to find the prime factors of composite numbers(1). Compiled versions of Shor's algorithm and Gauss sum factorizations have been demonstrated on ensemble quantum systems(2), photonic systems(3-6) and trapped ions(7). Although proposed(8), these algorithms have yet to be shown using solid-state quantum bits. Using a number of recent qubit control and hardware advances(9-16), here we demonstrate a nine-quantum-element solid-state quantum processor and show three experiments to highlight its capabilities. We begin by characterizing the device with spectroscopy. Next, we produce coherent interactions between five qubits and verify bi- and tripartite entanglement through quantum state tomography(10,14,17,18). In the final experiment, we run a three-qubit compiled version of Shor's algorithm to factor the number 15, and successfully find the prime factors 48% of the time. Improvements in the superconducting qubit coherence times and more complex circuits should provide the resources necessary to factor larger composite numbers and run more intricate quantum algorithms.",US,Univ Calif Santa Barbara,2012,1,1,1,0
10.1038/nature09801,An open-system quantum simulator with trapped ions,"The control of quantum systems is of fundamental scientific interest and promises powerful applications and technologies. Impressive progress has been achieved in isolating quantum systems from the environment and coherently controlling their dynamics, as demonstrated by the creation and manipulation of entanglement in various physical systems. However, for open quantum systems, engineering the dynamics of many particles by a controlled coupling to an environment remains largely unexplored. Here we realize an experimental toolbox for simulating an open quantum system with up to five quantum bits (qubits). Using a quantum computing architecture with trapped ions, we combine multi-qubit gates with optical pumping to implement coherent operations and dissipative processes. We illustrate our ability to engineer the open-system dynamics through the dissipative preparation of entangled states, the simulation of coherent many-body spin interactions, and the quantum non-demolition measurement of multi-qubit observables. By adding controlled dissipation to coherent operations, this work offers novel prospects for open-system quantum simulation and computation.",AT,"Austrian Acad Sci,Univ Innsbruck",2011,0,1,0,0
10.1038/nature13729,Experimental realization of universal geometric quantum gates with solid-state spins,"Experimental realization of a universal set of quantum logic gates is the central requirement for the implementation of a quantum computer. In an 'all-geometric' approach to quantum computation(1,2), the quantum gates are implemented using Berry phases(3) and their non-Abelian extensions, holonomies(4), from geometric transformation of quantum states in the Hilbert space(5). Apart from its fundamental interest and rich mathematical structure, the geometric approach has some built-innoise-resilience features(1,2,6,7). On the experimental side, geometric phases and holonomies have been observed in thermal ensembles of liquid molecules using nuclear magnetic resonance(8,9); however, such systems are known to be non-scalable for the purposes of quantum computing(10). There are proposals to implement geometric quantum computation in scalable experimental platforms such as trapped ions(11), superconducting quantum bits(12) and quantum dots(13), and a recent experiment has realized geometric single-bit gates in a superconducting system(14). Here we report the experimental realization of a universal set of geometric quantum gates using the solid-state spins of diamond nitrogen-vacancy centres. These diamond defects provide a scalable experimental platform(15-17) with the potential for room-temperature quantum computing(16-19), which has attracted strong interest in recent years(20). Our experiment shows that all-geometric and potentially robust quantum computation can be realized with solid-state spin quantum bits, making use of recent advances in the coherent control of this system(15-20).","CN,US","Tsinghua Univ,Univ Michigan",2014,1,1,0,0
10.1038/NPHYS1731,Tripartite interactions between two phase qubits and a resonant cavity,"Multipartite entanglement is essential for quantum computation(1) and communication(2-4), and for fundamental tests of quantum mechanics(5) and precision measurements(6). It has been achieved with various forms of quantum bits (qubits), such as trapped ions(7,8), photons(9) and atoms passing through microwave cavities(10). Quantum systems based on superconducting circuits, which are potentially more scalable, have been used to control pair-wise interactions of qubits(11-16) and spectroscopic evidence for three-particle entanglement was observed(17,18). Here, we report the demonstration of coherent interactions in the time domain for three directly coupled superconducting quantum systems, two phase qubits and one resonant cavity. We provide evidence for the deterministic evolution from a simple product state, through a tripartite W state, into a (bipartite) Bell state. The cavity can be thought of as a multiphoton register or an entanglement bus, and arbitrary preparation of multiphoton states in this cavity using one of the qubits(19) and subsequent interactions for entanglement distribution should allow for the deterministic creation of another class of entanglement, a Greenberger-Horne-Zeilinger state.",US,"Natl Inst Stand & Technol,Univ Colorado",2010,1,1,0,0
10.1038/nature12801,Dissipative production of a maximally entangled steady state of two quantum bits,"Entangled states are a key resource in fundamental quantum physics, quantum cryptography and quantum computation(1). Introduction of controlled unitary processes-quantum gates-to a quantum system has so far been the most widely used method to create entanglement deterministically(2). These processes require high-fidelity state preparation and minimization of the decoherence that inevitably arises from coupling between the system and the environment, and imperfect control of the system parameters. Here we combine unitary processes with engineered dissipation to deterministically produce and stabilize an approximate Bell state of two trapped-ion quantum bits (qubits), independent of their initial states. Compared with previous studies that involved dissipative entanglement of atomic ensembles(3) or the application of sequences of multiple time-dependent gates to trapped ions(4), we implement our combined process using trapped-ion qubits in a continuous time-independent fashion (analogous to optical pumping of atomic states). By continuously driving the system towards the steady state, entanglement is stabilized even in the presence of experimental noise and decoherence. Our demonstration of an entangled steady state of two qubits represents a step towards dissipative state engineering, dissipative quantum computation and dissipative phase transitions(5-7). Following this approach, engineered coupling to the environment may be applied to a broad range of experimental systems to achieve desired quantum dynamics or steady states. Indeed, concurrently with this work, an entangled steady state of two superconducting qubits was demonstrated using dissipation(8).","DK,US","NIST,Univ Copenhagen",2013,1,1,0,0
10.1103/PhysRevA.107.012609,Analysis of multipartite entanglement distribution using a central quantum-network node,"We study the performance (rate and fidelity) of distributing multipartite entangled states ina quantum network through the use of a central node. Specifically, we consider the scenario where the multipartite entangled state is first prepared locally at a central node and then transmitted to the end nodes of the network through quantum teleportation. As our first result, we present leading-order analytical expressions and lower bounds for both the rate and fidelity at which a specific class of multipartite entangled states, namely, Greenberger-Horne-Zeilinger (GHZ) states, are distributed. Our analytical expressions for the fidelity accurately account for time-dependent depolarizing noise encountered by individual quantum bits while stored in quantum memory, as verified using Monte Carlo simulations. As our second result, we compare the performance to the case where the central node is an entanglement switch and the GHZ state is created by the end nodes in a distributed fashion. Apart from these two results, we outline how the teleportation-based scheme could be physically implemented using trapped ions or nitrogen-vacancy centers in diamond.","NL,US","Delft Univ Technol,Univ Chicago",2023,0,1,0,0
10.1103/PhysRevApplied.19.034001,Routing Single Photons from a Trapped Ion Using a Photonic Integrated Circuit,"Trapped ions are promising candidates for nodes of a scalable quantum network due to their long-lived qubit coherence times and high-fidelity single-and two-qubit gates. Future quantum networks based on trapped ions will require a scalable way to route photons between different nodes. Photonic integrated circuits from fabrication foundries provide a compact solution to this problem. However, these circuits typically operate at telecommunication wavelengths that are incompatible with the strong dipole emissions of trapped ions. In this work, we demonstrate the routing of single photons from a trapped ion using a photonic integrated circuit. We employ quantum frequency conversion to match the emission of the ion to the operating wavelength of a foundry-fabricated silicon nitride photonic integrated circuit, achieving a total transmission of 31.0% +/- 0.9% through the device. Using programmable phase shifters, we switch the single photons between the output channels of the circuit and demonstrate a 50:50 beam splitting condition. These results constitute an important step towards programmable routing and entanglement distribution in large-scale quantum networks and distributed quantum computers.",US,"Univ Maryland Coll Pk,Univ Maryland,MIT,US Army",2023,0,1,1,0
