DOI,nouns
10.1038/nature11573,quantum dot|quantum dot|quantum bit|quantum bit|quantum entanglement|quantum network|quantum network|trapped ion|neutral atom|photon pair|observation|entanglement|spin|photon|entanglement|role|test|field|information|process|context|communication|challenge|generation|entanglement|spin|photon|observation|semiconductor|spin|colour|photon|demonstration|entanglement|relie|photon|detection|photon|superposition|frequency|component|demonstration|spin|photon|entanglement|nitrogen|vacancy|domain|atom|semiconductor|nanostructure|chip|integration|transition|selection|rule|scheme|rate|emission|rate|observation|step|semiconductor|spin
10.1038/ncomms2764,quantum computing|quantum dot|quantum dot|quantum dot|quantum bit|superconducting qubit|trapped ion|microcavity|couple|qubit|energy|coherence|transfer|harvesting|photosynthesis|gate|pair|oscillator|spring|exchange|excitation|level|mechanism|couple|exciton|semiconductor|field|couple|photon|mode|state|microresonator|exciton|photon|couple|regime|spectroscopy|sample|response|probe|couple|description|cavity|couple|exciton|mechanism|instance|crystal|cavity|network|range|couple
10.1038/NPHYS2385,quantum bit|superconducting qubit|quantum algorithm|quantum state|quantum system|quantum processor|quantum processor|quantum processor|trapped ion|factor|josephson|phase|qubit|mechanic|factor|version|shor|algorithm|sum|factorization|algorithm|state|number|qubit|control|hardware|quantum|element|state|experiment|capability|device|spectroscopy|interaction|qubit|entanglement|experiment|qubit|version|shor|algorithm|number|factor|improvement|coherence|circuit|resource|number
10.1103/PhysRevApplied.19.034001,quantum computer|quantum network|quantum network|quantum network|trapped ion|trapped ion|trapped ion|trapped ion|trapped ion|photon|circuit|candidate|node|qubit|coherence|fidelity|qubit|gate|way|photon|node|circuit|fabrication|foundry|circuit|telecommunication|wavelength|dipole|emission|rout|photon|circuit|quantum|frequency|conversion|emission|ion|operate|wavelength|foundry|silicon|nitride|circuit|transmission|device|phase|shifter|photon|output|channel|circuit|beam|split|condition|step|rout|distribution|scale
10.1109/JPHOT.2021.3136502,quantum computing|quantum computing|quantum computing|quantum dot|quantum network|trapped ion|trapped ion|trapped ion|trapped ion|entanglement|state|analyzer|film|lithium|niobate|platform|candidate|coherence|ability|photon|fidelity|qubit|gate|entanglement|state|analyzer|platform|fidelity|entanglement|ion|entanglement|state|analyzer|film|lithium|platform|polarization|qubit|device|fidelity|entanglement|fidelity|coupler|polarization|power|split|ratio|variety|technology|device|spin|qubit|color|center|diamond|earth|ion
10.1038/s41467-021-24693-6,quantum bit|quantum algorithm|quantum system|quantum system|trapped ion|space|dimension|spin|quantum|technology|change|information|process|future|challenge|number|qubit|quantum|property|level|encode|capacity|qubit|way|amount|information|number|object|kue|possibility|device|circuit|qudit|number|state|race|quantum|technology|world|platform|photon|superconducte|silicon|circuit|magnet|read|magnet|centre|magnet|architecture|dimension|space|possibility|magnet|candidate|quantum|technology|ease|manufacture|potential|qudit|biard|spin|terbium|atom|space
10.1103/PhysRevB.85.075413,quantum bit|photon|heat|conduction|circuit|heat|conduction|resistor|microwave|cavity|temperature|part|heat|resistor|photon|excitation|mode|cavity|manifestation|photon|heat|conduction|state|art|scheme|interference|temperature|control|component|environment|engineering|cavity
10.1109/JPHOT.2013.2252005,josephson junction|quantum bit|quantum communication|breakthrough|photon|breakthrough|microwave|quantum|photon|circuit|breakthrough|microwave|quantum|photon|circuit|technology|qubit|control|measurement|microwave|field|microwave|state|photon|state|state|state|protocol|possibility|information|process|quantum|metrology|circuit
10.1038/NPHOTON.2013.41,quantum dot|quantum dot|quantum bit|quantum gate|quantum network|quantum memory|quantum|control|spin|qubit|crystal|cavity|ingredient|interface|photon|qubit|interaction|communication|crystal|architecture|platform|couple|light|state|qubit|crystal|transition|photon|state|researcher|emitter|crystal|cavity|demonstration|spin|qubit|environment|dot|electron|initialization|rotation|measurement|electron|spin|qubit|laser|pulse|cavity
10.1103/PhysRevLett.110.140403,quantum bit|teleportation|atom|quantum|memory|teleportation|atom|laboratory|entanglement|state|measurement|teleportation|fidelity|fidelity|photon|collection|efficiency|space|atom|cavity|success|probability|order|magnitude|experiment|material|qubit|photon|propagation|detection|loss|cavity|entanglement|state|measurement|doi
