,gate,spin,entanglement,cavity,photon,state,scheme,measurement,phase,polarization,atom,mode,silicon,information,fidelity,circuit,chip,device,frequency,control,couple,source,quantum dot,generation,waveguide,field,protocol,error,microwave,ion,interaction,quantum state,channel,quantum network,crystal,center,diamond,quantum computing,noise,emitter,computation,platform,resonator,rate,network,number,technology,memory,resource,level,loss,electron,interface,process,distribution,coherence,emission,efficiency,scale,cluster state,defect,wave,qkd,quantum communication,node,optic,fiber,tomography,correlation,experiment,distance,quantum memory,detection,pair,architecture,realization,decoherence,storage,light,transition,environment,property,order,quantum system,pulse,way,space,band,transfer,structure,dynamic,matter,path,parameter,communication,bin,quantum computer,material,laser,degree,probability,transmission,conversion,regime,qudit,quantum gate,range,code,algorithm,semiconductor,temperature,demonstration,wavelength,vacancy,gap,teleportation,set,advantage,array,qed,ensemble,freedom,excitation,step,simulation,resonance,energy
gate,1.0,0.23575982597468542,0.26753136957722395,0.3243983828105097,0.4724441339504035,0.43248332514423704,0.3791080392491551,0.2935178457257196,0.3021175381390364,0.27076067010474086,0.24042466696368392,0.24810909583437826,0.17233374608378738,0.3560275522730342,0.41303744913576973,0.33363958322183646,0.27531644777567765,0.2645914644170346,0.21566867984323435,0.3607172841219665,0.22271062935115885,0.16125510929230488,0.22754182230718906,0.2197259529095789,0.19514077037094046,0.21762388344435665,0.2205611329571589,0.25968832068211706,0.169462171836315,0.1774933502108119,0.2636576919115817,0.18071622196989398,0.16309476477202753,0.22226622172777238,0.12599227271090332,0.13202323813504763,0.11090521156217747,0.33566599533534736,0.1991981850082587,0.11242975334937921,0.3466743492858498,0.21262959098900594,0.1506770695519913,0.16456313523603938,0.22663707986802942,0.2447960245448418,0.28270961185654236,0.15144480716454042,0.2882113991394173,0.2450349665485738,0.1679896969478711,0.16671072341252388,0.16518873878733648,0.32665412476353084,0.1307937102275355,0.15980069302514827,0.10933043344278388,0.18129415154500522,0.24233570054843268,0.1820023832276105,0.08277192825727024,0.14212956347561903,0.04327423224079154,0.17469303506666362,0.16802957580824246,0.2186321542773571,0.09059847708863919,0.12322225062419363,0.06687455267429715,0.16301111507045388,0.16659462574405887,0.105999788000636,0.16596773113479787,0.19708752139768285,0.2143374866262343,0.27385313817386886,0.23432014753124525,0.0788859334270275,0.20175758141460753,0.10933043344278388,0.06573827785585626,0.11186048511760378,0.14382062372263343,0.18277821554341084,0.16099975662332278,0.2102689382669892,0.16573864093673446,0.07903356225144209,0.10926208055492542,0.13144788763947904,0.09304752592605804,0.15035182566924812,0.17614357130463482,0.1351237468629853,0.1703708227029042,0.09085696114340229,0.262369973756526,0.07495316889958614,0.13982861013716677,0.1920269814204835,0.17415730337078653,0.11235955056179775,0.13805038349729812,0.15002640697164504,0.10826016563710648,0.3800819376052221,0.18234549040229578,0.08315307499260635,0.17069380085575406,0.16470217296226292,0.1429300849823232,0.14946478650778003,0.11175507235495563,0.12748335742576652,0.0714650424911616,0.11177033561864769,0.20146932183449032,0.20002939423398985,0.05937175681939272,0.20724862322436866,0.12419997267600902,0.18729149364032704,0.08480986766519454,0.21866086688556777,0.15425234901871826,0.10096489903555532,0.12490272792612687
spin,0.23575982597468542,1.0,0.20048250974829662,0.32349690786937163,0.40865246519843546,0.39891488552832466,0.1918892500141367,0.15650732523441444,0.11397568157952133,0.16959013353303823,0.14904915143952377,0.14833215061681632,0.2739404761196107,0.26679973018505193,0.20994694051612547,0.13075897020257798,0.12239113655900526,0.25060313718537075,0.1443014964315933,0.27638859342463196,0.2613220713080719,0.1351072472296296,0.3108349360801046,0.19384750581742888,0.137317745816742,0.25481697718198276,0.1568797096517143,0.043343860978082994,0.16488408422074707,0.1810412100391551,0.2815510088337785,0.12880097244483046,0.0907389903912958,0.3497796504118913,0.2937387277416126,0.35414412348741425,0.4021061518324872,0.1332175423142422,0.10194391998658058,0.2176524114667529,0.11365840154561273,0.19304683562633607,0.1482000174815541,0.14581784101071185,0.17337544391233198,0.0802572353905128,0.23415748545187764,0.21915238089568856,0.09859942774153754,0.12966443420258317,0.07955423876335341,0.47494783668349566,0.356803719953032,0.19300583423776616,0.10555366577702388,0.27243433250017035,0.2795860558525711,0.1349401507921227,0.19295148030531636,0.0954721916877008,0.27137067042743174,0.15771521099375807,0.014187608845979145,0.18210107235297904,0.20461660468161713,0.06371494999161287,0.0950496913043515,0.032319077704247974,0.07972747887248997,0.14845490532832104,0.17349447958987207,0.19982631347136331,0.10531568296778367,0.16066640121804918,0.12973162501932317,0.21052732475068883,0.12741322928376492,0.22414626004847774,0.12261382300487467,0.22940394326364813,0.08621010001864529,0.23750685397450746,0.11176793128212116,0.12327321425382481,0.11729852221214702,0.10027259495772603,0.08244385424243612,0.12756396619598395,0.20228869496966945,0.17987750016531517,0.09761906491267602,0.23509147351653323,0.06844360031191271,0.08860158884519916,0.12252431251824965,0.1092218359346582,0.09383881776971761,0.1965892748731962,0.14350946197048195,0.19218367001782316,0.06630745105538027,0.1105124184256338,0.12931515002796792,0.11017817175163999,0.0645335910551972,0.0830741310465378,0.14492753623188406,0.013631013668492179,0.03893047749825225,0.2824520455582285,0.15932444118273442,0.12062167280850683,0.11207313002423887,0.36223083817397933,0.08434823356732998,0.06765100914917382,0.04662524041201569,0.08244385424243612,0.08759357437106757,0.07497620761540444,0.2262188707491263,0.16886147632145146,0.1711090007797818,0.18639070390171408,0.14328782560351586,0.1853694994663316,0.17242020003729058
entanglement,0.26753136957722395,0.20048250974829662,1.0,0.2652479458836528,0.43975643507682477,0.47862863041575204,0.3062838752448602,0.35108298058900445,0.1516018286384735,0.24108431262955374,0.2196043252184052,0.23294153172018472,0.11477809222828134,0.3333974297349129,0.3284045108399605,0.18061513899268455,0.17093520167692652,0.19615384615384615,0.1750483070878539,0.1399826478546711,0.1840186845246444,0.25315590470678756,0.17364862842489184,0.38467132460326176,0.12951522516054664,0.2196319953911627,0.29735406715776086,0.16307484966544225,0.14303239192265577,0.12384376490768068,0.2444091236754875,0.2672612419124244,0.25345769405481716,0.3214457501727383,0.13674816134154122,0.12561485860426555,0.12972986097979458,0.18490006540840973,0.14237799413065802,0.15128958996374198,0.1718675697694639,0.17974340685458343,0.13517105208867658,0.24671185398133572,0.22731645710940437,0.2058790548922549,0.2374871608583617,0.21315931413823677,0.29727219795182247,0.17546929555968055,0.22954155653758707,0.13838107264712296,0.16271770757789486,0.270497072435524,0.2632490632463282,0.15052356180127632,0.15447498327646825,0.17435897435897435,0.19928075800944886,0.19048482943986483,0.09529257800132619,0.11442591353812462,0.04529108136578383,0.25315590470678756,0.22610674548767798,0.16780263593970407,0.17699907154748393,0.19344776406574832,0.24178820993079556,0.1848258205489856,0.27692307692307694,0.11787379169786119,0.2577526347530419,0.28432228340241084,0.16680721947748473,0.19272482233188631,0.19738903950301112,0.11696355574614285,0.10815550255116699,0.12586850489193707,0.1444843923922941,0.14494861506789572,0.16724840200141813,0.17489995006214298,0.1435398902652882,0.1950609660793386,0.15551863718419057,0.15270834311418666,0.14798801467918876,0.09570377672873266,0.17529141775352278,0.1694637091472647,0.11607408613981622,0.179496336762739,0.18406313873377625,0.15056148183256218,0.11233556629457339,0.11113247657830429,0.11453125733564,0.1375103301904657,0.22931260249476337,0.12935582704832804,0.15824481071536975,0.1381763444646921,0.07210366836744465,0.08618916073713345,0.1908439275488593,0.04351426345763369,0.08544092011186791,0.13259870882635916,0.10471406288094721,0.2045633247827035,0.13072397406921848,0.11859989066577618,0.09723448696087955,0.19796535909297294,0.15504341823651058,0.10766674881982424,0.08544092011186791,0.08227533512074424,0.10832372170111783,0.12251277836633777,0.11607408613981622,0.148753687599562,0.10762764703941,0.09158109397792509,0.11008334658460504
cavity,0.3243983828105097,0.32349690786937163,0.2652479458836528,1.0,0.4183946737937951,0.408248290463863,0.24803175009614853,0.15908690070307058,0.18918823216618041,0.10209101408049642,0.3681050869161551,0.32041591473760894,0.18218467071254793,0.24795914953354387,0.2657701832025343,0.19837375695433115,0.10104389907637111,0.1724111648243743,0.22238102913564387,0.24865922019455078,0.4230250099779067,0.11854714778748665,0.26802499580073447,0.1634011202231184,0.1259633739264772,0.28049635672660717,0.2023703726997425,0.07951978726894965,0.2761962705488169,0.13443881925462084,0.3262363486962221,0.12760289177685222,0.10701780309965121,0.2236279356048969,0.336812996921237,0.20935490621503483,0.18835264373920446,0.15939417826583457,0.07598052989869541,0.23185790605733972,0.17559637273770481,0.21151747876950897,0.21362915329382823,0.1765640223886541,0.14199962012312436,0.194569831655682,0.24164520807200868,0.18218467071254793,0.14069463585546266,0.26891436122983936,0.16279294851193124,0.18671824115011432,0.23963090198819323,0.21159250478420374,0.12103220702193286,0.17942083789205157,0.223587457110947,0.17093756512502067,0.18220272220337375,0.061304527806852145,0.13940185528034346,0.15782644031360965,0.026028960314767677,0.15087818809316483,0.1949166368208945,0.11104846677501637,0.10172205366111489,0.051881751188161074,0.06582155828679286,0.13617963679688627,0.15325436873277715,0.11157592478608419,0.12236945041915152,0.14097351548661194,0.15206133822028703,0.1590395745378993,0.19250466227874755,0.11862248757760663,0.08879626750958232,0.24989186382988193,0.11862248757760663,0.1281577413514654,0.15378928962175847,0.11936237046684174,0.17933246144493625,0.1609673973432791,0.11000266415928431,0.10970259714465476,0.22422084658656985,0.1581288297289712,0.1641699618294368,0.19478290326359252,0.03924013411233426,0.20631448335314656,0.0991704379697524,0.0910823875804769,0.1004261784091643,0.15779218606680065,0.12432961009727539,0.12766016417281356,0.14192429247959798,0.14192429247959798,0.11862248757760663,0.216574040912105,0.03551850700383293,0.16003048490072438,0.14623832821492144,0.03751172424602665,0.017855719466852674,0.1524099856197375,0.1289562396771206,0.041492942477803184,0.08698982422357819,0.1789195213551367,0.06877666116113099,0.051714300236507575,0.04989827049481759,0.09625233113937377,0.1428457557348214,0.29230080993480667,0.215814086645168,0.1126537110613904,0.20404869738413817,0.2038591520717458,0.15463506661142748,0.25911143530050557,0.1897959801241706
photon,0.4724441339504035,0.40865246519843546,0.43975643507682477,0.4183946737937951,1.0,0.6486789253022262,0.40699291571812435,0.36935645923437,0.2873144098370591,0.3904605329692003,0.2940876479183562,0.40214909054896125,0.3064804931134714,0.5038721012381097,0.45602157761691353,0.3815098140544949,0.32395484296764704,0.38662796624577295,0.3339100278861022,0.31908194278764,0.3523459073283104,0.3975257494552508,0.3528465947468679,0.3974349575144912,0.32360882786803563,0.33097720715748774,0.34781869499783885,0.29061684013060957,0.25821865011834894,0.2164256602355916,0.3369651721092136,0.33459455182621767,0.2652894265228748,0.3788913319923351,0.26049977063377805,0.24910835274532525,0.2287871930019449,0.3192623642620793,0.2747016122217148,0.30270643344342707,0.3068799869746188,0.3687427599581892,0.23878850694593678,0.35333479269962986,0.31089243362809393,0.31598779191227633,0.39402274672773224,0.3102180601026601,0.3198736289193554,0.30151705280363433,0.3506727681608551,0.2633165212273024,0.3129512037968903,0.38022534821435094,0.30963108852200977,0.23255186962478624,0.2934302842253965,0.3612034514586359,0.30042336234501776,0.17194264482615718,0.14217620280596738,0.25039384253900504,0.15485740327062772,0.3654672212733758,0.27487818233966926,0.3303373817856064,0.2680118056083274,0.20724764094725756,0.1827469308692847,0.262501828562059,0.31210783669726794,0.2560420941111725,0.27205261739852304,0.25923814974566334,0.26353659242267846,0.28047904338186735,0.2004261813594595,0.23524528286477345,0.28527493952120836,0.21518220843195743,0.1223275470896822,0.25542582401410946,0.23255186962478624,0.2055661844053772,0.2645975030690228,0.2975598249886423,0.23314882321406513,0.1827469308692847,0.2345974663610449,0.22496816275041373,0.1243094654677919,0.264879244271623,0.21477981383856048,0.22689282531229565,0.25566982846976266,0.22217409224461532,0.23045588976979406,0.22798775683397354,0.23931145709072998,0.30018524910502936,0.2573312729602198,0.2533104718202163,0.2446550941793644,0.23622343794815326,0.16200799034537758,0.21762050565373345,0.22541797273849182,0.14134307150602024,0.15934695335853347,0.2538905899293557,0.1841317809435232,0.2139446734971832,0.25406490549395533,0.2230315284723283,0.11763974893613983,0.15998864026315293,0.18236061988119373,0.21269717205493663,0.15934695335853347,0.17390223755777193,0.16296544683262884,0.28065673864747404,0.2287871930019449,0.25821865011834894,0.17939806251138726,0.1975129655185273,0.20231094326370516
state,0.43248332514423704,0.39891488552832466,0.47862863041575204,0.408248290463863,0.6486789253022262,1.0,0.42381597741894445,0.4585888669285617,0.28353658536585363,0.33938192461354794,0.29626287996215633,0.3789884418389418,0.253906257115339,0.48905390118860614,0.4434356937903486,0.29945892550628905,0.24750599435838969,0.31673953483395356,0.22696668744055282,0.3344013698200087,0.30222366500714326,0.3167782064090728,0.2863564212655271,0.37964829753683393,0.2454343121357813,0.31777123876906743,0.3910554978239689,0.2921743548953888,0.2214862871650964,0.16949599717445055,0.371809330001715,0.4051729299811297,0.24029409340547,0.3215197180549401,0.29563215992807657,0.22103995490304396,0.20665435792923798,0.27005046326571464,0.25053744239742215,0.2721348321130147,0.2789069191636562,0.2831530819682294,0.2140700808079176,0.2686691247455675,0.2608699597280257,0.31236412343836045,0.3672018492950108,0.21543561209786338,0.35386122991201396,0.3230178023605642,0.30594490969300947,0.22868220824386049,0.24695833607745896,0.34905492069219085,0.2519970771996395,0.2432888314964724,0.23356735737410167,0.24545057970038567,0.28690952087850224,0.20379510206656845,0.18902439024390244,0.1973241467470859,0.10360621587279246,0.3134784334256449,0.20335675851080046,0.2541165487173853,0.19132475827647968,0.27232246579934893,0.21049371939563047,0.2902064424536231,0.25988884909452603,0.20009763241977652,0.24452695059430307,0.2825289656088067,0.22672250588794235,0.28173955650626775,0.23576909784486594,0.1791814827272763,0.24650628599044017,0.2537024743891104,0.16949599717445055,0.2432888314964724,0.21974475102907187,0.253906257115339,0.1801019401915468,0.23938913600545458,0.25260974769092776,0.19257936029813,0.22253149310433,0.22313861046031955,0.21020569691384455,0.20021946437360535,0.21146027322991792,0.25268260538057163,0.21457665735823114,0.18963956800759307,0.1801019401915468,0.1840525434580776,0.18810077052375487,0.2531399269503094,0.2648701704232648,0.21520701346890264,0.1743387399508634,0.21219835670692222,0.1450036976414354,0.1679970134129754,0.2605158436103344,0.14548392431002607,0.17494960673627816,0.23332918529579919,0.1526738767392147,0.22444735253564085,0.1598105116216248,0.19826116939329955,0.13688002742136493,0.21534520157370948,0.21825946742799318,0.22313861046031955,0.17494960673627816,0.19479080825348083,0.18298882785650508,0.21558133572760596,0.201848442628558,0.2818916382101227,0.21306206786584786,0.18346531024404197,0.2130806821621664
scheme,0.3791080392491551,0.1918892500141367,0.3062838752448602,0.24803175009614853,0.40699291571812435,0.42381597741894445,1.0,0.29403023077781804,0.22048230039135838,0.22486236609158702,0.191481225514872,0.24621628243844165,0.0865550805779488,0.32958956064027084,0.3108291298672335,0.15436376942403576,0.08286660484697485,0.20882991493967742,0.1511113684316681,0.20632580207686463,0.1850266226206321,0.17499799131098517,0.1795883306452204,0.2695886869452194,0.129598547798836,0.17022697970978606,0.23013806467559808,0.23477246481693817,0.12943424970158282,0.09339157710812351,0.20066104070541257,0.2139465459251025,0.16382955546989647,0.15788208683026322,0.13811100807829144,0.14209075961972872,0.10040481175152167,0.20392313666990153,0.15530070425087955,0.1077504332862424,0.2376123086363893,0.15006872566326812,0.18475460520597842,0.21061968593079303,0.10620659122671013,0.24323290808645903,0.2113860678088928,0.136015126622491,0.2571423137319484,0.17812685171095305,0.20440429195587131,0.09527999254871597,0.09778192489870194,0.25073034977884895,0.16675531443989744,0.0945925217351647,0.12943424970158282,0.20302908396913083,0.1690641214609248,0.16375659816864677,0.07839370680581631,0.12296253721650369,0.025615775978927998,0.243936593948646,0.0994635317338101,0.2243232394734927,0.10725783788473621,0.1021163580687781,0.057579293602845937,0.17154293503955886,0.17982576008694445,0.15686395128453964,0.18380956266476645,0.1765727072389741,0.13012827210129138,0.19564372068078179,0.19621486863886733,0.10895683995947743,0.15729608420048435,0.08413226230602884,0.08560894568244655,0.06306168115677648,0.15134803477626355,0.14219763237805877,0.13412915759808042,0.17538493244255374,0.10825647924903024,0.0863689404042689,0.13696234729367296,0.08795838938983708,0.07343814724824184,0.09584545740950244,0.06951102352028424,0.17227589046319844,0.1691667537316788,0.18823674154144757,0.12001029890354564,0.07394637578467615,0.11515858720569187,0.1914418037133461,0.25273869283277006,0.1529734193461503,0.11673947138515438,0.1207771456767694,0.10486405613365624,0.17998875105457762,0.10466686364407457,0.1476650489684558,0.07028910940341786,0.09749390682122955,0.0592242864536273,0.1088914200556754,0.10117420853380046,0.11738623240846909,0.07614551115466368,0.1730375130906401,0.07716686082411814,0.1623847188735454,0.09664752542969955,0.1861334717114001,0.08985656675548619,0.17322725526482097,0.10812825880933104,0.14237767467174112,0.12174430870548707,0.11953045040932939,0.07782631425676959
measurement,0.2935178457257196,0.15650732523441444,0.35108298058900445,0.15908690070307058,0.36935645923437,0.4585888669285617,0.29403023077781804,1.0,0.16632756831605863,0.17169419763682556,0.15058465048420855,0.16339602884796783,0.16190612166625976,0.3319700011034929,0.28677245827028863,0.1937555318632053,0.18753887528849358,0.22364661023097637,0.09097176522946841,0.19081122488843905,0.07627076945824011,0.20573779994945587,0.13063945294843618,0.19725600791847295,0.09290866006939334,0.12494522894038872,0.2532632063771616,0.2331316840932607,0.0878784173347161,0.0830336491706037,0.16002478296653527,0.3022436787614281,0.14187608845979144,0.12993074415759773,0.09109031085441117,0.09647146023605102,0.08240220541217404,0.2535752581042436,0.18968087931796387,0.12909944487358055,0.22522660437793735,0.19250735802149543,0.09886719970134197,0.15321285325897388,0.10843334143872592,0.25097441747368093,0.19648433468983623,0.10194089141949687,0.2973698059189597,0.2023858665676899,0.15003110023079488,0.1254186887770454,0.0836827408755723,0.247309683414749,0.12708061542245333,0.10397991115082295,0.10670950676358383,0.14065824542828703,0.20869967789998037,0.2340659358685756,0.04752216237601675,0.06904732790584836,0.062112999374994156,0.1285861249684099,0.04823573011802551,0.14505008418432533,0.10403129732205987,0.23346199798790487,0.18848425873126298,0.25997275628263755,0.13503191561115555,0.045643546458763846,0.2581988897471611,0.15902809940714097,0.11990305389660257,0.21686668287745184,0.1378123654176776,0.06038810848771178,0.12996217152732198,0.07532435771547094,0.09058216273156766,0.10397991115082295,0.1773774954925803,0.25185396703640406,0.1095530706690348,0.2030333059779712,0.15093735260031357,0.06980898471528259,0.03690062023083731,0.08531241668713375,0.12108925556502832,0.10624254305194611,0.19476884915604772,0.12532010295690074,0.1325244279909818,0.10432810619146021,0.1574825390867375,0.09323848796425263,0.11169437554445213,0.15666989036012804,0.1741754249361413,0.09676412496452294,0.07548513560963972,0.08958064164776167,0.09040846714944138,0.08001322641986387,0.1395876143982615,0.05967623950328607,0.11930566493181317,0.10183501544346311,0.04103049699311091,0.19142852497549034,0.0830336491706037,0.08132500607904443,0.057442695790355276,0.1480872194397731,0.22453655975512465,0.1640623397829495,0.06817466567532181,0.06564879518897745,0.10299958251733114,0.14113362174546457,0.11236664374387369,0.1443716856213193,0.16236272901568416,0.07728981596002805,0.10567918985349561
phase,0.3021175381390364,0.11397568157952133,0.1516018286384735,0.18918823216618041,0.2873144098370591,0.28353658536585363,0.22048230039135838,0.16632756831605863,1.0,0.09526510164590819,0.21253641388589475,0.22578034832958235,0.06924716103145609,0.24452695059430307,0.18397863891301697,0.24295724144849867,0.15125366321901593,0.1516018286384735,0.18805811245074378,0.19705795007250512,0.1669425959087077,0.08579409756912387,0.13270175619621988,0.17658060350550417,0.18232263187229467,0.2633779636644523,0.18726601304246399,0.20869596778242056,0.16108093612007013,0.1065403410810832,0.1886793614934076,0.1504928025644196,0.14563278388210302,0.08335696394016967,0.11000266415928431,0.08841598196121758,0.08650647541223914,0.16268100196729798,0.14316425279852693,0.09465559377843989,0.1680162163636483,0.15061334147246247,0.13478486569387405,0.12450520415038493,0.1113045161506243,0.1932149217144498,0.13153499079224268,0.053858903024465846,0.09846573354073432,0.1900104719768025,0.13062816368915012,0.06775769133151423,0.057265701119410775,0.19568230402441003,0.13341021734098563,0.11772040233700277,0.056378327642024544,0.10106788575898233,0.12113957548203429,0.07508240602452522,0.04878048780487805,0.17718902973207712,0.03187883565316691,0.12539137337025796,0.07073278556897407,0.14316425279852693,0.08898825966347892,0.045387077633224825,0.07165743639000186,0.18012813669535224,0.1082870204560525,0.058565160708227273,0.11831949222304987,0.10987237551453594,0.12955571765025278,0.1878263710041785,0.14314552369152575,0.06779839886978022,0.15225388252350716,0.21745926376209465,0.07748388442260597,0.09417632186960223,0.1491125096268702,0.08463541903844633,0.16692374944582386,0.09857199717871659,0.20208779815274222,0.09852897503625256,0.07575540190785703,0.12630487384546388,0.09139378126688893,0.14483961252558686,0.14417745902039858,0.14548392431002607,0.10526402059083038,0.07808688094430304,0.09664006546863486,0.0920262717290388,0.1343576932312535,0.08934350362952097,0.14071227803735942,0.12415789238590537,0.06779839886978022,0.04420799098060879,0.05800147905657416,0.1679970134129754,0.19538688270775084,0.0765704864789611,0.13121220505220862,0.0279995022354959,0.05264616439283266,0.11010624841371061,0.14528228329238618,0.09391318550208926,0.10529232878566532,0.08867155358917449,0.096034165668317,0.09262357415334019,0.1530809058942434,0.15793849317849798,0.0508302299601403,0.07760928086193815,0.03844732240543962,0.11275665528404909,0.1041636776233034,0.07933635037580193,0.12591131218673468
polarization,0.27076067010474086,0.16959013353303823,0.24108431262955374,0.10209101408049642,0.3904605329692003,0.33938192461354794,0.22486236609158702,0.17169419763682556,0.09526510164590819,1.0,0.12577870090366056,0.20996869075331306,0.060104522490764825,0.28113544442325017,0.313234368833254,0.15999893461230588,0.1208407540164333,0.20090359385796144,0.10131453560224375,0.1282804285659086,0.06745406256199318,0.1868829825570943,0.17049858486761837,0.17817268982528484,0.13694775891619418,0.1285899834589051,0.20437197621673292,0.15623500297168427,0.0,0.07566047878575344,0.10837601479372586,0.23738286820675997,0.2061981926231449,0.19186046511627908,0.10070062834702774,0.06043472012462243,0.06569946738059931,0.15249857033260467,0.13979521022284966,0.05391638660171921,0.1706248333742675,0.11765520133375292,0.007741941928778481,0.19835963395452844,0.11547804567472317,0.11320083081329449,0.16590117098328014,0.16528743684960326,0.18628785083435223,0.08040023809923519,0.10741400357016292,0.09097435786709178,0.11882592868942222,0.20140587593596146,0.2171178560580248,0.08429675647647886,0.06291610618605574,0.15508347596053165,0.13074028933658496,0.07331551367789388,0.05954068852869262,0.14156123891862543,0.20233616206852437,0.238436908779741,0.11223590880287022,0.1677542522674196,0.21723531230467835,0.23045878326865607,0.052478357140598966,0.18891806596405233,0.1903297204970161,0.2573413374362704,0.061618727544821957,0.13794014696151086,0.047440095285108404,0.18340630783632503,0.08222171874262181,0.23643899620547948,0.12035266275507729,0.07078061945931272,0.0472877992410959,0.09962343947220229,0.053643390485032,0.13523517560422085,0.16299558157024333,0.13750333019910538,0.09866606249114616,0.06122474999736546,0.05547950410914818,0.09866606249114616,0.0356972152349957,0.09151426977546175,0.1970984021417979,0.10467600579705136,0.12650692076028908,0.15249857033260467,0.06862971855589192,0.07188851546895894,0.20116703570562938,0.30534353162371025,0.10507130481676512,0.12931852900524937,0.14186339772328768,0.03453412578549853,0.07079568397357487,0.14581652331529785,0.06359630007488934,0.01495371511386448,0.07473924880782186,0.1184759251936795,0.041125806057633246,0.17367831956444796,0.06620291893753426,0.02037847864848056,0.010281451514408312,0.03710780219964701,0.10229915092057103,0.10688823436540834,0.021354071087949105,0.030844354543224938,0.12904854818527345,0.3199723470751752,0.06569946738059931,0.11796769909885452,0.12020559223648773,0.03873467559917655,0.05674535908931508
