,gate,entanglement,spin,cavity,photon,state,scheme,phase,quantum dot,polarization,mode,measurement,couple,information,crystal,atom,fidelity,cluster state,circuit,quantum state,field,source,resonator,device,protocol,computation,diamond,center,control,quantum computing,resource,channel
gate,1.0,0.22850810680389597,0.2689617547754976,0.39753410243496196,0.4658554245640429,0.4353752689872755,0.4272366958676422,0.3850133687518487,0.2952617265740468,0.27789338971674993,0.3597384670922507,0.3189515696876696,0.3233808333817773,0.2892406104248749,0.15062893357603013,0.20461796624618925,0.3530242507747799,0.33235149516719387,0.22321959954129736,0.15434872662825797,0.2977342621104822,0.2261656365159503,0.1278274981412284,0.23500799597021085,0.21693045781865616,0.4092359324923785,0.08696565534786727,0.11595420713048969,0.3643083697025009,0.3131121455425747,0.24545784641604232,0.07669649888473705
entanglement,0.22850810680389597,1.0,0.22193867722867633,0.2716781864757402,0.42383563590671747,0.45022373125020876,0.30254215560036846,0.17805208235600942,0.20615741101720422,0.20615741101720422,0.15880155147913175,0.29500269737495827,0.15702717677706413,0.3381188696777105,0.19865825205346171,0.22079630262351757,0.2742742708813898,0.19310804067388584,0.12043434688555504,0.3516107748438625,0.17848607617497853,0.170833363597183,0.05517372590682453,0.17556172079419585,0.21457543652623937,0.22079630262351757,0.06256112470898545,0.031280562354492725,0.1655211777204736,0.11262289639991432,0.22411673409695024,0.1655211777204736
spin,0.2689617547754976,0.22193867722867633,1.0,0.3385846542843643,0.4053735932608011,0.40252883114355964,0.12568317499614473,0.09862273454430759,0.280285101520231,0.280285101520231,0.1979097737100941,0.1429762897859917,0.3479083056285025,0.3565588681059645,0.3151043956244406,0.17510947764599097,0.20889004832671826,0.13752283283450578,0.12507819831856498,0.06918984060216637,0.244686229315071,0.09124485970087103,0.2062842492517587,0.2187974872468418,0.1701758234142103,0.150093837982278,0.5067927641305429,0.3508565290134527,0.2578553115646983,0.1965021149155211,0.15235101483570768,0.13752283283450578
cavity,0.39753410243496196,0.2716781864757402,0.3385846542843643,1.0,0.4526950219452832,0.4699508198658441,0.27068434304281624,0.20650405139110023,0.4303808866757065,0.13693937303317935,0.4420256812102544,0.1539642958280121,0.5645703101984247,0.2850620368313789,0.39587424507089086,0.4399896239498089,0.23857660373819603,0.11518245674418136,0.18856698169277525,0.13521679662509475,0.35398264645063965,0.1528445406338003,0.23036491348836272,0.22397731465322626,0.16289259247507362,0.20951886854752805,0.19590694453450175,0.2285581019569187,0.30235394895347606,0.2586267258148194,0.17013576402364539,0.08638684255813601
photon,0.4658554245640429,0.42383563590671747,0.4053735932608011,0.4526950219452832,1.0,0.6267761055315587,0.362816074583155,0.32740420843989465,0.4180419202657464,0.4045566970313675,0.39357345499224483,0.2712271694429363,0.3766217885773547,0.5240056397747229,0.3508565290134527,0.2888557258759076,0.47144701838145303,0.1786474002526241,0.3899552299324752,0.38615213993619796,0.41096628468960217,0.33364154729962764,0.23819653367016547,0.32282490307549894,0.23860971096884703,0.3321840847572937,0.20256711147285467,0.22507456830317185,0.2828583837333215,0.2431083191631576,0.21989974856677125,0.27789595594852634
state,0.4353752689872755,0.45022373125020876,0.40252883114355964,0.4699508198658441,0.6267761055315587,1.0,0.463204241240971,0.25443125738647904,0.28120236731305037,0.415108256509741,0.35299103396150944,0.45667948249578755,0.36151283613660345,0.47387047233735147,0.3096838644555055,0.30117007526118195,0.4572516337168011,0.21681454519599697,0.28682864310588757,0.46277514967945194,0.3443194196409916,0.2789896203624624,0.23652495839563303,0.30662207033593325,0.29268470350248177,0.30117007526118195,0.20114557032045338,0.17879606250706967,0.31043900789426837,0.28968272975116055,0.34937051739291736,0.21681454519599697
scheme,0.4272366958676422,0.30254215560036846,0.12568317499614473,0.27068434304281624,0.362816074583155,0.463204241240971,1.0,0.29128763250176765,0.09855206599818044,0.21681454519599697,0.25979436665882194,0.2757801013306769,0.27524094128159016,0.3692744729379982,0.20892772350933625,0.14777011582226218,0.27242750174728897,0.14506471329641488,0.21110016546037455,0.23354968324845687,0.22525531673348334,0.15399810070180361,0.2030905986149808,0.28721347895177635,0.24618298195866545,0.25332019855244947,0.09869275424396534,0.16448792373994225,0.23935677693908453,0.14213381090374028,0.25712973861329,0.11605177063713189
phase,0.3850133687518487,0.17805208235600942,0.09862273454430759,0.20650405139110023,0.32740420843989465,0.25443125738647904,0.29128763250176765,1.0,0.13533299049019168,0.08119979429411502,0.3312706744344566,0.1656833739159028,0.15118578920369088,0.1314684396244359,0.15649215928719032,0.14494275891311212,0.1760475392542646,0.15936381457791915,0.2608969660436018,0.1336306209562122,0.30932355733588024,0.1057361065275362,0.15936381457791915,0.14085904245475275,0.253546276418555,0.20291986247835694,0.09035079029052513,0.1355261854357877,0.17928429140015903,0.16265001215808886,0.1765469659009499,0.03984095364447979
quantum dot,0.2952617265740468,0.20615741101720422,0.280285101520231,0.4303808866757065,0.4180419202657464,0.28120236731305037,0.09855206599818044,0.13533299049019168,1.0,0.1794871794871795,0.28968272975116055,0.06726727939963124,0.28644594961577313,0.23129622216290363,0.2717914161090704,0.13730875909527243,0.14592836972877912,0.03774256780481986,0.13730875909527243,0.05063696835418333,0.3174510888285778,0.26711222531767115,0.07548513560963972,0.16012815380508716,0.08006407690254358,0.10984700727621795,0.04279604925109129,0.08559209850218258,0.22645540682891913,0.15408338784034142,0.08362420100070908,0.07548513560963972
polarization,0.27789338971674993,0.20615741101720422,0.280285101520231,0.13693937303317935,0.4045566970313675,0.415108256509741,0.21681454519599697,0.08119979429411502,0.1794871794871795,1.0,0.26554250227189713,0.11211213233271874,0.14322297480788657,0.24908823925235776,0.09883324222148017,0.13730875909527243,0.3752443793025749,0.11322770341445958,0.16477051091432693,0.3038218101251,0.17093520167692652,0.16694514082354445,0.03774256780481986,0.2401922307076307,0.13344012817090595,0.13730875909527243,0.04279604925109129,0.04279604925109129,0.11322770341445956,0.12326671027227314,0.19512313566832118,0.11322770341445958
mode,0.3597384670922507,0.15880155147913175,0.1979097737100941,0.4420256812102544,0.39357345499224483,0.35299103396150944,0.25979436665882194,0.3312706744344566,0.28968272975116055,0.26554250227189713,1.0,0.1899901489143371,0.3146266024828463,0.2345088235604828,0.34893157889942655,0.20683507599800766,0.1766404511952434,0.10660035817780522,0.1809806914982567,0.14301938838683884,0.3448503674037771,0.09430419201928972,0.1421338109037403,0.20100756305184242,0.20100756305184242,0.1292719224987548,0.16116459280507606,0.16116459280507606,0.21320071635561041,0.26111648393354675,0.2099455524325912,0.10660035817780522
measurement,0.3189515696876696,0.29500269737495827,0.1429762897859917,0.1539642958280121,0.2712271694429363,0.45667948249578755,0.2757801013306769,0.1656833739159028,0.06726727939963124,0.11211213233271874,0.1899901489143371,1.0,0.10437071518085823,0.2644973492052907,0.15124753549550504,0.12007302660701855,0.23699122097006606,0.26403934479377983,0.12007302660701855,0.22140372138502384,0.10677035543974552,0.11679143249475675,0.09901475429766744,0.09335200560186732,0.18670401120373464,0.2641606585354408,0.11227217828476796,0.07484811885651198,0.1237684428720843,0.24253562503633297,0.24375747470904355,0.09901475429766744
couple,0.3233808333817773,0.15702717677706413,0.3479083056285025,0.5645703101984247,0.3766217885773547,0.36151283613660345,0.27524094128159016,0.15118578920369088,0.28644594961577313,0.14322297480788657,0.3146266024828463,0.10437071518085823,1.0,0.24845199749997662,0.3680349649825889,0.33235149516719387,0.17466675292187459,0.10540925533894598,0.17895849739771977,0.1414213562373095,0.3637303143842525,0.09325048082403138,0.35136418446315326,0.24845199749997662,0.049690399499995326,0.1533929977694741,0.23904572186687875,0.23904572186687875,0.26352313834736496,0.1147550621098494,0.051899929610768204,0.07027283689263066
information,0.2892406104248749,0.3381188696777105,0.3565588681059645,0.2850620368313789,0.5240056397747229,0.47387047233735147,0.3692744729379982,0.1314684396244359,0.23129622216290363,0.24908823925235776,0.2345088235604828,0.2644973492052907,0.24845199749997662,1.0,0.29146188326172917,0.24772017853917944,0.27484325651507263,0.10475656017578482,0.22866478019001177,0.31622776601683794,0.2711085694801861,0.23168268228563862,0.15713484026367722,0.2962962962962963,0.25925925925925924,0.17149858514250885,0.23756554836659946,0.1781741612749496,0.19641855032959654,0.19245008972987526,0.23210354127426377,0.10475656017578482
crystal,0.15062893357603013,0.19865825205346171,0.3151043956244406,0.39587424507089086,0.3508565290134527,0.3096838644555055,0.20892772350933625,0.15649215928719032,0.2717914161090704,0.09883324222148017,0.34893157889942655,0.15124753549550504,0.3680349649825889,0.29146188326172917,1.0,0.10585122480499262,0.10044292546128847,0.036369648372665396,0.10585122480499262,0.12198750911856665,0.18824832213400466,0.19304683562633607,0.14547859349066158,0.20573779994945587,0.07715167498104596,0.07938841860374447,0.37115374447904514,0.28867513459481287,0.2182178902359924,0.14847846772912465,0.026860765467512676,0.10910894511799618
atom,0.20461796624618925,0.22079630262351757,0.17510947764599097,0.4399896239498089,0.2888557258759076,0.30117007526118195,0.14777011582226218,0.14494275891311212,0.13730875909527243,0.13730875909527243,0.20683507599800766,0.12007302660701855,0.33235149516719387,0.24772017853917944,0.10585122480499262,1.0,0.2902537824479192,0.08084520834544433,0.08823529411764706,0.16269784336399212,0.33999275762786196,0.07151985398521515,0.1212678125181665,0.08574929257125442,0.2000816826662603,0.17647058823529413,0.045834924851410566,0.045834924851410566,0.09095085938862486,0.1650245904961124,0.059708143402653215,0.1212678125181665
