DOI,spin,gate,entanglement,cavity,photon,state,phase,scheme,frequency,measurement,atom,polarization,quantum dot,circuit,silicon,channel,information,device,waveguide,protocol,chip,interaction,mode,control,quantum state,fidelity,microwave,couple,generation,source,resonator,quantum network,interface,crystal,ion,field,level,process,memory,loss,environment,distribution,rate,emitter,detection,computation,technology
10.1038/ncomms8913,0.0,8.15,0.0,0.0,0.41,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature16184,0.0,4.66,4.43,0.0,1.24,3.6,0.0,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,5.62,0.0,1.86,0.0,4.51,0.0,0.0,0.0,0.0,0.0,2.28,0.0,0.0
10.1103/PhysRevX.5.011009,5.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73
10.1007/s11128-015-1147-1,0.0,0.0,0.0,0.0,0.0,0.51,0.0,0.0,0.0,2.64,0.0,6.72,0.0,0.0,0.0,0.0,0.86,3.15,0.0,4.72,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,4.09,0.0,0.0,0.0,0.0
10.1080/09500340.2014.986550,6.66,0.0,0.0,2.98,2.07,0.0,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,2.02,1.57,0.0,0.0,0.0,1.92,1.6,0.0,2.31,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.114.080501,0.0,5.82,0.0,8.94,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,1.57,0.0,5.09,0.0,0.0,0.0,1.38,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.91.042307,1.67,0.0,0.0,1.49,0.0,0.51,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,1.57,4.19,0.0,0.0,0.0,1.6,2.75,9.25,1.78,0.0,0.0,0.0,0.0,2.09,2.2,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1016/j.aop.2015.09.005,0.0,0.0,0.0,0.0,1.24,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.91.094517,0.0,0.0,1.11,0.0,0.0,1.03,0.0,2.75,0.0,1.32,5.46,0.0,0.0,6.92,0.0,0.0,1.72,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,4.45,0.0,0.0,0.0,2.81,1.7,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.114.203602,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
