,spin,gate,entanglement,cavity,photon,state,phase,scheme,frequency,measurement,atom,polarization,quantum dot,circuit,silicon,channel,information,device,waveguide,protocol,chip,interaction,mode,control,quantum state,fidelity,microwave,couple,generation,source,resonator,quantum network,interface,crystal,ion,field,level,process,memory,loss,environment,distribution,rate,emitter,detection,computation,technology
spin,1.0,0.2377601925813554,0.18246608980081036,0.31003276256268364,0.3947661712273483,0.43322428885910585,0.1541222426814169,0.27880149917545205,0.145143002285932,0.18953562637585883,0.10466885439780776,0.09756420007311559,0.4075471937925149,0.10005560189476051,0.21185085653295044,0.0774693511983531,0.289803683750237,0.23101541386263655,0.13557136459711794,0.15401027590842437,0.16064386578049977,0.31151727199737766,0.14177184340737956,0.2932942300427066,0.2344895248052709,0.19516104942281642,0.26940795304016235,0.27399509810029665,0.18837162994395396,0.09362573578414227,0.19320245583349133,0.3734550718655288,0.32128773156099955,0.33866700533384136,0.20395079136182276,0.27872598020818,0.12448502395517627,0.1748149640244195,0.19602307884106443,0.06350006350009525,0.04888237167378443,0.18541926977182407,0.1567723603339241,0.18146654657782443,0.08843153765707637,0.06350006350009525,0.20011120378952102
gate,0.2377601925813554,1.0,0.28313228466712304,0.3207181655209027,0.49270962923237804,0.3991385251064893,0.25243736825136137,0.3460926050044141,0.225218120723267,0.2520874895409406,0.2842253091799842,0.25231697296537736,0.15809755146026733,0.3622642035823962,0.14381874996279562,0.18031356747229446,0.3997225112395826,0.29872181543271953,0.22539195934036807,0.21507970711155805,0.23369135731865842,0.22896983309165297,0.23220860545016045,0.2986620650940015,0.19405703992773202,0.38935418062996585,0.17418325357290443,0.18600648186942417,0.22586501369858647,0.13075098860631254,0.16655104634982607,0.30354213217309406,0.17137366203368284,0.08211077318035775,0.13563002367252733,0.21624928680878336,0.2345552839519363,0.3164700552358971,0.18588083481513237,0.1313772370885724,0.07585068319847657,0.11188906104989205,0.16724356928012835,0.08045179867091297,0.2058285733048319,0.328443092721431,0.284636159957597
entanglement,0.18246608980081036,0.28313228466712304,1.0,0.23382459236581793,0.4530673160562214,0.4969091753732313,0.15498392394234678,0.3154052801879213,0.1368323264601645,0.3675766502760889,0.21050809392456837,0.2575378870626079,0.2235413167203891,0.16349937865516914,0.07988823465254118,0.3213477060710735,0.331899493700641,0.2090762970861068,0.10224699738625065,0.3368451453053943,0.19687932316499937,0.24730968341474896,0.2613682039539406,0.09677522113163294,0.22401050453942759,0.3259187895275187,0.08466068268482455,0.18081457793273792,0.37454448286067143,0.22595804983933598,0.14571197284418386,0.28165726494227916,0.16659019652423024,0.12771017136282017,0.13184425208671469,0.24730968341474896,0.20118376067305657,0.26368850417342937,0.1971190232732791,0.22349279988493534,0.12903362817551056,0.2330699117774614,0.22169370673705469,0.13686083022601064,0.3167986936336982,0.11174639994246767,0.25153750562333715
cavity,0.31003276256268364,0.3207181655209027,0.23382459236581793,1.0,0.4241855231093464,0.3882839177256776,0.2194475977477269,0.30623606501434036,0.21588847195280722,0.16109651905639813,0.3832281891733077,0.07441992482162527,0.2713033733922803,0.24422500434906544,0.14543584966911588,0.10636559227784126,0.24561796621620602,0.12687387174778522,0.14182078970378834,0.21145645291297535,0.18380365552345193,0.3151576182235237,0.2739561553460244,0.2516835207052591,0.14309095175803563,0.26795655688754777,0.3082481011975449,0.3761958818532461,0.07837414205275961,0.15425801329298872,0.2554426848648543,0.19533510401790358,0.2389447521804875,0.27124449040224496,0.13334518676566623,0.28514260696414045,0.2930026560268554,0.21335229882506598,0.15949044456578,0.11624763874381928,0.13423121104280486,0.18857857160117855,0.1973114009168982,0.1898315991504998,0.12141669877745294,0.15499685165842572,0.25948906712088204
photon,0.3947661712273483,0.49270962923237804,0.4530673160562214,0.4241855231093464,1.0,0.6435023627055456,0.28246086949848725,0.4450308797243577,0.36682886255972097,0.4033895408004913,0.34343276929919964,0.4066407362462329,0.38440906512469725,0.37266039177199156,0.2536217703241787,0.30914695237867174,0.5482582276160823,0.3605588523471712,0.3297567492039165,0.39333692983327767,0.35258342061581777,0.3663967458131496,0.4190745319089388,0.2926028679903264,0.3576633420959306,0.4821167863680541,0.2389092412837483,0.3280190742563078,0.4009122018688206,0.418454571856449,0.25128502099070443,0.3784886372024397,0.30984603629874896,0.22524579279982865,0.2480396585108601,0.31405435355412825,0.33117755755213474,0.42631816306554077,0.35925281340260184,0.34913097883973443,0.10403657528544939,0.32885723350542134,0.32323247766309143,0.27586862953412267,0.3176031029582635,0.2928195306397772,0.38153325824275325
state,0.43322428885910585,0.3991385251064893,0.4969091753732313,0.3882839177256776,0.6435023627055456,1.0,0.26831446813549886,0.40563152690745446,0.2335055464847162,0.4090909090909091,0.3026154965396684,0.3184714694190249,0.3317175539045989,0.2799462554779271,0.22227711223719354,0.2167520295874517,0.5165374786121205,0.3274888703301788,0.2709400369843146,0.39643389566284803,0.26967994498529685,0.36698792170878686,0.38784964925515975,0.34875922444144275,0.4111433735138244,0.4290333457674999,0.2763853991962833,0.30664510644057014,0.3737237234744448,0.3457820374040623,0.24024999005214906,0.3084920742470416,0.23596995186213474,0.331645558775394,0.1956463952178074,0.35781322366606716,0.3383461459483682,0.3342292584970876,0.25594534844449573,0.3198010745334156,0.20515248496555455,0.27668578554642986,0.2741465395665704,0.27562295526318825,0.25979436665882194,0.17766726362967536,0.39192475766909796
phase,0.1541222426814169,0.25243736825136137,0.15498392394234678,0.2194475977477269,0.28246086949848725,0.26831446813549886,1.0,0.17760731757222906,0.13483997249264842,0.21560984046602585,0.25930372530182266,0.0863224468409811,0.15734745152973198,0.2124642695389533,0.08434823356733,0.12337741817289975,0.23931721056523972,0.14716573653773893,0.12337741817289975,0.21257273055451179,0.12792042981336624,0.19148542155126763,0.16724840200141816,0.19462473604038075,0.14937887931959076,0.1924079273699148,0.19069251784911848,0.16363636363636364,0.2,0.059643207936565815,0.13675269175156554,0.03776274560246805,0.06396021490668312,0.08989331499509895,0.12373764497794919,0.19148542155126763,0.20769510081357428,0.13920485060019283,0.023124864503144014,0.1797866299901979,0.051899929610768204,0.13124359177794215,0.12483755678647185,0.027524094128159017,0.16430838438455708,0.15731330124142315,0.159348202154215
scheme,0.27880149917545205,0.3460926050044141,0.3154052801879213,0.30623606501434036,0.4450308797243577,0.40563152690745446,0.17760731757222906,1.0,0.18816730283946917,0.24571909803047723,0.21108192915032145,0.19675422728112424,0.22415067990236417,0.10088927404313383,0.11443715178079349,0.21760560538657328,0.38962447165913827,0.17304133212112568,0.1339111417763528,0.252906562330876,0.03471050672503116,0.21255757547442589,0.2586770362488402,0.20596038142045534,0.17564360343886334,0.3614457831325301,0.17463386828392488,0.14800609797685754,0.31081280575140086,0.1780224292965212,0.2226425552337933,0.1998109193621267,0.12148677353760907,0.1280583033213054,0.12590824129146977,0.1842165654111691,0.21518099008229027,0.28958895497038045,0.11294649172467833,0.18294043331615056,0.10562070842074632,0.2136733709387288,0.1524329372026731,0.13443321448446624,0.22929006104060504,0.20123447664776564,0.21619130152100108
frequency,0.145143002285932,0.225218120723267,0.1368323264601645,0.21588847195280722,0.36682886255972097,0.2335055464847162,0.13483997249264842,0.18816730283946917,1.0,0.0913717355809759,0.21585231477651132,0.09145491423778285,0.12502713556962392,0.11254837102261933,0.11915109374689986,0.08714204019005982,0.32598806968099925,0.17323973216880928,0.10892755023757476,0.1385917857350474,0.18070158058105026,0.12909944487358058,0.23035022137995856,0.18557687223952257,0.14067598969066597,0.2195285199793807,0.1767766952966369,0.1733656789191194,0.19262853213235487,0.2527576391226808,0.2897671730497771,0.1600320096032011,0.11293848786315641,0.14285714285714285,0.09832102880166933,0.2397561119080782,0.30006001800600207,0.34412360080584264,0.12249898938750632,0.09523809523809523,0.13746434980705374,0.06952346619889824,0.1543033499620919,0.17496355305594127,0.02486823656509969,0.07142857142857142,0.15006449469682578
measurement,0.18953562637585883,0.2520874895409406,0.3675766502760889,0.16109651905639813,0.4033895408004913,0.4090909090909091,0.21560984046602585,0.24571909803047723,0.0913717355809759,1.0,0.1464268531643557,0.21838043617304564,0.21768964474989302,0.18196506606065266,0.1333662673423161,0.24384603328588317,0.32433748657040123,0.3102526139970115,0.09753841331435327,0.2585438449975096,0.15169496905422947,0.1789066118330336,0.13222147133698628,0.20002367284141567,0.3149183286488868,0.2340181886004545,0.09422229518055113,0.04312196809320517,0.15811388300841897,0.220043114711676,0.07207499701564471,0.11941628680530643,0.06741998624632421,0.05330017908890261,0.024455799402225926,0.1513825177048746,0.20897850190928627,0.25678589372337224,0.05484543180953479,0.15990053726670783,0.14360673947588817,0.13834289277321493,0.1315903389919538,0.04351941398892446,0.25979436665882194,0.10660035817780522,0.20995969160844538
