,gate,spin,cavity,entanglement,state,photon,error,mode,silicon,measurement,ion,chip,fidelity,scheme,atom,polarization,control,information,generation,center,device,circuit,microwave,waveguide,source,field,frequency,noise,platform,emitter,couple,diamond,quantum computing,phase,network,protocol,quantum network,interaction,qkd,rate,memory,computation,number,technology,emission,quantum state,defect,loss,coherence,electron,level,channel,efficiency,code,resource,crystal,interface,resonator,distribution,wave,scale,order,property,process,structure,fiber,architecture,correlation,quantum dot,node,algorithm,material,dynamic,distance,quantum communication,optic,space,transition,realization,pair,tomography
gate,1.0,0.21821789023599236,0.28611083591999625,0.2774251285747237,0.45208846016299425,0.4636770927485311,0.2795426231258449,0.20625716183134754,0.21524880100025257,0.3100755644820153,0.23145502494313785,0.3227486121839514,0.45663301294771547,0.37646162621052137,0.2290854834557588,0.2818647748881568,0.39629696195060854,0.3598960987474342,0.2271734062443571,0.1294207214671282,0.25722170138424105,0.3644396490727344,0.21158181651400262,0.1778086754310599,0.15565572770294622,0.17783842673645195,0.23894740982411616,0.23390037142659992,0.260132990857236,0.12737754277131333,0.19361257103917373,0.11736911946539275,0.39629696195060854,0.2959671013753473,0.2713244308548559,0.2271734062443571,0.2160069123317937,0.2928770089233529,0.06185895741317419,0.1649245905089685,0.14476650603589652,0.3253625759991549,0.22288261661191056,0.2808120285336026,0.0881733428354811,0.18584798541875702,0.06172133998483677,0.18575940419178427,0.19839002137983247,0.22893227903814295,0.2545875386086578,0.1889822365046136,0.19596545041740512,0.11785113019775793,0.3257515165866385,0.14044414010296896,0.1876869351772299,0.15120368418975152,0.1801591589447014,0.1341862600304233,0.30190368221228,0.17928429140015906,0.12156613477096616,0.35220075648148114,0.0944911182523068,0.09639253854237598,0.24374474445459599,0.11118739749916519,0.24708310555370042,0.17200824030811301,0.22831650647385773,0.07319250547113999,0.10012523486435178,0.16208817969462155,0.18468375044793803,0.23097828906119441,0.1745743121887939,0.06978631577988531,0.3436548977548009,0.19131338305769607,0.1126872339638022
spin,0.21821789023599236,1.0,0.32531662083282414,0.20273567862482833,0.3756432772193809,0.41944802218396743,0.06862635163075162,0.1300260078026009,0.35228354422576563,0.14121190016347784,0.16835875742536846,0.08451542547285167,0.2198062338916656,0.16758735012600032,0.16953317256112285,0.16666666666666666,0.2753211747598376,0.20857039859669468,0.1846178122159898,0.4005217290413427,0.2773500981126146,0.15228622596829317,0.10206207261596574,0.11640310205466668,0.17982457677786196,0.24393302236484746,0.1506341767642795,0.12249898938750632,0.2365236351901864,0.2565790028953927,0.20941168923426762,0.39271797163844363,0.10589275952301445,0.09394227846020417,0.17149858514250885,0.15384817684665816,0.33519340576309326,0.3005544464741477,0.0,0.13638124871583943,0.23328473740792172,0.12529400275814703,0.08979133729352985,0.26123867799888717,0.3319072646385835,0.08111071056538127,0.34345186514775167,0.07296484549360702,0.3319072646385835,0.4417261042993862,0.14285714285714285,0.08247860988423225,0.19243425217154453,0.022043335708870276,0.056119585808456156,0.254609368194002,0.38801034018222225,0.0913717355809759,0.06937756159694744,0.14374722712498647,0.21458312693999718,0.11736911946539275,0.3183348654463746,0.17660643936260018,0.17870365474916988,0.07887966148203325,0.09712858623572641,0.06470154480826261,0.25880617923305044,0.1905637053856902,0.05275349613399974,0.25555062599997597,0.09832102880166933,0.18569533817705186,0.13999398385888898,0.09622504486493763,0.08571428571428572,0.24365796154926905,0.2310553440630889,0.20628424925175867,0.03688555567816588
cavity,0.28611083591999625,0.32531662083282414,1.0,0.2856310234989918,0.3903987534520327,0.3998933759810459,0.12154881642416258,0.28988551782622424,0.23823676617339473,0.1620030919998779,0.14638501094227999,0.05832118435198043,0.2803059552906941,0.19047619047619047,0.314970394174356,0.10350983390135314,0.22506467469810748,0.23134972580048324,0.19817527932438245,0.17858803909456308,0.18182026305835128,0.1765469659009499,0.3239757976459313,0.11245608041995418,0.08107262147637538,0.23566168852837724,0.2574698561327959,0.13017979379106648,0.28334439017199226,0.2354849230875219,0.37267799624996495,0.18145294174531096,0.13299276232160898,0.15882451078226315,0.14201432049934526,0.2179928072568207,0.2631099209781971,0.35043832202523123,0.0,0.1866554719798272,0.21128856368212914,0.1694637091472647,0.21686668287745184,0.2617279676534164,0.20912144420325712,0.11194341570991126,0.19518001458970663,0.15272993165088564,0.19518001458970663,0.1524099856197375,0.2645251310812358,0.11952286093343938,0.1983030931263342,0.042591770999996,0.11927667558259851,0.34163335903782827,0.28738776107321623,0.1765469659009499,0.12064516593999956,0.12344267996967354,0.1745743121887939,0.17638342073763938,0.1281419574064149,0.19905436822494996,0.15936381457791915,0.12192798849579002,0.0938351290644441,0.10938835388564892,0.14064216928154863,0.15062893357603013,0.01698823971458752,0.18516401995451032,0.1266495173722607,0.16658454462833938,0.15983740793871878,0.09296222517045284,0.11041048949477666,0.25010820169301234,0.2114722130550724,0.19928951818080545,0.05345224838248487
entanglement,0.2774251285747237,0.20273567862482833,0.2856310234989918,1.0,0.48059237506334923,0.4386123044042237,0.18937152458358883,0.24840089146271893,0.1652589704389063,0.3653140182467877,0.1114989346676121,0.1899050711906769,0.35664906983860317,0.3019527962703627,0.2267125964709535,0.2463801649954511,0.15779156740565256,0.3325349289932287,0.44151906135185115,0.14027828207595955,0.19680066125133272,0.21851825911902967,0.20519193357373872,0.1606047267451822,0.30765537057914855,0.22029476496172692,0.17266236697725335,0.15211385893403187,0.24279584450257144,0.16992454635807216,0.20073126386549828,0.1413506985480439,0.2542197474868847,0.13609562271439343,0.30422771786806374,0.3056670424743585,0.3728713048771009,0.21449154984286298,0.08939803125353483,0.30107064566561176,0.2414022747926338,0.18670150037443628,0.17653997989038583,0.224272881837469,0.16724840200141816,0.25899355046588,0.1170738814009927,0.24161209862606872,0.1911410308587636,0.10447924844167739,0.16753851219690674,0.2389760596996216,0.2017853988002107,0.018248296715045298,0.2787473366690303,0.10538757288364328,0.19272567209421865,0.16388869433927225,0.298653352639614,0.10577717706958902,0.20568833780186058,0.15114173098063566,0.14274514194391816,0.29240281505847926,0.12517793603313512,0.1958985908281451,0.16081334372902292,0.22764001163437408,0.10712471135735252,0.22946291448471007,0.08734262934822934,0.10577717706958902,0.1492220039998552,0.3184314704902789,0.2528558164964056,0.15931737313308109,0.16556747087694312,0.15128187169778978,0.20134341552172394,0.2805503974636931,0.2442819266209837
state,0.45208846016299425,0.3756432772193809,0.3903987534520327,0.48059237506334923,1.0,0.6618518383734412,0.3253625759991549,0.3849406080276326,0.30784118432431157,0.49227646724042745,0.1502496452850696,0.2491709609895453,0.4462714971385123,0.4178916234134434,0.29095718698132317,0.3187276291558383,0.3366657081707087,0.47826615283651347,0.41189958311278135,0.24058498903901795,0.31492193346260305,0.3171138080056337,0.21144501580551553,0.2452780713648895,0.31427758459497374,0.27830319404224163,0.25205918865708143,0.26647402004950604,0.3535632359975612,0.3076928000311158,0.2704940749732164,0.20952380952380953,0.301227212573792,0.30784118432431157,0.3074700231340454,0.42906206574248057,0.33302597196475864,0.37574765346045197,0.12046772038736683,0.2979401522755108,0.17891501337389776,0.3284625821728678,0.36936371132579615,0.38856526091782356,0.2817180849095055,0.37485725492591593,0.24791191472036486,0.3187997966262879,0.21732537978733282,0.22878426018433035,0.32536778809658495,0.26835882863313776,0.2576032744446551,0.18442777839082938,0.35684290755204034,0.2682492720543188,0.259706193209883,0.1868706368604627,0.25539990311691463,0.1781741612749496,0.3086709862908689,0.23276574958505852,0.25893977761077724,0.3557174309558559,0.2760262237369417,0.2023860763169076,0.25539990311691463,0.2255549841503195,0.26164378161437063,0.16426846010152707,0.1961632954454999,0.20490028546619202,0.2559239653166382,0.26633805697108515,0.29104376849997265,0.24535664332172594,0.27091848478246255,0.2972941950052816,0.31201682222998384,0.3040867648449484,0.24688535993934704
photon,0.4636770927485311,0.41944802218396743,0.3998933759810459,0.4386123044042237,0.6618518383734412,1.0,0.3402459658245114,0.394912036452388,0.38742850581206917,0.3866579709053254,0.22764931862839707,0.333041805708653,0.43274496465283513,0.4052252876607932,0.26097787786768134,0.373455914488357,0.3493709053752417,0.46376985922461156,0.4271520102042258,0.2582884954724847,0.42859876354792553,0.3843775720504145,0.2681241265975175,0.32178849357536743,0.40849709420294705,0.30585017011597565,0.3384266540287706,0.31140171357405355,0.4196034237881988,0.339999150357204,0.3576755089782001,0.25858397406218164,0.3665530810494339,0.2731053401626061,0.35115512381754976,0.360582865756814,0.3909175902278415,0.3475421498961505,0.17522449809737073,0.3995557707068661,0.2917821377678867,0.3049533664072637,0.3156737218313773,0.40295363020829317,0.3122047798332303,0.29455653221022626,0.18576184400077203,0.3814881433904336,0.25756894336241504,0.2730458916984937,0.28975027848234597,0.23048486398515977,0.38857045755109026,0.19076027145504007,0.3460269643151636,0.23716696842131096,0.3427746996781088,0.23062654323024873,0.3152019909964608,0.23324447490696723,0.3481829164154699,0.2821382463434393,0.3013095453181754,0.37677581034938074,0.2750948376597068,0.28157857581407164,0.3152019909964608,0.22746712626737584,0.2974570112727222,0.26235912227902464,0.21875020191242214,0.25916052767440806,0.14180964859141768,0.33717972928462486,0.34417341898516707,0.3345748025591029,0.25498024506446443,0.25533653000491824,0.30913694378190304,0.2709614979580583,0.1695765871382976
error,0.2795426231258449,0.06862635163075162,0.12154881642416258,0.18937152458358883,0.3253625759991549,0.3402459658245114,1.0,0.1345345587992625,0.15794943794779692,0.24731875949906545,0.11322770341445958,0.20299948573528753,0.2463801649954511,0.3093969872615048,0.07308816827558576,0.18681617943926834,0.11869488458622456,0.2684209056241677,0.13795837733851,0.051801188678247796,0.16654334688162284,0.2162164349663243,0.049029033784546004,0.04349196560146415,0.13437656161169417,0.1242835507562029,0.14286919170318607,0.30207927000959933,0.16967593679354073,0.04313979814072881,0.049416621110740085,0.05741692517632146,0.29673721146556137,0.2500866100840118,0.16477051091432693,0.27591675467702,0.07044699536763468,0.10455225530359842,0.30261376633440124,0.34395602173537154,0.06537204504606134,0.2387508583996878,0.23903626276385911,0.17352395287295055,0.06470154480826261,0.12988108336653278,0.0,0.32714432804381227,0.032350772404131305,0.053049589176730555,0.10675210253672476,0.26194175932858044,0.07189966356788136,0.44474958999666075,0.23903626276385911,0.04756514941544941,0.014497321867154718,0.05120915564991892,0.27995438152125124,0.053708615552957466,0.24052559968237083,0.21926450482675727,0.05947010334500526,0.16496470133046887,0.030816677568068284,0.17683196392243516,0.2488483391300011,0.03626188621469475,0.05439282932204212,0.0582551728035463,0.1379728923974526,0.053708615552957466,0.05510387687779838,0.22301288754376972,0.14265349750363765,0.1386750490563073,0.16012815380508713,0.01706971854997297,0.13631013668492178,0.09909574797525764,0.10336227882434039
mode,0.20625716183134754,0.1300260078026009,0.28988551782622424,0.24840089146271893,0.3849406080276326,0.394912036452388,0.1345345587992625,1.0,0.126612545266936,0.17301918499833593,0.06600983619844496,0.14201432049934526,0.24130758866434227,0.23190841426097938,0.2173067468400883,0.17503501050350123,0.11417523209619028,0.257442815240411,0.27144247788301723,0.07549804236114202,0.16505632294338118,0.1691730729741841,0.17149858514250885,0.24087326394431716,0.16451245200745981,0.271707030838612,0.24987096773334005,0.1560949345891241,0.23183953503110719,0.16347352281905347,0.3024950709910101,0.0836827408755723,0.16607306486718587,0.21869439637016214,0.14408763192842225,0.2111219272423467,0.15401027590842434,0.2641261855607369,0.0,0.17824048331754982,0.1143323900950059,0.12281268769726868,0.23103442669455732,0.15174229486563173,0.11315971919733421,0.18172434016970185,0.05940885257860046,0.17879963496303788,0.09901475429766743,0.12370805328914199,0.1516970091030344,0.12126781251816648,0.3143721592674105,0.08642716314028859,0.1320196723968899,0.18024290500833565,0.1521304824911477,0.23883257361061286,0.08160433493741087,0.26614532371118854,0.19926334924652145,0.23008949665421113,0.10401019349846875,0.22119475133243585,0.14821621529998125,0.17009857327257022,0.1360072248956848,0.09513029883089882,0.14269544824634822,0.08490445135141556,0.12065379433217113,0.18786728732554486,0.11243619908556622,0.19501911280962891,0.22454435656953592,0.16169041669088866,0.0980196058819607,0.07463517925331652,0.13111973230622778,0.1444278629379538,0.10846522890932808
silicon,0.21524880100025257,0.35228354422576563,0.23823676617339473,0.1652589704389063,0.30784118432431157,0.38742850581206917,0.15794943794779692,0.126612545266936,1.0,0.20313206709548348,0.17437145811572893,0.45851026186080096,0.20236116462908824,0.09075686330415038,0.07503752814845802,0.06849957804389888,0.17060489179982238,0.21335229882506598,0.11803159420437521,0.28364157940757667,0.25077841392315425,0.28039985489311264,0.10067340828210365,0.17860781957190064,0.15175662201646087,0.10207868833811344,0.21335229882506598,0.12687387174778522,0.3701780228629408,0.17716157860724777,0.12683657235796025,0.2357932475675578,0.23153521029975896,0.08108108108108109,0.21145645291297535,0.15344107246568778,0.26519500920839,0.14312107299860882,0.15534244150030002,0.2092620989790246,0.13423121104280486,0.17302494021854173,0.09041483013408166,0.2672281055609348,0.2657088885573012,0.08000711205939974,0.27899433298516624,0.13994571159381,0.23249527748763854,0.21785797263947917,0.09589940926145842,0.15819299929208316,0.16239811372331048,0.0507346289431841,0.09041483013408166,0.2278909546875542,0.20837578950055077,0.21029989116983447,0.19161409458665385,0.05514109665703558,0.3639126714370255,0.21010507881568247,0.19843281603361568,0.16936453206642932,0.07909649964604158,0.14523864842631945,0.19161409458665385,0.037229039552497,0.037229039552497,0.1794267501365025,0.10118058231454412,0.14704292441876154,0.056573571480353566,0.21369687880543226,0.08787495503274935,0.15819299929208316,0.09863939238321437,0.14019992744655632,0.111956569275048,0.08478230418508759,0.08489527199560178
measurement,0.3100755644820153,0.14121190016347784,0.1620030919998779,0.3653140182467877,0.49227646724042745,0.3866579709053254,0.24731875949906545,0.17301918499833593,0.20313206709548348,1.0,0.11649387422147171,0.24018349946094186,0.3422077969107098,0.3410591410523745,0.16919206304810308,0.1647472168573908,0.21065486430744457,0.36747600513172796,0.2483913777498919,0.10659089562768424,0.21418432855864464,0.2283074602353273,0.10088665446106365,0.11186634139959345,0.22811710880967426,0.11508177507526718,0.10022072867228946,0.19071392353115804,0.2782215998166328,0.17753684185045351,0.08579603517083985,0.05907317606885129,0.28392612145786006,0.13203584361206427,0.1271426156874387,0.275004739651666,0.15401811338207683,0.1254962027568488,0.09340289249886088,0.1965987726278638,0.12610831807632958,0.28176109202141314,0.30094250840546866,0.19247704352408723,0.11233337871356203,0.3307284046185552,0.052422243399662276,0.14725425148789079,0.11233337871356203,0.08186978958365408,0.2471208252860862,0.0832272437507492,0.13315263138784014,0.09532892796759983,0.3494816226644152,0.08564012729138519,0.08949307311967476,0.11854425819911225,0.13201373014193926,0.0690723704994422,0.24420770786392612,0.1804715339179766,0.1147229630552298,0.271557247398098,0.1188960625010703,0.0955147545142631,0.14401497833666102,0.1818760028346914,0.09793323229560306,0.04495170286519151,0.1520923541825377,0.09670131869921908,0.18425356783504562,0.1261952593607528,0.14309927378149573,0.1664544875014984,0.1482724951716517,0.10537267395476645,0.24191769887296344,0.14018711827619212,0.23927371020851113
