DOI,quantum dot,gate,field,entanglement,electron,noise,state,interaction,couple,valley,exchange,decoherence,control,donor,charge,silicon,hole,dot,coherence,relaxation,photon,device,temperature,dynamic,measurement,resonance,frequency,phase,semiconductor,information,singlet,fidelity,scheme,bath,pulse,triplet,diamond,transition,orbit,order
10.1103/PhysRevB.82.155315,0.79,1.0,0.0,0.0,0.53,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,21.55,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1021/ja102030w,0.0,0.0,0.96,0.0,1.59,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1021/nl101662v,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.0
10.1103/PhysRevB.81.144519,1.57,2.0,0.0,0.0,1.06,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,1.68
10.1088/0953-4075/43/13/135502,0.0,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,0.0,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,1.86,1.88,0.0,0.0,0.0,0.0,0.0,0.0,1.68
10.1103/PhysRevB.81.045304,0.79,2.0,0.0,0.0,0.0,0.0,0.54,0.0,2.34,0.0,0.0,4.24,1.41,0.0,6.38,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68
10.1103/PhysRevB.81.085313,3.14,0.0,0.0,0.0,0.0,1.86,1.07,1.13,2.34,0.0,10.4,0.0,0.0,0.0,3.19,1.76,0.0,4.84,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1134/S0021364010120131,0.0,1.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63,7.72,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16,0.0,1.68
10.1103/PhysRevB.82.241401,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevLett.105.216803,0.79,0.0,0.0,0.0,1.06,0.0,1.07,0.0,0.0,0.0,0.0,1.41,1.41,0.0,0.0,0.0,0.0,1.61,1.6,0.0,0.0,0.0,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/0253-6102/53/6/07,0.0,0.0,3.85,9.31,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.81.235324,1.57,0.0,0.96,3.72,1.06,0.0,0.0,0.0,4.67,0.0,2.08,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.075403,0.79,3.0,0.0,0.0,0.53,1.86,0.54,2.25,0.0,0.0,8.32,1.41,2.83,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.013601,0.0,0.0,0.0,0.0,0.0,0.0,0.54,5.63,0.0,0.0,2.08,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,1.82,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,6.73
10.1016/j.jlumin.2009.12.004,0.0,1.0,1.93,0.0,0.0,0.0,0.0,0.0,2.34,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,4.27,0.0,0.0,0.0
10.1016/j.ijleo.2009.03.006,0.0,0.0,0.96,1.86,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.044305,0.79,1.0,0.0,0.0,1.06,0.0,0.54,1.13,1.17,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88,2.47,0.0,0.0,0.0,0.0,0.0,0.0
10.1016/j.chemphys.2010.03.003,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,4.27,0.0,0.0,0.0
10.1063/1.3518919,3.93,0.0,1.93,0.0,0.53,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1166/jctn.2010.1536,3.14,0.0,1.93,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.115445,1.57,0.0,0.0,0.0,0.53,0.0,2.15,1.13,1.17,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,4.94,0.0,2.19,0.0,0.0,0.0,0.0
10.1103/PhysRevB.82.075304,2.36,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/12/11/113019,1.57,2.0,0.0,0.0,1.06,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,1.76,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.052339,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
