,quantum dot,gate,field,entanglement,electron,noise,state,interaction,couple,valley,exchange,decoherence,control,donor,charge,silicon,hole,dot,coherence,relaxation,photon,device,temperature,dynamic,measurement,resonance,frequency,phase,semiconductor,information,singlet,fidelity,scheme,bath,pulse,triplet,diamond,transition,orbit,order
quantum dot,1.0,0.5070672458547134,0.44079062520262896,0.2060446424763349,0.6699227418349132,0.2446780129406477,0.5401286694122056,0.4431551518481802,0.42562268058609504,0.24433888871261045,0.31675175604649874,0.307566960771828,0.307566960771828,0.08470926844646215,0.41612453136147776,0.20768805540571889,0.27745901235129633,0.5331279626891956,0.2811652238928904,0.21160368475757949,0.23275217842511434,0.3184261263204173,0.07407610636824496,0.22681468899490437,0.3089398541209238,0.20595990274728251,0.17328712959178655,0.2493773340269082,0.38335038814620814,0.28075723831394206,0.3887407915116121,0.19316685232156397,0.2865127435888428,0.1587027635681846,0.18717149220929472,0.30542361089076303,0.04444566382094698,0.19549424775314506,0.37237283877104327,0.3291612874006792
gate,0.5070672458547134,1.0,0.37278889581982033,0.18647697592850526,0.4974781188136334,0.3442651863295482,0.432888362276765,0.4047717331353798,0.38331077069024155,0.11340230290662862,0.3207501495497921,0.2626556721005538,0.37685379040514244,0.1320989873168695,0.4008778816015087,0.2585572506271132,0.15452877499092177,0.35377908700348826,0.22549380840084865,0.15713484026367722,0.14814814814814814,0.31212739461154115,0.11551721334727867,0.18246624956441246,0.2421610524189263,0.1911797782254681,0.20786985482077452,0.35185185185185186,0.21350420507344953,0.22853448155422687,0.3047126420723025,0.4590202484393976,0.37716825457067865,0.09820927516479827,0.19245008972987526,0.30618621784789724,0.18152704954572363,0.2010075630518424,0.25923792368260634,0.3404588205713006
field,0.44079062520262896,0.37278889581982033,1.0,0.14085904245475275,0.4813297881781405,0.2676321806640302,0.41788305283557037,0.3586996146273851,0.38630906522828456,0.33407655239053047,0.2519763153394848,0.3027788802109732,0.3139929128113796,0.22237479499833035,0.23373221986993337,0.30735042819928804,0.15174424466672098,0.29777500019127906,0.23373221986993337,0.23145502494313785,0.07273929674533079,0.2089793297157573,0.19446111706564934,0.24809303088898707,0.18773481537065959,0.3629539763832752,0.30618621784789724,0.27277236279499045,0.28827833009852755,0.24803918541230535,0.22047927592204922,0.15494494670022804,0.12820564851709268,0.19287918745261487,0.2047307562133314,0.21714975905384482,0.145845837799237,0.24673188560991335,0.3733643283161719,0.32146531242102483
entanglement,0.2060446424763349,0.18647697592850526,0.14085904245475275,1.0,0.21533979362404787,0.08888888888888889,0.39783003135777617,0.305887645160749,0.2344036154692477,0.0,0.09938079899999065,0.19460646055923425,0.0884574820723792,0.0,0.11644450194791639,0.021081851067789197,0.10259783520851541,0.13701805122009747,0.0776296679652776,0.03042903097250923,0.31557642080208587,0.0439586982263858,0.10226199851298273,0.3261640365267211,0.2171945885116672,0.03948992518393949,0.046004370622823615,0.08606629658238706,0.12403473458920847,0.22360679774997896,0.12422599874998831,0.17777777777777778,0.20225995873897262,0.09128709291752769,0.09938079899999065,0.05270462766947299,0.1533929977694741,0.051899929610768204,0.05354795526016659,0.04057204129667897
electron,0.6699227418349132,0.4974781188136334,0.4813297881781405,0.21533979362404787,1.0,0.27200816036721837,0.602901083395714,0.4680221379707014,0.3745882153348877,0.2867217763042509,0.27877150446555865,0.37896322226527906,0.33384855294798393,0.3280295402546543,0.3662289456593748,0.39782646462214805,0.17442155257954564,0.3893386858740323,0.39592318449662145,0.26382761347878536,0.27800247816055984,0.3138745217132938,0.23469832764274204,0.24397801877234396,0.4229497874039472,0.4128795543705199,0.281555194994234,0.21947564065307357,0.31629806228668855,0.38014296063485276,0.3167858005290439,0.2833418337158525,0.3094670210205231,0.21726979933547028,0.27877150446555865,0.2688016652852352,0.23469832764274204,0.3044022193707217,0.32772331803924065,0.33107778946357375
noise,0.2446780129406477,0.3442651863295482,0.2676321806640302,0.08888888888888889,0.27200816036721837,1.0,0.18186515719212626,0.16823820483841195,0.17189598467744832,0.03513641844631533,0.12422599874998831,0.3538299282895168,0.1769149641447584,0.05847053462046861,0.3105186718611104,0.21081851067789198,0.03419927840283847,0.2153140804887246,0.19407416991319398,0.18257418583505539,0.0573775310549247,0.19781414201873612,0.1533929977694741,0.15220988371246985,0.11846977555181847,0.1382147381437882,0.16101529717988267,0.14344382763731175,0.14470719035407653,0.05590169943749474,0.27329719724997426,0.3111111111111111,0.11236664374387369,0.15214515486254615,0.24845199749997662,0.26352313834736496,0.10226199851298273,0.1297498240269205,0.10709591052033318,0.22314622713173435
state,0.5401286694122056,0.432888362276765,0.41788305283557037,0.39783003135777617,0.602901083395714,0.18186515719212626,1.0,0.4380886492785256,0.359689362528241,0.2516098041413563,0.26687249808205815,0.3076702604915849,0.41625976419449723,0.20935201159410272,0.37721883315695315,0.3234983196103152,0.19242064284886287,0.42050490901821846,0.37721883315695315,0.17120752175028986,0.24946109012559342,0.3147856252893015,0.27460953500711927,0.2891746346450839,0.383779652542219,0.25248661351461776,0.23531040266750583,0.20543854480931223,0.3066423274674148,0.3907775864772995,0.31770535485959306,0.2841643081126973,0.3448503674037771,0.17120752175028986,0.2160396413045233,0.269581933008596,0.3007628240554163,0.30528582709109187,0.2328111901575301,0.25940533598528764
interaction,0.4431551518481802,0.4047717331353798,0.3586996146273851,0.305887645160749,0.4680221379707014,0.16823820483841195,0.4380886492785256,1.0,0.3871863177464911,0.1934603333626698,0.44459061923690013,0.36528368698758484,0.24352245799172326,0.12072654548783006,0.18699940608701307,0.18862382502860303,0.2589131342368178,0.26943511520719615,0.22707070739137303,0.23036964956043252,0.07897985036787898,0.1512722552040129,0.10557230146166803,0.37413580900981214,0.1902518134979082,0.1902518134979082,0.22163665540145625,0.19744962591969745,0.2845551966122361,0.2436698586202241,0.20519567041703082,0.1835325870964494,0.24747528995589838,0.23036964956043252,0.18809603121561158,0.1995059687802532,0.14076306861555737,0.28575985054763725,0.3685423035983738,0.20942695414584775
couple,0.42562268058609504,0.38331077069024155,0.38630906522828456,0.2344036154692477,0.3745882153348877,0.17189598467744832,0.359689362528241,0.3871863177464911,1.0,0.1729581738875903,0.2795426231258449,0.28613959986039156,0.2736987476925484,0.10279278535093246,0.16377007354864476,0.2075498086651083,0.12024651756097046,0.3028223935679619,0.28659762871012834,0.21398024625545645,0.14121975762272057,0.1854734003205559,0.21573523958898586,0.1987804764345587,0.1388487185658827,0.2776974371317654,0.2426307930309848,0.14121975762272057,0.1744451413888741,0.1965534068853597,0.20965696734438366,0.21877670777129785,0.2212488394343549,0.1925822216299108,0.20965696734438366,0.16678109624874776,0.21573523958898586,0.21897956058054358,0.30124402353524565,0.24251094575618398
valley,0.24433888871261045,0.11340230290662862,0.33407655239053047,0.0,0.2867217763042509,0.03513641844631533,0.2516098041413563,0.1934603333626698,0.1729581738875903,1.0,0.07856742013183861,0.05594542388644594,0.13986355971611483,0.13867504905630726,0.061371641193221554,0.36666666666666664,0.10814761408717503,0.21664456120656053,0.09205746178983233,0.19245008972987526,0.0,0.10425720702853737,0.040422604172722164,0.0,0.06243905410544627,0.18731716231633883,0.036369648372665396,0.0,0.09805806756909201,0.11785113019775793,0.19641855032959654,0.03513641844631533,0.035533452725935076,0.0,0.039283710065919304,0.16666666666666666,0.0,0.12309149097933272,0.508000508000762,0.09622504486493763
