,gate,noise,silicon,electron,state,field,quantum dot,donor,charge,control,hole,couple,photon,fidelity,interaction,exchange,dot,valley,relaxation,orbit,center,readout,entanglement,decoherence,coherence,resonator,measurement,phase,device,semiconductor,sequence,bath,frequency,error,diamond,information,resonance,scheme,temperature,transition,ion,energy,cavity,dynamic,order,environment,singlet,phonon,architecture,structure,parameter,triplet,interface,metal,distance,complex,molecule,regime,level,vacancy,computation,microwave,function
gate,1.0,0.36964093515643537,0.42824270322504865,0.4475562441995682,0.4702418525935056,0.31648701072250823,0.5090648238553398,0.1938916835823703,0.3385555833846721,0.44129536201819797,0.11470786693528087,0.40858690513588686,0.23558060760785304,0.5123618056442546,0.3973597071195132,0.3682454511107383,0.4134063256229279,0.158970161079422,0.16556654463313047,0.27591270276823465,0.16350382386265755,0.2051956704170308,0.24489899998946185,0.2225659536298629,0.34341479757995447,0.209837193430569,0.2593922043124253,0.2621894101377849,0.36366703342629175,0.3747191507007029,0.2605130246476754,0.04499212706658476,0.258092700604382,0.380442955126341,0.19274776986097067,0.3059882495526028,0.260132990857236,0.24478062310251944,0.14227759830611805,0.14180532927464493,0.07358513094805798,0.1612479447469338,0.22075539284417395,0.12849851324064712,0.2769981308412335,0.18445719036428657,0.32697987755434016,0.13961796943056518,0.3268695241087095,0.09439897672063849,0.24099009325151116,0.31919326509315904,0.19672236884115843,0.15339833717103754,0.20817020153834942,0.04499212706658476,0.08998425413316952,0.22309149380341822,0.17660431427533918,0.17099639201419234,0.3569463900854692,0.206817795821195,0.21270799391196737
noise,0.36964093515643537,1.0,0.22234939248050264,0.31657189717808587,0.32662999035542,0.3397024670608001,0.37773322568081863,0.11438580396855508,0.397421596335233,0.2615030810692439,0.0644490992697109,0.25428879966438994,0.10829614816910439,0.3673598658373522,0.3029933106152287,0.2211246541915168,0.204947725782639,0.1278872166673272,0.09767547513254082,0.20669695573152072,0.15502271679864055,0.14411256705570563,0.14742593246782543,0.3165318521317621,0.30586810221099514,0.1657939400769678,0.21519511207177097,0.1795367765370518,0.16419202869239752,0.32252558809752035,0.2666031240903174,0.18959262392869292,0.3141893589398406,0.3497784223974534,0.1624442222536566,0.17853312778769836,0.08525814444488479,0.22280026279444026,0.14389068460377855,0.1536568512595725,0.055814557218594754,0.17986335575472318,0.13023396684338776,0.1353701852113805,0.3607845921054374,0.2914820186645445,0.24231378235305687,0.10590067644273117,0.19071659974829247,0.10441947515323594,0.1904080798378775,0.21616885058355845,0.13263515206157425,0.10441947515323594,0.12384138336551517,0.01895926239286929,0.01895926239286929,0.1692156117064202,0.18139731096043296,0.14411256705570563,0.1974182136574902,0.1797491205220151,0.20487580167943004
silicon,0.42824270322504865,0.22234939248050264,1.0,0.4877131100041323,0.3581408105517276,0.35139096424936367,0.4196732710696046,0.5239956379316802,0.37947331922020555,0.3516511575202986,0.16666666666666666,0.31235807588017883,0.1260252075625209,0.38,0.2804272736063897,0.21669453555438456,0.3073993852018444,0.2834733547569204,0.23094010767585027,0.2939873661036668,0.09354143466934853,0.34286375654996776,0.12199885626608374,0.18190171877724973,0.2857738033247041,0.13719886811400708,0.2013995972012084,0.11428571428571428,0.4076197322920545,0.36490022459988086,0.11355499479153378,0.09805806756909202,0.2375,0.27136021011998723,0.1260252075625209,0.18467610337532772,0.2141798680385621,0.07682212795973759,0.17364862842489184,0.18543452998910614,0.0769800358919501,0.17364862842489184,0.11547005383792515,0.140028008402801,0.26343422397525684,0.16583123951776998,0.1326977605394074,0.2008316044185609,0.1643989873053573,0.13887301496588272,0.14443707614569481,0.1341640786499874,0.27439773622801417,0.24688535993934707,0.06405126152203486,0.0,0.058834840541455206,0.18962448894726291,0.23094010767585027,0.14907119849998599,0.18962448894726291,0.18593393604027364,0.1986798535597566
electron,0.4475562441995682,0.31657189717808587,0.4877131100041323,1.0,0.49905705295309666,0.42980509270194395,0.5747176800236924,0.353308122863031,0.38189896267400086,0.40206272157251954,0.13934660285832354,0.4409874775912412,0.19512427275947097,0.355333837288725,0.4309917785941766,0.37744559234332115,0.39880917976296004,0.25017331024611855,0.3218071946836519,0.31655654215763995,0.21414119028310938,0.28042962878239014,0.21250157716599583,0.3464142830645649,0.4266600929914307,0.1314375987903966,0.3471116934973911,0.19906657551189078,0.3313358122253496,0.3922529658189376,0.16953752959065915,0.21862493757767873,0.3222390191098732,0.21007290795078384,0.17561184548352388,0.36456482482158037,0.4125665116339499,0.2140980511107373,0.3197506496766399,0.2307113554161773,0.20112949667728242,0.24197346462015992,0.1609035973418259,0.26341776822528584,0.36708664187570766,0.22057655334832302,0.20545535708970802,0.1526465553944353,0.20617596354915174,0.21501647626876533,0.2195652642293626,0.18695308585492676,0.23897745234617562,0.27952141914939493,0.2789164281839253,0.19129682038046888,0.16396870318325904,0.24390949249427823,0.27152482051433124,0.18695308585492676,0.1930950148913036,0.22376181114658628,0.27685362649941275
state,0.4702418525935056,0.32662999035542,0.3581408105517276,0.49905705295309666,1.0,0.4907258852152738,0.5085042631310135,0.23986297458203604,0.3561448693089068,0.4021326375743114,0.23650808243982008,0.4499166898076727,0.33117755755213474,0.39868505325569675,0.4347242610141992,0.2847222726619717,0.3151632829595847,0.19155354158954885,0.2633425811912938,0.28895745753230795,0.33410706027173104,0.26190575026004975,0.3194518507912941,0.278613658631905,0.40000951282447783,0.27813121037620786,0.3151632829595847,0.29925512471977234,0.30604876586992574,0.3311173112565667,0.15346670896919662,0.1325230030201158,0.24495479966981365,0.19355536126554793,0.3027909097619518,0.40210931472093514,0.21283726843283207,0.2682098473113451,0.29335217233625716,0.4117165703814753,0.16905943483885524,0.33525962552715105,0.18206400674953643,0.2838664779018298,0.31152161580705034,0.26486523120548666,0.22915369411186493,0.23440718322924167,0.23329013545583027,0.2919519153085987,0.3016774600058979,0.23168585599927477,0.2549536095115239,0.260671352954106,0.28133190503651806,0.11927070271810421,0.19878450453017368,0.23655942469212138,0.2535891522582829,0.3021989426077497,0.24641606738762645,0.25128502099070443,0.30431224767326437
field,0.31648701072250823,0.3397024670608001,0.35139096424936367,0.42980509270194395,0.4907258852152738,1.0,0.40116195681031175,0.19798637900567048,0.2798567190507171,0.3872471317735295,0.28631856346244444,0.4107969327704774,0.20775265799933032,0.2108345785496182,0.4121918329908262,0.16921000399116268,0.28970174890044587,0.2361125344403821,0.25923001996688677,0.38608754039747806,0.20869596778242056,0.10476454436543674,0.13098951476312376,0.25567448143901744,0.29487922979179393,0.21426863360223206,0.24831578477181074,0.18963956800759307,0.291772740472018,0.27679808383598037,0.17734310717834897,0.19908326484529887,0.3611518243674015,0.08240428163590194,0.24055570926238246,0.2563694381782581,0.3935208907339702,0.1999600119960014,0.28087908103194664,0.29994294137174393,0.1953617541779437,0.27119359547912086,0.15027827244457206,0.2296213588413651,0.35141709677193345,0.23544080467400555,0.2072390845763268,0.18533643326646534,0.1412114456398516,0.26507948099153394,0.28709267411827166,0.2328100985898594,0.26783579200279006,0.16868694244915797,0.1375429889020977,0.12251277836633775,0.13782687566212998,0.3189239823010602,0.23668827910020096,0.2328100985898594,0.1025112800253408,0.3035791144753614,0.31028580141904544
quantum dot,0.5090648238553398,0.37773322568081863,0.4196732710696046,0.5747176800236924,0.5085042631310135,0.40116195681031175,1.0,0.13453707438080736,0.45762876195627555,0.42407641250562206,0.31354899562671606,0.4520287429298014,0.2634338483658456,0.3834945408049835,0.40582010762594667,0.42682991603370185,0.536891283345484,0.3008340438094307,0.2088779965721784,0.3190826885841291,0.029007517144011733,0.269660334037739,0.15448172997050222,0.25446429777477236,0.32493790519706517,0.19854723368431934,0.37582389834183877,0.18606204136090843,0.39325771587016783,0.5054337117445803,0.19954481129993426,0.14190465507408673,0.2984745246831239,0.20725765453684053,0.0,0.27467759602497627,0.24613694493498878,0.27793270458095515,0.13462257618440518,0.18209561571747218,0.02785039954295712,0.2602703139565167,0.19495279680069985,0.15198106636491093,0.2779792088403923,0.15271616650082986,0.35206134225346336,0.11889544000696689,0.20222338499491116,0.1563099797617667,0.19002000065765923,0.3343788142067963,0.24818404210539918,0.1898049754250024,0.23172933137144022,0.014190465507408673,0.028380931014817347,0.2744149294875859,0.1984340967435695,0.0,0.2321972480279573,0.24461286251055886,0.2683514336889064
donor,0.1938916835823703,0.11438580396855508,0.5239956379316802,0.353308122863031,0.23986297458203604,0.19798637900567048,0.13453707438080736,1.0,0.14253932901995967,0.19813298130565876,0.0563436169819011,0.13894250359418212,0.023669053416557544,0.16903085094570333,0.19518001458970663,0.12209353913347196,0.17917234365811655,0.09583148474999098,0.19518001458970666,0.11293848786315641,0.06776309271789385,0.20158105227158785,0.0,0.18448201388042726,0.2760262237369417,0.057977103565244846,0.14333787492649322,0.04829452884162952,0.15311180047019055,0.12335879094879224,0.05484084971070817,0.09944903161976938,0.08451542547285165,0.15289415743128767,0.04733810683311509,0.1387375951238592,0.12777531299998798,0.086568731069961,0.0628970902033151,0.17910946513585801,0.03253000243161777,0.04193139346887673,0.0,0.1656833739159028,0.2226425552337933,0.15289415743128767,0.12461119656980671,0.09258200997725516,0.11115400287534569,0.07824607964359516,0.06658451424277129,0.05039526306789696,0.11595420713048969,0.052164053095730106,0.08119979429411502,0.0,0.09944903161976938,0.12327841818038449,0.12198750911856665,0.02519763153394848,0.09862273454430759,0.08571428571428572,0.11194341570991126
charge,0.3385555833846721,0.397421596335233,0.37947331922020555,0.38189896267400086,0.3561448693089068,0.2798567190507171,0.45762876195627555,0.14253932901995967,1.0,0.22810637940488043,0.15811388300841897,0.3205897343611891,0.14760248092334924,0.30568684048294337,0.26951427432793884,0.2537956625422937,0.3128540441385291,0.17928429140015906,0.21300321680756462,0.2394603721730797,0.07042952122737638,0.282842712474619,0.09644856443408242,0.2173067468400883,0.225924028528766,0.14462030521243746,0.1787737395077309,0.1355261854357877,0.3103164454170876,0.39562828403747224,0.10259783520851541,0.062017367294604234,0.2239946675952602,0.15891043154093204,0.04428074427700477,0.17303618253948003,0.1460834966964259,0.1079701773571888,0.18304172612897177,0.1535797663736217,0.10143010324169742,0.2484137711750331,0.1420021445383764,0.10332173664634446,0.25454371598356185,0.07945521577046602,0.18650096164806276,0.13471506281091267,0.1559625734730109,0.09759000729485331,0.1522500463985233,0.2199887763691481,0.16269784336399212,0.17891501337389776,0.10127393670836667,0.062017367294604234,0.0,0.2152572818734065,0.18257418583505539,0.0628539361054709,0.10762864093670325,0.16035674514745463,0.22338875108890427
control,0.44129536201819797,0.2615030810692439,0.3516511575202986,0.40206272157251954,0.4021326375743114,0.3872471317735295,0.42407641250562206,0.19813298130565876,0.22810637940488043,1.0,0.22541740866685808,0.31129050712896644,0.13888490349773785,0.36968455021364727,0.2677264489518961,0.24966101679323718,0.2484996543155327,0.1533595897329743,0.1691882420459899,0.16868694244915797,0.19278507708475195,0.2688259461818373,0.13750333019910538,0.24055570926238246,0.3128893238787319,0.10824454662799923,0.2102689382669892,0.1932149217144498,0.2960725477186496,0.27261611754131765,0.23403220724193016,0.15914876753019166,0.25923001996688677,0.23108408032649067,0.22726620572357106,0.3145317988064471,0.28399924024624873,0.2308939335061044,0.16775753073468527,0.2149723091700056,0.0867632010492256,0.17894136611699762,0.06941056083938048,0.20201440508761873,0.2573248605315574,0.17671135554378697,0.18612150863717272,0.09877295966495896,0.23717371971730777,0.1391306451882804,0.1539135303499427,0.20161945963637798,0.185562079933713,0.1391306451882804,0.15882096333554366,0.017683196392243517,0.035366392784487034,0.15782644031360965,0.15617376188860607,0.24194335156365357,0.28934847390828433,0.182891982743685,0.14331487278000374
hole,0.11470786693528087,0.0644490992697109,0.16666666666666666,0.13934660285832354,0.23650808243982008,0.28631856346244444,0.31354899562671606,0.0563436169819011,0.15811388300841897,0.22541740866685808,1.0,0.20549873413169661,0.04667600280093366,0.11666666666666667,0.1649572197684645,0.060192926542884606,0.14133305066751467,0.0314970394174356,0.12028130608117203,0.22271770159368698,0.0445435403187374,0.14907119849998599,0.05083285677753489,0.020211302086361082,0.11907241805196005,0.08574929257125442,0.12366641933407534,0.09523809523809523,0.2453266907313291,0.20851441405707474,0.08111071056538127,0.09805806756909201,0.14583333333333334,0.0,0.0,0.051298917604257706,0.1469861839480328,0.08535791995526398,0.10336227882434039,0.06622661785325219,0.0,0.1860521018838127,0.032075014954979206,0.0700140042014005,0.10976425998969035,0.025125945381480302,0.04914731871829905,0.06085806194501846,0.08219949365267865,0.07715167498104596,0.06565321642986127,0.049690399499995326,0.05716619504750295,0.07715167498104596,0.05337605126836238,0.0,0.0,0.14586499149789456,0.024056261216234408,0.024845199749997663,0.048621663832631515,0.0563436169819011,0.15452877499092177
