,gate,quantum dot,electron,noise,silicon,hole,field,fidelity,charge,couple,state,control,photon,center,interaction,valley,defect,device,readout,measurement,coherence,relaxation,frequency,semiconductor,orbit,entanglement,temperature,exchange,donor,array,error,diamond,energy,material,phase,information,resonator,resonance,technology,property,scale,cavity,split,transition,platform,vacancy,dot,ion,protocol,level,pulse,decoherence,molecule,triplet,quantum computing,structure,interface,dynamic,microwave,metal,phonon,mode,order,density,surface,singlet,parameter,range,scheme,quantum computer,experiment,architecture,manipulation,environment,transport,factor,candidate,heterostructure,potential,pair,circuit,source,process,chip,symmetry,band,strain,excitation,nanowire,atom,challenge,crystal,transfer,regime,signal,number,simulation,memory,ground,quantum processor,mechanism,network,power,fluctuation,rate,polarization
gate,1.0,0.5552912760147772,0.480395280763275,0.44112877325628463,0.4600943353453571,0.2900030151698964,0.39201800239839746,0.5512619164347581,0.41151429244566856,0.37754910684763204,0.4237770720471899,0.4832701167069038,0.18590618543326826,0.14248773518361038,0.35676104220041965,0.19928551054884727,0.10420687769563658,0.4350307480532287,0.24881680282415153,0.28478830776966824,0.34369571925919046,0.18888398734980336,0.3939005682372871,0.4587596979470412,0.2833932733692797,0.20408635496126942,0.20286095141521776,0.335869707825144,0.1403131898273123,0.3253758190777366,0.3082481011975449,0.1275983604226418,0.22815604348817975,0.19915223531847326,0.24002133617819923,0.2733259889926686,0.17139779254776524,0.2433698250171367,0.2603550441891784,0.1562392040570263,0.35040281573970905,0.15623310719493413,0.21145645291297535,0.132597504604195,0.3267869589592187,0.12535305264097504,0.3321855894985839,0.09133743044157229,0.27517398263774995,0.19576383662395294,0.27013510133444885,0.14572412715649127,0.12208444001118975,0.22883370570102837,0.3624656968340334,0.19277490023901495,0.12925469147547064,0.14673811448603807,0.23289856534925615,0.1671059806942402,0.10282544953985406,0.20016588663317567,0.2697140019337164,0.09589940926145842,0.09863939238321437,0.26044680535720477,0.24644450124838727,0.2557448052364024,0.22555354977384037,0.29252377544448616,0.18179481208639486,0.23790770970947703,0.17170914210964275,0.19349180453622572,0.19533510401790358,0.2130286414959735,0.1485386495059913,0.16108637795166642,0.26238863383078287,0.17617846449368138,0.22326195047546518,0.13994571159381,0.213256114749778,0.19097826365056023,0.08664587415167273,0.1286403046832755,0.06977706949752875,0.07630407376657883,0.13331619553002289,0.13616123289967447,0.26835201187239155,0.09964083320898795,0.12422146155979888,0.228945522812857,0.18905883540116086,0.2635135135135135,0.22349054778228306,0.0930725988812425,0.12448951962972825,0.29061909685954823,0.16458569831079517,0.11129864054599853,0.17329174830334546,0.16108637795166642,0.1658155677094358,0.08968700041677191
quantum dot,0.5552912760147772,1.0,0.5266464149413066,0.35652864689438074,0.4539253642622081,0.3539924966088177,0.4111293249400862,0.41009343731832254,0.46840777001193656,0.4212057233144756,0.43263748124556217,0.3931577389118147,0.24003250849673718,0.04073073061012618,0.32375134923023613,0.34498418008227894,0.04964663868173117,0.45623899076333785,0.2670457314860212,0.30552624208760987,0.29240147730042826,0.21149448685333286,0.33430609234694136,0.5289142282300642,0.3719809442670185,0.1805729727702351,0.17174345831077648,0.24288192799195837,0.06611394640818899,0.30612559463031697,0.19580898360256077,0.04559317366834508,0.29251218826177167,0.23006827159733717,0.1837798099145989,0.24155765482307062,0.2187267615160678,0.20088113523692452,0.23570818844623034,0.17494193526960364,0.2851463860120928,0.1407349921951503,0.27344498968911685,0.15382940646738755,0.2594818185407447,0.019196093608502753,0.4479088508650642,0.025431035532725427,0.17814906455515822,0.21196944261128528,0.17619478124781998,0.16229558627939583,0.07478220240263654,0.2788346294274147,0.31718073984777556,0.17891406674112828,0.2014083157821853,0.18237269467338033,0.24476122950320098,0.16318247800165483,0.09690031662230184,0.18863168484588788,0.21798797536616216,0.07692495784386316,0.07552632224670201,0.2908196760102532,0.257887138551763,0.2907615062574941,0.18709394031360624,0.2014083157821853,0.19796886565757993,0.22859475575713728,0.2410364942271103,0.15195182067672958,0.23265574080820256,0.20298383805531664,0.15164432299143682,0.22504286542699473,0.2861388881402748,0.15416745971119464,0.21221064545162388,0.20002041128749512,0.16173107818196042,0.22887931979452886,0.14153197131580672,0.21630813631318374,0.08141255010133056,0.12983242236172773,0.12373054103598746,0.07413766244021278,0.2556985808913094,0.06781609475393448,0.16583984734569585,0.28486131135931214,0.20140352599120537,0.2207369047512158,0.15456225538888607,0.06651300456371259,0.15699645640568982,0.2596084877299054,0.20803328798933052,0.1032960845948011,0.15922346773028256,0.22504286542699473,0.20608300718518144,0.14649950842630233
electron,0.480395280763275,0.5266464149413066,1.0,0.2981997265643899,0.42801805500684753,0.1684639145269323,0.41833346966863305,0.3466501408716289,0.39272549745658436,0.40860019837375605,0.45892582896942014,0.4359829612338145,0.18785449810279778,0.18493561969494318,0.3291230827180274,0.2563384514843641,0.1723783214742669,0.3849741916091626,0.286165405807552,0.31324433899931753,0.39949127685462105,0.296556740361086,0.3215666776970652,0.39629696195060854,0.23181787635757028,0.1882759672167467,0.35414412348741425,0.2203675858870787,0.22661152915482607,0.24354502621919322,0.21572774865200242,0.12786113876507643,0.27343962911259,0.24007503517457057,0.18452258126297555,0.30367210732708544,0.1472149476197155,0.38544964466377263,0.30472470011002206,0.28378178144389027,0.31017203947050015,0.12278812270298409,0.2623423896585619,0.22432695033178982,0.2815462531857365,0.16748160927528216,0.32300024645947273,0.13471290479755565,0.16012815380508713,0.28306925853614895,0.20767331347143553,0.2212488394343549,0.2640901167094099,0.19725158702937712,0.3063830508865885,0.28432228340241084,0.22073734087480648,0.21310189794179407,0.24187656667042698,0.23574758339572238,0.1660672983412074,0.1983739567600742,0.29493690609444523,0.17650452162436564,0.1804268443271293,0.20971862209276668,0.22931260249476337,0.2718030961503623,0.161441470559115,0.22073734087480648,0.30072376462244493,0.26043441968472936,0.19800873517968648,0.2414750802376679,0.2640901167094099,0.17619527836864127,0.215716742976478,0.17800494669380168,0.2788640926799914,0.2401922307076307,0.1983739567600742,0.20701197462119514,0.21514900771294473,0.22980436700759493,0.15711066381299738,0.13721004748808258,0.08561726894780894,0.16182267881254697,0.09253038911459843,0.1819221943661682,0.21626194942529944,0.21395578997258838,0.21886116124202554,0.20483662259967567,0.21180542594923876,0.2450338344832812,0.24768752981536135,0.15988161300635792,0.16073700829736082,0.18027756377319948,0.20942812576189443,0.12552918289216958,0.1653796461189446,0.16991381275317433,0.21328648400767225,0.23965787580611125
noise,0.44112877325628463,0.35652864689438074,0.2981997265643899,1.0,0.3786328457205041,0.19722337291388517,0.3393104462691481,0.34293053429426684,0.5018178873386042,0.24882008555898072,0.3188590958317677,0.29271211069382735,0.13386692639446418,0.131786905501034,0.24801537836790835,0.15320646925708528,0.1417366773784602,0.2904737509655563,0.1909077869876714,0.2626128657194451,0.2996645634283651,0.19061064393789132,0.2904737509655563,0.3335068992567498,0.2202608714346434,0.08327623614723059,0.14132524929026846,0.20938142159739226,0.058722021951470346,0.16487490694389803,0.2888254470937228,0.12148677353760907,0.1948557158514987,0.14256648712805026,0.19043751565387806,0.17200999512715917,0.08159417072102745,0.15494494670022804,0.18040133829088645,0.1302470180629319,0.21412434854827084,0.0875,0.14380593540888195,0.13116516715679058,0.21606584926709774,0.1363988678940947,0.1790235141109993,0.033881546358946926,0.15518805795979707,0.2097865979195684,0.23474276701672123,0.21622499104693416,0.02214037213850238,0.19076459061434348,0.253546276418555,0.11123730207865243,0.1110349815296408,0.1995854136689292,0.18633899812498247,0.09882117688026185,0.1613743060919757,0.11518482478021626,0.2674953052256376,0.11180339887498948,0.05590169943749474,0.18819316317727025,0.21788049502504703,0.20554804791094466,0.16298006013006622,0.1850583025494013,0.1978141420187361,0.13324272283470417,0.12650607842624748,0.15183306190854676,0.09963167462326072,0.13521679662509475,0.07027283689263066,0.1268480411039717,0.08111071056538127,0.10269797953221864,0.0837707816583391,0.28552012036008034,0.09944903161976938,0.07905694150420949,0.10606601717798213,0.15438505679861594,0.08134892168199606,0.1268480411039717,0.11539158284426272,0.06173309979059935,0.13788820796114815,0.056469243931578206,0.07798128673650545,0.14596855203028555,0.31304951684997057,0.10109201053789856,0.16669871486745644,0.0379777262656375,0.10956262252231942,0.10870329456828803,0.17056057308448833,0.11009637651263607,0.18856180831641267,0.2767593624086655,0.14708710135363803,0.08539125638299666
silicon,0.4600943353453571,0.4539253642622081,0.42801805500684753,0.3786328457205041,1.0,0.202019991691928,0.2854979552301816,0.4450423175770433,0.35727386015062185,0.302902084189026,0.3542804633726741,0.39752041283801304,0.2190153747037979,0.16306814071423417,0.2540472964085878,0.2974820586543648,0.1908130186623125,0.4390264026631345,0.2774535786847619,0.2927774668621676,0.30761038360715276,0.17432717521454477,0.26070021436491286,0.36208363106237895,0.225042223712224,0.15570922604107965,0.21517402008629546,0.19219074787981882,0.24704540308830142,0.24094652885781953,0.2900556010849425,0.13872678934238095,0.2611100650620274,0.2159214189026772,0.1526050761565522,0.238104683248436,0.15692308852981465,0.24889134708717225,0.29233788877539224,0.18457375100174153,0.4242608841798068,0.1682812647646685,0.23393183201563786,0.12415860124995305,0.2908786750969554,0.20084202251476294,0.23670666939239918,0.13303802104754786,0.19202384316064217,0.19009390630774897,0.12881350998238617,0.106127626987396,0.06520167195198316,0.11827091898224816,0.32592914499510656,0.19387695092905302,0.20242199385340356,0.11682255944621553,0.20382285481644608,0.20787190788679352,0.1357813616483921,0.15859184723763975,0.25079478328532456,0.15678681139726622,0.11288650420603168,0.1210888193393973,0.16922402432477066,0.2594241410427183,0.11293260855927345,0.2724911455718894,0.19418241504229553,0.22422253919312193,0.10644301438993635,0.16182084471006225,0.18629049129138045,0.22754453553497905,0.1404290222168561,0.17465030828097558,0.2252153138384048,0.16322026668654582,0.15859184723763975,0.23223048702144772,0.16735408820596298,0.25657332630598517,0.09916068621812159,0.1558806757130176,0.11407916189906885,0.11643353885398372,0.12483155252718998,0.1662163857696888,0.2593388462381631,0.14254073683665844,0.09842092169996555,0.18832225622834892,0.18814417367671946,0.2087823034340276,0.20626669538632658,0.07456096443679157,0.15085093654628073,0.30765042367245443,0.20629669563306896,0.11579473428470963,0.17848923519261886,0.21346148789897015,0.16501335630906128,0.061584636959891775
hole,0.2900030151698964,0.3539924966088177,0.1684639145269323,0.19722337291388517,0.202019991691928,1.0,0.35247278369592056,0.151515922337491,0.20301582836808116,0.26874465144696474,0.2355613455783228,0.2395495068763986,0.12244260519481054,0.0,0.2736988869384644,0.016169041669088866,0.05185629788417315,0.3025850858928659,0.059528027929223834,0.0810679228399881,0.18090001123149899,0.13644294573266458,0.21254757252962286,0.30996520993903337,0.46408582742051074,0.06347447411219333,0.1292644282570314,0.06528839556196349,0.02014148736276902,0.0714336335150686,0.025565499628245683,0.011905605585844766,0.16832508230603463,0.16625966565214856,0.12441815044835987,0.14464256647712906,0.06396930210072013,0.16426846010152707,0.15583874449479593,0.17869743453458892,0.14214976575712204,0.03429971702850177,0.10522672835293129,0.06748392176211077,0.17786393974522482,0.0,0.1520493835827019,0.04648509810399775,0.10019588657362391,0.07749130248475834,0.0560112033611204,0.08652532008633532,0.045564509955381374,0.13775097846589401,0.20291986247835694,0.10901165669462144,0.15233873786926397,0.09524484468675813,0.10226199851298273,0.1355815361366601,0.08856148855400954,0.028733141061374375,0.2621432364483451,0.10226199851298273,0.09203579866168446,0.12150535988101699,0.1379674952379508,0.1410047975821265,0.05261336417646564,0.1396438430468253,0.0791579727805826,0.09140375378674888,0.20026720118795727,0.0,0.1366935298661441,0.25177159820880923,0.09641353680829164,0.1582127969267633,0.17805276290389033,0.07827803638564369,0.05746628212274875,0.06528839556196349,0.10233220929949843,0.10846522890932808,0.1455213750217998,0.24005649052685035,0.22321959954129736,0.06328511877070532,0.20354907286435528,0.016939422832878557,0.08902638145194516,0.07747516350666292,0.0356631475810746,0.09345802722104672,0.03067859955389482,0.10087061397213787,0.06726727939963124,0.0,0.09565734053059191,0.1355815361366601,0.1316290363428835,0.03776274560246805,0.048507125007266595,0.04746383907802899,0.12108110291933624,0.050209644525343385
field,0.39201800239839746,0.4111293249400862,0.41833346966863305,0.3393104462691481,0.2854979552301816,0.35247278369592056,1.0,0.225394503885143,0.2494828590457185,0.3572119694415487,0.43752459048510683,0.37438019165286185,0.14419824297011058,0.2044190798536498,0.4348838611888281,0.17366269075057592,0.19053883681581435,0.2878600502350114,0.15479180749901003,0.23422487305777712,0.3253738135933696,0.2828076558471042,0.33541953679557845,0.317063243737114,0.4270675118978304,0.15070131653723612,0.22965310148074036,0.12548261415538253,0.10247140529578343,0.15479180749901003,0.166196077492123,0.18844220043357743,0.268664197703787,0.24325361466280152,0.15473019268614044,0.30984440560908577,0.16272443449653284,0.33319904205010165,0.19691498217271744,0.33494531740415406,0.2035668847184639,0.08725125761206665,0.282545452579066,0.2670342684176281,0.27769320390686053,0.20496119754404388,0.20496119754404388,0.08759133421213798,0.1699181580971493,0.2190239512657695,0.16622749155109218,0.2305832515067016,0.15454202504667955,0.2413931993485511,0.2348780132484323,0.24032900666012408,0.12199630386347686,0.2692031434765392,0.27458482368263804,0.20693452707617596,0.18356293058464493,0.09745474734447909,0.308226969621726,0.20955157596832902,0.1040531963428944,0.21464170145372158,0.21447571200084597,0.251387129188836,0.14870813293635052,0.15787756970567593,0.2237346826890866,0.12548261415538253,0.27924727125856447,0.18056023038107494,0.19747036533742385,0.262174123462546,0.19075446117310046,0.17887112908199845,0.19501098362824318,0.13274856101339788,0.1380608920713454,0.22143990733302799,0.19282340171393467,0.09635046763335177,0.23764368207973544,0.15964788577409872,0.15772879382532606,0.17887112908199845,0.15341806812965939,0.13405878809296715,0.20130166051947682,0.14890526816063457,0.10079948648840405,0.15849169449810416,0.12139539573337679,0.17819000109018068,0.19012643809805077,0.07854469636559851,0.23174488732966075,0.1992702853326139,0.19842166000875217,0.09606047309259093,0.10054155780296499,0.2057017984442982,0.243361840765505,0.17975796274454167
fidelity,0.5512619164347581,0.41009343731832254,0.3466501408716289,0.34293053429426684,0.4450423175770433,0.151515922337491,0.225394503885143,1.0,0.28718840360627534,0.25109142439686744,0.38017043058904804,0.420264430819532,0.2005732039458775,0.12255933265480039,0.2507061052819501,0.10959932487023819,0.09666245053602429,0.28014010508757664,0.3228011557109066,0.28696438011015185,0.3232715646395527,0.10019286421003264,0.2821411058382022,0.33516762572977915,0.13899751943620908,0.2409410158546408,0.1627226246273366,0.24782643054930448,0.1638311134589076,0.26631095346149797,0.38990643368252725,0.11298040449881731,0.14765433214708534,0.11932572594698602,0.16866980208001864,0.2580097519208789,0.10840148207519447,0.12444643621621104,0.236120511080456,0.0701263121413194,0.3404507988551321,0.1278724026182012,0.1426525903242984,0.12198112773932208,0.29279414498614453,0.11892034740013988,0.18234453268021447,0.08402452823929231,0.2801543975854859,0.17258631474145344,0.2657642388106997,0.15081386787965734,0.0823605114243311,0.16807023068095917,0.28819174702701505,0.07389184975357878,0.09465539908575175,0.14526052006990797,0.20795009796401454,0.11028219331407116,0.07003502627189416,0.18502495570661334,0.17768970061450054,0.08664587415167273,0.0415900195928029,0.19560621463278635,0.2104180040076606,0.22791653284908042,0.22289467238171623,0.27536116097673236,0.13030741921227137,0.2124226547565467,0.09049866402333347,0.16944225532908183,0.12354076713649663,0.13473114279574713,0.12253577034896797,0.04289682984033641,0.15840600014498998,0.1485667259923031,0.13633417788908353,0.16816793501559948,0.20809287182083702,0.12603679235893847,0.04383972994809528,0.06700175369129956,0.0378264802395517,0.08579365968067282,0.030660569226416797,0.14926760332626976,0.24138057164950857,0.03150919808973462,0.14504224718917555,0.17194746164433358,0.17675758326941235,0.21366740947083646,0.14590744082801704,0.15304712811230214,0.12041683644829115,0.2389447521804875,0.1487044791289829,0.14078288184228868,0.14247912233130963,0.10724207460084102,0.11854979567276384,0.12479068704320677
charge,0.41151429244566856,0.46840777001193656,0.39272549745658436,0.5018178873386042,0.35727386015062185,0.20301582836808116,0.2494828590457185,0.28718840360627534,1.0,0.3324213660412319,0.3155999957179393,0.24316170786838706,0.12248764569852069,0.07979852367712961,0.2552995963078325,0.2062311154866044,0.13617285470172055,0.38206190915642985,0.2233122199129174,0.22977694039749383,0.22826463223815763,0.17061642032582128,0.27242675261588917,0.35991339268359335,0.2267299388034722,0.10477140826850224,0.2078228220555138,0.20573409746509064,0.12089337844487381,0.16078479833730053,0.1150870675296872,0.03572995518606678,0.2377228244833743,0.17610440215602338,0.11201752589062737,0.17135025777833177,0.10798790603174875,0.1522458799016245,0.1513108912434696,0.14818525799366955,0.16353236386922804,0.06433562658187233,0.1578981539963338,0.16033327108021478,0.17792936698295186,0.0702024530481969,0.3071357320858615,0.046502197644066254,0.1127618365763855,0.2325594229647834,0.14708349358063674,0.13910970281664245,0.07976722400003727,0.14469173266131716,0.18124509512098155,0.1881142801779013,0.14287010218432125,0.13398733194775042,0.143858834412109,0.20344711469278987,0.09966832412776432,0.1401255889083041,0.23601569923749374,0.143858834412109,0.0575435337648436,0.1481391302857835,0.12939210616066082,0.25227442221905944,0.11842361549725035,0.14287010218432125,0.18665528601178608,0.15674978854483096,0.12020452167829832,0.14587290926104318,0.21651103657152973,0.0894780754484819,0.09042093986346215,0.16618454526763585,0.12523940128139271,0.1292062710771084,0.1077889145448493,0.1959372356810387,0.11090067321178383,0.11625549411016563,0.13344366296192048,0.1589193498242705,0.08373814157073405,0.11870324661973988,0.15271796128237042,0.050836961995129104,0.1085408144438737,0.046502197644066254,0.17392179805359595,0.17028973904425593,0.1726306012945308,0.12298128279985499,0.14131324969361847,0.03909313304727391,0.12303325038417301,0.08137884587711594,0.21946242679107578,0.0849974324080101,0.1455749050493678,0.18992519459158383,0.17159466034225102,0.05022811413955104
couple,0.37754910684763204,0.4212057233144756,0.40860019837375605,0.24882008555898072,0.302902084189026,0.26874465144696474,0.3572119694415487,0.25109142439686744,0.3324213660412319,1.0,0.3947449826818392,0.32188824364895013,0.2708799136447279,0.2035600705225408,0.39732655444172404,0.21961600768634262,0.1680806981072877,0.3189471552247214,0.16170788729241892,0.21688432961454096,0.30459599922889696,0.23867437245878553,0.2624479448706279,0.3280599310882849,0.45310180711794845,0.20377902800294231,0.19381480220168779,0.31440368684203357,0.1989612735477269,0.191109321345586,0.11048653555575495,0.19845967985887777,0.2445214355357672,0.19321684711513756,0.13058391764244626,0.3337012997690939,0.236962648003931,0.2923198963016232,0.19808500236372004,0.2612969026687457,0.20477642887154002,0.22234986369100404,0.18677594746179338,0.24303797531933458,0.2823705529439228,0.15886236501069118,0.27439863047301205,0.12436348417673608,0.10052180749351768,0.23921036641854104,0.12967707390960764,0.21367821015944166,0.15940847306683778,0.16158659321969318,0.20879992592973085,0.16152554419293655,0.15675309846380178,0.2205107553987531,0.2446487573020288,0.17578300167288657,0.3189471552247214,0.20400366824260613,0.23305486885186888,0.13416222174627387,0.1420541171431135,0.15003150406290616,0.19165331223196888,0.22098434496020028,0.12181040051856089,0.1254024787710414,0.18152105323245887,0.20960245789468906,0.18958476593865806,0.18005365663548345,0.14065453505897452,0.21270784864120407,0.14137045637184528,0.11721410763195421,0.2267251540788835,0.16431449301825005,0.11530642118060347,0.12898612793519326,0.21761486900653976,0.11479706231698715,0.19965091607849328,0.14820760322455945,0.137812736361158,0.11721410763195421,0.15359473735054213,0.14641436078573775,0.18550239879181377,0.23916054649372323,0.15412558645609856,0.28025574095279887,0.10417301923828323,0.1556903533392297,0.1079777422671548,0.075060820075189,0.12655186588813844,0.16741238254560625,0.2708865726885394,0.058285510262995444,0.08984291223532198,0.14651763453994276,0.22426146470870612,0.08266333264615133
