DOI,nouns
10.1103/PhysRevB.82.155315,quantum computing|quantum computing|quantum dot|quantum bit|electron|transport|passage|donor|chain|passage|ctap|range|qubit|transport|mechanism|state|mechanism|chain|donor|chain|donor|interest|potential|donor|principle|gate|density|state|architecture|model|ctap|donor|presence|fabrication|imperfection|pathway|ctap|donor|misplacement|scheme|error|sensitivity|path|voltage|fluctuation|treatment|straggle|understand|donor|nanostructure|donor|charge|spin|qubit|ctap|voltage|energy|state|multimillion|atom|simulation|translation|hamiltonian|hamiltonian|scale|information|multidonor|structure|presence|imperfection|intractability|eigenstate|donor|placement
10.1021/ja102030w,quantum computer|quantum bit|metallo|helicate|electron|spin|qubit|synthesis|metallo|helicate|qim|ion|electron|spin|qubit|crystal|structure|hydrogen|bond|network|counteranion|crystal|solvent|outward|hydrogen|group|imidazole|skeleton|helicate|stability|state|room|temperature|salient|feature|helicate|qim|metallo|helicate|property|qim|helicate|crystal|complex|qim|ratio|crystal|prototype|electron|spin|qubit|quantum|information|process|qipss|experiment|capability|component|tensor|helicate|engineering|symmetry|role|prototype|spin|qubit|chemistry|field|qipss
10.1021/nl101662v,nitrogen vacancy|nitrogen vacancy|couple|center|crystal|cavity|couple|crystal|nanocavity|photon|emitter|scan|cavity|sample|position|cavity|emitter|nanoscale|resolution|power|nanocavity|center|diamond|emitter|electron|spin|qubit
10.1103/PhysRevB.81.144519,josephson junction|josephson junction|quantum dot|quantum dot|quantum gate|proposal|spin|qubit|spin|qubit|spin|qubit|spin|spin|orbit|interaction|phase|difference|junction|spin|qubit|gate|spin|qubit|inductance|loop|junction|realization|semiconductor|contact|superconducte|lead|number|electron|gate|voltage|spin|qubit|number|electron|qubit|property|level|theory|estimation|qubit|parameter|spin|josephson|energy|framework|order|perturbation|theory
10.1088/0953-4075/43/13/135502,preparation|qubit|decoherence|state|zeno|measurement|idea|purification|zeno|measurement|nakazato|phy|rev|lett|scheme|qubit|decoherence|state|respect|amplitude|star|configuration|spin|network|spin|qubit|decoherence|state|state|spin|qubit|interval|tau|feature|order|qubit|decoherence|state|value|tau|evolution|operator|condition|qubit|decoherence|state|simulation|fidelity|success|probability|value|number|measurement
10.1103/PhysRevB.81.045304,quantum dot|decoherence|spin|qubit|charge|fluctuator|gate|dot|level|charge|fluctuator|dot|spin|qubit|tunneling|charge|fluctuator|qubit|coulomb|couple|qubit|state|fluctuator|mulliken|framework|quadrupole|quadrupole|order|multipole|expansion|couple|term|qubit|fluctuator|qubit|decoherence|decay|fluctuator|reservoir|charge|environment|spin|qubit|work|point|decoherence|channel|dot|point|qubit|gate|position|flexibility|control|spin|qubit
10.1103/PhysRevB.81.085313,quantum dot|quantum dot|quantum dot|quantum dot|exchange|couple|silicon|consideration|computation|exchange|couple|candidate|spin|qubit|spin|coherence|detail|scheme|spin|qubit|scheme|spin|state|dot|exchange|interaction|dot|scheme|singlet|state|dot|level|qubit|exchange|energy|split|level|exchange|configuration|parameter|heitler|london|approximation|mulliken|sensitivity|background|charge|fluctuation|condition|spot|influence|charge|noise|structure
10.1134/S0021364010120131,multiplication|qubit|field|multiplication|spin|qubit|resonance|field|frequency|radio|frequency|field|rabi|oscillation|microwave|field|frequency|frequency|qubit|multiphoton|transition|qubit|choice|frame|phase|order|precision|qubit|gate|field|regime|counter|component|field|account
10.1103/PhysRevB.82.241401,quantum dot|quantum dot|quantum dot|quantum gate|quantum network|quantum|bus|metal|surface|plasmon|polariton|architecture|quantum|computation|bus|circuit|qubit|self|deterministic|spin|qubit|couple|plasmon|mode|nanore|quantum|bus|platform|optic|experiment|chip|quantum|node|molecule|nanoparticle
10.1103/PhysRevLett.105.216803,quantum dot|coherence|spin|qubit|feedback|loop|spin|bath|realization|electron|spin|qubit|source|decoherence|spin|bath|host|material|slowness|bath|mitigation|spin|bath|state|fluctuation|electron|spin|qubit|increase|measurement|bath|qubit|feedback|loop|environment|precession|state|procedure|point|nonzero|polarization|gradient|dot|qubit|control
