DOI,nouns
10.1038/ncomms2764,quantum computing|quantum dot|quantum dot|quantum dot|quantum bit|superconducting qubit|trapped ion|microcavity|couple|qubit|energy|coherence|transfer|harvesting|photosynthesis|gate|pair|oscillator|spring|exchange|excitation|level|mechanism|couple|exciton|semiconductor|field|couple|photon|mode|state|microresonator|exciton|photon|couple|regime|spectroscopy|sample|response|probe|couple|description|cavity|couple|exciton|mechanism|instance|crystal|cavity|network|range|couple
10.1038/NPHYS2385,quantum bit|superconducting qubit|quantum algorithm|quantum state|quantum system|quantum processor|quantum processor|quantum processor|trapped ion|factor|josephson|phase|qubit|mechanic|factor|version|shor|algorithm|sum|factorization|algorithm|state|number|qubit|control|hardware|quantum|element|state|experiment|capability|device|spectroscopy|interaction|qubit|entanglement|experiment|qubit|version|shor|algorithm|number|factor|improvement|coherence|circuit|resource|number
10.1038/nature13729,quantum computer|quantum computing|quantum computing|quantum dot|quantum bit|quantum bit|quantum gate|quantum gate|quantum gate|quantum state|trapped ion|realization|state|spin|realization|set|logic|gate|requirement|quantum|berry|extension|transformation|hilbert|interest|structure|innoise|resilience|side|phase|holonomie|ensemble|molecule|purpose|proposal|computation|platform|experiment|bit|gate|realization|set|state|spin|diamond|nitrogen|vacancy|centre|diamond|defect|potential|room|temperature|interest|experiment|quantum|computation|state|spin|advance|control
10.1038/NPHYS1731,quantum bit|quantum system|quantum system|trapped ion|bell state|w state|interaction|phase|qubit|cavity|multipartite|entanglement|quantum|test|precision|form|qubit|atom|microwave|circuit|interaction|evidence|particle|entanglement|demonstration|interaction|domain|phase|qubit|resonant|cavity|evidence|evolution|product|state|bipartite|cavity|multiphoton|register|entanglement|bus|preparation|multiphoton|state|cavity|interaction|entanglement|distribution|creation|class|entanglement|greenberger|zeilinger|state
10.1038/nature12801,quantum bit|quantum bit|superconducting qubit|quantum gate|quantum cryptography|quantum system|trapped ion|bell state|production|state|state|resource|quantum|physic|quantum|introduction|entanglement|fidelity|state|preparation|minimization|decoherence|environment|control|parameter|dissipation|ion|qubit|state|entanglement|sequence|gate|ion|qubit|fashion|pump|state|state|entanglement|presence|noise|decoherence|demonstration|state|qubit|step|state|engineering|computation|phase|couple|environment|range|dynamic|state|state
10.1039/d2cp05625a,josephson junction|josephson junction|josephson junction|quantum bit|quantum bit|quantum bit|superconducting qubit|alox|stack|sequence|transport|property|alumina|tunnel|junction|alox|device|present|microstructure|device|interface|property|turn|progress|mechanism|junction|structure|device|alpha|device|principle|structure|transport|calculation|relationship|transport|property|stack|sequence|elucidate|detail|aluminum|sequence|electron|transport|property|level|principle|density|theory|green|function|formalism|oxygen|termination|mode|sensitivity|conductance|change|stack|sequence|guidance|yield|frequency|quantum|chip|control|qubit|frequency
10.1038/nature11821,quantum bit|quantum system|quantum system|trapped ion|circuit|cavity|quantum|electrodynamic|resonator|hybrid|degree|freedom|role|phenomenon|cavity|quantum|electron|phonon|state|couple|constituent|character|state|form|dynamic|importance|field|information|control|degree|freedom|cavity|qubit|circuit|cavity|quantum|phonon|microwave|cavity|transmon|tunnel|junction|capacitor|mode|resonator|atom|cavity|shift|split|qubit|line|sideband|transition|state|domain|conversion|qubit|excitation|phonon|rabi|oscillation|potential|interface|storage|information|phonon|state|photon|investigation|limit
10.1038/s41586-018-0450-2,quantum computing|quantum dot|quantum bit|trapped ion|neutral atom|quantum simulation|quantum simulation|quantum simulation|structure|atom|atom|challenge|science|technology|number|platform|state|photon|qubit|environment|structure|hundred|qubit|quantum|gas|realization|lattice|hundred|atom|array|microtrap|tweezer|control|dimension|dimension|atom|control|number|range|assembly|defect|array|atom|tweezer|arrange|atom|atom|plane|plane|array|target|structure|geometry|prospect|ten|qubit|space|hundred|qubit|reach|technology
10.1038/s41467-021-24693-6,quantum bit|quantum algorithm|quantum system|quantum system|trapped ion|space|dimension|spin|quantum|technology|change|information|process|future|challenge|number|qubit|quantum|property|level|encode|capacity|qubit|way|amount|information|number|object|kue|possibility|device|circuit|qudit|number|state|race|quantum|technology|world|platform|photon|superconducte|silicon|circuit|magnet|read|magnet|centre|magnet|architecture|dimension|space|possibility|magnet|candidate|quantum|technology|ease|manufacture|potential|qudit|biard|spin|terbium|atom|space
10.1002/qute.202400001,quantum computing|quantum bit|quantum bit|quantum bit|quantum bit|microwave|signal|amplitude|superconductor|flux|quantum|pulse|chip|generation|microwave|signal|temperature|environment|component|amplitude|microwave|flux|quantum|sfq|pair|reversal|polarity|element|generator|pair|wave|microwave|filter|microwave|signal|line|width|amplitude|microwave|signal|interval|sfq|pulse|pair|proposal|test|chip|experiment|reverse|polarity|pulse|output|microwave|amplitude|control|phase|output|microwave|improvement|alternative|microwave|circuit|chip|microwave|signal|generation|sfq|pair|amplitude|precision|environment|future|image
