,gate,cavity,resonator,spin,photon,phase,state,flux,measurement,noise,entanglement,couple,circuit,field,scheme,level,microwave,frequency,charge,superconducting qubit,device,junction,control,mode,decoherence,atom,fidelity,interaction,energy,information,error,transition,qed,quasiparticle,line,josephson junction,transmission,temperature,rate,dynamic,number,regime,transmon,josephson,coherence,readout,parameter,squid,order,loss,ensemble,electron,interference,pulse,experiment,quantum system,correlation,protocol,resonance,quantum state,electrodynamic,superconductor,decay,parity,relaxation,excitation,majorana,computation,architecture,generation,type,process,environment,fluctuation,theory,proposal,oscillator,transfer
gate,1.0,0.26588003761759665,0.32767989874766795,0.14889758586483978,0.1754073917757797,0.3558692014663586,0.3805415734736299,0.2266531672428441,0.19264838972038067,0.21125127532900778,0.15128942312287016,0.30357890809544386,0.2997403277722283,0.19690881795266452,0.3405574568898749,0.2643036682839838,0.23066411537384154,0.1838903887412817,0.24052456602221353,0.29641721906811513,0.2603462271405974,0.09439365446334573,0.28366725342394616,0.23090403173910348,0.28336093224416786,0.15347554715006942,0.4169062432958296,0.27877607202673443,0.1687236389907007,0.27076711303331596,0.31913272063846476,0.16680686998623742,0.2578133349556515,0.02816063585180762,0.2555231813748633,0.1231571106149022,0.22590026081226985,0.06462128301055554,0.10966992025589654,0.10205664883104809,0.19888457268007403,0.11663617009262639,0.19879361243169413,0.15761229196847348,0.17806466436190507,0.07816138423473988,0.22010276399970183,0.19291577137538762,0.16353434164576458,0.07576538541439333,0.09081532183729997,0.11512943346800045,0.19898995184985377,0.25025759924402186,0.14299868370515528,0.13353750504987602,0.041451333614483915,0.17921318916004358,0.06903339629150639,0.16919832433558513,0.18614679694116348,0.12811501208373438,0.13677116598791347,0.13189733589612357,0.058621038176054914,0.11488690226654374,0.12189130152520146,0.30460384954008574,0.19899929651406092,0.18537599944001618,0.18941753252479243,0.20743681297220257,0.08759007419826757,0.09081532183729997,0.07889531004743587,0.2797965018977664,0.03540947826131256,0.1649937518342131
cavity,0.26588003761759665,1.0,0.24797487526817316,0.11200358417204118,0.4134674577971065,0.23369897520809815,0.40499738502862553,0.14497687513317103,0.21852076045841218,0.08787495503274935,0.2882018187581711,0.3104403331446607,0.31706768188135637,0.32025630761017426,0.2622731446049183,0.23567643708561686,0.3394759232096209,0.14970328273915737,0.1900495105456004,0.34825891414904414,0.19894589252079753,0.055328333517248814,0.20321893391917212,0.3644396490727344,0.21653278478430668,0.2951282145949962,0.238455241619133,0.2924396698824572,0.16116459280507606,0.20976613525979712,0.0685879076460918,0.2338048823957061,0.34037057793795067,0.04539206495016018,0.151744244666721,0.06617222226472869,0.1912592130593624,0.09548265766308701,0.1431049438115632,0.24284053770948522,0.2770458192518203,0.2193398405117931,0.1393195531438382,0.03387398604503847,0.1830285395509235,0.12598815766974242,0.17391330648535047,0.1636634176769943,0.17573375583870182,0.13957263155977062,0.09759000729485333,0.12371791482634838,0.15626352755294512,0.17928429140015906,0.19410463442478784,0.12556180058348068,0.15590239111558088,0.12838814775327387,0.09537837826484191,0.12440333788202981,0.34551165954032126,0.03754696307413192,0.26455335806349695,0.0944911182523068,0.1469861839480328,0.20892772350933625,0.0,0.09819805060619657,0.2041241452319315,0.19920476822239894,0.15044836914851759,0.19504737440137349,0.10588968120037763,0.060993754559283325,0.09537837826484191,0.2449894717530557,0.12683657235796025,0.15002479953724476
resonator,0.32767989874766795,0.24797487526817316,1.0,0.19330756070996571,0.3444992586829454,0.2699485035835033,0.39968861981402976,0.23192465605210205,0.26831446813549886,0.17694114182915185,0.19087135732578625,0.4471706169216549,0.4235256909587154,0.27636600240850573,0.36590203268178373,0.28699436554943225,0.422029918568461,0.34924991814901474,0.22802171376816577,0.41401989303135545,0.2952614935545165,0.13061474845804347,0.18746266602154474,0.2648857385024251,0.24243152669708928,0.238667185252719,0.2528652681669629,0.26743109337025095,0.1958273720125748,0.2367935842157616,0.11429428310794766,0.18181818181818182,0.35614288641764213,0.05042729056592992,0.43950391848067366,0.13783600792343698,0.44742354508924254,0.14464677894104183,0.18235850450065405,0.14359163172354764,0.19126192048354854,0.2806563710960249,0.28633174216430635,0.13406236353109385,0.19408908951422413,0.13996370162172744,0.23764222941451701,0.14545454545454545,0.16036540675899566,0.15505506644044395,0.23377074310225074,0.11167132157090805,0.13019808061312518,0.18257418583505536,0.16172712363514932,0.1494536248230521,0.05567022142689041,0.16937302580115893,0.19425717247145283,0.15149183969848687,0.32575757575757575,0.03128396370962206,0.1632775472970681,0.09185117918925864,0.15745916432444337,0.16616503523043885,0.015590780467500804,0.12727272727272726,0.21866828883743814,0.23236714560825228,0.19908992593320854,0.2012060890884315,0.06862085567491535,0.08131156281817417,0.07063897180780103,0.21340251546974656,0.15851950737793538,0.14772727272727273
spin,0.14889758586483978,0.11200358417204118,0.19330756070996571,1.0,0.1389295116353343,0.13563472744695265,0.2378157834941313,0.2026493618694808,0.09274777915203367,0.1968461984524975,0.09932195897174206,0.2828780744441858,0.1352865401745999,0.19215993378237461,0.09837387536759294,0.12183048765454918,0.16657485013534734,0.16096612059941848,0.13282605243179615,0.1940798611543768,0.16711989763976254,0.06196971660197944,0.16583195678557025,0.06253053994807224,0.10004134794470675,0.0816663263910156,0.07769553956640866,0.17255919256291521,0.13538259026847058,0.2273666998743335,0.03950789907714804,0.08379835144077331,0.11702789900465725,0.0813451834782084,0.12625525179541408,0.07782102369592483,0.08898251830022487,0.1633326527820312,0.14708291721546163,0.189515686801202,0.17022239855222873,0.10528649266733446,0.06241715718942818,0.056910117708570206,0.13418085230494445,0.028222250444486778,0.14024817836330358,0.029329423004270657,0.17995712469896202,0.04689790496105418,0.39349550147037177,0.34642124717105827,0.06632365324280728,0.09370892170529153,0.22827435497979007,0.12054318600381364,0.08980265101338744,0.04313979814072881,0.22789803132115205,0.1157562254139464,0.06110296459223054,0.1345726220504978,0.09218509784667875,0.04233337566673017,0.09877787655570372,0.1659319092312881,0.15089863644835705,0.11731769201708263,0.13064363361160342,0.05354795526016659,0.10705186531570646,0.18725147156828453,0.07906682547518068,0.06558258357839529,0.028487253915144006,0.13470397652008118,0.0,0.12831622564368414
photon,0.1754073917757797,0.4134674577971065,0.3444992586829454,0.1389295116353343,1.0,0.2061718799276121,0.40165825508252373,0.08885700847159737,0.19384952863381638,0.08228454229793518,0.2642055019632456,0.268743417966421,0.37529777613838217,0.3213024650430299,0.23676127348263276,0.2963019414868943,0.4843873620332186,0.2446769224468438,0.1863715818464018,0.3123651600677757,0.20957556296649674,0.08477748943660118,0.21500365266442492,0.24554503586957468,0.145155895897178,0.28374191444912183,0.18453325611085666,0.29872941460844904,0.15091165336763498,0.262663049718703,0.13011715818729877,0.22291128503014113,0.27491863339048034,0.046368350080138974,0.23620256782189653,0.16053917861935882,0.30057351541765137,0.15960482687763103,0.18917776913478015,0.1280327805882831,0.3072620020246545,0.21605531724272775,0.18026695280364588,0.1384101688496146,0.14447302218192612,0.11797306621609427,0.12791073997281807,0.0780189497605494,0.14532037855153093,0.21386180543479086,0.11215007691282604,0.1263788195613404,0.11761799222424119,0.09157015435010396,0.21480268901603208,0.10993916855367315,0.15925551431765153,0.10929124924699354,0.12990634782579993,0.1857308236232342,0.2879270764972656,0.038354517032414846,0.16014419469206,0.08043618151097336,0.0643489452087787,0.23282324390471643,0.019114484997483857,0.11145564251507058,0.18865589843259145,0.2441870782669439,0.15368418813561435,0.22770562459407903,0.07211142612942667,0.11215007691282604,0.09742976086934994,0.14788012043781928,0.1036516421364175,0.16718346377260584
phase,0.3558692014663586,0.23369897520809815,0.2699485035835033,0.13563472744695265,0.2061718799276121,1.0,0.37892404355915743,0.21733087552065553,0.2411683864577727,0.20256246661189262,0.19122449438419034,0.2535323034623614,0.30537519262151863,0.25514853713327446,0.2340276849989581,0.2803937402132592,0.22117685252411667,0.2083863824044404,0.20349859481879054,0.3221222531009628,0.2219005625644062,0.26330537862013215,0.20076187562639658,0.1937310384446275,0.2475545727643435,0.19363561329181445,0.1869839563086998,0.2545809089838085,0.25765600122025883,0.1328341609955014,0.15737488751676437,0.24339619175561772,0.21189378778310747,0.0810071491963888,0.18053623367736532,0.2730869016410443,0.19035330764662867,0.1781447642284693,0.16525013012599307,0.1537784878497412,0.2189569140425444,0.1537784878497412,0.17404178214677374,0.26447691506045895,0.17074082782880814,0.11241988546386854,0.26070868977162365,0.13630186738314595,0.24641279189384852,0.1141629333691555,0.054425043023013514,0.10119462468430136,0.19814412521162744,0.20441416310762067,0.2165007129801192,0.1760619847298581,0.10930268710861009,0.13365497721649944,0.1513006592024507,0.1963947753002115,0.15415092144522458,0.17868453104932805,0.13114573959730363,0.07026242841491784,0.18736647577311422,0.10168761247046756,0.08348420503032644,0.18498110573426949,0.15612088436486637,0.14220115694443178,0.1579363044976476,0.09945244694101357,0.12598121445198784,0.19593015488284865,0.25531986240413557,0.17885894254136195,0.12449462331164503,0.04867923835112355
state,0.3805415734736299,0.40499738502862553,0.39968861981402976,0.2378157834941313,0.40165825508252373,0.37892404355915743,1.0,0.2911364582164353,0.4216541329006604,0.21768106804462206,0.4051673852029179,0.36495532467185965,0.40892231950295416,0.4419974898979256,0.366649448631548,0.3872108938455172,0.40934599445200304,0.30458346038048323,0.27619366459173217,0.48535417351712545,0.3408688906415266,0.21320071635561044,0.33081066646394053,0.34830599588811595,0.33524261720075565,0.29816690219024883,0.3436763964573164,0.35337674637010974,0.31051365957453325,0.34418242032610913,0.19417577411360654,0.3243374865704012,0.26144349280800105,0.1599200599500437,0.2673038639112461,0.19670369122265602,0.272120537219923,0.20068926108959056,0.2335496832484569,0.2846075767685219,0.3189610612257613,0.21216201177289812,0.22701095408174407,0.22376418729590009,0.2692876830395079,0.2149980144655904,0.2803153721168365,0.1801874925391118,0.22664389705734064,0.13829796895557545,0.17728105208558367,0.16345072958495868,0.27707572307297307,0.19738550848793068,0.283155374116847,0.30807546950462467,0.22068370737618737,0.24029618753167464,0.15401193638762298,0.29710558438327656,0.27628748855997143,0.16535138334062682,0.2847911353666229,0.18725633517970777,0.1664500757152958,0.23211296086970098,0.17305064017267063,0.20901749134536968,0.1733656789191194,0.3026577796814937,0.2572263857652138,0.251552678847338,0.2176173105911425,0.16922282244532985,0.23101790458143448,0.20597146021777488,0.16757096431073037,0.1801874925391118
flux,0.2266531672428441,0.14497687513317103,0.23192465605210205,0.2026493618694808,0.08885700847159737,0.21733087552065553,0.2911364582164353,1.0,0.19608535492373752,0.2853723349817967,0.11519141164850931,0.34858046874070814,0.1961279220261436,0.22286284185125113,0.2495759114843024,0.2178318042663079,0.188990048754736,0.361702085063273,0.17034233278762964,0.2110214354632284,0.33313149660072894,0.22459720919038545,0.16263049396137766,0.135977882729801,0.20436352472744865,0.10148014222621034,0.1407962010318372,0.15982630970294856,0.29440075199207233,0.23073301178905492,0.0668213987108836,0.19741205842530118,0.1002524319110202,0.10318693980271743,0.22527392165093954,0.23369624723103316,0.15766660097226326,0.17759024889586808,0.2214305240873053,0.1602679915348237,0.18508141275880655,0.22132246450047086,0.09953630312961557,0.14025657906446498,0.17831456646716762,0.17388631671412777,0.19654355584587582,0.25511712165731226,0.16305491697222813,0.03399447068245024,0.1544993737759967,0.130575803099675,0.2884526489088942,0.2037778784088537,0.18910539209702973,0.13106561388974927,0.1193398350657552,0.10423454980627081,0.1651944356740171,0.13052230182370908,0.05314940034527339,0.10973977816492064,0.1336427974217672,0.061371641193221554,0.16365770984859082,0.15728609146845451,0.07292037568309725,0.10629880069054677,0.11363819794542722,0.1358519189392358,0.18968336763767796,0.07239003863972042,0.13754993359993478,0.1188456721353821,0.15486978344439103,0.13018891098082386,0.11121286123418336,0.15944820103582016
measurement,0.19264838972038067,0.21852076045841218,0.26831446813549886,0.09274777915203367,0.19384952863381638,0.2411683864577727,0.4216541329006604,0.19608535492373752,1.0,0.2688350279860723,0.17134117475124772,0.1880815700768791,0.2722813174627365,0.1546984936307524,0.22980970388562794,0.19849467582948332,0.29673014758835153,0.27189896934607743,0.13219579477176951,0.3569653238400649,0.2222312407982379,0.20490028546619202,0.2243750196862247,0.14233108207557335,0.15689290811054724,0.10901683117576932,0.24433144650348906,0.1515980089423659,0.19462473604038075,0.2288021576612147,0.21771870312804154,0.14305541795999813,0.13000224919331832,0.10232343558582006,0.16754156331667822,0.15982110049512804,0.1776672636296754,0.17610411189931968,0.20331251519761107,0.18163064367459994,0.1835325870964494,0.1664947567017166,0.15254153891648023,0.23725900194234437,0.16074760739013738,0.2840042890767528,0.11425102712728084,0.1264911064067352,0.12935233335271093,0.15731330124142315,0.0,0.14940357616679922,0.15891043154093204,0.1250925583244189,0.17970943852642324,0.16462716088817816,0.1613743060919757,0.21706078553111482,0.07166776363062764,0.17565506213798923,0.1668979876199978,0.10882143751650175,0.15145648913255064,0.24343224778007383,0.16228816518671588,0.11009637651263605,0.10846522890932808,0.1264911064067352,0.1314684396244359,0.13471506281091267,0.15389675281277312,0.16151457061744964,0.045466289298031565,0.17677669529663687,0.16381203115572032,0.06454972243679029,0.09802861627917436,0.03952847075210474
noise,0.21125127532900778,0.08787495503274935,0.17694114182915185,0.1968461984524975,0.08228454229793518,0.20256246661189262,0.21768106804462206,0.2853723349817967,0.2688350279860723,1.0,0.1545518411171268,0.20714252171723008,0.17336547378989858,0.17589067893874008,0.09754878659299543,0.15612196296118172,0.2121346239057529,0.30204268572648524,0.16834196930736187,0.22989748335476154,0.24475305902901376,0.12479068704320677,0.1785785467995051,0.08585457105482137,0.24973998952923493,0.06407317062529987,0.1511245450010884,0.11407459407340888,0.14044311917737276,0.13319466108225864,0.18081477900572046,0.07670354916731706,0.10711971119856563,0.0186145197762485,0.16001422411879948,0.16281666956604363,0.10859839682800015,0.14950406479236633,0.21747941810042004,0.17347030759677812,0.10711971119856563,0.1156468717311854,0.10283867552865913,0.15627543752560608,0.1535255083353141,0.1291640430486881,0.15404884978892905,0.13423121104280486,0.14413089499257942,0.05723638070321425,0.015007505629691604,0.12683657235796025,0.21247922286054266,0.17155007848855514,0.1790978282281281,0.15447232612146167,0.1643989873053573,0.09213717213621488,0.11733918981567357,0.09418284806910901,0.05592967126783536,0.015397375894859667,0.15670614180495773,0.03874921291460643,0.11624763874381927,0.046733309148852105,0.023020462775806542,0.13423121104280486,0.07174960033341753,0.07352146220938077,0.1415386558005362,0.10283867552865913,0.2171178560580248,0.2551275957047573,0.1043015020583765,0.0547996624351191,0.12483249063559475,0.0
