,gate,resonator,photon,state,cavity,couple,phase,spin,circuit,measurement,microwave,flux,field,noise,atom,interaction,control,frequency,error,entanglement,mode,device,scheme,transmon,superconducting qubit,level,energy,fidelity,transition,information,regime,dynamic,coherence,parameter,protocol,majorana,qed,charge,quantum system,loss,pulse,temperature,decoherence,number,josephson,experiment,wave,computation,transmission,rate,excitation,surface,electron,josephson junction,line,quantum state,lattice,architecture,junction,quantum computing,readout,array,simulation,oscillator,quasiparticle,drive,correlation,property,resonance,parity,relaxation,order,electrodynamic,superconductor,chain,transfer,phonon,scale,process,theory,ensemble,range,code,environment,strength,quantum computer,chip,algorithm,generation,interference,quantum circuit,realization,way,type,ground,technology,hamiltonian,step,tunneling,element,bath,defect,body,dissipation,platform,fluctuation,center,function,signal,quantum dot,density,fabrication,evolution,term,channel,structure,waveguide,quantum gate,proposal,semiconductor,trap,pair
gate,1.0,0.2847931937796813,0.18765722879626873,0.39107999976195446,0.2463461637268522,0.24025863353725024,0.2924026607359652,0.15403080924308107,0.38302717477057585,0.212478203215592,0.27185420562441914,0.20915437128037942,0.22808122418241536,0.21297394722600083,0.19553847221876072,0.28619807248333795,0.3808404683404993,0.24290962005422395,0.3175806486069497,0.1766955119650091,0.20742519153669262,0.24354409352352624,0.34632251866028313,0.2757801013306769,0.32684162985408743,0.23734415706643877,0.17694124870392794,0.49157757399657115,0.12472929354240415,0.2676128553284006,0.15898435074091513,0.1131619020412344,0.2390238692549063,0.18977827907052924,0.25980392156862747,0.18959881966484035,0.24546937323501208,0.18448201388042726,0.2133460286813591,0.11577058990186095,0.29325639294907785,0.11211213233271874,0.2225501170326257,0.21978169425613855,0.1607924859748069,0.18486451795726733,0.09239452382336494,0.3396178054056622,0.15326548144978142,0.15735327823664458,0.13183820197104693,0.0727606875108999,0.18771111236698254,0.1781079821093955,0.1513513786491703,0.16102167945775264,0.1362932551272764,0.23767469863579363,0.14261949388516423,0.2677847708018314,0.16617574758359693,0.15495331599543494,0.224976396728562,0.10114434748483472,0.10069309000319977,0.1618014296917394,0.04503773491110449,0.14330919494215844,0.14969623771302396,0.13485912997977964,0.11994605302077362,0.19748321925501017,0.15208431939419922,0.13396328420673195,0.06174654780291237,0.11098534863604861,0.06578645201737011,0.21587651295431817,0.19802950859533486,0.1067014491044368,0.06174654780291237,0.162779253348253,0.15460560950731958,0.11504474832710557,0.133499996908554,0.23923566684866998,0.1776493466996707,0.20452399702596544,0.1348349074147024,0.14887433049795165,0.17008870791046515,0.22521165181945205,0.1689825771046658,0.1741304307502878,0.14709262627058442,0.22531010280622107,0.1704927196623373,0.2223243229499719,0.05356715840055802,0.18771111236698254,0.02711630722733202,0.02333800140046683,0.048999595755002526,0.0750628915185075,0.1558087841476009,0.08720277392832392,0.13476792334377333,0.11031946970293831,0.09515195626972942,0.1927072041928668,0.05629337745609988,0.08983259221750463,0.1607924859748069,0.1234219385295591,0.11562432251572008,0.14348601079588788,0.09851341054817479,0.2910427500435996,0.24087004054613906,0.20534077386880575,0.07151985398521515,0.1697428530618516
resonator,0.2847931937796813,1.0,0.38412206002870275,0.4185862029326191,0.27378875565328387,0.4196519903849983,0.18963298241433063,0.17027415714254476,0.44521302180197075,0.23069075465924005,0.42699258703871285,0.2200948816473718,0.3035638036922145,0.17085253247984006,0.16766180281716805,0.3230538094187283,0.1989270955979835,0.38626389100600056,0.11097077386934702,0.20011644510738824,0.3152864743087958,0.28792340673029126,0.3748681076836737,0.27509081089776605,0.41017810321479375,0.26378393899752317,0.25018684119370743,0.2511245131746648,0.22847861301354663,0.23130159835801142,0.30914596576698505,0.17948472107862312,0.2228341153047117,0.2968244025527264,0.1490196944196007,0.017466083231604194,0.327887765409168,0.145399242079577,0.20145048836193508,0.20204123575744054,0.13669665938377262,0.147689134796412,0.16782703847150746,0.1682714749339337,0.10427934748771125,0.15923006397560846,0.1814013538292161,0.154865809237882,0.31597370946691816,0.18694303778752921,0.18217653038151008,0.09830783046228486,0.11806388547381885,0.08150838841415291,0.30673897226947106,0.16316872998053134,0.13043776883600242,0.25179128156605224,0.05324464198417662,0.1243712213620982,0.15543832804525196,0.10240399006488006,0.21761365926335272,0.12811624791290982,0.05565584935451282,0.2246843874705291,0.07606377426310945,0.13446302646021868,0.2338589250041374,0.10249299833032786,0.15992816360835757,0.21064888958672445,0.33676369597841377,0.030166564488077016,0.02681565919644678,0.09639875882041571,0.1809441750534151,0.14189513095212064,0.2062441858112841,0.14416559721302385,0.10726263678578712,0.19793968706914858,0.06854186003590221,0.09067235802639696,0.2352696964546894,0.11447876338632022,0.19386565610610268,0.05181277601508398,0.17389627253120424,0.13774119971945534,0.1723566574838872,0.14043975780326406,0.16552791836227118,0.1646887875182826,0.18631743485486166,0.15982005910839978,0.18605575293519572,0.1775002494457921,0.07237522495371602,0.19021403770781928,0.10991149581709675,0.05912297123005027,0.12413238136360548,0.1673403033788408,0.15788632633064206,0.09639875882041571,0.12049844852551964,0.10557987975108828,0.13350559159086584,0.11716604821960853,0.09982698068562738,0.11585688927269844,0.13034918435963908,0.16185223616627684,0.10154390845699407,0.11770414835013376,0.320872437918088,0.08192319205190404,0.1882916610879236,0.06332832183450152,0.03623674707175816,0.11965648071908207
photon,0.18765722879626873,0.38412206002870275,1.0,0.3958051648863561,0.3787467607504305,0.32675680481157166,0.17910048789278113,0.1876196935966141,0.3363881890407965,0.20916273708488262,0.4761267922625474,0.1247222930859815,0.2775810422575495,0.16815736887295,0.2072940478671954,0.29124224763574624,0.16232693100931944,0.29184818148727604,0.06917281404641772,0.22083354617316975,0.25807166683244187,0.23732222626728364,0.2531062135787696,0.20784949039703515,0.36670299495236824,0.24180555045471921,0.22211363058557748,0.20995969160844535,0.198341839224567,0.2440667059509564,0.27141388645313413,0.12996217152732198,0.18666672408050836,0.1753101725776214,0.16889150591664187,0.009897594780811198,0.24346971907218834,0.1255529641148689,0.15592172784633623,0.1551178428704406,0.14818931336395788,0.12231872312334362,0.13076718445050536,0.20753791437917504,0.09602533130074895,0.1592324388246205,0.2122232436309164,0.15601529024770314,0.2609946062613073,0.19317735349594373,0.268410757935239,0.09284766908852593,0.09663891793563355,0.08577915476703038,0.19313482598422677,0.1657969064351754,0.10435177140809475,0.17370208344491278,0.017241379310344827,0.1409561531470564,0.12478429664687447,0.13153419787541176,0.12918844829323475,0.10648042524107537,0.06307757002967701,0.1995874866697931,0.11206896551724138,0.13410645850089695,0.20773724245970415,0.0968003865827958,0.12325314299522008,0.18502270084779088,0.2458221381451974,0.07692588674452776,0.04052204492365539,0.11835801911849983,0.17269315671053823,0.154116176882933,0.20215947828770758,0.11573466387046169,0.13169664600188,0.23056651868870703,0.04438967616184753,0.08074278018327172,0.13332148306149433,0.07632031385908296,0.17263532565794473,0.01957400731715678,0.2111629088606188,0.11894020669001051,0.1683969470044976,0.18569533817705186,0.18760110542659802,0.15331970552071847,0.14077527257374586,0.18760110542659802,0.1204950466257556,0.09284766908852594,0.07177316852956792,0.18584407295314143,0.06228410989030497,0.06700703342736217,0.14068546377827415,0.12931034482758622,0.18582283241670391,0.10014909310026908,0.14567140814584595,0.09150392717293482,0.12609049483857873,0.17705355794912775,0.0646508183835236,0.04689515459275805,0.08125220340832602,0.09171763507019713,0.19475891374404053,0.11770590385768959,0.21819651204439214,0.046423834544262965,0.18178552475787024,0.0820264783195062,0.041068925864504516,0.11018531933838169
state,0.39107999976195446,0.4185862029326191,0.3958051648863561,1.0,0.36850454551758327,0.4185098913505041,0.32367569236582117,0.3141978556651372,0.4550000872824754,0.3604102462292974,0.38124519442137367,0.2827863912330151,0.37937442579125213,0.21570770064760272,0.29250228518302956,0.40102216628715787,0.32889436222055507,0.3074617489605179,0.23753142896482382,0.32262033962861875,0.3393724717602556,0.3284336731146611,0.3620513912053952,0.26750265407128887,0.4926770775317816,0.3607650440715713,0.3724028985913478,0.3585549718899035,0.32292723503065857,0.32967281150409966,0.30209779629777983,0.30175418706333007,0.24671037239961047,0.3147428653647117,0.28964362482369754,0.21271295383982008,0.275394728460493,0.19419628316712403,0.29375411265212636,0.2068527251268242,0.2281118663585021,0.22221099129419247,0.2748430568652479,0.31050241258625855,0.18280008267021675,0.2523384793340267,0.2289123208808266,0.2540139110293986,0.2213611656026483,0.21914855291666124,0.2375535419995072,0.1148880704798111,0.17428561219099784,0.21056433814446834,0.20124769022870262,0.3073159661195224,0.18122532502128627,0.2181680175601643,0.17404198739683743,0.20445972264491147,0.22945767075673063,0.2015580183856335,0.27152491039546456,0.20173321009049025,0.17801122190728266,0.2554821112070172,0.1852705027127624,0.22231326103133203,0.2006019495436258,0.2206456985364737,0.20775528820264158,0.26042846692912597,0.24013893495463978,0.20595960729326454,0.18473097523549328,0.20752609275248277,0.15464224846760716,0.23564839174885288,0.2221714343750906,0.21281689372085305,0.1583408359161371,0.2272651659876487,0.19513540711235805,0.21511656633443496,0.18233488190583494,0.22863794533052184,0.15842328363633804,0.16571942887986102,0.2933774196591156,0.2033332142228308,0.16669713310813616,0.2548269232446938,0.24013893495463978,0.26047840272262135,0.37130579675606823,0.2275000436412377,0.2059912775517523,0.2015580183856335,0.1469051731154534,0.19365068021221982,0.16901153644516081,0.12218805498088668,0.1710276499236051,0.2301845639764624,0.22858925739575223,0.16602087420198622,0.18380882500934187,0.18336088728694727,0.15328492674931796,0.17872556798665443,0.23157253270566708,0.07329756425297362,0.22609483909211017,0.16833413277152529,0.14989886347267792,0.19419628316712403,0.19999446006398522,0.15116851378922513,0.2058930953730749,0.1335501573776849,0.10698519063413708,0.20423606563432709
cavity,0.2463461637268522,0.27378875565328387,0.3787467607504305,0.36850454551758327,1.0,0.3267080809539112,0.20856828679122702,0.1589012190749664,0.35269836300399876,0.24911257934572092,0.41729480997685775,0.13692954778667105,0.24005915146852735,0.15104933394856343,0.2499349599528138,0.25987659351801173,0.1909443833754016,0.2135525474730441,0.11983235197881176,0.18955855823370435,0.32049823187056764,0.1749741181689038,0.25838503655832523,0.220043114711676,0.33013632401062826,0.223410527055334,0.1801103513957009,0.2272166036202423,0.21581040469585355,0.24881522038949835,0.2455421487348287,0.16151457061744967,0.1627439452114364,0.18559485684056087,0.17879963496303788,0.020956487115397715,0.29845087343737586,0.10799637036049914,0.15327833532432766,0.14075822665457643,0.14975189244419534,0.08178608201095307,0.13843872560668977,0.23752784852531367,0.05473931036566861,0.1517165212272521,0.14744195615489714,0.1307580220107612,0.16706875812358052,0.14513629044340784,0.18943816536145547,0.05897678246195885,0.0865685635191457,0.06286946134619316,0.13631013668492178,0.17552348880849944,0.11967977161098996,0.17732484140379765,0.027379283909669677,0.12209353913347194,0.10879222762803661,0.13925073636851396,0.17406756420485855,0.13322301674529155,0.022259352109805924,0.14572166566265807,0.09126427969889893,0.1419739003214338,0.13650472655798704,0.08198339492017942,0.115132824764626,0.16428408380254375,0.32872857134353284,0.03619501931986021,0.053624121007315576,0.11566298639324804,0.09141215602547478,0.09221945749886444,0.18057877962865382,0.05765850000858807,0.1286978904175574,0.15833049866553583,0.05874228140418678,0.09325048082403138,0.14114287379195628,0.040398847130309966,0.14122602277911425,0.09325048082403138,0.2160992197714497,0.11017817175163999,0.10696563746013953,0.18254718381082502,0.15751577376877615,0.1552571611711519,0.1043237612689757,0.1712127975747567,0.12756396619598395,0.1638243957276635,0.03256448045129181,0.09443843292997713,0.07692772189617515,0.042562826537937436,0.1092218359346582,0.16427570345801806,0.13843558237952516,0.06747007539606135,0.12530156859268538,0.1043237612689757,0.09789096165531408,0.17806849308658554,0.06844360031191271,0.01985851562448331,0.07037911332728822,0.0794440711998564,0.1405803892788833,0.13291860967446048,0.15399810070180361,0.06880624620561866,0.1506131137016415,0.07598378771968088,0.028985507246376812,0.08075728530872482
couple,0.24025863353725024,0.4196519903849983,0.32675680481157166,0.4185098913505041,0.3267080809539112,1.0,0.20742905232587058,0.3025208394604397,0.41411513528105437,0.16149752520077187,0.30242711967855324,0.28403594185504016,0.30296286344601736,0.18456125523065892,0.21340624489161306,0.4030178580178994,0.22028563975777452,0.3253574116367823,0.13241978651138206,0.18098223172669015,0.34696461974807236,0.24273333089760094,0.27410527442076177,0.2834514627248879,0.4037280648983316,0.23700290327441656,0.27864131381094914,0.20829046913315194,0.24595622631379582,0.2855263275216268,0.3491554107488991,0.22845489966833032,0.24509473075507787,0.29133882842143355,0.1564842415801827,0.13338892363524135,0.22666306886873042,0.1916792500665435,0.18761981995698798,0.1182132558678956,0.0794314255194473,0.10845247054559409,0.18524561326430708,0.17008591114500377,0.13687850679440544,0.13859325735255007,0.22903240976597697,0.1533147958792171,0.23006243207767169,0.22045193982673345,0.24347519251848326,0.09384742644069301,0.194106695497714,0.1556204109077816,0.21690494109118819,0.19873525440749498,0.14649361342968298,0.24559242662890662,0.10165767260804451,0.14031523310921407,0.17311677839032427,0.14989519500944024,0.10881626070248954,0.19568541135045528,0.09740617853300675,0.16231679501232218,0.1379639842537747,0.22078297681528422,0.22928206118106553,0.12230338209403455,0.14656505630807262,0.1709276632974296,0.25609751787117835,0.1367898013326048,0.1194619265114655,0.17638119792621493,0.1727344106603182,0.15238922883268416,0.23413531416517033,0.13762454339706298,0.14506091076392238,0.1837099498556112,0.05608456449716065,0.21021323090253663,0.415500907116637,0.08357061845201302,0.13880221556542804,0.0247309683414749,0.16007748835410993,0.13775313874031317,0.15318917778750551,0.17875700274417713,0.16346650076883726,0.15721655944953833,0.17786387594901104,0.15256873405091476,0.15858398840285332,0.14337801261772543,0.1468192890339373,0.13775313874031317,0.14864320106631715,0.0790166371725029,0.21330048739217053,0.14522524658292074,0.20869302215869995,0.138037459246603,0.1303687115106806,0.171935080084044,0.07788501203063643,0.19387335545105325,0.10891160008180413,0.09480021661874247,0.111991505559059,0.161531830632197,0.15659001786431223,0.11897332762750976,0.17017437512781894,0.07820618870057751,0.15977646930508235,0.1381828602672351,0.08071611411802512,0.14278431229270644
phase,0.2924026607359652,0.18963298241433063,0.17910048789278113,0.32367569236582117,0.20856828679122702,0.20742905232587058,1.0,0.1726222743808084,0.2889552657957075,0.1991684382537424,0.24729616829983653,0.22073078967483586,0.2517954658490384,0.20114550074132545,0.15551863718419057,0.1988103217557166,0.15925451603511245,0.18279179519219285,0.11758177884903417,0.12399897081281337,0.16497256391246948,0.19369919939163724,0.20188683423854703,0.17992540150214548,0.2879431368451552,0.25118345395741176,0.19145500431419657,0.19386890896743508,0.25181945190489347,0.17841162095499505,0.13840695082351645,0.1291327995944248,0.10265621710540446,0.23132789909395884,0.12865717072382468,0.1747846757449413,0.21963424746110818,0.11411948043149113,0.1503996126992475,0.09207642958059184,0.16793074284991671,0.14712510344737476,0.1728856256980551,0.20393348025612912,0.20717196655633163,0.17092152084120277,0.10333774760794545,0.1823242552786861,0.1387108777738813,0.11651766846594191,0.10723864871956168,0.03857942577363297,0.08494271807989333,0.21933763230737732,0.12706258934091455,0.12585817742571678,0.1625982425934919,0.09021937088963174,0.17014546349814208,0.11980049861514992,0.09912407071619304,0.1285980859121099,0.17079839877251723,0.05027728974904679,0.08736519558794142,0.1644325947033279,0.10746029273566868,0.1646361203536461,0.11905869272970872,0.08044366359847487,0.09790777838677074,0.1363988678940947,0.10751823843561209,0.2130914408417934,0.13680421460612166,0.07566047878575344,0.01121191787569319,0.09048748253832699,0.1378123654176776,0.1272951334998836,0.0526170056177391,0.18124970650257632,0.0922224668326776,0.10674899923282327,0.180039687678287,0.0951362779201119,0.07336252313453001,0.10166571355506979,0.05118222760243018,0.16216337087979635,0.11195382856661114,0.19289712886816485,0.1545574677511924,0.1592658775615616,0.18279367000867922,0.1209580182400636,0.09387613913111263,0.10448594480358929,0.13846250805639057,0.10810891391986424,0.06469966392206304,0.09744805811819829,0.14614164417224432,0.08955024394639056,0.13583562171144478,0.14186339772328768,0.08511803863397262,0.16817017640798487,0.11351655556500442,0.10115610777177464,0.13431632013581724,0.08768498650334659,0.18415285916118368,0.11259737804400952,0.07356807837947246,0.13042226335027557,0.05036862005093147,0.16396255953794012,0.14778444664227353,0.12781154589820667,0.04266169502547826,0.14967665407535605
spin,0.15403080924308107,0.17027415714254476,0.1876196935966141,0.3141978556651372,0.1589012190749664,0.3025208394604397,0.1726222743808084,1.0,0.1769939570760085,0.13006267550481718,0.18928916686535313,0.2010697463674991,0.3111786485288417,0.15209382012587472,0.15754527228867524,0.26389117874015317,0.16823164622761327,0.13877773329774218,0.07038556983051976,0.12618583523428492,0.1851640199545103,0.15284342024147168,0.19111380528857652,0.05539117094069973,0.22622971499306052,0.13122397243531395,0.17044085882142765,0.1102491821052753,0.15759340326033228,0.15738783964941597,0.1411547747444096,0.1405456737852613,0.19800873517968648,0.1296362432175337,0.11902380714238084,0.19694638556693236,0.07968190728895957,0.1561440116717653,0.14543410582353317,0.05511782546095504,0.0753937034925052,0.14411533842457844,0.11088319064318593,0.11858861809057648,0.08267673819143256,0.15182262325642337,0.09072647087265548,0.12935233335271093,0.10567918985349561,0.08524826841213415,0.13694735760349214,0.12701705922171766,0.323575114464717,0.08206099398622183,0.10408329997330665,0.12688825371490306,0.17303618253948003,0.13115784746777814,0.07504787743864563,0.09561828874675149,0.09128709291752768,0.14433756729740643,0.11684747893443544,0.08427009716003844,0.09152086306448588,0.11126972805283736,0.08576900278702358,0.12887666740841358,0.16035674514745463,0.07223151185146152,0.08115026712006891,0.17072201237579726,0.10458733827218686,0.21259760138109354,0.17638342073763938,0.10190493307301363,0.09396184772996341,0.11666666666666667,0.10213764617139019,0.11853345186684447,0.2645751311064591,0.15499685165842572,0.0828078671210825,0.09128709291752768,0.16580533445793563,0.07593263966019992,0.10734900802433864,0.06085806194501846,0.06127633533453719,0.08320502943378437,0.0837707816583391,0.14021363680319485,0.11263251813927815,0.1326442675663485,0.14006019505037073,0.08849697853800426,0.10302443927398634,0.0769800358919501,0.10201227409013414,0.04622501635210243,0.06454972243679029,0.08333333333333333,0.1632993161855452,0.04288450139351179,0.1455065674537104,0.03396831102433787,0.20380986614602725,0.0875376219064817,0.062725004818718,0.253221665979063,0.11055415967851333,0.046656947481584346,0.11023565092191008,0.11406468642034678,0.03302891295379082,0.08783100656536798,0.11055415967851333,0.05773502691896258,0.07863570994927847,0.16576994539646797,0.05107539184552492,0.17919573407620817
circuit,0.38302717477057585,0.44521302180197075,0.3363881890407965,0.4550000872824754,0.35269836300399876,0.41411513528105437,0.2889552657957075,0.1769939570760085,1.0,0.2975636352414246,0.4129308088454442,0.31544024369460666,0.3139139498540414,0.20648623605508556,0.24197346462015992,0.3309463409119805,0.2774580399137941,0.3124030012931925,0.16987937080027382,0.19258708618665732,0.30910815293040134,0.31165338393030545,0.3052478922281858,0.3230831516183792,0.3791789059166609,0.29032312680699107,0.28015593596811744,0.25908991980596674,0.2273892395553371,0.3188144652161052,0.32216919462008214,0.20352874052591374,0.23895238346637387,0.24532955347007265,0.19855452809798232,0.05941759110223065,0.4759835426472353,0.17076559271713165,0.2381874349611254,0.18845894837943922,0.1769121390876448,0.17391507288487007,0.1962565468515092,0.24833796618079673,0.21063058936525558,0.2349944948070727,0.1443232672461208,0.16585563184555033,0.2368436823758186,0.1917227983778288,0.19625209088077852,0.08360796171499411,0.10598824270989163,0.26737915996003797,0.24637968658689927,0.1770517335648182,0.15008655879859717,0.28396983928847114,0.13584907634339857,0.2403957286097148,0.1927855340421639,0.156764928215614,0.26439158954353903,0.1743346514750834,0.08677842701140108,0.19625209088077852,0.12938007270799864,0.22871381690558604,0.1935148286418888,0.1743346514750834,0.1740982653982558,0.2194597028638653,0.4563106796116505,0.09620920926129795,0.12163168674918426,0.08198435159162952,0.08099356774626425,0.22124244634501067,0.2370333849952393,0.17369560702619496,0.07601980421824016,0.26186528558922956,0.14156838939735217,0.13219579477176954,0.20509231231548838,0.16035908276045135,0.2119848737178186,0.12485158395111566,0.1901490966112707,0.13387988552828414,0.24767699472270271,0.20901990428748532,0.2087378640776699,0.20509231231548838,0.21127677401252298,0.24271844660194175,0.2260500394542122,0.197407687382625,0.06155303202796097,0.21755481398346174,0.08568683101684142,0.07039532383704884,0.21114198817806282,0.11644206543719877,0.23756832053988977,0.1366405859860492,0.1024804394895369,0.14261182245845302,0.14508225945509198,0.11957559548748696,0.15160706244354064,0.10557099408903141,0.11640111517553597,0.15642117932983907,0.1395048614020681,0.15310018657398008,0.12734993245257414,0.1393466028583235,0.22537744087216785,0.10002367704543656,0.07190937498139781,0.15900682853587012
measurement,0.212478203215592,0.23069075465924005,0.20916273708488262,0.3604102462292974,0.24911257934572092,0.16149752520077187,0.1991684382537424,0.13006267550481718,0.2975636352414246,1.0,0.31957947025856326,0.1447681686508196,0.17390625135311608,0.26787758255537053,0.13388848619914792,0.13459761862378136,0.20513116887134308,0.20826696107536502,0.17164754117041012,0.16894775204362922,0.19567378872040156,0.23135303990846948,0.1690626094015332,0.19011410270270784,0.33861000726587354,0.2088971417785009,0.17677064271663512,0.23112693297521902,0.1448158998420267,0.283294102240407,0.18458744661709106,0.1656602014159411,0.16650999485427698,0.18202039549434498,0.26180350039064015,0.11006605945946243,0.18136373589825533,0.09519613088477434,0.1857777125389766,0.15681688416317316,0.1225738349056513,0.22128364614257534,0.18027205554454337,0.18712884097728608,0.1717518255120468,0.2039036277581064,0.14079697633917962,0.07886208074364646,0.12885860791431716,0.15749457204311018,0.1391542166658215,0.14079697633917962,0.12024298604016731,0.11340139459459767,0.11715016560489282,0.23207942486663927,0.0703298401882022,0.16306149060033462,0.09586625449723787,0.18784101218033586,0.2374608708782099,0.14079697633917962,0.14841304429888122,0.13700492877106868,0.11690886737629229,0.14611192749911256,0.1394418247232551,0.15406290600443695,0.14483630075779205,0.21529345949739362,0.1465919563828716,0.14481235889453933,0.2027356635710805,0.08640941512978637,0.08193178434224724,0.06442930395715858,0.07638080819459545,0.1219337582857661,0.12134693032956333,0.16517976307096344,0.02048294608556181,0.170094137806559,0.15706560261314084,0.15583369651382525,0.10782542706285082,0.12345002840435988,0.14279419632716153,0.03957681181303498,0.08539032984364578,0.13527335929518822,0.1225738349056513,0.14750159426009293,0.13079720230392292,0.13478178382856354,0.1494330772263801,0.18311608322549208,0.07613428530885356,0.11733081361598302,0.093290549783158,0.14278854592269868,0.08395509603222269,0.09483736755559585,0.05689056956571188,0.0610057983164241,0.12523879499923934,0.16567535303269348,0.046020931397970415,0.10673791230455723,0.2294488672811722,0.08054678977098277,0.10620829962935503,0.10429937753713846,0.11947953079098908,0.0758636503795651,0.1789928661577395,0.15866021814129058,0.06535895361806464,0.05631879053567185,0.09588347649584933,0.093290549783158,0.0691979387071447,0.08568631107721092
