DOI,nouns
10.1038/NPHYS1731,quantum bit|quantum system|quantum system|trapped ion|bell state|w state|interaction|phase|qubit|cavity|multipartite|entanglement|quantum|test|precision|form|qubit|atom|microwave|circuit|interaction|evidence|particle|entanglement|demonstration|interaction|domain|phase|qubit|resonant|cavity|evidence|evolution|product|state|bipartite|cavity|multiphoton|register|entanglement|bus|preparation|multiphoton|state|cavity|interaction|entanglement|distribution|creation|class|entanglement|greenberger|zeilinger|state
10.1134/S1063783410110053,josephson junction|josephson junction|quantum bit|phase|relation|heterostructure|spacer|review|theory|phase|relation|heterostructure|layer|attention|possibility|center|dot|junction|ground|state|absence|current|josephson|phase|center|dot|nonzero|speculation|possibility|josephson|dot|junction|basis|heterostructure|layer|formation|qubit|attempt|requirement|characteristic|josephson|heterostructure|principle|description|interferometer|inductance
10.1007/s10773-010-0253-1,trapped ion|cavity|interaction|charge|qubit|role|flux|analogy|computation|scheme|charge|qubit|wave|cavity|mode|qubit|address|qubit|cavity|couple|flux|gate|gate|excitation|gate|qubit|cavity|parameter|parameter|flux|way|dynamic|realization
10.1016/j.physc.2010.05.159,quantum bit|superconducting qubit|chip|rsfq|microwave|pulse|generator|quantum|driver|quantum|computer|josephson|junction|qubit|flux|quantum|rsfq|circuit|chip|rsfq|microwave|pulse|generator|mpg|microwave|pulse|resolution|sub|control|qubit|state|output|microwave|amplitude|mpg|flux|quantum|mfq|driver|number|flux|quantum|sfq|pulse|property|mfq|driver|rsfq|mpg|mfq|driver|sfq|pulse|mfq|pulse|irradiation|amplitude|output|microwave|rsfq|mpg|right
10.1103/PhysRevB.81.134514,superconducting qubit|superconducting qubit|superconducting qubit|trapped ion|mesoscopic|readout|circuit|quantum|electrodynamic|state|chip|microwave|resonator|qubit|state|generation|cavity|field|vacuum|resonator|field|device|qubit|readout|fidelity|measurement|spirit|electron|idea|improvement|qubit|fidelity
10.1103/PhysRevB.81.134507,quantum bit|superconducting qubit|microwave|gate|couple|transition|frequency|register|transition|frequency|circuit|element|architecture|scale|information|processor|scheme|qubit|gate|microwave|signal|amplitude|frequency|resonance|condition|signal|phase|parameter|microwave|scheme|qubit|gate|qubit|control|transition|frequency|target|couple|frequency|drive|tone|drive|amplitude|couple|strength|phase|qubit|gate|ratio|drive|amplitude|omega|qubit|qubit|delta|proposal|omega
10.1103/PhysRevE.82.051116,quantum bit|theory|energy|escape|duffe|oscillator|progress|circuit|phenomenon|bifurcation|transition|orbit|anharmonic|oscillator|duffe|oscillator|regime|dissipation|diffusion|equation|limit|relation|tunneling|reflection|bath|quantum|fluctuation|state|distribution|expression|switch|probability|reduction|transition|rate|reflection|phase|space|barrier|increase|quantum|fluctuation|diffusion|barrier|behavior|rate|bifurcation|escape|dynamic|domain|energy|scale|friction|energy|scale
10.1103/PhysRevB.81.144519,josephson junction|josephson junction|quantum dot|quantum dot|quantum gate|proposal|spin|qubit|spin|qubit|spin|qubit|spin|spin|orbit|interaction|phase|difference|junction|spin|qubit|gate|spin|qubit|inductance|loop|junction|realization|semiconductor|contact|superconducte|lead|number|electron|gate|voltage|spin|qubit|number|electron|qubit|property|level|theory|estimation|qubit|parameter|spin|josephson|energy|framework|order|perturbation|theory
10.1134/S106378501002001X,josephson junction|quantum bit|phase|qubit|junction|interferometer|energy|spectrum|phase|qubit|interferometer|term|hamilton|formalism|formula|ground|level|split|qubit|spectrum
10.1103/PhysRevA.82.013601,qubit|order|interaction|molecule|cavity|exchange|microwave|photon|stripline|cavity|spin|qubit|interaction|charge|phase|qubit|ensemble|molecule|order|interaction|molecule|commutation|relation|qubit|numerical|simulation|order|interaction|parameter|number|number|kerr|interaction|kerr|parameter|number|value|order|magnitude|proposal|scheme|state|way|quantum|dynamic|molecule
