DOI,gate,error,spin,ion,state,code,entanglement,photon,fidelity,measurement,noise,field,interaction,trap,quantum computer,scheme,phase,control,circuit,information,laser,algorithm,protocol,transition,fault,mode,dynamic,frequency,quantum computing,number,detection,atom,pulse,hardware,simulation,array,quantum system,architecture,platform,scale,computation,rate,parameter,network,decoherence,quantum processor,quantum simulation,couple,crystal,order,device,experiment,trapped ion,body,level,surface,source,sequence,cavity,crosstalk,coherence,range,ground,electron,term,oscillator,optimization,quantum state,process,hamiltonian,technology,quantum error correction,datum,motion
10.1007/s10773-013-1646-8,0.7,0.0,0.0,1.34,0.62,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,8.27,0.0,0.0,0.0,0.0,1.55,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48
10.1038/nature11573,0.0,0.0,8.58,0.0,0.0,0.0,7.45,11.25,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.65,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.89,0.0,0.0,0.0,1.75,0.0,0.0,2.38,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0
10.1038/ncomms2764,0.7,0.0,0.0,0.0,0.62,0.0,0.0,3.75,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,0.0,0.0,0.0,15.58,2.63,0.0,0.0,0.0,0.36,0.0,1.9,0.0,0.0,0.0,5.87,0.0,2.17,2.14,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS2385,0.0,0.0,0.0,0.0,1.24,0.0,1.49,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1.65,1.57,1.65,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,0.0,0.0,0.0,2.26,0.0,0.0,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47,0.0,0.0,0.0,0.0,2.17,3.58,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature09801,2.11,0.0,1.72,0.0,0.62,0.0,1.49,0.0,0.0,1.55,0.0,0.0,1.6,0.0,0.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,1.56,0.0,0.0,0.0,0.0,0.0,1.73,0.0,8.26,2.11,0.0,0.0,1.95,0.0,0.0,0.0,0.0,0.0,2.23,2.23,0.0,0.0,0.0,0.0,0.72,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0
10.1038/nature13729,1.41,0.0,5.15,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.65,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS1731,0.0,0.0,0.0,0.0,1.86,0.0,7.45,0.0,0.0,0.0,0.0,0.0,6.39,0.0,0.0,0.0,3.31,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature12801,0.7,0.0,0.0,0.89,6.2,0.0,4.47,0.0,1.12,0.0,1.66,0.0,0.0,0.0,0.0,0.0,1.65,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06,0.0,0.0,0.0,1.95,0.0,1.99,0.0,4.49,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.107.012609,0.0,0.0,0.0,0.0,2.48,0.0,1.49,0.0,3.35,0.0,1.66,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,5.32,0.0,0.0,0.0,0.0,0.0,1.95,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevApplied.19.034001,0.7,0.0,0.0,0.45,0.0,0.0,0.0,7.5,1.12,0.0,0.0,0.0,0.0,0.0,1.33,0.0,1.65,0.0,9.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
