,gate,error,spin,ion,state,code,entanglement,photon,fidelity,measurement,noise,field,interaction,trap,quantum computer,scheme,phase,control,circuit,information,laser,algorithm,protocol,transition,fault,mode,dynamic,frequency,quantum computing,number,detection,atom,pulse,hardware,simulation,array,quantum system,architecture,platform,scale,computation,rate,parameter,network,decoherence,quantum processor,quantum simulation,couple,crystal,order,device,experiment,trapped ion,body,level,surface,source,sequence,cavity,crosstalk,coherence,range,ground,electron,term,oscillator,optimization,quantum state,process,hamiltonian,technology,quantum error correction,datum,motion
gate,1.0,0.5265707419162818,0.2430709150058221,0.6351206374774304,0.4718783779618764,0.23923718823467274,0.33113136236168356,0.23574758339572238,0.5721823708172603,0.28254854420732706,0.3365809164030446,0.305778184557795,0.3373249156136544,0.3544236609502449,0.46457566258396366,0.3162885732024816,0.3845076772265462,0.4039326788379082,0.32869204666140245,0.34400045762751935,0.4414821003239485,0.2408073206538235,0.32386847364959986,0.2860774573208225,0.3647350740032343,0.3744009735180581,0.11861748230375568,0.3510640750410762,0.42574492511213946,0.3193086938341046,0.19693159036084404,0.1736833685729687,0.3268099351730462,0.21942686286812776,0.3022523663586378,0.20377134968227104,0.1526762041381148,0.304724700110022,0.29742484506432626,0.29255339586756346,0.34604988043708346,0.3182183467185532,0.28704418857935987,0.14470719035407653,0.2508726030021272,0.2882306768491569,0.18232322463624387,0.21547290184283366,0.254889809464433,0.2883749003642362,0.20992331125953947,0.21941566961880946,0.55033763764218,0.13254270092150516,0.29492753096432023,0.1941450686788302,0.31008683647302115,0.2742692355983562,0.09548198320525772,0.25784397701617245,0.2745150993393978,0.19057224504128523,0.18996941781613425,0.10741723110591493,0.27692307692307694,0.15191090506255,0.18352924476220045,0.1254363015010636,0.24511866530960078,0.15311180047019055,0.19061064393789132,0.26517489653530246,0.10548162696116146,0.24589655605369864
error,0.5265707419162818,1.0,0.13292613291206595,0.499684405328548,0.42811038540510826,0.3743266167165848,0.2303023195430481,0.194943257290983,0.4393136977073641,0.3813640544024386,0.34286274066187084,0.24696320053450926,0.147265982401778,0.2763811932812246,0.3742948281201437,0.31082019786735043,0.2653343152526162,0.2904504931658415,0.22742941307367104,0.3203846925853093,0.3525818616173489,0.23128442344214903,0.3116625290268825,0.19617319540565217,0.3609268613358065,0.18306655565675478,0.16205611794379962,0.24635783198801808,0.29635543064843123,0.2457581620011381,0.24072846024282468,0.10615495921641367,0.23128442344214903,0.23727737655956627,0.25155553633950833,0.16244958076690788,0.13997312773896356,0.23877843960885534,0.23711155403200468,0.2860929661796339,0.24675590100659828,0.2963725336052374,0.22492421330802176,0.10107973914385379,0.19422164675152884,0.2446750914644598,0.19247971338736308,0.10130511230913847,0.16201971583530764,0.29081945475777654,0.22700070503353034,0.24382992454708535,0.43529635332511146,0.09970444051403547,0.2060104810498419,0.2373222262672836,0.3506203451552428,0.19653507529013656,0.05835841460432113,0.30086083390715773,0.15791353393636895,0.1553032130929206,0.16586994702181085,0.16048564016188313,0.2632853709581409,0.09284766908852594,0.21114868865730557,0.17377726288294684,0.22913047950612697,0.12867477449632603,0.08104408984731078,0.3912141047586589,0.17192047651837586,0.16185241494481836
spin,0.2430709150058221,0.13292613291206595,1.0,0.28092547709677496,0.31268930812114,0.06366070140792303,0.26586006150673236,0.10378476090324956,0.22807088492445207,0.15663707566008656,0.16585877695229945,0.31784051987522066,0.3506317061191267,0.11179185072654418,0.15804073293140256,0.2578553115646984,0.21659846171434663,0.2173429237764907,0.0928279121632914,0.21794778505729417,0.18600652734635278,0.05721295676906231,0.1146023606954215,0.2320879129847619,0.0722139314689769,0.21510506068315718,0.243692308634,0.17299572043614667,0.16718166725034023,0.15734745152973198,0.10421098348069739,0.17331343552554454,0.1859421094994525,0.0842151921066519,0.23529748204358508,0.1915496600194902,0.13965509693273204,0.10395749007806007,0.21506619680967012,0.194620185490665,0.1558703697561297,0.11340734449745218,0.13464789986245196,0.08595177052156612,0.20861521871080327,0.05326236412913075,0.2343100847284878,0.2343100847284878,0.1865210692071927,0.14388034131335048,0.13427960881291645,0.1879859399580523,0.409182106087001,0.2034775300442102,0.12846400486343923,0.04612656040144426,0.10314212462587934,0.15729026546513936,0.03969942227836091,0.019492029389636262,0.18799145233808304,0.11885396244072756,0.18053790157954405,0.23819653367016547,0.08955244237056603,0.021053798026662976,0.07181895714065413,0.11126144997909508,0.1678603981989089,0.2705579809836729,0.17917830008649066,0.07603738308405919,0.058476088168908785,0.2202063716511951
ion,0.6351206374774304,0.499684405328548,0.28092547709677496,1.0,0.5569552200420086,0.23535229396582324,0.3861310900841422,0.32278691835133855,0.5150418404749174,0.3360755490478933,0.3449117596306061,0.3836897357962759,0.34391053010661493,0.5260081981021103,0.4915315188177793,0.3159461322076491,0.3104987851006207,0.3495800203369604,0.2832620495654785,0.40287422258608974,0.45499458948022475,0.27194800582580453,0.31473561062830946,0.32482344907988964,0.2898568432608614,0.34679593398377473,0.2512785172127448,0.4168571102041008,0.3947319674661981,0.35318123404870355,0.290915026971628,0.1373006099656712,0.27194800582580453,0.2891031187209916,0.37280996375158887,0.21789388428113732,0.19445140241296452,0.26765747821882424,0.2953211014487591,0.31407042549624037,0.28495855737451364,0.3260946909479793,0.32324058162183467,0.20881497243608996,0.23504644290227897,0.3375597540245163,0.26205565553144483,0.20382106541334596,0.28657227132679747,0.3229530316911155,0.28367367503942925,0.33288963955828216,0.503298091776992,0.16119690262132358,0.3330669254203241,0.3004557478993592,0.326840826421706,0.2575209202374587,0.11531766834911382,0.26765747821882424,0.26948999128745776,0.24411146462339267,0.3019393509920575,0.14676794153523576,0.2972905111596483,0.10007415648034323,0.20861751142508353,0.2056656375394941,0.30395579453281457,0.2185414158254073,0.21837971294287067,0.21685522859504783,0.1853013310745706,0.2907494260745501
state,0.4718783779618764,0.42811038540510826,0.31268930812114,0.5569552200420086,1.0,0.20179240569405324,0.4049463588828748,0.3190090664108104,0.43965730459578134,0.417519739205968,0.2987164843037439,0.42916646554812143,0.3521954042481506,0.2518585075227532,0.3693942229857064,0.3328854470355479,0.3091079151044373,0.3245401174085669,0.380440510897769,0.3663616169313232,0.3554559941888647,0.1978410244190802,0.2377753193111056,0.3611494821092583,0.21641882866808218,0.2544675116879594,0.3009579017577152,0.28664470104762596,0.32872931383314313,0.32872931383314313,0.28313926701001435,0.2663616352837935,0.21432777645400355,0.18605345461124456,0.30203786239778074,0.2122993922420586,0.2926811857209092,0.19471968372571596,0.2974774883003342,0.2554876683250579,0.2971388087808421,0.246915468455987,0.2610233336498864,0.2377753193111056,0.2404621313650513,0.2685957901173933,0.2541925085408374,0.23830547675703506,0.19545010850476865,0.22112655537178943,0.20895104168480585,0.31865237538561936,0.6423091304460128,0.2149951193552455,0.3298037283443946,0.18608862207297272,0.21548388312568945,0.19036708034044142,0.21735943730061708,0.11233827907252845,0.309557098792305,0.29682909759400977,0.3815140442269594,0.18303952614788807,0.19907369070266662,0.15774097238779428,0.17591332347662805,0.3126007707745667,0.29022860392547367,0.2293095519250605,0.2621360244327386,0.22787737832980054,0.1909750744232984,0.23569257565959412
code,0.23923718823467274,0.3743266167165848,0.06366070140792303,0.23535229396582324,0.20179240569405324,1.0,0.05681909897271361,0.06900655593423542,0.1294207214671282,0.2782706909370396,0.2326210525996177,0.04075695729696112,0.029974532466509034,0.0456118825309441,0.30210898905832195,0.13887301496588272,0.09258200997725516,0.08867748269482187,0.2005943549507195,0.17661348162016485,0.043937477516374675,0.12838814775327387,0.22288261661191056,0.03472096642294073,0.47534939727158726,0.03387398604503847,0.052081449634411095,0.06470154480826261,0.1912592130593624,0.11769797726729993,0.0890870806374748,0.021606790785072147,0.021398024625545645,0.1679842102263232,0.11200358417204118,0.06613000712661082,0.07597371763975863,0.19440394783993478,0.14478512671975205,0.14557847581859087,0.17937400083354382,0.1885115452718528,0.03662487710657558,0.0,0.12483755678647185,0.19920476822239894,0.020619652471058063,0.10309826235529032,0.02536731447159205,0.07174960033341753,0.14062009564580386,0.1158013889632752,0.15303681677778422,0.0507346289431841,0.13977131156292244,0.20701966780270628,0.07715167498104596,0.047062080533501166,0.029695693545824933,0.05832118435198043,0.06026575527677309,0.07902607796935995,0.022507456830317185,0.059391387091649865,0.13397282541141672,0.0629940788348712,0.08058229640253803,0.0832250378576479,0.07174960033341753,0.047619047619047616,0.10309826235529032,0.546018906231948,0.11664236870396086,0.023531040266750583
entanglement,0.33113136236168356,0.2303023195430481,0.26586006150673236,0.3861310900841422,0.4049463588828748,0.05681909897271361,1.0,0.45286283327594007,0.37202372975204206,0.26213122777949854,0.22205095266134756,0.22694581186730423,0.29506656683116206,0.19048451598752622,0.1488925795519706,0.25776089301153055,0.1657034312216982,0.19398512463669504,0.1380861926847485,0.2917874724008197,0.24465581259419864,0.05106429211881652,0.16365770984859082,0.1864309256094602,0.051562492132188685,0.23240624090747328,0.16571637831952019,0.16405415021236064,0.20187869551827464,0.15799202257951928,0.22588495146741192,0.21914059156180193,0.16595894938615371,0.06263716900023573,0.17182645382798642,0.11835959372978443,0.22662980454966827,0.1391778001278442,0.13436715393281906,0.14475366195208292,0.12841755074180852,0.21368557015859668,0.19665379287369814,0.24548656477288622,0.1861953842322604,0.1188456721353821,0.08611187047839651,0.12301695782628072,0.09080492095290035,0.17122340098907804,0.13183346767884782,0.22700070503353034,0.41326099353611906,0.1816098419058007,0.2710098294963041,0.09606181311913879,0.20712928902712277,0.09827041917978468,0.21259760138109357,0.0695889000639221,0.1438183283769249,0.2003747530959027,0.12085164793162481,0.035432933563515595,0.13701987408069663,0.05637345210021216,0.0480754414848157,0.2358474866941965,0.20332778867453016,0.14204774743178403,0.14762034939153687,0.13573132244947578,0.03479445003196105,0.2105794696709672
photon,0.23574758339572238,0.194943257290983,0.10378476090324956,0.32278691835133855,0.3190090664108104,0.06900655593423542,0.45286283327594007,1.0,0.28984759427495127,0.15917863499175333,0.13483997249264842,0.10828114425674669,0.10859306069076735,0.1762610596956927,0.08565603610802411,0.22360679774997896,0.12298373876248843,0.09637941079757685,0.10062305898749054,0.23624976928744731,0.16979054399120355,0.062017367294604234,0.18633899812498247,0.21384070730631674,0.06262242910851495,0.1104481560766086,0.03773659540699707,0.19924307314886056,0.24518082380895198,0.17056057308448833,0.24206145913796354,0.2035228946026736,0.10853039276555741,0.09128709291752769,0.05796736197002104,0.11180339887498948,0.08257228238447704,0.15494494670022804,0.1631883414420549,0.11720180773462385,0.11697193010475819,0.21854334588326124,0.18576071235199632,0.2795084971874737,0.13568010505999362,0.07216878364870322,0.05976143046671968,0.10458250331675945,0.09190182776172597,0.10397504898200728,0.16011119017838504,0.10787924283421144,0.37350975460453656,0.018380365552345193,0.25318484177091666,0.13333333333333333,0.1956559480312316,0.051149575460285514,0.3227486121839514,0.10564428184106457,0.10188893920442685,0.17177950029416048,0.06523280730534423,0.02151657414559676,0.11094003924504582,0.04564354645876384,0.05838742081211422,0.12060453783110543,0.18195633571851275,0.0,0.17928429140015903,0.09890707100936805,0.1267731382092775,0.051149575460285514
fidelity,0.5721823708172603,0.4393136977073641,0.22807088492445207,0.5150418404749174,0.43965730459578134,0.1294207214671282,0.37202372975204206,0.28984759427495127,1.0,0.25330416540102896,0.22990024493585143,0.2618216337022721,0.21477357282094306,0.3456010043218977,0.31155696942480493,0.24399771253216748,0.2973722121485791,0.32865106302723424,0.17537335588249536,0.28196175937167767,0.39081214090444466,0.12688648033134406,0.18638714151762795,0.23162530012613525,0.21354071087949103,0.27619172991372765,0.12010200747281086,0.3277169747479529,0.3344238679688255,0.24718285893347972,0.26413527189768715,0.16015553315961828,0.28549458074552414,0.1763956284699956,0.2451071589730601,0.20696234545139205,0.14078457295842708,0.19213013923474498,0.286183350337002,0.2477860052972327,0.23045878326865607,0.2887753168413113,0.2352772580229767,0.1652067845269884,0.12337741817289975,0.2067185481265164,0.12227087189088336,0.18340630783632506,0.20056488422556007,0.27477778005108994,0.17868260517960938,0.23706866175772134,0.48558199503172733,0.07521183158458503,0.20720475471299118,0.21596487416564994,0.28593481937363374,0.16279069767441862,0.08804509063256238,0.14409760442605873,0.2779507191682813,0.19525441139613994,0.17795362132005163,0.1467418177209373,0.1796936371161644,0.10895024111382082,0.07963978098028483,0.21591048180257455,0.22159498391216928,0.11765520133375292,0.13246011121512363,0.23608921896697613,0.08645856265563524,0.22093023255813954
measurement,0.28254854420732706,0.3813640544024386,0.15663707566008656,0.3360755490478933,0.417519739205968,0.2782706909370396,0.26213122777949854,0.15917863499175333,0.25330416540102896,1.0,0.25756371316446414,0.19220801404949509,0.15672363621101892,0.13093264279461478,0.2827919299121698,0.1993231791080248,0.13288211940534986,0.19091698020350958,0.2657642388106997,0.2674198456340801,0.13513513513513514,0.17111189111011332,0.3058397986313608,0.12814634125059973,0.18607218532674333,0.10418362501707071,0.18154065010501627,0.08954891411406404,0.1990970608513336,0.2533962592653337,0.28769822778437526,0.14619957418529833,0.06581226581158205,0.18082966026816333,0.15747695876199802,0.0949157995752499,0.2687165276058996,0.2272070677224888,0.1880174671653238,0.22884722495816368,0.2096410140219837,0.16234134692639796,0.09011546400696842,0.1740122992212915,0.16637976944997754,0.22056438662814232,0.1522038868295523,0.07610194341477615,0.04681218398834803,0.1655060637015661,0.18535476872363893,0.22387292065330996,0.35177407295649143,0.20285279728284147,0.18270066606209562,0.09904448399486873,0.11864474946906238,0.13027071363481488,0.10959932487023819,0.12556180058348068,0.12356984581575929,0.1215272283395109,0.1246040306825372,0.12786587901527788,0.1765928401295794,0.07749842582921286,0.11565903932254226,0.2431704322730441,0.1986072764418793,0.0732291291939578,0.2029385157727364,0.321875136665763,0.1973114009168982,0.043423571211604964
