DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1038/NPHYS1731,2.07,6.77,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.85,1.76,0.0,0.0,0.0,4.14,0.18,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.06
10.1103/PhysRevA.81.042321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,1.37,0.12
10.1007/s10773-010-0253-1,0.0,6.77,0.0,0.0,1.9,0.0,1.52,0.0,0.0,1.76,0.0,0.0,0.0,2.07,0.0,0.0,0.0,2.65,0.0,1.63,0.0,0.0,0.0,0.0,1.63,0.0,0.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.06
10.1103/PhysRevB.81.134514,0.0,1.69,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,2.06,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.06
10.1209/0295-5075/92/30006,0.0,0.0,0.0,1.9,0.0,0.0,0.0,6.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,4.41,2.42,0.0,2.41,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,0.0,0.85,0.0,0.0,2.07,0.0,0.0,0.24,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.06
10.1038/NPHYS1781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,0.0,5.27,11.22,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.98,0.0,1.9,0.0,0.06,0.0,0.0,0.0,1.62,0.0,0.0,0.0,0.06
10.1038/nature09256,2.07,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,1.76,0.0,1.03,0.0,0.0,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.31,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.18,0.0,2.07,2.94,1.62,0.0,0.0,0.0,0.06
10.1103/PhysRevA.81.062332,0.0,0.0,0.0,0.0,0.0,1.52,0.0,1.69,0.0,0.0,0.0,1.76,0.0,0.0,0.0,1.33,1.03,1.76,0.0,0.0,1.6,3.04,0.0,0.0,0.0,0.0,0.0,0.0,1.37,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.81,4.14,3.39,2.75,0.06
10.1103/PhysRevA.81.040302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0,0.0,0.0,3.04,0.0,0.0,2.66,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.82.023409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.12
