DOI,spin,ion,gate,photon,entanglement,trap,error,measurement,scheme
10.1038/NPHYS1731,0.0,0.0,0.0,0.0,6.24,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.042321,0.0,4.01,0.0,5.48,1.25,1.37,0.0,0.0,0.0
10.1007/s10773-010-0253-1,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,1.29
10.1103/PhysRevB.81.134514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0
10.1209/0295-5075/92/30006,0.0,2.41,4.41,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/NPHYS1781,0.0,0.0,0.0,0.0,11.22,0.0,0.0,0.0,0.0
10.1038/nature09256,2.94,0.0,0.0,7.31,3.74,0.0,0.0,0.0,0.0
10.1103/PhysRevA.81.062332,0.0,1.6,1.76,0.0,0.0,2.75,0.0,0.0,0.0
10.1103/PhysRevA.81.040302,0.0,0.8,0.0,0.0,0.0,0.0,3.04,0.0,0.0
10.1103/PhysRevA.82.023409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature09801,1.47,0.0,2.65,0.0,1.25,0.0,0.0,1.83,0.0
10.1088/0253-6102/55/5/09,0.0,0.8,2.65,0.0,0.0,0.0,0.0,0.0,5.15
10.1103/PhysRevA.84.012314,0.0,0.8,4.41,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/13/8/085007,2.94,2.41,2.65,0.0,0.0,2.75,0.0,1.83,1.29
10.1103/PhysRevLett.106.140502,1.47,0.0,0.0,0.0,0.0,0.0,0.0,5.48,0.0
10.1126/science.1208001,1.47,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0
10.1126/science.1203329,0.0,0.0,2.65,0.0,0.0,0.0,4.56,1.83,0.0
10.1103/PhysRevA.84.032314,0.0,2.41,0.0,0.0,0.0,1.37,0.0,0.0,0.0
10.1038/ncomms1556,0.0,0.0,0.0,10.96,1.25,0.0,0.0,0.0,0.0
10.1088/1367-2630/13/6/063015,0.0,0.0,0.0,1.83,4.99,0.0,0.0,0.0,0.0
