DOI,atom,cavity,circuit,coherence,computation,control,couple,decoherence,detection,dynamic,entanglement,environment,error,excitation,experiment,fidelity,field,gate,information,interaction,ion,laser,level,measurement,mode,noise,number,parameter,phase,photon,process,pulse,quantum,quantum bit,quantum computing,quantum gate,quantum state,quantum system,qubit,scheme,source,spin,state,surface,transition,trap,trapped ion
10.1038/NPHYS1731,1,4,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,3,0,0,0,3,0,0,0,1
10.1103/PhysRevA.81.042321,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2
10.1007/s10773-010-0253-1,0,4,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1
10.1103/PhysRevB.81.134514,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,1
10.1209/0295-5075/92/30006,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,5,2,0,3,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,1
10.1038/NPHYS1781,0,0,0,0,0,0,0,2,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,4,0,0,0,1
10.1038/nature09256,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,0,1,2,4,0,0,0,1
10.1103/PhysRevA.81.062332,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,2,0,0,2,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,2,2,2,2,1
10.1103/PhysRevA.81.040302,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
10.1103/PhysRevA.82.023409,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2
10.1038/nature09801,0,0,0,0,1,1,1,0,0,3,1,2,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,1,1,0,0,0,2
10.1088/0253-6102/55/5/09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,3,4,0,0,0,0,0,0,2
10.1103/PhysRevA.84.012314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
