DOI,architecture,array,atom,body,chain,challenge,circuit,coherence,computation,computer,control,couple,detection,device,dynamic,efficiency,energy,entanglement,error,experiment,fault,fidelity,field,fluctuation,frequency,gate,hamiltonian,information,interaction,ion,laser,lattice,level,logic,magnitude,measurement,microwave,mode,motion,noise,number,order,parameter,phase,photon,platform,potential,power,probability,process,processor,protocol,pulse,quantum,quantum computer,quantum computing,quantum error correction,quantum gate,quantum simulation,quantum simulator,quantum state,quantum system,qubit,range,rate,realization,regime,resource,scale,scheme,simulation,source,spin,state,superconducting qubit,surface,technology,term,tool,transition,trap,trapped ion,way
10.1088/1367-2630/17/5/053032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,1.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
10.1103/PhysRevA.91.022332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.5,0.0,1.27,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
10.1007/s10773-014-2235-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.45,0.0,0.0,0.0,0.0,0.0,1.54,0.0,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.0
10.1103/PhysRevLett.114.120502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.27,1.5,0.0,1.27,2.12,2.4,0.0,4.31,0.0,0.0,1.24,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,2.4,0.0,0.0,0.0,0.0,3.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,2.09,0.0,0.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
10.1103/PhysRevX.5.031031,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,11.99,0.0,0.0,0.0,0.0,0.0,0.31,0.0
10.1038/nature15263,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,2.31,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,3.81,0.0,0.0,0.0,7.18,0.0,0.0,2.48,0.0,0.0,0.0,0.0,6.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.55,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.77,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0
10.1088/1367-2630/17/6/065018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,2.4,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,4.46,0.0,4.96,2.26,0.0,2.23,0.0,0.0,0.0,0.0,0.0,5.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,2.16,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,5.55,1.8,0.0,12.86,2.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,2.4
10.1103/PhysRevB.92.134204,0.0,0.0,1.85,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,0.0,1.62,0.0,0.31,0.0
10.1038/nature16184,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,0.0,2.4,5.08,1.27,1.5,2.4,1.27,0.0,0.0,0.0,2.87,0.0,1.39,0.0,0.9,1.75,0.0,2.02,8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,1.58,1.75,2.4,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.31,0.0
10.1038/nature16186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,2.23,0.0,0.0,0.0,0.0,2.54,0.0,1.5,0.0,0.0,1.06,0.0,0.0,6.46,0.0,4.18,1.24,2.71,1.75,0.0,2.02,4.18,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,1.09,0.0,0.0,0.0,2.4,2.09,0.0,0.0,0.0,0.19,0.0,0.0,2.16,0.0,0.0,0.0,0.0,0.0,0.0,2.86,1.54,0.0,0.0,2.09,0.0,0.0,0.0,0.0,0.31,0.0
