DOI,gate,spin,entanglement,state,ion,noise,photon,atom,field,error,interaction,measurement,quantum computer,fidelity,scheme
10.1088/1367-2630/17/5/053032,1.44,0.0,0.0,1.54,0.0,1.3,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,0.0
10.1103/PhysRevA.91.022332,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,1.27,0.0
10.1007/s10773-014-2235-1,0.0,0.0,1.27,1.54,0.45,0.0,0.0,0.0,0.0,0.0,1.24,1.54,0.0,0.0,5.55
10.1103/PhysRevLett.114.120502,4.31,0.0,1.27,0.0,0.45,0.0,0.0,0.0,2.12,1.27,1.24,0.0,0.0,1.27,1.85
10.1103/PhysRevX.5.031031,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature15263,7.18,2.86,0.0,0.77,0.0,0.0,0.0,1.85,0.0,0.0,2.48,0.0,0.0,3.81,0.0
10.1088/1367-2630/17/6/065018,0.0,12.86,0.0,2.31,2.26,0.0,0.0,0.0,2.12,0.0,4.96,0.0,0.0,0.0,5.55
10.1103/PhysRevB.92.134204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,1.06,0.0,0.0,0.0,0.0,0.0,0.0
10.1038/nature16184,2.87,0.0,5.08,5.39,0.9,0.0,5.4,3.7,0.0,1.27,0.0,0.0,1.58,1.27,0.0
10.1038/nature16186,6.46,2.86,2.54,1.54,2.71,0.0,0.0,0.0,1.06,0.0,1.24,1.54,0.0,0.0,0.0
10.1103/PhysRevA.92.060301,4.31,0.0,0.0,0.0,1.81,0.0,0.0,0.0,2.12,3.81,0.0,0.0,0.0,2.54,0.0
10.1088/0953-4075/48/7/075101,0.0,0.0,0.0,6.16,0.0,0.0,0.0,1.85,0.0,2.54,0.0,3.08,0.0,1.27,0.0
10.1016/j.physleta.2015.10.014,2.15,1.43,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.27,5.55
10.1103/PhysRevA.91.012322,2.15,0.0,0.0,3.08,1.36,1.3,0.0,0.0,3.17,0.0,1.24,0.0,0.0,0.0,0.0
10.1088/1367-2630/18/8/083030,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.1088/1367-2630/18/12/123007,1.44,0.0,1.27,0.0,0.45,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,1.27,0.0
10.1103/PhysRevApplied.6.044010,0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,2.54,0.0,1.54,3.15,0.0,0.0
10.1103/PhysRevLett.117.220501,2.15,0.0,0.0,0.77,2.26,0.0,0.0,0.0,2.12,0.0,0.0,0.0,3.15,1.27,0.0
10.1038/NPHYS3515,0.0,0.0,1.27,0.0,0.0,1.3,5.4,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0
10.1103/PhysRevA.93.042342,4.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0
10.1088/1367-2630/18/9/093038,0.0,0.0,0.0,1.54,0.9,0.0,10.8,5.55,1.06,0.0,0.0,0.0,0.0,0.0,0.0
10.1007/s00340-015-6285-8,0.0,0.0,1.27,2.31,0.0,2.6,1.8,0.0,0.0,1.27,0.0,10.76,0.0,0.0,7.41
10.1103/PhysRevA.94.042308,0.0,1.43,1.27,1.54,0.9,0.0,0.0,0.0,5.29,0.0,0.0,0.0,0.0,0.0,0.0
10.1364/OE.24.016638,1.44,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,1.27,0.0
10.1103/PhysRevA.93.013412,0.0,0.0,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,1.24,0.0,0.0,0.0,0.0
10.1103/PhysRevA.94.052321,0.0,1.43,0.0,0.0,0.45,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0,7.41
