,gate,spin,entanglement,state,ion,noise,photon,atom,field,error,interaction,measurement,quantum computer,fidelity,scheme
gate,1.0,0.19851666679418603,0.3200052246177461,0.38951782748808106,0.6627227564416558,0.32496684180984076,0.2711138549079501,0.21664456120656053,0.34861253285790134,0.4571503208824944,0.450377349111045,0.2626128657194451,0.4556478273060628,0.6171529331913674,0.24759378423606918
spin,0.19851666679418603,1.0,0.23028309323591914,0.3312706744344566,0.30348848933344197,0.2004459314343183,0.043355498476206,0.2672612419124244,0.38368286846562094,0.09869275424396534,0.4213324203089069,0.18898223650461363,0.1543033499620919,0.1315903389919538,0.3563483225498992
entanglement,0.3200052246177461,0.23028309323591914,1.0,0.4694525268130202,0.4392976851069794,0.24618298195866545,0.5191699914900666,0.24618298195866545,0.2446772615221666,0.30303030303030304,0.3582488604159193,0.3481553119113957,0.21320071635561044,0.30303030303030304,0.24618298195866545
state,0.38951782748808106,0.3312706744344566,0.4694525268130202,1.0,0.5104177855340404,0.28603877677367767,0.37121293493384755,0.4449492083146097,0.5264616439283266,0.3051441424284631,0.3931226965534482,0.3505839284808859,0.24771684715343115,0.3051441424284631,0.25425669046549126
ion,0.6627227564416558,0.30348848933344197,0.4392976851069794,0.5104177855340404,1.0,0.40555355282690636,0.2894736842105263,0.1351845176089688,0.4657733365350121,0.45926576170275124,0.4524614483346644,0.2982404540317303,0.468292905790847,0.49920191489429483,0.3244428422615251
noise,0.32496684180984076,0.2004459314343183,0.24618298195866545,0.28603877677367767,0.40555355282690636,1.0,0.16222142113076254,0.041666666666666664,0.3312945782245396,0.3692744729379982,0.15158476564770812,0.24748737341529162,0.10825317547305484,0.1846372364689991,0.3333333333333333
photon,0.2711138549079501,0.043355498476206,0.5191699914900666,0.37121293493384755,0.2894736842105263,0.16222142113076254,1.0,0.2703690352179376,0.10748615458500278,0.15974461276617433,0.11803342130469506,0.22941573387056174,0.0468292905790847,0.15974461276617433,0.16222142113076254
atom,0.21664456120656053,0.2672612419124244,0.24618298195866545,0.4449492083146097,0.1351845176089688,0.041666666666666664,0.2703690352179376,1.0,0.2944840695329241,0.12309149097933272,0.28295822920905517,0.1414213562373095,0.048112522432468816,0.24618298195866545,0.1111111111111111
field,0.34861253285790134,0.38368286846562094,0.2446772615221666,0.5264616439283266,0.4657733365350121,0.3312945782245396,0.10748615458500278,0.2944840695329241,1.0,0.1903045367394629,0.4017536880041851,0.21864326664404848,0.15939417826583457,0.2446772615221666,0.2208630521496931
error,0.4571503208824944,0.09869275424396534,0.30303030303030304,0.3051441424284631,0.45926576170275124,0.3692744729379982,0.15974461276617433,0.12309149097933272,0.1903045367394629,1.0,0.11941628680530643,0.4177863742936748,0.31980107453341566,0.42424242424242425,0.28721347895177635
interaction,0.450377349111045,0.4213324203089069,0.3582488604159193,0.3931226965534482,0.4524614483346644,0.15158476564770812,0.11803342130469506,0.28295822920905517,0.4017536880041851,0.11941628680530643,1.0,0.1028991510855053,0.1750350105035012,0.2686866453119395,0.242535625036333
measurement,0.2626128657194451,0.18898223650461363,0.3481553119113957,0.3505839284808859,0.2982404540317303,0.24748737341529162,0.22941573387056174,0.1414213562373095,0.21864326664404848,0.4177863742936748,0.1028991510855053,1.0,0.16329931618554522,0.06963106238227913,0.18856180831641267
quantum computer,0.4556478273060628,0.1543033499620919,0.21320071635561044,0.24771684715343115,0.468292905790847,0.10825317547305484,0.0468292905790847,0.048112522432468816,0.15939417826583457,0.31980107453341566,0.1750350105035012,0.16329931618554522,1.0,0.31980107453341566,0.09622504486493763
fidelity,0.6171529331913674,0.1315903389919538,0.30303030303030304,0.3051441424284631,0.49920191489429483,0.1846372364689991,0.15974461276617433,0.24618298195866545,0.2446772615221666,0.42424242424242425,0.2686866453119395,0.06963106238227913,0.31980107453341566,1.0,0.12309149097933272
scheme,0.24759378423606918,0.3563483225498992,0.24618298195866545,0.25425669046549126,0.3244428422615251,0.3333333333333333,0.16222142113076254,0.1111111111111111,0.2208630521496931,0.28721347895177635,0.242535625036333,0.18856180831641267,0.09622504486493763,0.12309149097933272,1.0
