DOI,architecture,array,atom,body,chain,challenge,circuit,coherence,computation,computer,control,couple,detection,device,dynamic,efficiency,energy,entanglement,error,experiment,fault,fidelity,field,fluctuation,frequency,gate,hamiltonian,information,interaction,ion,laser,lattice,level,logic,magnitude,measurement,microwave,mode,motion,noise,number,order,parameter,phase,photon,platform,potential,power,probability,process,processor,protocol,pulse,quantum,quantum computer,quantum computing,quantum error correction,quantum gate,quantum simulation,quantum simulator,quantum state,quantum system,qubit,range,rate,realization,regime,resource,scale,scheme,simulation,source,spin,state,superconducting qubit,surface,technology,term,tool,transition,trap,trapped ion,way
10.1088/1367-2630/17/5/053032,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
10.1103/PhysRevA.91.022332,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10.1007/s10773-014-2235-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,2,0
10.1103/PhysRevLett.114.120502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,6,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
10.1103/PhysRevX.5.031031,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0
10.1038/nature15263,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,10,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0
10.1088/1367-2630/17/6/065018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,4,5,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,0,9,3,0,0,0,0,0,0,0,4,1
10.1103/PhysRevB.92.134204,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
10.1038/nature16184,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,1,1,1,0,0,0,4,0,1,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0
10.1038/nature16186,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,1,0,0,9,0,3,1,6,1,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0
