,gate,error,code,state,fidelity,ion,noise,measurement,spin,photon,interaction,entanglement,field,trap,quantum computer,circuit,phase,fault,control,algorithm,information,protocol,scheme,laser,frequency,dynamic,quantum computing,transition,mode,hardware,simulation,number,crosstalk,crystal,detection,optimization,device,architecture,quantum processor,platform,trapped ion,parameter,rate,scale,array,qudit,datum
gate,1.0,0.5581863291009814,0.26843227865432445,0.4970762293781463,0.593781860186952,0.6529198587795201,0.3188783868524597,0.2988782242472845,0.2708969261627164,0.2568910546750429,0.3205600851290283,0.37649606679038317,0.29466310815130764,0.3696305540766158,0.5110904246923234,0.386807031424972,0.37923294675184877,0.3740145623914995,0.4192180227447885,0.24170177052331543,0.38421966438354244,0.3454670923153262,0.31230393219936836,0.4709596260866301,0.42258528987239335,0.12689023237109684,0.42660338662601505,0.3504675672588074,0.39932903893028643,0.23331648330687904,0.3048033774306362,0.34290379960946565,0.2870655244726317,0.2428147546315699,0.21246291030262368,0.21554305028202897,0.21241248597289902,0.3425861489626775,0.34674216354423276,0.3190554923295143,0.5499322250296403,0.3127369361261392,0.3849721974563504,0.3314747156586699,0.2188702620658331,0.14682263526971892,0.11820345125343656
error,0.5581863291009814,1.0,0.37862967871567604,0.5102477623335414,0.4668125683949983,0.5373843560389764,0.34679077863731533,0.3904700592035512,0.14467423695414217,0.22124616267552527,0.19278507708475195,0.21934923683079918,0.2959875583652744,0.29101262323732424,0.38534274621449915,0.2725241114884371,0.26274393343000685,0.3606678538669729,0.3180791490757986,0.2534708498881284,0.34358227615493336,0.33150606536910737,0.30520720828475884,0.42212979373356885,0.32063404272194196,0.2285020542545617,0.28404812704708055,0.2253074221227808,0.21271029558534027,0.2718636239135184,0.33296357910601343,0.2552720773146103,0.2951406680504776,0.1945151603146787,0.26524794588365275,0.21766660205361194,0.24750599435838969,0.2851329742561005,0.2777698069954757,0.26242441010441725,0.4677757559328487,0.2733040833050606,0.35342271108757395,0.3067191794659486,0.19127301391900148,0.028513297425610054,0.1770844008302866
code,0.26843227865432445,0.37862967871567604,1.0,0.22338875108890427,0.16878989451394444,0.28119965086613224,0.22570643815898364,0.25642430590241294,0.05326236412913075,0.10540925533894598,0.024397501823713332,0.07012868733182766,0.04794633014853841,0.04714045207910317,0.3191971059593589,0.23346199798790487,0.07254762501100116,0.5781515884776753,0.06900655593423542,0.14256648712805026,0.18973665961010278,0.23973165074269207,0.1426148065624585,0.06410607647560324,0.09274777915203367,0.05443310539518173,0.18487080675399623,0.028513297425610054,0.026919095102908276,0.1926686588971131,0.11236664374387369,0.13483997249264842,0.07968190728895957,0.03580574370197165,0.1432229748078866,0.033903175181040524,0.16705381391691138,0.1732050807568877,0.20452399702596546,0.17712297710801905,0.1297498240269205,0.026352313834736494,0.1926686588971131,0.16101529717988267,0.09682458365518543,0.0,0.07968190728895957
state,0.4970762293781463,0.5102477623335414,0.22338875108890427,1.0,0.4807484875816988,0.599149739771224,0.3361351955537357,0.44751801128421226,0.3011735166346146,0.2869820106974261,0.3372266367167312,0.35248409726762797,0.36148513987726677,0.22706706980765207,0.4233736919305071,0.42670459765013197,0.28361065854928985,0.25490637096729085,0.2986712117249747,0.23885812130000622,0.3620388442644453,0.26107260102247043,0.33849702495071604,0.3938158499301068,0.30107021581983356,0.28499398669032056,0.3097354397518004,0.3224584637550084,0.24805370021363737,0.2075143391598224,0.32004341367744615,0.30121733051994937,0.15018785229652767,0.2099632596440622,0.2849501380883701,0.2130071614211525,0.23323714284710653,0.18136906252750293,0.31053807366489716,0.35239609324728294,0.5815045635640387,0.2759442410552175,0.27668578554642986,0.28903665650804,0.21629522817435007,0.0967301666813349,0.21693800887276218
fidelity,0.593781860186952,0.4668125683949983,0.16878989451394444,0.4807484875816988,1.0,0.5324184403051972,0.24128078395716213,0.30297282080855786,0.29667491115633615,0.3202563076101743,0.2347289502760154,0.426132494537061,0.26706424826738423,0.35805743701971643,0.34122255701223136,0.22568905807670633,0.293887343348258,0.24653342054454627,0.32613306031348566,0.11550615515312267,0.3095810973565018,0.2063678282066151,0.28886325786964756,0.4111773996687571,0.36397614273277923,0.1515980089423659,0.39525477029572115,0.27432711848866637,0.32714432804381227,0.18118576883486967,0.2617356844329189,0.2844953091662162,0.16139400871168064,0.23570226039551584,0.2719641466102106,0.08583770043743413,0.18328047158971922,0.21926450482675727,0.24596628517052885,0.3475476102314281,0.5059006054573263,0.2535362435247213,0.3344968040028363,0.2795426231258449,0.2288021576612147,0.0,0.10087125544480041
ion,0.6529198587795201,0.5373843560389764,0.28119965086613224,0.599149739771224,0.5324184403051972,1.0,0.34033871732118043,0.36836978138993415,0.29303526907988553,0.3769567781006913,0.3310970254028589,0.4029772315175105,0.3605100934052177,0.4841277425958686,0.53984953076231,0.34251877734630537,0.3015706400108091,0.3013422885820913,0.32903485130915994,0.2928287215714755,0.4020872299740707,0.3517171642977734,0.331287583678427,0.44674633062183505,0.42522787689392944,0.28949382831381526,0.4294463130333543,0.2928287215714755,0.36531741567272696,0.3331464348979316,0.4038979796084454,0.3791695318773161,0.27764606458047136,0.3283226943911948,0.28892397106425144,0.2362665123379257,0.30636178793016067,0.26470221867976673,0.40320966716906026,0.3248277347161624,0.480658190458373,0.35762566127501483,0.3432417814099901,0.32059806024995074,0.22491901880992976,0.14823324246066935,0.20458131074350522
noise,0.3188783868524597,0.34679077863731533,0.22570643815898364,0.3361351955537357,0.24128078395716213,0.34033871732118043,1.0,0.28938308371311633,0.12021658495512916,0.15861031714362883,0.1835557745535881,0.26380827050719763,0.14429060534161728,0.14186538042638172,0.20012456071317383,0.2554854594488718,0.18193851153474075,0.22893427324781504,0.19036384827209385,0.21452116007007205,0.22205444400108035,0.2344722336801281,0.196711044554108,0.1929220558087442,0.24422732692821814,0.12285902336679023,0.20090552113195903,0.15016481204905044,0.14176897172994185,0.186370957476581,0.152171249563855,0.23671083265488557,0.05994906493301807,0.05387724584403653,0.18857036045412787,0.17855051462249658,0.12568373773353236,0.23890473351968816,0.07693730481128204,0.16657415116319238,0.2928537063287114,0.17843660678658244,0.14495518914845187,0.19036384827209385,0.07284643967679481,0.04343722427630694,0.1798471947990542
measurement,0.2988782242472845,0.3904700592035512,0.25642430590241294,0.44751801128421226,0.30297282080855786,0.36836978138993415,0.28938308371311633,1.0,0.1365776475253393,0.13514747567989718,0.18768337412695632,0.23976933297215,0.18441906643360348,0.16620941843426235,0.3183051524398961,0.29932665394319513,0.1395223079123588,0.23408229439226114,0.2211869776019044,0.20106631878715567,0.2838096989277841,0.3073651107226725,0.16761205442751598,0.1506849315068493,0.11891392446525256,0.17447464086340458,0.1975223679313025,0.16450880628040007,0.12079742985247521,0.19409078514116102,0.17288123177163914,0.27372861697176193,0.12770236105969923,0.0688609723207333,0.32135120416342206,0.15213796786450898,0.21418329140997422,0.24057579331422171,0.2622246198888518,0.21289985842637235,0.3410278378123989,0.11825404121991004,0.21173540197217566,0.25067857461549164,0.14483103050541438,0.0,0.17878330548357893
spin,0.2708969261627164,0.14467423695414217,0.05326236412913075,0.3011735166346146,0.29667491115633615,0.29303526907988553,0.12021658495512916,0.1365776475253393,1.0,0.12632278815997786,0.3118724702341802,0.3361697712509187,0.2489891522651298,0.07532435771547094,0.170011924865721,0.11869522585912262,0.21252319110217674,0.09724332766526303,0.147018092378659,0.09112113780030293,0.18527342263463417,0.11491807027621376,0.24687005711339433,0.23901088316934374,0.14819897956091452,0.15220988371246985,0.21334421823384608,0.2278028445007573,0.2795860558525712,0.10994987428338561,0.23341161070712593,0.12568317499614473,0.0,0.2002453486917181,0.05721295676906231,0.1083457956975773,0.13346521599003872,0.0922531208028885,0.08170073702056668,0.19457601286123688,0.3524499010236363,0.14737658618664082,0.10994987428338561,0.2205271385679885,0.154713186938819,0.04612656040144425,0.09549105211188455
photon,0.2568910546750429,0.22124616267552527,0.10540925533894598,0.2869820106974261,0.3202563076101743,0.3769567781006913,0.15861031714362883,0.13514747567989718,0.12632278815997786,1.0,0.057863756235784464,0.40657169902501505,0.07580980435789034,0.20497289793748072,0.09813512696610775,0.08389450690175304,0.1338258447578277,0.07216878364870322,0.07273929674533079,0.09016696346674323,0.2,0.18952451089472586,0.2630761098009901,0.2027212135198458,0.21997067253202995,0.02151657414559676,0.27606716604619314,0.22541740866685805,0.06384423980690615,0.10879853497231115,0.08883363181483768,0.12436708454077276,0.1259881576697424,0.08492077756084468,0.22645540682891913,0.0804084401128346,0.22011272658140596,0.20539595906443728,0.10105651043180541,0.1750350105035012,0.3692744729379982,0.1875,0.23935677693908453,0.10910894511799618,0.1275775907699572,0.09128709291752768,0.1259881576697424
