DOI,nouns
10.1088/1367-2630/17/5/053032,quantum computing|quantum computing|quantum system|trapped ion|gate|microwave|state|set|state|effort|computation|wavelength|radiation|enhancement|mean|field|gradient|presence|field|construction|gate|presence|noise|shielding|couple|degree|freedom|mode
10.1103/PhysRevA.91.022332,quantum error correction|trapped ion|quantum|error|correction|code|experiment|gauge|freedom|qec|code|control|algorithm|gauge|realization|hereby|gauge|mean|goal|decomposition|qec|code|gate|fidelity|part|subject|fashion|part|optimization|algorithm|decomposition|qubit|code|qubit|code|qubit|code
10.1007/s10773-014-2235-1,quantum teleportation|trapped ion|trapped ion|cluster state|cluster state|cluster state|scheme|qubit|scheme|teleportation|qubit|state|help|qubit|interaction|ion|scheme|channel|entanglement|state|measurement|motion|importance|view|experiment|probability
10.1103/PhysRevLett.114.120502,superconducting qubit|quantum system|trapped ion|phase|decouple|error|suppression|qubit|oscillator|scheme|source|infidelity|gate|oscillator|qubit|oscillator|entanglement|conclusion|gate|period|fidelity|target|gate|shift|phase|field|qubit|oscillator|interaction|oscillator|mode|fluctuation|field|variety|phase|gate|molmer|gate|protocol|ion|experiment|potential|multiqubit|gate|reduction|complexity|protocol
10.1103/PhysRevX.5.031031,quantum dot|superconducting qubit|trapped ion|quantum|transducer|surface|wave|chip|quantum|transducer|surface|wave|material|piezoelectric|property|material|platform|array|qubit|nitrogen|vacancy|center|mode|surface|wave|gigahertz|range|surface|cavity|waveguide|type|surface|excitation|bus|chip|cavity|qed|equivalent|microwave|photon|range|couple|range|qubit
10.1038/nature15263,quantum computing|quantum dot|quantum dot|superconducting qubit|trapped ion|qubit|logic|gate|silicon|quantum|computation|qubit|manner|fidelity|qubit|logic|realization|qubit|defect|atom|semiconductor|qubit|fidelity|threshold|fault|fidelity|qubit|gate|state|difficulty|qubit|semiconductor|qubit|logic|gate|spin|qubit|gate|exchange|interaction|loss|cnot|gate|phase|gate|qubit|gate|gate|voltage|control|qubit|addressability|exchange|interaction|qubit|phase|gate|qubit|anticorrelation|spin|probability|cnot|gate
10.1088/1367-2630/17/6/065018,quantum simulator|trapped ion|trapped ion|trapped ion|trapped ion|topological quantum|quantum spin liquid|quantum spin liquid|plaquette|spin|spin|interaction|quantum|magnetism|ion|crystal|scheme|route|spin|hamiltonian|lattice|energy|emergent|gauge|field|spin|liquid|ground|state|element|scheme|plaquette|spin|spin|interaction|ion|crystal|phonon|mode|spectrum|crystal|wave|potential|rydberg|ion|phonon|mode|hexagon|ion|crystal|mode|spin|spin|interaction|ion|qubit|plaquette|state|dipole|force|interaction|balent|fisher|girvin|instance|plaquette|hamiltonian|gauge|field|degree|freedom|top|ground|state|manifold|situation|emergence|gauss|law|dynamic|charge|excitation|gauge|background|plaquette|spin|scheme|principle|future|way|simulation|emergent|gauge|theory
10.1103/PhysRevB.92.134204,superconducting qubit|trapped ion|body|localization|quantum|ergodicity|range|ise|ergodicity|body|importance|body|localization|framework|ergodicity|insight|characterization|body|localization|observable|task|article|measure|distance|space|generalization|localization|length|body|space|body|localization|length|observable|space|experiment|molecule|rydberg|atom|body|localization|length|criterion|ergodicity|body|localization|quantum|ergodicity|power|law|ise|disorder|field|nonequilibrium|renormalization|group|diagonalization|statistic|resonance|body|phase|temperature|power|law|exponent|applicability|indication|delocalization|transition
10.1038/nature16184,quantum computer|quantum computing|quantum error correction|trapped ion|logic|test|entanglement|inequality|isotope|entanglement|property|quantum|resource|information|qip|state|particle|experiment|state|pair|photon|photon|atom|nucleus|state|logic|gate|state|ion|qubit|isotope|calcium|tomography|state|test|entanglement|inequality|atom|laser|qubit|mechanism|qubit|energy|split|state|qubit|qubit|micrometre|ion|trap|cent|fidelity|chsh|clauser|version|entanglement|inequality|novel|state|deviation|test|detection|locality|species|quantum|logic|construction|protection|memory|qubit|qubit|gate|interface|gate|mechanism|qubit|element|memory|logic|gate|error|photon|level|fault|prerequisite|purpose
10.1038/nature16186,quantum gate|quantum network|quantum network|quantum network|trapped ion|quantum simulation|logic|gate|ion|qubit|precision|control|level|realization|quantum|technology|field|information|process|qip|proposal|possibility|task|subsystem|information|subsystem|memory|property|subsystem|information|node|network|specie|degree|freedom|control|ion|element|qip|experiment|creation|entanglement|quantum|measurement|specie|ion|element|build|block|qip|precision|spectroscopy|metrology|phase|gate|ion|ion|spin|spin|interaction|state|force|laser|qubit|gate|species|gate|element|gate|set|gate|sequence|gate|cnot|gate|swap|robustness|gate|excitation|detection|logic|violation|chsh|clauser|entanglement|state|ion|specie
10.1103/PhysRevA.92.060301,trapped ion|error|compensation|qubit|gate|surface|ion|trap|pulse|fidelity|laser|logic|gate|qubit|microwave|logic|gate|difficulty|field|ion|location|stabilization|field|pulse|sequence|fidelity|qubit|gate|qubit|ion|surface|ion|trap|gate|error|protocol|error|clifford|group|gate|realization|sequence|sequence|length
10.1088/0953-4075/48/7/075101,quantum system|trapped ion|state|detection|qubit|order|state|state|qubit|atom|state|scatter|resonance|fluorescence|way|measurement|state|threshold|detection|error|detection|myerson|phy|rev|lett|pulse|detection|new|phy|qubit|state|change|measurement|qubit|qubit|state|change|detection|error|qubit|generalization|pulse|detection|qubit|advantage|detection|simulation|experiment|qubit|detection|way|state|discrimination|fidelity
10.1016/j.physleta.2015.10.014,quantum gate|trapped ion|trapped ion|quantum simulation|pulse|gate|scheme|qubit|crystal|qubit|gate|scheme|force|qubit|shape|force|source|infidelity|spin|force|scheme|photon|kick|pulse|gate|fidelity|computation|right
10.1103/PhysRevA.91.012322,trapped ion|trapped ion|preparation|detection|microwave|state|qubit|qutrit|eigenstate|level|microwave|complexity|gate|gate|state|qubit|state|access|qutrit|field|noise|addition|address|clock|transition|ion|field|gradient|microwave|state|string|ion|quantum|gate|microwave|radio|frequency|field|addressability|clock|transition|control|pairwise|interaction|strength|ion|string|laser
10.1088/1367-2630/18/8/083030,quantum bit|trapped ion|transport|bernstein|vazirani|algorithm|ion|qubit|surface|trap|bernstein|vazirani|algorithm|architecture|advantage|ion|transport|capability|trap|algorithm|ion|chain|ion|improvement|number|oracle|query|ion|query|bit|string|probability|ion|probability
10.1088/1367-2630/18/12/123007,quantum gate|quantum gate|trapped ion|trapped ion|high|fidelity|presence|heating|bus|mode|control|pulse|ion|phonon|entanglement|interaction|gate|improvement|gate
10.1103/PhysRevApplied.6.044010,quantum computer|quantum computer|quantum computing|quantum computing|quantum bit|quantum processor|trapped ion|quantum memory|wiring|quantum|socket|architecture|verge|scalability|requirement|stage|quest|realization|quantum|error|correction|code|impact|information|qubit|circuit|scalability|engineering|quantum|hardware|technology|effort|realization|wiring|control|measurement|number|qubit|interconnect|state|qubit|quantum|socket|quantum|socket|dimension|electron|qubit|density|wire|bond|quantum|socket|spring|microwire|wire|chip|contact|wire|cross|section|component|functionality|temperature|quantum|socket|ideal|state|qubit|wire|geometry|range|ghz|contact|resistance|omega|impedance|mismatch|omega|cross|talk|proof|principle|quantum|socket|quality|resonator|temperature|quantum|error|correction|code|surface|code|quantum|socket|qubit|lattice|socket|lattice|realization
10.1103/PhysRevLett.117.220501,quantum computer|quantum computer|quantum computing|quantum gate|quantum gate|quantum gate|trapped ion|ion|quantum|logic|radiation|field|tool|scale|number|radiation|field|realization|ion|architecture|number|ion|obstacle|device|million|ion|ion|vanishe|voltage|logic|gate|location|gate|gate|transistor|architecture|computer|processor|principle|wavelength|radiation|state|quantum|clock|qubit|fidelity|tool|quantum|metrology|simulation
10.1038/NPHYS3515,quantum bit|quantum system|cavity|couple|oscillator|back|action|element|coulomb|interaction|exchange|photon|object|photon|couple|couple|object|capacity|couple|channel|information|entanglement|photon|phase|interaction|oscillator|cavity|quantum|action|noise|couple|fluctuation|oscillator|challenge|opportunity|object|light|cavity
10.1103/PhysRevA.93.042342,trapped ion|trapped ion|stability|threshold|calculation|gate|gate|order|magnitude|challenge|gate|wave|approximation|respect|number|scale|term|frequency|number|pulse|gate|contrast|laser|pulse|instability|rise|number|gate|infidelity|number|pulse|reduction|bind|stability|qubit|gate|fidelity|threshold
